,Report_Date,Senegal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.7347612501046,151.67128619974315,True,1,0.003586506540370604,296.2307477292917
1,2020-01-23,0,68.7347612501046,151.67128619974315,True,2,0.004240470902554027,296.2307477292917
2,2020-01-24,0,68.7347612501046,151.67128619974315,True,3,0.005013677294145406,296.2307477292917
3,2020-01-25,0,68.7347612501046,151.67128619974315,True,4,0.0059278671884019024,296.2307477292917
4,2020-01-26,0,68.7347612501046,151.67128619974315,True,5,0.007008745882818765,296.2307477292917
5,2020-01-27,0,68.7347612501046,151.67128619974315,True,6,0.008286705044583035,296.2307477292917
6,2020-01-28,0,68.7347612501046,151.67128619974315,True,7,0.009797676915763926,296.2307477292917
7,2020-01-29,0,68.7347612501046,151.67128619974315,True,8,0.011584144149156891,296.2307477292917
8,2020-01-30,0,68.7347612501046,151.67128619974315,True,9,0.013696333602187792,296.2307477292917
9,2020-01-31,0,68.7347612501046,151.67128619974315,True,10,0.01619362756140719,296.2307477292917
10,2020-02-01,0,68.7347612501046,151.67128619974315,True,11,0.019146231945380898,296.2307477292917
11,2020-02-02,0,68.7347612501046,151.67128619974315,True,12,0.022637148205629815,296.2307477292917
12,2020-02-03,0,68.7347612501046,151.67128619974315,True,13,0.026764504109184486,296.2307477292917
13,2020-02-04,0,68.7347612501046,151.67128619974315,True,14,0.031644308571670436,296.2307477292917
14,2020-02-05,0,68.7347612501046,151.67128619974315,True,15,0.037413707485354886,296.2307477292917
15,2020-02-06,0,68.7347612501046,151.67128619974315,True,16,0.0442348313665372,296.2307477292917
16,2020-02-07,0,68.7347612501046,151.67128619974315,True,17,0.05229934199781615,296.2307477292917
17,2020-02-08,0,68.7347612501046,151.67128619974315,True,18,0.06183380449002601,296.2307477292917
18,2020-02-09,0,68.7347612501046,151.67128619974315,True,19,0.07310603383137257,296.2307477292917
19,2020-02-10,0,68.7347612501046,151.67128619974315,True,20,0.08643259160012248,296.2307477292917
20,2020-02-11,0,68.7347612501046,151.67128619974315,True,21,0.10218763975086752,296.2307477292917
21,2020-02-12,0,68.7347612501046,151.67128619974315,True,22,0.12081339499633917,296.2307477292917
22,2020-02-13,0,68.7347612501046,151.67128619974315,True,23,0.14283247015237285,296.2307477292917
23,2020-02-14,0,68.7347612501046,151.67128619974315,True,24,0.16886243885494798,296.2307477292917
24,2020-02-15,0,68.7347612501046,151.67128619974315,True,25,0.19963301836409164,296.2307477292917
25,2020-02-16,0,68.7347612501046,151.67128619974315,True,26,0.23600633290821607,296.2307477292917
26,2020-02-17,0,68.7347612501046,151.67128619974315,True,27,0.2790007984432462,296.2307477292917
27,2020-02-18,0,68.7347612501046,151.67128619974315,True,28,0.3298192600970709,296.2307477292917
28,2020-02-19,0,68.7347612501046,151.67128619974315,True,29,0.38988211721672095,296.2307477292917
29,2020-02-20,0,68.7347612501046,151.67128619974315,True,30,0.4608662889903608,296.2307477292917
30,2020-02-21,0,68.7347612501046,151.67128619974315,True,31,0.5447510069632797,296.2307477292917
31,2020-02-22,0,68.7347612501046,151.67128619974315,True,32,0.6438715697880731,296.2307477292917
32,2020-02-23,0,68.7347612501046,151.67128619974315,True,33,0.7609823597846904,296.2307477292917
33,2020-02-24,0,68.7347612501046,151.67128619974315,True,34,0.8993305985505408,296.2307477292917
34,2020-02-25,0,68.7347612501046,151.67128619974315,True,35,1.062742506156246,296.2307477292917
35,2020-02-26,0,68.7347612501046,151.67128619974315,True,36,1.2557237186205639,296.2307477292917
36,2020-02-27,0,68.7347612501046,151.67128619974315,True,37,1.4835760003232539,296.2307477292917
37,2020-02-28,0,68.7347612501046,151.67128619974315,True,38,1.752532444661634,296.2307477292917
38,2020-02-29,0,68.7347612501046,151.67128619974315,True,39,2.069913462012361,296.2307477292917
39,2020-03-01,0,68.7347612501046,151.67128619974315,True,40,2.4443058717975887,296.2307477292917
40,2020-03-02,1,68.7347612501046,151.67128619974315,True,41,2.885767292526623,296.2307477292917
41,2020-03-03,2,68.7347612501046,151.67128619974315,True,42,3.4060576870115478,296.2307477292917
42,2020-03-04,4,68.7347612501046,151.67128619974315,True,43,4.018899270200322,296.2307477292917
43,2020-03-05,4,68.7347612501046,151.67128619974315,True,44,4.740264892146189,296.2307477292917
44,2020-03-06,4,68.7347612501046,151.67128619974315,True,45,5.588693297215508,296.2307477292917
45,2020-03-07,4,68.7347612501046,151.67128619974315,True,46,6.585627117050671,296.2307477292917
46,2020-03-08,4,68.7347612501046,151.67128619974315,True,47,7.755765817732066,296.2307477292917
47,2020-03-09,4,68.7347612501046,151.67128619974315,True,48,9.12742079071053,296.2307477292917
48,2020-03-10,4,68.7347612501046,151.67128619974315,True,49,10.732853034068745,296.2307477292917
49,2020-03-11,4,68.7347612501046,151.67128619974315,True,50,12.60856512368173,296.2307477292917
50,2020-03-12,4,68.7347612501046,151.67128619974315,True,51,14.7955082379886,296.2307477292917
51,2020-03-13,10,68.7347612501046,151.67128619974315,True,52,17.339151928335024,296.2307477292917
52,2020-03-14,10,68.7347612501046,151.67128619974315,True,53,20.289349605337115,296.2307477292917
53,2020-03-15,24,68.7347612501046,151.67128619974315,True,54,23.699917525794916,296.2307477292917
54,2020-03-16,24,68.7347612501046,151.67128619974315,True,55,27.62783162208733,296.2307477292917
55,2020-03-17,26,68.7347612501046,151.67128619974315,True,56,32.13193837419906,296.2307477292917
56,2020-03-18,31,68.7347612501046,151.67128619974315,True,57,37.2710782050669,296.2307477292917
57,2020-03-19,31,68.7347612501046,151.67128619974315,True,58,43.1015391657169,296.2307477292917
58,2020-03-20,38,68.7347612501046,151.67128619974315,True,59,49.67380230201025,296.2307477292917
59,2020-03-21,47,68.7347612501046,151.67128619974315,True,60,57.02861450454705,296.2307477292917
60,2020-03-22,67,68.7347612501046,151.67128619974315,True,61,65.19253261363812,296.2307477292917
61,2020-03-23,79,68.7347612501046,151.67128619974315,True,62,74.17321944393646,296.2307477292917
62,2020-03-24,86,68.7347612501046,151.67128619974315,True,63,83.95492231870772,296.2307477292917
63,2020-03-25,99,68.7347612501046,151.67128619974315,True,64,94.49469837969863,296.2307477292917
64,2020-03-26,105,68.7347612501046,151.67128619974315,True,65,105.72002770384037,296.2307477292917
65,2020-03-27,119,68.7347612501046,151.67128619974315,True,66,117.528431372063,296.2307477292917
66,2020-03-28,130,68.7347612501046,151.67128619974315,True,67,129.7895549409878,296.2307477292917
67,2020-03-29,142,68.7347612501046,151.67128619974315,True,68,142.34988505303502,296.2307477292917
68,2020-03-30,162,68.7347612501046,151.67128619974315,True,69,155.03987644505955,296.2307477292917
69,2020-03-31,175,68.7347612501046,151.67128619974315,True,70,167.68285715790378,296.2307477292917
70,2020-04-01,190,68.7347612501046,151.67128619974315,True,71,180.10475164539173,296.2307477292917
71,2020-04-02,195,68.7347612501046,151.67128619974315,True,72,192.14350398847884,296.2307477292917
72,2020-04-03,207,68.7347612501046,151.67128619974315,True,73,203.65714162530188,296.2307477292917
73,2020-04-04,219,68.7347612501046,151.67128619974315,True,74,214.52967709284582,296.2307477292917
