,Report_Date,Sao Tome and Principe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.59136626861311,3.8075661107333802,False,1,0.008093690347163928,0.021267595994007987
1,2020-01-23,0,91.59136626861311,3.8075661107333802,False,2,0.008728282871405306,0.021267595994007987
2,2020-01-24,0,91.59136626861311,3.8075661107333802,False,3,0.009412569585096613,0.021267595994007987
3,2020-01-25,0,91.59136626861311,3.8075661107333802,False,4,0.01015043195111211,0.021267595994007987
4,2020-01-26,0,91.59136626861311,3.8075661107333802,False,5,0.010946052967837632,0.021267595994007987
5,2020-01-27,0,91.59136626861311,3.8075661107333802,False,6,0.011803940328052638,0.021267595994007987
6,2020-01-28,0,91.59136626861311,3.8075661107333802,False,7,0.012728951313025507,0.021267595994007987
7,2020-01-29,0,91.59136626861311,3.8075661107333802,False,8,0.013726319544696908,0.021267595994007987
8,2020-01-30,0,91.59136626861311,3.8075661107333802,False,9,0.014801683726335103,0.021267595994007987
9,2020-01-31,0,91.59136626861311,3.8075661107333802,False,10,0.015961118509806832,0.021267595994007987
10,2020-02-01,0,91.59136626861311,3.8075661107333802,False,11,0.01721116763558476,0.021267595994007987
11,2020-02-02,0,91.59136626861311,3.8075661107333802,False,12,0.018558879499763866,0.021267595994007987
12,2020-02-03,0,91.59136626861311,3.8075661107333802,False,13,0.020011845310628017,0.021267595994007987
13,2020-02-04,0,91.59136626861311,3.8075661107333802,False,14,0.021578240005623722,0.021267595994007987
14,2020-02-05,0,91.59136626861311,3.8075661107333802,False,15,0.02326686610787114,0.021267595994007987
15,2020-02-06,0,91.59136626861311,3.8075661107333802,False,16,0.02508720070946477,0.021267595994007987
16,2020-02-07,0,91.59136626861311,3.8075661107333802,False,17,0.027049445776653636,0.021267595994007987
17,2020-02-08,0,91.59136626861311,3.8075661107333802,False,18,0.02916458197938323,0.021267595994007987
18,2020-02-09,0,91.59136626861311,3.8075661107333802,False,19,0.03144442625443419,0.021267595994007987
19,2020-02-10,0,91.59136626861311,3.8075661107333802,False,20,0.0339016933172761,0.021267595994007987
20,2020-02-11,0,91.59136626861311,3.8075661107333802,False,21,0.0365500613424938,0.021267595994007987
21,2020-02-12,0,91.59136626861311,3.8075661107333802,False,22,0.039404242035914784,0.021267595994007987
22,2020-02-13,0,91.59136626861311,3.8075661107333802,False,23,0.04248005532298931,0.021267595994007987
23,2020-02-14,0,91.59136626861311,3.8075661107333802,False,24,0.04579450887710448,0.021267595994007987
24,2020-02-15,0,91.59136626861311,3.8075661107333802,False,25,0.049365882707831224,0.021267595994007987
25,2020-02-16,0,91.59136626861311,3.8075661107333802,False,26,0.0532138190220078,0.021267595994007987
26,2020-02-17,0,91.59136626861311,3.8075661107333802,False,27,0.05735941755935971,0.021267595994007987
27,2020-02-18,0,91.59136626861311,3.8075661107333802,False,28,0.06182533658824514,0.021267595994007987
28,2020-02-19,0,91.59136626861311,3.8075661107333802,False,29,0.06663589972518215,0.021267595994007987
29,2020-02-20,0,91.59136626861311,3.8075661107333802,False,30,0.07181720871301402,0.021267595994007987
30,2020-02-21,0,91.59136626861311,3.8075661107333802,False,31,0.07739726225572001,0.021267595994007987
31,2020-02-22,0,91.59136626861311,3.8075661107333802,False,32,0.08340608096163882,0.021267595994007987
32,2020-02-23,0,91.59136626861311,3.8075661107333802,False,33,0.08987583838974432,0.021267595994007987
33,2020-02-24,0,91.59136626861311,3.8075661107333802,False,34,0.09684099812391132,0.021267595994007987
34,2020-02-25,0,91.59136626861311,3.8075661107333802,False,35,0.10433845671597769,0.021267595994007987
35,2020-02-26,0,91.59136626861311,3.8075661107333802,False,36,0.11240769223779148,0.021267595994007987
36,2020-02-27,0,91.59136626861311,3.8075661107333802,False,37,0.12109091806308267,0.021267595994007987
