,Report_Date,Liberia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,154.61359502638777,680.4851838267442,True,1,0.7111796887654624,1357.830251937407
1,2020-01-23,0,154.61359502638777,680.4851838267442,True,2,0.7470176626974679,1357.830251937407
2,2020-01-24,0,154.61359502638777,680.4851838267442,True,3,0.7846605524858021,1357.830251937407
3,2020-01-25,0,154.61359502638777,680.4851838267442,True,4,0.8241991518782463,1357.830251937407
4,2020-01-26,0,154.61359502638777,680.4851838267442,True,5,0.8657288107546444,1357.830251937407
5,2020-01-27,0,154.61359502638777,680.4851838267442,True,6,0.9093496626097263,1357.830251937407
6,2020-01-28,0,154.61359502638777,680.4851838267442,True,7,0.9551668632750694,1357.830251937407
7,2020-01-29,0,154.61359502638777,680.4851838267442,True,8,1.0032908414231587,1357.830251937407
8,2020-01-30,0,154.61359502638777,680.4851838267442,True,9,1.05383756142145,1357.830251937407
9,2020-01-31,0,154.61359502638777,680.4851838267442,True,10,1.1069287991302932,1357.830251937407
10,2020-02-01,0,154.61359502638777,680.4851838267442,True,11,1.1626924312655627,1357.830251937407
11,2020-02-02,0,154.61359502638777,680.4851838267442,True,12,1.2212627389748816,1357.830251937407
12,2020-02-03,0,154.61359502638777,680.4851838267442,True,13,1.2827807263054605,1357.830251937407
13,2020-02-04,0,154.61359502638777,680.4851838267442,True,14,1.3473944542718006,1357.830251937407
14,2020-02-05,0,154.61359502638777,680.4851838267442,True,15,1.4152593912628646,1357.830251937407
15,2020-02-06,0,154.61359502638777,680.4851838267442,True,16,1.4865387805608037,1357.830251937407
16,2020-02-07,0,154.61359502638777,680.4851838267442,True,17,1.5614040257769815,1357.830251937407
17,2020-02-08,0,154.61359502638777,680.4851838267442,True,18,1.6400350950458216,1357.830251937407
18,2020-02-09,0,154.61359502638777,680.4851838267442,True,19,1.7226209448529808,1357.830251937407
19,2020-02-10,0,154.61359502638777,680.4851838267442,True,20,1.8093599644114617,1357.830251937407
20,2020-02-11,0,154.61359502638777,680.4851838267442,True,21,1.9004604415375785,1357.830251937407
21,2020-02-12,0,154.61359502638777,680.4851838267442,True,22,1.996141051018098,1357.830251937407
22,2020-02-13,0,154.61359502638777,680.4851838267442,True,23,2.096631366500437,1357.830251937407
23,2020-02-14,0,154.61359502638777,680.4851838267442,True,24,2.2021723969794245,1357.830251937407
24,2020-02-15,0,154.61359502638777,680.4851838267442,True,25,2.3130171489968396,1357.830251937407
25,2020-02-16,0,154.61359502638777,680.4851838267442,True,26,2.429431215713625,1357.830251937407
26,2020-02-17,0,154.61359502638777,680.4851838267442,True,27,2.551693394059291,1357.830251937407
27,2020-02-18,0,154.61359502638777,680.4851838267442,True,28,2.6800963312085546,1357.830251937407
28,2020-02-19,0,154.61359502638777,680.4851838267442,True,29,2.8149472016814485,1357.830251937407
29,2020-02-20,0,154.61359502638777,680.4851838267442,True,30,2.9565684164101147,1357.830251937407
30,2020-02-21,0,154.61359502638777,680.4851838267442,True,31,3.1052983651628905,1357.830251937407
31,2020-02-22,0,154.61359502638777,680.4851838267442,True,32,3.261492193764078,1357.830251937407
32,2020-02-23,0,154.61359502638777,680.4851838267442,True,33,3.425522617595831,1357.830251937407
33,2020-02-24,0,154.61359502638777,680.4851838267442,True,34,3.597780772916506,1357.830251937407
34,2020-02-25,0,154.61359502638777,680.4851838267442,True,35,3.778677107577585,1357.830251937407
35,2020-02-26,0,154.61359502638777,680.4851838267442,True,36,3.9686423127684365,1357.830251937407
36,2020-02-27,0,154.61359502638777,680.4851838267442,True,37,4.168128297464546,1357.830251937407
37,2020-02-28,0,154.61359502638777,680.4851838267442,True,38,4.377609207300029,1357.830251937407
38,2020-02-29,0,154.61359502638777,680.4851838267442,True,39,4.597582489628813,1357.830251937407
39,2020-03-01,0,154.61359502638777,680.4851838267442,True,40,4.828570006580411,1357.830251937407
40,2020-03-02,0,154.61359502638777,680.4851838267442,True,41,5.071119197955289,1357.830251937407
41,2020-03-03,0,154.61359502638777,680.4851838267442,True,42,5.325804295840714,1357.830251937407
42,2020-03-04,0,154.61359502638777,680.4851838267442,True,43,5.59322759286018,1357.830251937407
43,2020-03-05,0,154.61359502638777,680.4851838267442,True,44,5.87402076599731,1357.830251937407
44,2020-03-06,0,154.61359502638777,680.4851838267442,True,45,6.168846257957673,1357.830251937407
45,2020-03-07,0,154.61359502638777,680.4851838267442,True,46,6.478398718048424,1357.830251937407
46,2020-03-08,0,154.61359502638777,680.4851838267442,True,47,6.803406504565127,1357.830251937407
47,2020-03-09,0,154.61359502638777,680.4851838267442,True,48,7.1446332506763985,1357.830251937407
48,2020-03-10,0,154.61359502638777,680.4851838267442,True,49,7.5028794957890135,1357.830251937407
49,2020-03-11,0,154.61359502638777,680.4851838267442,True,50,7.8789843843574925,1357.830251937407
50,2020-03-12,0,154.61359502638777,680.4851838267442,True,51,8.273827434071507,1357.830251937407
51,2020-03-13,0,154.61359502638777,680.4851838267442,True,52,8.688330375310164,1357.830251937407
52,2020-03-14,0,154.61359502638777,680.4851838267442,True,53,9.123459063692525,1357.830251937407
53,2020-03-15,0,154.61359502638777,680.4851838267442,True,54,9.58022546747678,1357.830251937407
54,2020-03-16,1,154.61359502638777,680.4851838267442,True,55,10.059689731464166,1357.830251937407
55,2020-03-17,1,154.61359502638777,680.4851838267442,True,56,10.562962318945885,1357.830251937407
56,2020-03-18,2,154.61359502638777,680.4851838267442,True,57,11.091206233089114,1357.830251937407
57,2020-03-19,2,154.61359502638777,680.4851838267442,True,58,11.645639318989549,1357.830251937407
58,2020-03-20,2,154.61359502638777,680.4851838267442,True,59,12.227536647419253,1357.830251937407
59,2020-03-21,3,154.61359502638777,680.4851838267442,True,60,12.83823298106733,1357.830251937407
60,2020-03-22,3,154.61359502638777,680.4851838267442,True,61,13.47912532380321,1357.830251937407
61,2020-03-23,3,154.61359502638777,680.4851838267442,True,62,14.151675553184635,1357.830251937407
62,2020-03-24,3,154.61359502638777,680.4851838267442,True,63,14.857413136081036,1357.830251937407
63,2020-03-25,3,154.61359502638777,680.4851838267442,True,64,15.597937926883061,1357.830251937407
64,2020-03-26,3,154.61359502638777,680.4851838267442,True,65,16.374923047316603,1357.830251937407
65,2020-03-27,3,154.61359502638777,680.4851838267442,True,66,17.190117846369702,1357.830251937407
66,2020-03-28,3,154.61359502638777,680.4851838267442,True,67,18.0453509382678,1357.830251937407
67,2020-03-29,3,154.61359502638777,680.4851838267442,True,68,18.942533315791895,1357.830251937407
68,2020-03-30,3,154.61359502638777,680.4851838267442,True,69,19.8836615355193,1357.830251937407
69,2020-03-31,3,154.61359502638777,680.4851838267442,True,70,20.870820970771714,1357.830251937407
70,2020-04-01,6,154.61359502638777,680.4851838267442,True,71,21.9061891271741,1357.830251937407
71,2020-04-02,6,154.61359502638777,680.4851838267442,True,72,22.992039014753654,1357.830251937407
72,2020-04-03,7,154.61359502638777,680.4851838267442,True,73,24.130742569434496,1357.830251937407
73,2020-04-04,10,154.61359502638777,680.4851838267442,True,74,25.324774115602736,1357.830251937407
74,2020-04-05,13,154.61359502638777,680.4851838267442,True,75,26.57671386012262,1357.830251937407
75,2020-04-06,14,154.61359502638777,680.4851838267442,True,76,27.88925140676865,1357.830251937407
76,2020-04-07,14,154.61359502638777,680.4851838267442,True,77,29.265189278495388,1357.830251937407
77,2020-04-08,31,154.61359502638777,680.4851838267442,True,78,30.7074464332874,1357.830251937407
78,2020-04-09,31,154.61359502638777,680.4851838267442,True,79,32.219061757511696,1357.830251937407
79,2020-04-10,37,154.61359502638777,680.4851838267442,True,80,33.803197518724915,1357.830251937407
80,2020-04-11,48,154.61359502638777,680.4851838267442,True,81,35.46314275776479,1357.830251937407
81,2020-04-12,50,154.61359502638777,680.4851838267442,True,82,37.20231659767168,1357.830251937407
82,2020-04-13,59,154.61359502638777,680.4851838267442,True,83,39.02427144453943,1357.830251937407
83,2020-04-14,59,154.61359502638777,680.4851838267442,True,84,40.93269605278151,1357.830251937407
84,2020-04-15,59,154.61359502638777,680.4851838267442,True,85,42.931418424515925,1357.830251937407
85,2020-04-16,59,154.61359502638777,680.4851838267442,True,86,45.024408509824156,1357.830251937407
86,2020-04-17,76,154.61359502638777,680.4851838267442,True,87,47.215780671522474,1357.830251937407
87,2020-04-18,76,154.61359502638777,680.4851838267442,True,88,49.50979587481107,1357.830251937407
88,2020-04-19,91,154.61359502638777,680.4851838267442,True,89,51.91086355873723,1357.830251937407
89,2020-04-20,99,154.61359502638777,680.4851838267442,True,90,54.42354314284228,1357.830251937407
90,2020-04-21,101,154.61359502638777,680.4851838267442,True,91,57.052545118670494,1357.830251937407
91,2020-04-22,101,154.61359502638777,680.4851838267442,True,92,59.80273167202073,1357.830251937407
92,2020-04-23,101,154.61359502638777,680.4851838267442,True,93,62.67911677794952,1357.830251937407
93,2020-04-24,117,154.61359502638777,680.4851838267442,True,94,65.68686570661198,1357.830251937407
94,2020-04-25,120,154.61359502638777,680.4851838267442,True,95,68.83129387410067,1357.830251937407
95,2020-04-26,124,154.61359502638777,680.4851838267442,True,96,72.11786496854972,1357.830251937407
96,2020-04-27,124,154.61359502638777,680.4851838267442,True,97,75.55218827797479,1357.830251937407
97,2020-04-28,141,154.61359502638777,680.4851838267442,True,98,79.14001514267221,1357.830251937407
98,2020-04-29,141,154.61359502638777,680.4851838267442,True,99,82.88723445158234,1357.830251937407
99,2020-04-30,141,154.61359502638777,680.4851838267442,True,100,86.79986709891068,1357.830251937407
100,2020-05-01,152,154.61359502638777,680.4851838267442,True,101,90.884059314585,1357.830251937407
101,2020-05-02,154,154.61359502638777,680.4851838267442,True,102,95.1460747799207,1357.830251937407
102,2020-05-03,158,154.61359502638777,680.4851838267442,True,103,99.59228543826784,1357.830251937407
103,2020-05-04,166,154.61359502638777,680.4851838267442,True,104,104.22916090956535,1357.830251937407
104,2020-05-05,170,154.61359502638777,680.4851838267442,True,105,109.06325641774622,1357.830251937407
105,2020-05-06,178,154.61359502638777,680.4851838267442,True,106,114.10119914098863,1357.830251937407
106,2020-05-07,189,154.61359502638777,680.4851838267442,True,107,119.3496728970254,1357.830251937407
107,2020-05-08,199,154.61359502638777,680.4851838267442,True,108,124.81540107928913,1357.830251937407
108,2020-05-09,199,154.61359502638777,680.4851838267442,True,109,130.5051277647379,1357.830251937407
109,2020-05-10,199,154.61359502638777,680.4851838267442,True,110,136.42559692095125,1357.830251937407
110,2020-05-11,211,154.61359502638777,680.4851838267442,True,111,142.5835296486866,1357.830251937407
111,2020-05-12,211,154.61359502638777,680.4851838267442,True,112,148.98559940669364,1357.830251937407
112,2020-05-13,213,154.61359502638777,680.4851838267442,True,113,155.63840517838048,1357.830251937407
113,2020-05-14,215,154.61359502638777,680.4851838267442,True,114,162.54844255503016,1357.830251937407
114,2020-05-15,219,154.61359502638777,680.4851838267442,True,115,169.72207272782896,1357.830251937407
115,2020-05-16,223,154.61359502638777,680.4851838267442,True,116,177.16548940107435,1357.830251937407
116,2020-05-17,226,154.61359502638777,680.4851838267442,True,117,184.88468366164605,1357.830251937407
117,2020-05-18,229,154.61359502638777,680.4851838267442,True,118,192.88540686518593,1357.830251937407
118,2020-05-19,233,154.61359502638777,680.4851838267442,True,119,201.1731316273921,1357.830251937407
119,2020-05-20,238,154.61359502638777,680.4851838267442,True,120,209.75301103933398,1357.830251937407
120,2020-05-21,240,154.61359502638777,680.4851838267442,True,121,218.62983625855244,1357.830251937407
121,2020-05-22,249,154.61359502638777,680.4851838267442,True,122,227.80799266272555,1357.830251937407
122,2020-05-23,255,154.61359502638777,680.4851838267442,True,123,237.2914147895256,1357.830251937407
123,2020-05-24,265,154.61359502638777,680.4851838267442,True,124,247.08354032456504,1357.830251937407
124,2020-05-25,265,154.61359502638777,680.4851838267442,True,125,257.1872634385547,1357.830251937407
125,2020-05-26,266,154.61359502638777,680.4851838267442,True,126,267.60488781434776,1357.830251937407
126,2020-05-27,266,154.61359502638777,680.4851838267442,True,127,278.3380797437759,1357.830251937407
127,2020-05-28,269,154.61359502638777,680.4851838267442,True,128,289.38782171226313,1357.830251937407
128,2020-05-29,273,154.61359502638777,680.4851838267442,True,129,300.75436692531633,1357.830251937407
129,2020-05-30,280,154.61359502638777,680.4851838267442,True,130,312.43719526413605,1357.830251937407
130,2020-05-31,288,154.61359502638777,680.4851838267442,True,131,324.4349711868087,1357.830251937407
131,2020-06-01,296,154.61359502638777,680.4851838267442,True,132,336.74550411575643,1357.830251937407
132,2020-06-02,311,154.61359502638777,680.4851838267442,True,133,349.365711870266,1357.830251937407
133,2020-06-03,316,154.61359502638777,680.4851838267442,True,134,362.29158771397533,1357.830251937407
134,2020-06-04,321,154.61359502638777,680.4851838267442,True,135,375.5181715901019,1357.830251937407
135,2020-06-05,334,154.61359502638777,680.4851838267442,True,136,389.0395261110939,1357.830251937407
