,Report_Date,Grenada_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.33280985510328,8.267467582268154,True,1,0.00019475470460080988,16.140040731679374
1,2020-01-23,0,70.33280985510328,8.267467582268154,True,2,0.00022939166004167023,16.140040731679374
2,2020-01-24,0,70.33280985510328,8.267467582268154,True,3,0.0002701886673306701,16.140040731679374
3,2020-01-25,0,70.33280985510328,8.267467582268154,True,4,0.0003182412294599684,16.140040731679374
4,2020-01-26,0,70.33280985510328,8.267467582268154,True,5,0.00037483965846086517,16.140040731679374
5,2020-01-27,0,70.33280985510328,8.267467582268154,True,6,0.00044150371168901197,16.140040731679374
6,2020-01-28,0,70.33280985510328,8.267467582268154,True,7,0.0005200233840401539,16.140040731679374
7,2020-01-29,0,70.33280985510328,8.267467582268154,True,8,0.0006125069493165648,16.140040731679374
8,2020-01-30,0,70.33280985510328,8.267467582268154,True,9,0.0007214375377672611,16.140040731679374
9,2020-01-31,0,70.33280985510328,8.267467582268154,True,10,0.0008497397648530239,16.140040731679374
10,2020-02-01,0,70.33280985510328,8.267467582268154,True,11,0.001000858194533116,16.140040731679374
11,2020-02-02,0,70.33280985510328,8.267467582268154,True,12,0.0011788497358566647,16.140040731679374
12,2020-02-03,0,70.33280985510328,8.267467582268154,True,13,0.001388492442588814,16.140040731679374
13,2020-02-04,0,70.33280985510328,8.267467582268154,True,14,0.0016354136216228201,16.140040731679374
14,2020-02-05,0,70.33280985510328,8.267467582268154,True,15,0.001926240668249969,16.140040731679374
15,2020-02-06,0,70.33280985510328,8.267467582268154,True,16,0.0022687786480672066,16.140040731679374
16,2020-02-07,0,70.33280985510328,8.267467582268154,True,17,0.002672219351626987,16.140040731679374
17,2020-02-08,0,70.33280985510328,8.267467582268154,True,18,0.003147387376554796,16.140040731679374
18,2020-02-09,0,70.33280985510328,8.267467582268154,True,19,0.0037070297632440406,16.140040731679374
19,2020-02-10,0,70.33280985510328,8.267467582268154,True,20,0.004366156847997762,16.140040731679374
20,2020-02-11,0,70.33280985510328,8.267467582268154,True,21,0.005142443328749113,16.140040731679374
