,Report_Date,China_guangxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,13.219167009534711,126.43423560742121,True,1,16.01586098105274,252.86845995608894
1,2020-01-23,5,13.219167009534711,126.43423560742121,True,2,19.65909112568708,252.86845995608894
2,2020-01-24,23,13.219167009534711,126.43423560742121,True,3,24.046929727037103,252.86845995608894
3,2020-01-25,23,13.219167009534711,126.43423560742121,True,4,29.291111764282732,252.86845995608894
4,2020-01-26,36,13.219167009534711,126.43423560742121,True,5,35.5015133629567,252.86845995608894
5,2020-01-27,46,13.219167009534711,126.43423560742121,True,6,42.77673354263937,252.86845995608894
6,2020-01-28,51,13.219167009534711,126.43423560742121,True,7,51.191726242217214,252.86845995608894
7,2020-01-29,58,13.219167009534711,126.43423560742121,True,8,60.783174730326714,252.86845995608894
8,2020-01-30,78,13.219167009534711,126.43423560742121,True,9,71.5342862345649,252.86845995608894
9,2020-01-31,87,13.219167009534711,126.43423560742121,True,10,83.36174610555109,252.86845995608894
10,2020-02-01,100,13.219167009534711,126.43423560742121,True,11,96.10830127963719,252.86845995608894
11,2020-02-02,111,13.219167009534711,126.43423560742121,True,12,109.54431946565386,252.86845995608894
12,2020-02-03,127,13.219167009534711,126.43423560742121,True,13,123.3803091640152,252.86845995608894
13,2020-02-04,139,13.219167009534711,126.43423560742121,True,14,137.28987490905254,252.86845995608894
14,2020-02-05,150,13.219167009534711,126.43423560742121,True,15,150.93965879393602,252.86845995608894
15,2020-02-06,168,13.219167009534711,126.43423560742121,True,16,164.02064459602485,252.86845995608894
16,2020-02-07,172,13.219167009534711,126.43423560742121,True,17,176.2747591017249,252.86845995608894
17,2020-02-08,183,13.219167009534711,126.43423560742121,True,18,187.51220612203178,252.86845995608894
18,2020-02-09,195,13.219167009534711,126.43423560742121,True,19,197.61771271383031,252.86845995608894
19,2020-02-10,210,13.219167009534711,126.43423560742121,True,20,206.54668487850833,252.86845995608894
20,2020-02-11,215,13.219167009534711,126.43423560742121,True,21,214.31418394265415,252.86845995608894
21,2020-02-12,222,13.219167009534711,126.43423560742121,True,22,220.98027409301304,252.86845995608894
22,2020-02-13,222,13.219167009534711,126.43423560742121,True,23,226.63487158078317,252.86845995608894
23,2020-02-14,226,13.219167009534711,126.43423560742121,True,24,231.38424889737624,252.86845995608894
24,2020-02-15,235,13.219167009534711,126.43423560742121,True,25,235.34029113561394,252.86845995608894
25,2020-02-16,237,13.219167009534711,126.43423560742121,True,26,238.61275971803533,252.86845995608894
26,2020-02-17,238,13.219167009534711,126.43423560742121,True,27,241.30428790690095,252.86845995608894
27,2020-02-18,242,13.219167009534711,126.43423560742121,True,28,243.50758190272103,252.86845995608894
28,2020-02-19,244,13.219167009534711,126.43423560742121,True,29,245.3042471744084,252.86845995608894
29,2020-02-20,245,13.219167009534711,126.43423560742121,True,30,246.76471650608158,252.86845995608894
30,2020-02-21,246,13.219167009534711,126.43423560742121,True,31,247.94885959107643,252.86845995608894
31,2020-02-22,249,13.219167009534711,126.43423560742121,True,32,248.90696405229465,252.86845995608894
32,2020-02-23,249,13.219167009534711,126.43423560742121,True,33,249.680874514888,252.86845995608894
33,2020-02-24,251,13.219167009534711,126.43423560742121,True,34,250.3051526928788,252.86845995608894
34,2020-02-25,252,13.219167009534711,126.43423560742121,True,35,250.8081773381402,252.86845995608894
35,2020-02-26,252,13.219167009534711,126.43423560742121,True,36,251.21314143547121,252.86845995608894
36,2020-02-27,252,13.219167009534711,126.43423560742121,True,37,251.53892917139245,252.86845995608894
37,2020-02-28,252,13.219167009534711,126.43423560742121,True,38,251.8008706643774,252.86845995608894
38,2020-02-29,252,13.219167009534711,126.43423560742121,True,39,252.01138125000475,252.86845995608894
39,2020-03-01,252,13.219167009534711,126.43423560742121,True,40,252.18049655043944,252.86845995608894
40,2020-03-02,252,13.219167009534711,126.43423560742121,True,41,252.31631625336487,252.86845995608894
41,2020-03-03,252,13.219167009534711,126.43423560742121,True,42,252.42536959439877,252.86845995608894
42,2020-03-04,252,13.219167009534711,126.43423560742121,True,43,252.5129147116841,252.86845995608894
43,2020-03-05,252,13.219167009534711,126.43423560742121,True,44,252.5831827862541,252.86845995608894
44,2020-03-06,252,13.219167009534711,126.43423560742121,True,45,252.63957647944096,252.86845995608894
45,2020-03-07,252,13.219167009534711,126.43423560742121,True,46,252.68483079186336,252.86845995608894
46,2020-03-08,252,13.219167009534711,126.43423560742121,True,47,252.7211431838203,252.86845995608894
47,2020-03-09,252,13.219167009534711,126.43423560742121,True,48,252.75027865349682,252.86845995608894
48,2020-03-10,252,13.219167009534711,126.43423560742121,True,49,252.7736544784982,252.86845995608894
49,2020-03-11,252,13.219167009534711,126.43423560742121,True,50,252.7924084834312,252.86845995608894
50,2020-03-12,252,13.219167009534711,126.43423560742121,True,51,252.8074539890593,252.86845995608894
51,2020-03-13,252,13.219167009534711,126.43423560742121,True,52,252.81952401109896,252.86845995608894
52,2020-03-14,252,13.219167009534711,126.43423560742121,True,53,252.82920679243327,252.86845995608894
53,2020-03-15,252,13.219167009534711,126.43423560742121,True,54,252.83697435559742,252.86845995608894
54,2020-03-16,252,13.219167009534711,126.43423560742121,True,55,252.84320543854875,252.86845995608894
55,2020-03-17,253,13.219167009534711,126.43423560742121,True,56,252.84820391344428,252.86845995608894
56,2020-03-18,253,13.219167009534711,126.43423560742121,True,57,252.85221357467782,252.86845995608894
57,2020-03-19,253,13.219167009534711,126.43423560742121,True,58,252.8554300097356,252.86845995608894
58,2020-03-20,254,13.219167009534711,126.43423560742121,True,59,252.85801012695384,252.86845995608894
59,2020-03-21,254,13.219167009534711,126.43423560742121,True,60,252.86007980177953,252.86845995608894
60,2020-03-22,254,13.219167009534711,126.43423560742121,True,61,252.86174001251322,252.86845995608894
61,2020-03-23,254,13.219167009534711,126.43423560742121,True,62,252.86307176357002,252.86845995608894
62,2020-03-24,254,13.219167009534711,126.43423560742121,True,63,252.86414003562084,252.86845995608894
63,2020-03-25,254,13.219167009534711,126.43423560742121,True,64,252.86499695480686,252.86845995608894
