,Report_Date,Diamond Princess_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,25.471426829007868,355.3823122398605,True,1,0.054465528469503394,710.7646244697349
1,2020-01-23,0,25.471426829007868,355.3823122398605,True,2,0.08022035949569417,710.7646244697349
2,2020-01-24,0,25.471426829007868,355.3823122398605,True,3,0.11815171883080404,710.7646244697349
3,2020-01-25,0,25.471426829007868,355.3823122398605,True,4,0.17401413378091263,710.7646244697349
4,2020-01-26,0,25.471426829007868,355.3823122398605,True,5,0.2562789071247742,710.7646244697349
5,2020-01-27,0,25.471426829007868,355.3823122398605,True,6,0.37741350323258915,710.7646244697349
6,2020-01-28,0,25.471426829007868,355.3823122398605,True,7,0.5557596461506041,710.7646244697349
7,2020-01-29,0,25.471426829007868,355.3823122398605,True,8,0.8182858937759315,710.7646244697349
8,2020-01-30,0,25.471426829007868,355.3823122398605,True,9,1.2046123008410736,710.7646244697349
9,2020-01-31,0,25.471426829007868,355.3823122398605,True,10,1.7728743765422765,710.7646244697349
10,2020-02-01,0,25.471426829007868,355.3823122398605,True,11,2.608222203204757,710.7646244697349
11,2020-02-02,0,25.471426829007868,355.3823122398605,True,12,3.835042467884807,710.7646244697349
12,2020-02-03,0,25.471426829007868,355.3823122398605,True,13,5.634326605567855,710.7646244697349
13,2020-02-04,0,25.471426829007868,355.3823122398605,True,14,8.267906607233844,710.7646244697349
14,2020-02-05,0,25.471426829007868,355.3823122398605,True,15,12.111323332501412,710.7646244697349
15,2020-02-06,0,25.471426829007868,355.3823122398605,True,16,17.69638271790939,710.7646244697349
16,2020-02-07,61,25.471426829007868,355.3823122398605,True,17,25.76198760891833,710.7646244697349
17,2020-02-08,61,25.471426829007868,355.3823122398605,True,18,37.30583535548908,710.7646244697349
18,2020-02-09,64,25.471426829007868,355.3823122398605,True,19,53.61754745964733,710.7646244697349
19,2020-02-10,135,25.471426829007868,355.3823122398605,True,20,76.25388292642421,710.7646244697349
20,2020-02-11,135,25.471426829007868,355.3823122398605,True,21,106.89236471029093,710.7646244697349
21,2020-02-12,175,25.471426829007868,355.3823122398605,True,22,146.98945228509118,710.7646244697349
22,2020-02-13,175,25.471426829007868,355.3823122398605,True,23,197.21543235544203,710.7646244697349
23,2020-02-14,218,25.471426829007868,355.3823122398605,True,24,256.78657719963405,710.7646244697349
24,2020-02-15,285,25.471426829007868,355.3823122398605,True,25,323.0331705544439,710.7646244697349
25,2020-02-16,355,25.471426829007868,355.3823122398605,True,26,391.6270359798389,710.7646244697349
26,2020-02-17,454,25.471426829007868,355.3823122398605,True,27,457.59637135009166,710.7646244697349
27,2020-02-18,542,25.471426829007868,355.3823122398605,True,28,516.6869611305967,710.7646244697349
28,2020-02-19,621,25.471426829007868,355.3823122398605,True,29,566.3385633247627,710.7646244697349
29,2020-02-20,634,25.471426829007868,355.3823122398605,True,30,605.8664941134437,710.7646244697349
30,2020-02-21,634,25.471426829007868,355.3823122398605,True,31,636.0041358001721,710.7646244697349
31,2020-02-22,634,25.471426829007868,355.3823122398605,True,32,658.2338522455806,710.7646244697349
32,2020-02-23,691,25.471426829007868,355.3823122398605,True,33,674.2333214571389,710.7646244697349
33,2020-02-24,691,25.471426829007868,355.3823122398605,True,34,685.5464739807089,710.7646244697349
34,2020-02-25,691,25.471426829007868,355.3823122398605,True,35,693.446118183717,710.7646244697349
35,2020-02-26,705,25.471426829007868,355.3823122398605,True,36,698.9139572410886,710.7646244697349
36,2020-02-27,705,25.471426829007868,355.3823122398605,True,37,702.6756148550669,710.7646244697349
37,2020-02-28,705,25.471426829007868,355.3823122398605,True,38,705.2526578325172,710.7646244697349
38,2020-02-29,705,25.471426829007868,355.3823122398605,True,39,707.0130750363988,710.7646244697349
39,2020-03-01,705,25.471426829007868,355.3823122398605,True,40,708.2132824911023,710.7646244697349
40,2020-03-02,705,25.471426829007868,355.3823122398605,True,41,709.0304576301853,710.7646244697349
41,2020-03-03,706,25.471426829007868,355.3823122398605,True,42,709.5863333438313,710.7646244697349
42,2020-03-04,706,25.471426829007868,355.3823122398605,True,43,709.9642279170548,710.7646244697349
43,2020-03-05,706,25.471426829007868,355.3823122398605,True,44,710.221019221721,710.7646244697349
44,2020-03-06,706,25.471426829007868,355.3823122398605,True,45,710.3954669860422,710.7646244697349
45,2020-03-07,706,25.471426829007868,355.3823122398605,True,46,710.5139526692824,710.7646244697349
46,2020-03-08,706,25.471426829007868,355.3823122398605,True,47,710.5944180122946,710.7646244697349
47,2020-03-09,706,25.471426829007868,355.3823122398605,True,48,710.6490582802837,710.7646244697349
48,2020-03-10,706,25.471426829007868,355.3823122398605,True,49,710.6861596776203,710.7646244697349
49,2020-03-11,706,25.471426829007868,355.3823122398605,True,50,710.7113509273429,710.7646244697349
50,2020-03-12,706,25.471426829007868,355.3823122398605,True,51,710.7284548978222,710.7646244697349
51,2020-03-13,706,25.471426829007868,355.3823122398605,True,52,710.7400676689177,710.7646244697349
52,2020-03-14,706,25.471426829007868,355.3823122398605,True,53,710.7479520781701,710.7646244697349
53,2020-03-15,706,25.471426829007868,355.3823122398605,True,54,710.7533050952267,710.7646244697349
54,2020-03-16,706,25.471426829007868,355.3823122398605,True,55,710.7569394347619,710.7646244697349
55,2020-03-17,706,25.471426829007868,355.3823122398605,True,56,710.7594068975201,710.7646244697349
56,2020-03-18,712,25.471426829007868,355.3823122398605,True,57,710.7610821278122,710.7646244697349
57,2020-03-19,712,25.471426829007868,355.3823122398605,True,58,710.7622194869358,710.7646244697349
58,2020-03-20,712,25.471426829007868,355.3823122398605,True,59,710.7629916698045,710.7646244697349
59,2020-03-21,712,25.471426829007868,355.3823122398605,True,60,710.7635159245061,710.7646244697349
60,2020-03-22,712,25.471426829007868,355.3823122398605,True,61,710.7638718542248,710.7646244697349
61,2020-03-23,712,25.471426829007868,355.3823122398605,True,62,710.764113503778,710.7646244697349
62,2020-03-24,712,25.471426829007868,355.3823122398605,True,63,710.7642775656354,710.7646244697349
63,2020-03-25,712,25.471426829007868,355.3823122398605,True,64,710.764388951267,710.7646244697349
64,2020-03-26,712,25.471426829007868,355.3823122398605,True,65,710.7644645737035,710.7646244697349
65,2020-03-27,712,25.471426829007868,355.3823122398605,True,66,710.7645159156256,710.7646244697349
66,2020-03-28,712,25.471426829007868,355.3823122398605,True,67,710.7645507729104,710.7646244697349
67,2020-03-29,712,25.471426829007868,355.3823122398605,True,68,710.7645744383715,710.7646244697349
68,2020-03-30,712,25.471426829007868,355.3823122398605,True,69,710.76459050543,710.7646244697349
69,2020-03-31,712,25.471426829007868,355.3823122398605,True,70,710.7646014137475,710.7646244697349
70,2020-04-01,712,25.471426829007868,355.3823122398605,True,71,710.7646088196701,710.7646244697349
71,2020-04-02,712,25.471426829007868,355.3823122398605,True,72,710.7646138477311,710.7646244697349
72,2020-04-03,712,25.471426829007868,355.3823122398605,True,73,710.7646172614043,710.7646244697349
73,2020-04-04,712,25.471426829007868,355.3823122398605,True,74,710.7646195790301,710.7646244697349
74,2020-04-05,712,25.471426829007868,355.3823122398605,True,75,710.7646211525226,710.7646244697349
75,2020-04-06,712,25.471426829007868,355.3823122398605,True,76,710.7646222208051,710.7646244697349
76,2020-04-07,712,25.471426829007868,355.3823122398605,True,77,710.764622946088,710.7646244697349
77,2020-04-08,712,25.471426829007868,355.3823122398605,True,78,710.7646234385002,710.7646244697349
78,2020-04-09,712,25.471426829007868,355.3823122398605,True,79,710.7646237728109,710.7646244697349
79,2020-04-10,712,25.471426829007868,355.3823122398605,True,80,710.7646239997825,710.7646244697349
