,Report_Date,Australia_western australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.33542504845263,295.36103391402486,True,1,0.006991116630840091,575.7571256600472
1,2020-01-23,0,68.33542504845263,295.36103391402486,True,2,0.008273972940505163,575.7571256600472
2,2020-01-24,0,68.33542504845263,295.36103391402486,True,3,0.009792226986640624,575.7571256600472
3,2020-01-25,0,68.33542504845263,295.36103391402486,True,4,0.01158907151670339,575.7571256600472
4,2020-01-26,0,68.33542504845263,295.36103391402486,True,5,0.013715624018637119,575.7571256600472
5,2020-01-27,0,68.33542504845263,295.36103391402486,True,6,0.016232380452683496,575.7571256600472
6,2020-01-28,0,68.33542504845263,295.36103391402486,True,7,0.0192109355583897,575.7571256600472
7,2020-01-29,0,68.33542504845263,295.36103391402486,True,8,0.022736018579216637,575.7571256600472
8,2020-01-30,0,68.33542504845263,295.36103391402486,True,9,0.02690790217999962,575.7571256600472
9,2020-01-31,0,68.33542504845263,295.36103391402486,True,10,0.031845252892623716,575.7571256600472
10,2020-02-01,0,68.33542504845263,295.36103391402486,True,11,0.03768850390648208,575.7571256600472
11,2020-02-02,0,68.33542504845263,295.36103391402486,True,12,0.04460384576842885,575.7571256600472
12,2020-02-03,0,68.33542504845263,295.36103391402486,True,13,0.05278794797864933,575.7571256600472
13,2020-02-04,0,68.33542504845263,295.36103391402486,True,14,0.06247354504165837,575.7571256600472
14,2020-02-05,0,68.33542504845263,295.36103391402486,True,15,0.07393604481540018,575.7571256600472
15,2020-02-06,0,68.33542504845263,295.36103391402486,True,16,0.08750134565147588,575.7571256600472
16,2020-02-07,0,68.33542504845263,295.36103391402486,True,17,0.10355508260119647,575.7571256600472
17,2020-02-08,0,68.33542504845263,295.36103391402486,True,18,0.12255356276688488,575.7571256600472
18,2020-02-09,0,68.33542504845263,295.36103391402486,True,19,0.14503669674062641,575.7571256600472
19,2020-02-10,0,68.33542504845263,295.36103391402486,True,20,0.17164328819041896,575.7571256600472
20,2020-02-11,0,68.33542504845263,295.36103391402486,True,21,0.20312910840386308,575.7571256600472
21,2020-02-12,0,68.33542504845263,295.36103391402486,True,22,0.24038825855779672,575.7571256600472
22,2020-02-13,0,68.33542504845263,295.36103391402486,True,23,0.2844784114371803,575.7571256600472
23,2020-02-14,0,68.33542504845263,295.36103391402486,True,24,0.3366506282886018,575.7571256600472
24,2020-02-15,0,68.33542504845263,295.36103391402486,True,25,0.3983845676943832,575.7571256600472
25,2020-02-16,0,68.33542504845263,295.36103391402486,True,26,0.47143004422714063,575.7571256600472
26,2020-02-17,0,68.33542504845263,295.36103391402486,True,27,0.5578560577867103,575.7571256600472
27,2020-02-18,0,68.33542504845263,295.36103391402486,True,28,0.6601086026046185,575.7571256600472
28,2020-02-19,0,68.33542504845263,295.36103391402486,True,29,0.7810787805376511,575.7571256600472
29,2020-02-20,0,68.33542504845263,295.36103391402486,True,30,0.9241829887892546,575.7571256600472
30,2020-02-21,0,68.33542504845263,295.36103391402486,True,31,1.0934572292967184,575.7571256600472
31,2020-02-22,0,68.33542504845263,295.36103391402486,True,32,1.293667896266241,575.7571256600472
32,2020-02-23,0,68.33542504845263,295.36103391402486,True,33,1.5304417384038662,575.7571256600472
33,2020-02-24,0,68.33542504845263,295.36103391402486,True,34,1.8104180589940868,575.7571256600472
34,2020-02-25,0,68.33542504845263,295.36103391402486,True,35,2.1414266013556533,575.7571256600472
35,2020-02-26,0,68.33542504845263,295.36103391402486,True,36,2.532694953994119,575.7571256600472
36,2020-02-27,0,68.33542504845263,295.36103391402486,True,37,2.9950896741033852,575.7571256600472
37,2020-02-28,0,68.33542504845263,295.36103391402486,True,38,3.541395631629653,575.7571256600472
38,2020-02-29,2,68.33542504845263,295.36103391402486,True,39,4.186638261904722,575.7571256600472
39,2020-03-01,2,68.33542504845263,295.36103391402486,True,40,4.948453400377044,575.7571256600472
40,2020-03-02,2,68.33542504845263,295.36103391402486,True,41,5.847509041526532,575.7571256600472
41,2020-03-03,2,68.33542504845263,295.36103391402486,True,42,6.907982554090586,575.7571256600472
42,2020-03-04,2,68.33542504845263,295.36103391402486,True,43,8.158095377306251,575.7571256600472
43,2020-03-05,3,68.33542504845263,295.36103391402486,True,44,9.630704727941572,575.7571256600472
44,2020-03-06,3,68.33542504845263,295.36103391402486,True,45,11.363947991109843,575.7571256600472
45,2020-03-07,3,68.33542504845263,295.36103391402486,True,46,13.401929781250756,575.7571256600472
46,2020-03-08,3,68.33542504845263,295.36103391402486,True,47,15.795433581993985,575.7571256600472
47,2020-03-09,4,68.33542504845263,295.36103391402486,True,48,18.602628770280308,575.7571256600472
48,2020-03-10,6,68.33542504845263,295.36103391402486,True,49,21.889729047310414,575.7571256600472
49,2020-03-11,9,68.33542504845263,295.36103391402486,True,50,25.73153927338887,575.7571256600472
50,2020-03-12,9,68.33542504845263,295.36103391402486,True,51,30.211804155703604,575.7571256600472
51,2020-03-13,14,68.33542504845263,295.36103391402486,True,52,35.423244478304035,575.7571256600472
52,2020-03-14,17,68.33542504845263,295.36103391402486,True,53,41.46713594172915,575.7571256600472
53,2020-03-15,17,68.33542504845263,295.36103391402486,True,54,48.45225517888905,575.7571256600472
54,2020-03-16,28,68.33542504845263,295.36103391402486,True,55,56.49299244303444,575.7571256600472
55,2020-03-17,31,68.33542504845263,295.36103391402486,True,56,65.70641910376982,575.7571256600472
56,2020-03-18,35,68.33542504845263,295.36103391402486,True,57,76.2081119914137,575.7571256600472
57,2020-03-19,52,68.33542504845263,295.36103391402486,True,58,88.10659009181727,575.7571256600472
