,Report_Date,Netherlands_sint maarten_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.75862356299714,94.11486051314313,False,1,0.0021582696728738187,165.60615305140522
1,2020-01-23,0,88.75862356299714,94.11486051314313,False,2,0.002456984202075581,165.60615305140522
2,2020-01-24,0,88.75862356299714,94.11486051314313,False,3,0.002797041592701884,165.60615305140522
3,2020-01-25,0,88.75862356299714,94.11486051314313,False,4,0.00318416362159641,165.60615305140522
4,2020-01-26,0,88.75862356299714,94.11486051314313,False,5,0.003624863895299289,165.60615305140522
5,2020-01-27,0,88.75862356299714,94.11486051314313,False,6,0.004126557414462915,165.60615305140522
6,2020-01-28,0,88.75862356299714,94.11486051314313,False,7,0.004697685293835523,165.60615305140522
7,2020-01-29,0,88.75862356299714,94.11486051314313,False,8,0.005347856732820849,165.60615305140522
8,2020-01-30,0,88.75862356299714,94.11486051314313,False,9,0.00608801062080966,165.60615305140522
9,2020-01-31,0,88.75862356299714,94.11486051314313,False,10,0.0069305994904624154,165.60615305140522
10,2020-02-01,0,88.75862356299714,94.11486051314313,False,11,0.007889798906342102,165.60615305140522
11,2020-02-02,0,88.75862356299714,94.11486051314313,False,12,0.008981745801925409,165.60615305140522
12,2020-02-03,0,88.75862356299714,94.11486051314313,False,13,0.01022480976206037,165.60615305140522
13,2020-02-04,0,88.75862356299714,94.11486051314313,False,14,0.011639901798326385,165.60615305140522
14,2020-02-05,0,88.75862356299714,94.11486051314313,False,15,0.01325082579048002,165.60615305140522
15,2020-02-06,0,88.75862356299714,94.11486051314313,False,16,0.015084678478416703,165.60615305140522
16,2020-02-07,0,88.75862356299714,94.11486051314313,False,17,0.017172304697360922,165.60615305140522
17,2020-02-08,0,88.75862356299714,94.11486051314313,False,18,0.019548815467329565,165.60615305140522
18,2020-02-09,0,88.75862356299714,94.11486051314313,False,19,0.022254177590989358,165.60615305140522
19,2020-02-10,0,88.75862356299714,94.11486051314313,False,20,0.025333884598417438,165.60615305140522
20,2020-02-11,0,88.75862356299714,94.11486051314313,False,21,0.02883972022163112,165.60615305140522
21,2020-02-12,0,88.75862356299714,94.11486051314313,False,22,0.03283062710705001,165.60615305140522
22,2020-02-13,0,88.75862356299714,94.11486051314313,False,23,0.03737369520382256,165.60615305140522
23,2020-02-14,0,88.75862356299714,94.11486051314313,False,24,0.04254528622653124,165.60615305140522
24,2020-02-15,0,88.75862356299714,94.11486051314313,False,25,0.04843231281159759,165.60615305140522
25,2020-02-16,0,88.75862356299714,94.11486051314313,False,26,0.055133693500477574,165.60615305140522
26,2020-02-17,0,88.75862356299714,94.11486051314313,False,27,0.06276200752577457,165.60615305140522
27,2020-02-18,0,88.75862356299714,94.11486051314313,False,28,0.07144537658878493,165.60615305140522
28,2020-02-19,0,88.75862356299714,94.11486051314313,False,29,0.08132960444275439,165.60615305140522
29,2020-02-20,0,88.75862356299714,94.11486051314313,False,30,0.0925806091833012,165.60615305140522
30,2020-02-21,0,88.75862356299714,94.11486051314313,False,31,0.10538718774806262,165.60615305140522
31,2020-02-22,0,88.75862356299714,94.11486051314313,False,32,0.11996415729738778,165.60615305140522
32,2020-02-23,0,88.75862356299714,94.11486051314313,False,33,0.1365559239458401,165.60615305140522
33,2020-02-24,0,88.75862356299714,94.11486051314313,False,34,0.1554405358018085,165.60615305140522
34,2020-02-25,0,88.75862356299714,94.11486051314313,False,35,0.17693428451219365,165.60615305140522
35,2020-02-26,0,88.75862356299714,94.11486051314313,False,36,0.20139692756262023,165.60615305140522
36,2020-02-27,0,88.75862356299714,94.11486051314313,False,37,0.22923761250894206,165.60615305140522
37,2020-02-28,0,88.75862356299714,94.11486051314313,False,38,0.26092159416333416,165.60615305140522
38,2020-02-29,0,88.75862356299714,94.11486051314313,False,39,0.29697784656532467,165.60615305140522
39,2020-03-01,0,88.75862356299714,94.11486051314313,False,40,0.33800768335151227,165.60615305140522
40,2020-03-02,0,88.75862356299714,94.11486051314313,False,41,0.3846945128839108,165.60615305140522
41,2020-03-03,0,88.75862356299714,94.11486051314313,False,42,0.43781486814875825,165.60615305140522
42,2020-03-04,0,88.75862356299714,94.11486051314313,False,43,0.49825086587737694,165.60615305140522
43,2020-03-05,0,88.75862356299714,94.11486051314313,False,44,0.5670042643671788,165.60615305140522
44,2020-03-06,0,88.75862356299714,94.11486051314313,False,45,0.6452123047808863,165.60615305140522
45,2020-03-07,0,88.75862356299714,94.11486051314313,False,46,0.7341655358128626,165.60615305140522
46,2020-03-08,0,88.75862356299714,94.11486051314313,False,47,0.8353278358741534,165.60615305140522
47,2020-03-09,0,88.75862356299714,94.11486051314313,False,48,0.9503588594479689,165.60615305140522
48,2020-03-10,0,88.75862356299714,94.11486051314313,False,49,1.0811391437613085,165.60615305140522
49,2020-03-11,0,88.75862356299714,94.11486051314313,False,50,1.2297981167431988,165.60615305140522
50,2020-03-12,0,88.75862356299714,94.11486051314313,False,51,1.3987452452034554,165.60615305140522
51,2020-03-13,0,88.75862356299714,94.11486051314313,False,52,1.590704550415897,165.60615305140522
52,2020-03-14,0,88.75862356299714,94.11486051314313,False,53,1.8087526931624855,165.60615305140522
53,2020-03-15,0,88.75862356299714,94.11486051314313,False,54,2.056360787140358,165.60615305140522
54,2020-03-16,0,88.75862356299714,94.11486051314313,False,55,2.3374400326285563,165.60615305140522
55,2020-03-17,0,88.75862356299714,94.11486051314313,False,56,2.656391164262923,165.60615305140522
56,2020-03-18,0,88.75862356299714,94.11486051314313,False,57,3.018157568931938,165.60615305140522
57,2020-03-19,0,88.75862356299714,94.11486051314313,False,58,3.428281741748036,165.60615305140522
58,2020-03-20,1,88.75862356299714,94.11486051314313,False,59,3.892964497590476,165.60615305140522
59,2020-03-21,1,88.75862356299714,94.11486051314313,False,60,4.419126029046683,165.60615305140522
60,2020-03-22,1,88.75862356299714,94.11486051314313,False,61,5.014467483622618,165.60615305140522
61,2020-03-23,2,88.75862356299714,94.11486051314313,False,62,5.6875312082696405,165.60615305140522
62,2020-03-24,2,88.75862356299714,94.11486051314313,False,63,6.44775716283946,165.60615305140522
63,2020-03-25,3,88.75862356299714,94.11486051314313,False,64,7.3055322242514515,165.60615305140522
64,2020-03-26,3,88.75862356299714,94.11486051314313,False,65,8.272228184313134,165.60615305140522
65,2020-03-27,3,88.75862356299714,94.11486051314313,False,66,9.36022319132086,165.60615305140522
