,Report_Date,Ecuador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.1655874148593,6039.338566728697,True,1,0.13943932154742428,10951.794490992814
1,2020-01-23,0,80.1655874148593,6039.338566728697,True,2,0.160973871348561,10951.794490992814
2,2020-01-24,0,80.1655874148593,6039.338566728697,True,3,0.18583409496378264,10951.794490992814
3,2020-01-25,0,80.1655874148593,6039.338566728697,True,4,0.21453357358242275,10951.794490992814
4,2020-01-26,0,80.1655874148593,6039.338566728697,True,5,0.24766519466815778,10951.794490992814
5,2020-01-27,0,80.1655874148593,6039.338566728697,True,6,0.2859133964051482,10951.794490992814
6,2020-01-28,0,80.1655874148593,6039.338566728697,True,7,0.33006830199124226,10951.794490992814
7,2020-01-29,0,80.1655874148593,6039.338566728697,True,8,0.38104203525463326,10951.794490992814
8,2020-01-30,0,80.1655874148593,6039.338566728697,True,9,0.43988755395613494,10951.794490992814
9,2020-01-31,0,80.1655874148593,6039.338566728697,True,10,0.5078203889140523,10951.794490992814
10,2020-02-01,0,80.1655874148593,6039.338566728697,True,11,0.5862437368020971,10951.794490992814
11,2020-02-02,0,80.1655874148593,6039.338566728697,True,12,0.6767774233298837,10951.794490992814
12,2020-02-03,0,80.1655874148593,6039.338566728697,True,13,0.7812913329072754,10951.794490992814
13,2020-02-04,0,80.1655874148593,6039.338566728697,True,14,0.9019439924110033,10951.794490992814
14,2020-02-05,0,80.1655874148593,6039.338566728697,True,15,1.0412271021421151,10951.794490992814
15,2020-02-06,0,80.1655874148593,6039.338566728697,True,16,1.202016928580693,10951.794490992814
16,2020-02-07,0,80.1655874148593,6039.338566728697,True,17,1.3876336135083092,10951.794490992814
17,2020-02-08,0,80.1655874148593,6039.338566728697,True,18,1.6019096152210923,10951.794490992814
18,2020-02-09,0,80.1655874148593,6039.338566728697,True,19,1.8492686830274319,10951.794490992814
19,2020-02-10,0,80.1655874148593,6039.338566728697,True,20,2.134816979581037,10951.794490992814
20,2020-02-11,0,80.1655874148593,6039.338566728697,True,21,2.4644482108974084,10951.794490992814
21,2020-02-12,0,80.1655874148593,6039.338566728697,True,22,2.8449649057376574,10951.794490992814
22,2020-02-13,0,80.1655874148593,6039.338566728697,True,23,3.2842183096155058,10951.794490992814
23,2020-02-14,0,80.1655874148593,6039.338566728697,True,24,3.791269729843828,10951.794490992814
24,2020-02-15,0,80.1655874148593,6039.338566728697,True,25,4.376576593347167,10951.794490992814
25,2020-02-16,0,80.1655874148593,6039.338566728697,True,26,5.052206965740129,10951.794490992814
26,2020-02-17,0,80.1655874148593,6039.338566728697,True,27,5.832086836506683,10951.794490992814
27,2020-02-18,0,80.1655874148593,6039.338566728697,True,28,6.732285109902333,10951.794490992814
28,2020-02-19,0,80.1655874148593,6039.338566728697,True,29,7.771341964095244,10951.794490992814
29,2020-02-20,0,80.1655874148593,6039.338566728697,True,30,8.970647062404286,10951.794490992814
30,2020-02-21,0,80.1655874148593,6039.338566728697,True,31,10.354875031151847,10951.794490992814
31,2020-02-22,0,80.1655874148593,6039.338566728697,True,32,11.952486669765007,10951.794490992814
32,2020-02-23,0,80.1655874148593,6039.338566728697,True,33,13.796305541322768,10951.794490992814
33,2020-02-24,0,80.1655874148593,6039.338566728697,True,34,15.924180915988616,10951.794490992814
34,2020-02-25,0,80.1655874148593,6039.338566728697,True,35,18.379749514255035,10951.794490992814
35,2020-02-26,0,80.1655874148593,6039.338566728697,True,36,21.213310127288143,10951.794490992814
36,2020-02-27,0,80.1655874148593,6039.338566728697,True,37,24.482826978802535,10951.794490992814
37,2020-02-28,0,80.1655874148593,6039.338566728697,True,38,28.25507963055063,10951.794490992814
38,2020-02-29,0,80.1655874148593,6039.338566728697,True,39,32.606979304895816,10951.794490992814
39,2020-03-01,6,80.1655874148593,6039.338566728697,True,40,37.62707367127776,10951.794490992814
40,2020-03-02,6,80.1655874148593,6039.338566728697,True,41,43.41726436593734,10951.794490992814
41,2020-03-03,7,80.1655874148593,6039.338566728697,True,42,50.09476370450235,10951.794490992814
42,2020-03-04,10,80.1655874148593,6039.338566728697,True,43,57.79431908436125,10951.794490992814
43,2020-03-05,13,80.1655874148593,6039.338566728697,True,44,66.6707352853959,10951.794490992814
44,2020-03-06,13,80.1655874148593,6039.338566728697,True,45,76.90172602189556,10951.794490992814
45,2020-03-07,13,80.1655874148593,6039.338566728697,True,46,88.6911263437505,10951.794490992814
46,2020-03-08,14,80.1655874148593,6039.338566728697,True,47,102.27249638412322,10951.794490992814
47,2020-03-09,15,80.1655874148593,6039.338566728697,True,48,117.91314390993726,10951.794490992814
48,2020-03-10,15,80.1655874148593,6039.338566728697,True,49,135.9185873742859,10951.794490992814
49,2020-03-11,17,80.1655874148593,6039.338566728697,True,50,156.63747169682932,10951.794490992814
50,2020-03-12,17,80.1655874148593,6039.338566728697,True,51,180.4669345446774,10951.794490992814
51,2020-03-13,17,80.1655874148593,6039.338566728697,True,52,207.85839988227025,10951.794490992814
