,Report_Date,Colombia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,244.5506709472137,756087.1980642977,True,1,2107.364657682947,1415560.7885547327
1,2020-01-23,0,244.5506709472137,756087.1980642977,True,2,2164.9436269454127,1415560.7885547327
2,2020-01-24,0,244.5506709472137,756087.1980642977,True,3,2224.0934941126616,1415560.7885547327
3,2020-01-25,0,244.5506709472137,756087.1980642977,True,4,2284.856988861829,1415560.7885547327
4,2020-01-26,0,244.5506709472137,756087.1980642977,True,5,2347.2779960438584,1415560.7885547327
5,2020-01-27,0,244.5506709472137,756087.1980642977,True,6,2411.4015865191204,1415560.7885547327
6,2020-01-28,0,244.5506709472137,756087.1980642977,True,7,2477.274048794261,1415560.7885547327
7,2020-01-29,0,244.5506709472137,756087.1980642977,True,8,2544.9429214798706,1415560.7885547327
8,2020-01-30,0,244.5506709472137,756087.1980642977,True,9,2614.4570265889697,1415560.7885547327
9,2020-01-31,0,244.5506709472137,756087.1980642977,True,10,2685.8665036967495,1415560.7885547327
10,2020-02-01,0,244.5506709472137,756087.1980642977,True,11,2759.222844982372,1415560.7885547327
11,2020-02-02,0,244.5506709472137,756087.1980642977,True,12,2834.5789311741173,1415560.7885547327
12,2020-02-03,0,244.5506709472137,756087.1980642977,True,13,2911.9890684195375,1415560.7885547327
13,2020-02-04,0,244.5506709472137,756087.1980642977,True,14,2991.509026102732,1415560.7885547327
14,2020-02-05,0,244.5506709472137,756087.1980642977,True,15,3073.1960756312997,1415560.7885547327
15,2020-02-06,0,244.5506709472137,756087.1980642977,True,16,3157.1090302159214,1415560.7885547327
16,2020-02-07,0,244.5506709472137,756087.1980642977,True,17,3243.3082856659994,1415560.7885547327
17,2020-02-08,0,244.5506709472137,756087.1980642977,True,18,3331.855862225199,1415560.7885547327
18,2020-02-09,0,244.5506709472137,756087.1980642977,True,19,3422.8154474711755,1415560.7885547327
19,2020-02-10,0,244.5506709472137,756087.1980642977,True,20,3516.2524403042153,1415560.7885547327
20,2020-02-11,0,244.5506709472137,756087.1980642977,True,21,3612.2339960499617,1415560.7885547327
21,2020-02-12,0,244.5506709472137,756087.1980642977,True,22,3710.829072701817,1415560.7885547327
22,2020-02-13,0,244.5506709472137,756087.1980642977,True,23,3812.108478329076,1415560.7885547327
23,2020-02-14,0,244.5506709472137,756087.1980642977,True,24,3916.1449196772583,1415560.7885547327
24,2020-02-15,0,244.5506709472137,756087.1980642977,True,25,4023.0130519875497,1415560.7885547327
25,2020-02-16,0,244.5506709472137,756087.1980642977,True,26,4132.78953006269,1415560.7885547327
26,2020-02-17,0,244.5506709472137,756087.1980642977,True,27,4245.553060607076,1415560.7885547327
27,2020-02-18,0,244.5506709472137,756087.1980642977,True,28,4361.384455869243,1415560.7885547327
28,2020-02-19,0,244.5506709472137,756087.1980642977,True,29,4480.366688615332,1415560.7885547327
29,2020-02-20,0,244.5506709472137,756087.1980642977,True,30,4602.584948462538,1415560.7885547327
30,2020-02-21,0,244.5506709472137,756087.1980642977,True,31,4728.126699601916,1415560.7885547327
