,Report_Date,UAE_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.96813155653884,7756.490011728735,False,1,0.17628483113020588,15512.98002345747
1,2020-01-23,0,90.96813155653884,7756.490011728735,False,2,0.20006556897395067,15512.98002345747
2,2020-01-24,0,90.96813155653884,7756.490011728735,False,3,0.22705426981395502,15512.98002345747
3,2020-01-25,0,90.96813155653884,7756.490011728735,False,4,0.2576836664390448,15512.98002345747
4,2020-01-26,0,90.96813155653884,7756.490011728735,False,5,0.2924448605074896,15512.98002345747
5,2020-01-27,0,90.96813155653884,7756.490011728735,False,6,0.3318951944708899,15512.98002345747
6,2020-01-28,0,90.96813155653884,7756.490011728735,False,7,0.3766671848229146,15512.98002345747
7,2020-01-29,4,90.96813155653884,7756.490011728735,False,8,0.42747865967199766,15512.98002345747
8,2020-01-30,4,90.96813155653884,7756.490011728735,False,9,0.4851442628774858,15512.98002345747
9,2020-01-31,4,90.96813155653884,7756.490011728735,False,10,0.5505885088101694,15512.98002345747
10,2020-02-01,4,90.96813155653884,7756.490011728735,False,11,0.6248605965446289,15512.98002345747
11,2020-02-02,5,90.96813155653884,7756.490011728735,False,12,0.7091512203516147,15512.98002345747
12,2020-02-03,5,90.96813155653884,7756.490011728735,False,13,0.8048116451739354,15512.98002345747
13,2020-02-04,5,90.96813155653884,7756.490011728735,False,14,0.9133753518366061,15512.98002345747
14,2020-02-05,5,90.96813155653884,7756.490011728735,False,15,1.0365825976234733,15512.98002345747
15,2020-02-06,5,90.96813155653884,7756.490011728735,False,16,1.1764082841828138,15512.98002345747
16,2020-02-07,5,90.96813155653884,7756.490011728735,False,17,1.3350935772195596,15512.98002345747
17,2020-02-08,7,90.96813155653884,7756.490011728735,False,18,1.5151817818989846,15512.98002345747
18,2020-02-09,7,90.96813155653884,7756.490011728735,False,19,1.7195590452349279,15512.98002345747
19,2020-02-10,8,90.96813155653884,7756.490011728735,False,20,1.951500532987504,15512.98002345747
20,2020-02-11,8,90.96813155653884,7756.490011728735,False,21,2.21472281489966,15512.98002345747
21,2020-02-12,8,90.96813155653884,7756.490011728735,False,22,2.5134432897478094,15512.98002345747
22,2020-02-13,8,90.96813155653884,7756.490011728735,False,23,2.85244759211257,15512.98002345747
23,2020-02-14,8,90.96813155653884,7756.490011728735,False,24,3.237166047604789,15512.98002345747
24,2020-02-15,8,90.96813155653884,7756.490011728735,False,25,3.6737603843088804,15512.98002345747
25,2020-02-16,9,90.96813155653884,7756.490011728735,False,26,4.169222067430819,15512.98002345747
26,2020-02-17,9,90.96813155653884,7756.490011728735,False,27,4.731483803780399,15512.98002345747
27,2020-02-18,9,90.96813155653884,7756.490011728735,False,28,5.369545965226189,15512.98002345747
28,2020-02-19,9,90.96813155653884,7756.490011728735,False,29,6.093619908330606,15512.98002345747
29,2020-02-20,9,90.96813155653884,7756.490011728735,False,30,6.9152904239467645,15512.98002345747
30,2020-02-21,9,90.96813155653884,7756.490011728735,False,31,7.847699838837696,15512.98002345747
31,2020-02-22,13,90.96813155653884,7756.490011728735,False,32,8.905756614809277,15512.98002345747
32,2020-02-23,13,90.96813155653884,7756.490011728735,False,33,10.106371653107992,15512.98002345747
33,2020-02-24,13,90.96813155653884,7756.490011728735,False,34,11.468725916794398,15512.98002345747
34,2020-02-25,13,90.96813155653884,7756.490011728735,False,35,13.01457343547068,15512.98002345747
35,2020-02-26,13,90.96813155653884,7756.490011728735,False,36,14.768584259170009,15512.98002345747
36,2020-02-27,13,90.96813155653884,7756.490011728735,False,37,16.758732485376527,15512.98002345747
37,2020-02-28,19,90.96813155653884,7756.490011728735,False,38,19.016735098737946,15512.98002345747
38,2020-02-29,21,90.96813155653884,7756.490011728735,False,39,21.578548040230064,15512.98002345747
39,2020-03-01,21,90.96813155653884,7756.490011728735,False,40,24.484926663627085,15512.98002345747
40,2020-03-02,21,90.96813155653884,7756.490011728735,False,41,27.782058543064682,15512.98002345747
41,2020-03-03,27,90.96813155653884,7756.490011728735,False,42,31.52227746521523,15512.98002345747
42,2020-03-04,27,90.96813155653884,7756.490011728735,False,43,35.764868369281736,15512.98002345747
43,2020-03-05,29,90.96813155653884,7756.490011728735,False,44,40.57697397992694,15512.98002345747
44,2020-03-06,29,90.96813155653884,7756.490011728735,False,45,46.034614899380806,15512.98002345747
45,2020-03-07,45,90.96813155653884,7756.490011728735,False,46,52.22383596523536,15512.98002345747
46,2020-03-08,45,90.96813155653884,7756.490011728735,False,47,59.241992710423766,15512.98002345747
47,2020-03-09,45,90.96813155653884,7756.490011728735,False,48,67.19919273995795,15512.98002345747
48,2020-03-10,74,90.96813155653884,7756.490011728735,False,49,76.21990770772697,15512.98002345747
49,2020-03-11,74,90.96813155653884,7756.490011728735,False,50,86.4447722583403,15512.98002345747
50,2020-03-12,85,90.96813155653884,7756.490011728735,False,51,98.03258669023364,15512.98002345747
51,2020-03-13,85,90.96813155653884,7756.490011728735,False,52,111.16254006133889,15512.98002345747
52,2020-03-14,85,90.96813155653884,7756.490011728735,False,53,126.03666982170526,15512.98002345747
53,2020-03-15,98,90.96813155653884,7756.490011728735,False,54,142.88257259339508,15512.98002345747
54,2020-03-16,98,90.96813155653884,7756.490011728735,False,55,161.95637814186688,15512.98002345747
55,2020-03-17,98,90.96813155653884,7756.490011728735,False,56,183.54599453878433,15512.98002345747
56,2020-03-18,113,90.96813155653884,7756.490011728735,False,57,207.97462656436372,15512.98002345747
