,Report_Date,Cuba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.43982394591957,1099.841962069632,False,1,0.02505480153819169,2199.683924139264
1,2020-01-23,0,88.43982394591957,1099.841962069632,False,2,0.028538155229283057,2199.683924139264
2,2020-01-24,0,88.43982394591957,1099.841962069632,False,3,0.032505790290968506,2199.683924139264
3,2020-01-25,0,88.43982394591957,1099.841962069632,False,4,0.03702503294191965,2199.683924139264
4,2020-01-26,0,88.43982394591957,1099.841962069632,False,5,0.042172568656570375,2199.683924139264
5,2020-01-27,0,88.43982394591957,1099.841962069632,False,6,0.04803574304013828,2199.683924139264
6,2020-01-28,0,88.43982394591957,1099.841962069632,False,7,0.05471404346074658,2199.683924139264
7,2020-01-29,0,88.43982394591957,1099.841962069632,False,8,0.062320786538269425,2199.683924139264
8,2020-01-30,0,88.43982394591957,1099.841962069632,False,9,0.07098504006986278,2199.683924139264
9,2020-01-31,0,88.43982394591957,1099.841962069632,False,10,0.08085381193359506,2199.683924139264
10,2020-02-01,0,88.43982394591957,1099.841962069632,False,11,0.09209454302022678,2199.683924139264
11,2020-02-02,0,88.43982394591957,1099.841962069632,False,12,0.10489794637401592,2199.683924139264
12,2020-02-03,0,88.43982394591957,1099.841962069632,False,13,0.11948124056157036,2199.683924139264
13,2020-02-04,0,88.43982394591957,1099.841962069632,False,14,0.13609183192977622,2199.683924139264
14,2020-02-05,0,88.43982394591957,1099.841962069632,False,15,0.1550115079691428,2199.683924139264
15,2020-02-06,0,88.43982394591957,1099.841962069632,False,16,0.1765612125914844,2199.683924139264
16,2020-02-07,0,88.43982394591957,1099.841962069632,False,17,0.2011064839010125,2199.683924139264
17,2020-02-08,0,88.43982394591957,1099.841962069632,False,18,0.22906364614429306,2199.683924139264
18,2020-02-09,0,88.43982394591957,1099.841962069632,False,19,0.26090686014634173,2199.683924139264
19,2020-02-10,0,88.43982394591957,1099.841962069632,False,20,0.29717615087955834,2199.683924139264
20,2020-02-11,0,88.43982394591957,1099.841962069632,False,21,0.3384865470970077,2199.683924139264
21,2020-02-12,0,88.43982394591957,1099.841962069632,False,22,0.38553848644789057,2199.683924139264
22,2020-02-13,0,88.43982394591957,1099.841962069632,False,23,0.4391296604684477,2199.683924139264
23,2020-02-14,0,88.43982394591957,1099.841962069632,False,24,0.5001684976280285,2199.683924139264
24,2020-02-15,0,88.43982394591957,1099.841962069632,False,25,0.5696895095673133,2199.683924139264
25,2020-02-16,0,88.43982394591957,1099.841962069632,False,26,0.6488707561942086,2199.683924139264
26,2020-02-17,0,88.43982394591957,1099.841962069632,False,27,0.7390537198469791,2199.683924139264
27,2020-02-18,0,88.43982394591957,1099.841962069632,False,28,0.8417659177843894,2199.683924139264
28,2020-02-19,0,88.43982394591957,1099.841962069632,False,29,0.9587466263578965,2199.683924139264
29,2020-02-20,0,88.43982394591957,1099.841962069632,False,30,1.0919761399493393,2199.683924139264
30,2020-02-21,0,88.43982394591957,1099.841962069632,False,31,1.2437090437556602,2199.683924139264
31,2020-02-22,0,88.43982394591957,1099.841962069632,False,32,1.4165120424520588,2199.683924139264
32,2020-02-23,0,88.43982394591957,1099.841962069632,False,33,1.6133069573880419,2199.683924139264
33,2020-02-24,0,88.43982394591957,1099.841962069632,False,34,1.8374195840173317,2199.683924139264
