,Report_Date,Qatar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,114.73515620959948,42697.638942964186,False,1,0.9440775640508033,85395.27788592839
1,2020-01-23,0,114.73515620959948,42697.638942964186,False,2,1.0437242931197446,85395.27788592839
2,2020-01-24,0,114.73515620959948,42697.638942964186,False,3,1.153888522890475,85395.27788592839
3,2020-01-25,0,114.73515620959948,42697.638942964186,False,4,1.2756803216488712,85395.27788592839
4,2020-01-26,0,114.73515620959948,42697.638942964186,False,5,1.4103269126788742,85395.27788592839
5,2020-01-27,0,114.73515620959948,42697.638942964186,False,6,1.559185037071248,85395.27788592839
6,2020-01-28,0,114.73515620959948,42697.638942964186,False,7,1.7237546207739531,85395.27788592839
7,2020-01-29,0,114.73515620959948,42697.638942964186,False,8,1.9056938834009194,85395.27788592839
8,2020-01-30,0,114.73515620959948,42697.638942964186,False,9,2.1068360407983664,85395.27788592839
9,2020-01-31,0,114.73515620959948,42697.638942964186,False,10,2.329207769371601,85395.27788592839
10,2020-02-01,0,114.73515620959948,42697.638942964186,False,11,2.575049617859329,85395.27788592839
11,2020-02-02,0,114.73515620959948,42697.638942964186,False,12,2.8468385717823947,85395.27788592839
12,2020-02-03,0,114.73515620959948,42697.638942964186,False,13,3.147312997382954,85395.27788592839
13,2020-02-04,0,114.73515620959948,42697.638942964186,False,14,3.4795002157217954,85395.27788592839
14,2020-02-05,0,114.73515620959948,42697.638942964186,False,15,3.8467469839510082,85395.27788592839
15,2020-02-06,0,114.73515620959948,42697.638942964186,False,16,4.252753189885785,85395.27788592839
16,2020-02-07,0,114.73515620959948,42697.638942964186,False,17,4.7016090981484835,85395.27788592839
17,2020-02-08,0,114.73515620959948,42697.638942964186,False,18,5.197836521664742,85395.27788592839
18,2020-02-09,0,114.73515620959948,42697.638942964186,False,19,5.746434331501846,85395.27788592839
19,2020-02-10,0,114.73515620959948,42697.638942964186,False,20,6.352928761334824,85395.27788592839
20,2020-02-11,0,114.73515620959948,42697.638942964186,False,21,7.02342901062518,85395.27788592839
21,2020-02-12,0,114.73515620959948,42697.638942964186,False,22,7.764688703361495,85395.27788592839
22,2020-02-13,0,114.73515620959948,42697.638942964186,False,23,8.584173817446612,85395.27788592839
23,2020-02-14,0,114.73515620959948,42697.638942964186,False,24,9.49013776407855,85395.27788592839
24,2020-02-15,0,114.73515620959948,42697.638942964186,False,25,10.491704367371154,85395.27788592839
25,2020-02-16,0,114.73515620959948,42697.638942964186,False,26,11.59895957266364,85395.27788592839
26,2020-02-17,0,114.73515620959948,42697.638942964186,False,27,12.823052798207382,85395.27788592839
27,2020-02-18,0,114.73515620959948,42697.638942964186,False,28,14.176308939992674,85395.27788592839
28,2020-02-19,0,114.73515620959948,42697.638942964186,False,29,15.67235214426167,85395.27788592839
29,2020-02-20,0,114.73515620959948,42697.638942964186,False,30,17.326242577698437,85395.27788592839
30,2020-02-21,0,114.73515620959948,42697.638942964186,False,31,19.154627552430703,85395.27788592839
31,2020-02-22,0,114.73515620959948,42697.638942964186,False,32,21.175908502946353,85395.27788592839
32,2020-02-23,0,114.73515620959948,42697.638942964186,False,33,23.410425466045158,85395.27788592839
33,2020-02-24,0,114.73515620959948,42697.638942964186,False,34,25.88066088433276,85395.27788592839
34,2020-02-25,0,114.73515620959948,42697.638942964186,False,35,28.611464739947824,85395.27788592839
35,2020-02-26,0,114.73515620959948,42697.638942964186,False,36,31.630303229727662,85395.27788592839
36,2020-02-27,0,114.73515620959948,42697.638942964186,False,37,34.96753341750532,85395.27788592839
37,2020-02-28,0,114.73515620959948,42697.638942964186,False,38,38.656706545446525,85395.27788592839
38,2020-02-29,1,114.73515620959948,42697.638942964186,False,39,42.73490295613514,85395.27788592839
39,2020-03-01,3,114.73515620959948,42697.638942964186,False,40,47.2431018724643,85395.27788592839
40,2020-03-02,3,114.73515620959948,42697.638942964186,False,41,52.22658960533789,85395.27788592839
41,2020-03-03,7,114.73515620959948,42697.638942964186,False,42,57.73541011186192,85395.27788592839
42,2020-03-04,8,114.73515620959948,42697.638942964186,False,43,63.82486221128925,85395.27788592839
43,2020-03-05,8,114.73515620959948,42697.638942964186,False,44,70.55604818467886,85395.27788592839
44,2020-03-06,8,114.73515620959948,42697.638942964186,False,45,77.99647893922354,85395.27788592839
45,2020-03-07,8,114.73515620959948,42697.638942964186,False,46,86.22074141159828,85395.27788592839
46,2020-03-08,15,114.73515620959948,42697.638942964186,False,47,95.3112344184397,85395.27788592839
47,2020-03-09,18,114.73515620959948,42697.638942964186,False,48,105.35897973790257,85395.27788592839
48,2020-03-10,24,114.73515620959948,42697.638942964186,False,49,116.46451582549271,85395.27788592839
49,2020-03-11,262,114.73515620959948,42697.638942964186,False,50,128.73888223088647,85395.27788592839
50,2020-03-12,262,114.73515620959948,42697.638942964186,False,51,142.30470349032245,85395.27788592839
51,2020-03-13,320,114.73515620959948,42697.638942964186,False,52,157.29738202056657,85395.27788592839
52,2020-03-14,337,114.73515620959948,42697.638942964186,False,53,173.86641033332342,85395.27788592839
53,2020-03-15,401,114.73515620959948,42697.638942964186,False,54,192.17681371959267,85395.27788592839
54,2020-03-16,439,114.73515620959948,42697.638942964186,False,55,212.41073541609384,85395.27788592839
55,2020-03-17,439,114.73515620959948,42697.638942964186,False,56,234.76917715211343,85395.27788592839
56,2020-03-18,452,114.73515620959948,42697.638942964186,False,57,259.47390887330357,85395.27788592839
57,2020-03-19,460,114.73515620959948,42697.638942964186,False,58,286.7695623333071,85395.27788592839
