,Report_Date,Holy See_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.53447757004822,4.468516314074169,True,1,0.00010625201828845923,8.78555158205213
1,2020-01-23,0,66.53447757004822,4.468516314074169,True,2,0.00012632381156247688,8.78555158205213
2,2020-01-24,0,66.53447757004822,4.468516314074169,True,3,0.00015018725153910829,8.78555158205213
3,2020-01-25,0,66.53447757004822,4.468516314074169,True,4,0.00017855856998014703,8.78555158205213
4,2020-01-26,0,66.53447757004822,4.468516314074169,True,5,0.00021228928198657987,8.78555158205213
5,2020-01-27,0,66.53447757004822,4.468516314074169,True,6,0.00025239173409102194,8.78555158205213
6,2020-01-28,0,66.53447757004822,4.468516314074169,True,7,0.00030006947521321505,8.78555158205213
7,2020-01-29,0,66.53447757004822,4.468516314074169,True,8,0.0003567533601483745,8.78555158205213
8,2020-01-30,0,66.53447757004822,4.468516314074169,True,9,0.00042414446651794206,8.78555158205213
9,2020-01-31,0,66.53447757004822,4.468516314074169,True,10,0.0005042651094825943,8.78555158205213
10,2020-02-01,0,66.53447757004822,4.468516314074169,True,11,0.0005995194799640901,8.78555158205213
11,2020-02-02,0,66.53447757004822,4.468516314074169,True,12,0.0007127657186974,8.78555158205213
12,2020-02-03,0,66.53447757004822,4.468516314074169,True,13,0.0008474015784629477,8.78555158205213
13,2020-02-04,0,66.53447757004822,4.468516314074169,True,14,0.0010074662301465369,8.78555158205213
14,2020-02-05,0,66.53447757004822,4.468516314074169,True,15,0.0011977612463952726,8.78555158205213
15,2020-02-06,0,66.53447757004822,4.468516314074169,True,16,0.0014239943631536491,8.78555158205213
16,2020-02-07,0,66.53447757004822,4.468516314074169,True,17,0.0016929502901788537,8.78555158205213
17,2020-02-08,0,66.53447757004822,4.468516314074169,True,18,0.0020126936353296117,8.78555158205213
18,2020-02-09,0,66.53447757004822,4.468516314074169,True,19,0.0023928099456282516,8.78555158205213
19,2020-02-10,0,66.53447757004822,4.468516314074169,True,20,0.002844691975876189,8.78555158205213
20,2020-02-11,0,66.53447757004822,4.468516314074169,True,21,0.003381879601841408,8.78555158205213
21,2020-02-12,0,66.53447757004822,4.468516314074169,True,22,0.004020463332779247,8.78555158205213
22,2020-02-13,0,66.53447757004822,4.468516314074169,True,23,0.004779563184765321,8.78555158205213
23,2020-02-14,0,66.53447757004822,4.468516314074169,True,24,0.005681896794001408,8.78555158205213
24,2020-02-15,0,66.53447757004822,4.468516314074169,True,25,0.006754453124227798,8.78555158205213
25,2020-02-16,0,66.53447757004822,4.468516314074169,True,26,0.008029291004668766,8.78555158205213
26,2020-02-17,0,66.53447757004822,4.468516314074169,True,27,0.009544485076955352,8.78555158205213
27,2020-02-18,0,66.53447757004822,4.468516314074169,True,28,0.011345245583612553,8.78555158205213
28,2020-02-19,0,66.53447757004822,4.468516314074169,True,29,0.0134852428454297,8.78555158205213
29,2020-02-20,0,66.53447757004822,4.468516314074169,True,30,0.016028172288693705,8.78555158205213
30,2020-02-21,0,66.53447757004822,4.468516314074169,True,31,0.019049601514643442,8.78555158205213
31,2020-02-22,0,66.53447757004822,4.468516314074169,True,32,0.02263914713783014,8.78555158205213
32,2020-02-23,0,66.53447757004822,4.468516314074169,True,33,0.026903035888605525,8.78555158205213
33,2020-02-24,0,66.53447757004822,4.468516314074169,True,34,0.031967111625751755,8.78555158205213
34,2020-02-25,0,66.53447757004822,4.468516314074169,True,35,0.03798035716188992,8.78555158205213
35,2020-02-26,0,66.53447757004822,4.468516314074169,True,36,0.04511900670852164,8.78555158205213
36,2020-02-27,0,66.53447757004822,4.468516314074169,True,37,0.05359133058092027,8.78555158205213
37,2020-02-28,0,66.53447757004822,4.468516314074169,True,38,0.06364317748156909,8.78555158205213
38,2020-02-29,0,66.53447757004822,4.468516314074169,True,39,0.0755643596162017,8.78555158205213
39,2020-03-01,0,66.53447757004822,4.468516314074169,True,40,0.08969595981851748,8.78555158205213
40,2020-03-02,0,66.53447757004822,4.468516314074169,True,41,0.10643862459586476,8.78555158205213
41,2020-03-03,0,66.53447757004822,4.468516314074169,True,42,0.1262618782238846,8.78555158205213
42,2020-03-04,0,66.53447757004822,4.468516314074169,True,43,0.14971444493157565,8.78555158205213
43,2020-03-05,0,66.53447757004822,4.468516314074169,True,44,0.17743549132873912,8.78555158205213
44,2020-03-06,1,66.53447757004822,4.468516314074169,True,45,0.21016659013148797,8.78555158205213
45,2020-03-07,1,66.53447757004822,4.468516314074169,True,46,0.24876404767015844,8.78555158205213
46,2020-03-08,1,66.53447757004822,4.468516314074169,True,47,0.2942110189688508,8.78555158205213
47,2020-03-09,1,66.53447757004822,4.468516314074169,True,48,0.34762854260952714,8.78555158205213
48,2020-03-10,1,66.53447757004822,4.468516314074169,True,49,0.4102842528154009,8.78555158205213
49,2020-03-11,1,66.53447757004822,4.468516314074169,True,50,0.48359706476684394,8.78555158205213
50,2020-03-12,1,66.53447757004822,4.468516314074169,True,51,0.5691355915568099,8.78555158205213
51,2020-03-13,1,66.53447757004822,4.468516314074169,True,52,0.6686074718704136,8.78555158205213
52,2020-03-14,1,66.53447757004822,4.468516314074169,True,53,0.7838362379887203,8.78555158205213
53,2020-03-15,1,66.53447757004822,4.468516314074169,True,54,0.91672195719357,8.78555158205213
54,2020-03-16,1,66.53447757004822,4.468516314074169,True,55,1.0691818225568004,8.78555158205213
55,2020-03-17,1,66.53447757004822,4.468516314074169,True,56,1.243067402431773,8.78555158205213
