,Report_Date,Iran_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,99.44223653864412,94426.22749284304,True,1,1979.6425623061984,174179.57740415478
1,2020-01-23,0,99.44223653864412,94426.22749284304,True,2,2072.2097641103865,174179.57740415478
2,2020-01-24,0,99.44223653864412,94426.22749284304,True,3,2169.05512664726,174179.57740415478
3,2020-01-25,0,99.44223653864412,94426.22749284304,True,4,2270.371570958186,174179.57740415478
4,2020-01-26,0,99.44223653864412,94426.22749284304,True,5,2376.360259234324,174179.57740415478
5,2020-01-27,0,99.44223653864412,94426.22749284304,True,6,2487.23090284596,174179.57740415478
6,2020-01-28,0,99.44223653864412,94426.22749284304,True,7,2603.2020775501815,174179.57740415478
7,2020-01-29,0,99.44223653864412,94426.22749284304,True,8,2724.5015455745993,174179.57740415478
8,2020-01-30,0,99.44223653864412,94426.22749284304,True,9,2851.3665842086093,174179.57740415478
9,2020-01-31,0,99.44223653864412,94426.22749284304,True,10,2984.044320460817,174179.57740415478
10,2020-02-01,0,99.44223653864412,94426.22749284304,True,11,3122.7920712610794,174179.57740415478
11,2020-02-02,0,99.44223653864412,94426.22749284304,True,12,3267.8776885977145,174179.57740415478
12,2020-02-03,0,99.44223653864412,94426.22749284304,True,13,3419.579908884321,174179.57740415478
13,2020-02-04,0,99.44223653864412,94426.22749284304,True,14,3578.188705745717,174179.57740415478
14,2020-02-05,0,99.44223653864412,94426.22749284304,True,15,3744.0056452983026,174179.57740415478
15,2020-02-06,0,99.44223653864412,94426.22749284304,True,16,3917.344242876091,174179.57740415478
16,2020-02-07,0,99.44223653864412,94426.22749284304,True,17,4098.530320019228,174179.57740415478
17,2020-02-08,0,99.44223653864412,94426.22749284304,True,18,4287.90236039655,174179.57740415478
18,2020-02-09,0,99.44223653864412,94426.22749284304,True,19,4485.811863177017,174179.57740415478
19,2020-02-10,0,99.44223653864412,94426.22749284304,True,20,4692.623692196374,174179.57740415478
20,2020-02-11,0,99.44223653864412,94426.22749284304,True,21,4908.716419084605,174179.57740415478
21,2020-02-12,0,99.44223653864412,94426.22749284304,True,22,5134.482658326313,174179.57740415478
22,2020-02-13,0,99.44223653864412,94426.22749284304,True,23,5370.329392019826,174179.57740415478
23,2020-02-14,0,99.44223653864412,94426.22749284304,True,24,5616.678281881309,174179.57740415478
24,2020-02-15,0,99.44223653864412,94426.22749284304,True,25,5873.9659658073615,174179.57740415478
25,2020-02-16,0,99.44223653864412,94426.22749284304,True,26,6142.644336063627,174179.57740415478
26,2020-02-17,0,99.44223653864412,94426.22749284304,True,27,6423.180795907706,174179.57740415478
27,2020-02-18,0,99.44223653864412,94426.22749284304,True,28,6716.058491182958,174179.57740415478
28,2020-02-19,2,99.44223653864412,94426.22749284304,True,29,7021.77651313562,174179.57740415478
29,2020-02-20,5,99.44223653864412,94426.22749284304,True,30,7340.850068412229,174179.57740415478
30,2020-02-21,18,99.44223653864412,94426.22749284304,True,31,7673.810611888627,174179.57740415478
31,2020-02-22,28,99.44223653864412,94426.22749284304,True,32,8021.205937666843,174179.57740415478
32,2020-02-23,43,99.44223653864412,94426.22749284304,True,33,8383.600223254341,174179.57740415478
33,2020-02-24,61,99.44223653864412,94426.22749284304,True,34,8761.574021612638,174179.57740415478
34,2020-02-25,95,99.44223653864412,94426.22749284304,True,35,9155.724195432644,174179.57740415478
35,2020-02-26,139,99.44223653864412,94426.22749284304,True,36,9566.663787664571,174179.57740415478
36,2020-02-27,245,99.44223653864412,94426.22749284304,True,37,9995.02182200464,174179.57740415478
37,2020-02-28,388,99.44223653864412,94426.22749284304,True,38,10441.44302672356,174179.57740415478
38,2020-02-29,593,99.44223653864412,94426.22749284304,True,39,10906.587474916785,174179.57740415478
39,2020-03-01,978,99.44223653864412,94426.22749284304,True,40,11391.130133970279,174179.57740415478
40,2020-03-02,1501,99.44223653864412,94426.22749284304,True,41,11895.760316773012,174179.57740415478
41,2020-03-03,2336,99.44223653864412,94426.22749284304,True,42,12421.181026976139,174179.57740415478
42,2020-03-04,2922,99.44223653864412,94426.22749284304,True,43,12968.108190406174,174179.57740415478
43,2020-03-05,3513,99.44223653864412,94426.22749284304,True,44,13537.26976459349,174179.57740415478
44,2020-03-06,4747,99.44223653864412,94426.22749284304,True,45,14129.404718287607,174179.57740415478
45,2020-03-07,5823,99.44223653864412,94426.22749284304,True,46,14745.261872806672,174179.57740415478
46,2020-03-08,6566,99.44223653864412,94426.22749284304,True,47,15385.598597120488,174179.57740415478
47,2020-03-09,7161,99.44223653864412,94426.22749284304,True,48,16051.17934870637,174179.57740415478
48,2020-03-10,8042,99.44223653864412,94426.22749284304,True,49,16742.774052455934,174179.57740415478
49,2020-03-11,9000,99.44223653864412,94426.22749284304,True,50,17461.15631026141,174179.57740415478
50,2020-03-12,10075,99.44223653864412,94426.22749284304,True,51,18207.10143438474,174179.57740415478
51,2020-03-13,11364,99.44223653864412,94426.22749284304,True,52,18981.384298324247,174179.57740415478
52,2020-03-14,12729,99.44223653864412,94426.22749284304,True,53,19784.776999654317,174179.57740415478
