,Report_Date,Jordan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.2040826526249,205.7719908252832,True,1,0.004897056677136507,406.9589887384402
1,2020-01-23,0,66.2040826526249,205.7719908252832,True,2,0.005827176760832582,406.9589887384402
2,2020-01-24,0,66.2040826526249,205.7719908252832,True,3,0.006933955774740649,406.9589887384402
3,2020-01-25,0,66.2040826526249,205.7719908252832,True,4,0.008250945543639216,406.9589887384402
4,2020-01-26,0,66.2040826526249,205.7719908252832,True,5,0.009818069684394137,406.9589887384402
5,2020-01-27,0,66.2040826526249,205.7719908252832,True,6,0.01168283345216437,406.9589887384402
6,2020-01-28,0,66.2040826526249,205.7719908252832,True,7,0.013901763217479162,406.9589887384402
7,2020-01-29,0,66.2040826526249,205.7719908252832,True,8,0.01654211912145763,406.9589887384402
8,2020-01-30,0,66.2040826526249,205.7719908252832,True,9,0.019683932699340954,406.9589887384402
9,2020-01-31,0,66.2040826526249,205.7719908252832,True,10,0.023422431059254886,406.9589887384402
10,2020-02-01,0,66.2040826526249,205.7719908252832,True,11,0.027870920843952617,406.9589887384402
11,2020-02-02,0,66.2040826526249,205.7719908252832,True,12,0.033164219031533944,406.9589887384402
12,2020-02-03,0,66.2040826526249,205.7719908252832,True,13,0.03946273405245772,406.9589887384402
13,2020-02-04,0,66.2040826526249,205.7719908252832,True,14,0.046957320193201604,406.9589887384402
14,2020-02-05,0,66.2040826526249,205.7719908252832,True,15,0.05587505138546933,406.9589887384402
15,2020-02-06,0,66.2040826526249,205.7719908252832,True,16,0.06648608790663299,406.9589887384402
16,2020-02-07,0,66.2040826526249,205.7719908252832,True,17,0.07911184201922469,406.9589887384402
17,2020-02-08,0,66.2040826526249,205.7719908252832,True,18,0.09413468706317218,406.9589887384402
18,2020-02-09,0,66.2040826526249,205.7719908252832,True,19,0.11200950004206893,406.9589887384402
19,2020-02-10,0,66.2040826526249,205.7719908252832,True,20,0.1332773815404988,406.9589887384402
20,2020-02-11,0,66.2040826526249,205.7719908252832,True,21,0.15858196028679175,406.9589887384402
21,2020-02-12,0,66.2040826526249,205.7719908252832,True,22,0.18868876445183233,406.9589887384402
22,2020-02-13,0,66.2040826526249,205.7719908252832,True,23,0.22450822968285172,406.9589887384402
23,2020-02-14,0,66.2040826526249,205.7719908252832,True,24,0.26712301696432167,406.9589887384402
24,2020-02-15,0,66.2040826526249,205.7719908252832,True,25,0.3178204339378761,406.9589887384402
25,2020-02-16,0,66.2040826526249,205.7719908252832,True,26,0.378130893736544,406.9589887384402
26,2020-02-17,0,66.2040826526249,205.7719908252832,True,27,0.44987350823805533,406.9589887384402
27,2020-02-18,0,66.2040826526249,205.7719908252832,True,28,0.5352101004424511,406.9589887384402
28,2020-02-19,0,66.2040826526249,205.7719908252832,True,29,0.6367091357346948,406.9589887384402
29,2020-02-20,0,66.2040826526249,205.7719908252832,True,30,0.7574213158678363,406.9589887384402
30,2020-02-21,0,66.2040826526249,205.7719908252832,True,31,0.9009688533360389,406.9589887384402
31,2020-02-22,0,66.2040826526249,205.7719908252832,True,32,1.071650746394074,406.9589887384402
32,2020-02-23,0,66.2040826526249,205.7719908252832,True,33,1.2745667025213367,406.9589887384402
33,2020-02-24,0,66.2040826526249,205.7719908252832,True,34,1.5157627025286646,406.9589887384402
34,2020-02-25,0,66.2040826526249,205.7719908252832,True,35,1.8024015442553107,406.9589887384402
35,2020-02-26,0,66.2040826526249,205.7719908252832,True,36,2.142962030035536,406.9589887384402
36,2020-02-27,0,66.2040826526249,205.7719908252832,True,37,2.547470728589154,406.9589887384402
37,2020-02-28,0,66.2040826526249,205.7719908252832,True,38,3.027770393702157,406.9589887384402
38,2020-02-29,0,66.2040826526249,205.7719908252832,True,39,3.5978290771657653,406.9589887384402
39,2020-03-01,0,66.2040826526249,205.7719908252832,True,40,4.2740936152100435,406.9589887384402
40,2020-03-02,0,66.2040826526249,205.7719908252832,True,41,5.075890333371764,406.9589887384402
41,2020-03-03,1,66.2040826526249,205.7719908252832,True,42,6.025874282637443,406.9589887384402
42,2020-03-04,1,66.2040826526249,205.7719908252832,True,43,7.150525795081858,406.9589887384402
43,2020-03-05,1,66.2040826526249,205.7719908252832,True,44,8.48068924956116,406.9589887384402
44,2020-03-06,1,66.2040826526249,205.7719908252832,True,45,10.05214319352804,406.9589887384402
45,2020-03-07,1,66.2040826526249,205.7719908252832,True,46,11.906182813912151,406.9589887384402
46,2020-03-08,1,66.2040826526249,205.7719908252832,True,47,14.09018456848859,406.9589887384402
47,2020-03-09,1,66.2040826526249,205.7719908252832,True,48,16.658107974649123,406.9589887384402
48,2020-03-10,1,66.2040826526249,205.7719908252832,True,49,19.670870657304377,406.9589887384402
49,2020-03-11,1,66.2040826526249,205.7719908252832,True,50,23.196509733210696,406.9589887384402
50,2020-03-12,1,66.2040826526249,205.7719908252832,True,51,27.310016181579687,406.9589887384402
51,2020-03-13,1,66.2040826526249,205.7719908252832,True,52,32.09270105119379,406.9589887384402
52,2020-03-14,1,66.2040826526249,205.7719908252832,True,53,37.63092718311261,406.9589887384402
53,2020-03-15,8,66.2040826526249,205.7719908252832,True,54,44.01402425547955,406.9589887384402
54,2020-03-16,17,66.2040826526249,205.7719908252832,True,55,51.33120821292219,406.9589887384402
55,2020-03-17,34,66.2040826526249,205.7719908252832,True,56,59.66736135784189,406.9589887384402
56,2020-03-18,52,66.2040826526249,205.7719908252832,True,57,69.09761092825939,406.9589887384402
