,Report_Date,Panama_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.71537195801626,2681.9772724559666,True,1,0.06197310142534239,4955.676119347283
1,2020-01-23,0,79.71537195801626,2681.9772724559666,True,2,0.07160207543869107,4955.676119347283
2,2020-01-24,0,79.71537195801626,2681.9772724559666,True,3,0.08272711320299579,4955.676119347283
3,2020-01-25,0,79.71537195801626,2681.9772724559666,True,4,0.09558065197885449,4955.676119347283
4,2020-01-26,0,79.71537195801626,2681.9772724559666,True,5,0.11043123925859541,4955.676119347283
5,2020-01-27,0,79.71537195801626,2681.9772724559666,True,6,0.1275891417955949,4955.676119347283
6,2020-01-28,0,79.71537195801626,2681.9772724559666,True,7,0.14741282559810562,4955.676119347283
7,2020-01-29,0,79.71537195801626,2681.9772724559666,True,8,0.17031644203290672,4955.676119347283
8,2020-01-30,0,79.71537195801626,2681.9772724559666,True,9,0.19677847612167615,4955.676119347283
9,2020-01-31,0,79.71537195801626,2681.9772724559666,True,10,0.22735173728345215,4955.676119347283
10,2020-02-01,0,79.71537195801626,2681.9772724559666,True,11,0.2626749006754061,4955.676119347283
11,2020-02-02,0,79.71537195801626,2681.9772724559666,True,12,0.3034858394816184,4955.676119347283
12,2020-02-03,0,79.71537195801626,2681.9772724559666,True,13,0.3506370256514351,4955.676119347283
13,2020-02-04,0,79.71537195801626,2681.9772724559666,True,14,0.40511331944891577,4955.676119347283
14,2020-02-05,0,79.71537195801626,2681.9772724559666,True,15,0.46805251760821387,4955.676119347283
15,2020-02-06,0,79.71537195801626,2681.9772724559666,True,16,0.5407690868890402,4955.676119347283
16,2020-02-07,0,79.71537195801626,2681.9772724559666,True,17,0.6247815755288586,4955.676119347283
17,2020-02-08,0,79.71537195801626,2681.9772724559666,True,18,0.7218442707952394,4955.676119347283
18,2020-02-09,0,79.71537195801626,2681.9772724559666,True,19,0.833983758039023,4955.676119347283
19,2020-02-10,0,79.71537195801626,2681.9772724559666,True,20,0.9635411370309199,4955.676119347283
20,2020-02-11,0,79.71537195801626,2681.9772724559666,True,21,1.1132207668581184,4955.676119347283
21,2020-02-12,0,79.71537195801626,2681.9772724559666,True,22,1.286146543449594,4955.676119347283
22,2020-02-13,0,79.71537195801626,2681.9772724559666,True,23,1.4859268663611218,4955.676119347283
23,2020-02-14,0,79.71537195801626,2681.9772724559666,True,24,1.7167296265678513,4955.676119347283
24,2020-02-15,0,79.71537195801626,2681.9772724559666,True,25,1.983368747805168,4955.676119347283
25,2020-02-16,0,79.71537195801626,2681.9772724559666,True,26,2.291404043946783,4955.676119347283
26,2020-02-17,0,79.71537195801626,2681.9772724559666,True,27,2.647256417863502,4955.676119347283
27,2020-02-18,0,79.71537195801626,2681.9772724559666,True,28,3.0583407273914576,4955.676119347283
28,2020-02-19,0,79.71537195801626,2681.9772724559666,True,29,3.533218986037225,4955.676119347283
29,2020-02-20,0,79.71537195801626,2681.9772724559666,True,30,4.081776954757538,4955.676119347283
30,2020-02-21,0,79.71537195801626,2681.9772724559666,True,31,4.715427621707226,4955.676119347283
31,2020-02-22,0,79.71537195801626,2681.9772724559666,True,32,5.447345564486414,4955.676119347283
32,2020-02-23,0,79.71537195801626,2681.9772724559666,True,33,6.2927367492655035,4955.676119347283
33,2020-02-24,0,79.71537195801626,2681.9772724559666,True,34,7.2691489479329,4955.676119347283
34,2020-02-25,0,79.71537195801626,2681.9772724559666,True,35,8.39682865193216,4955.676119347283
35,2020-02-26,0,79.71537195801626,2681.9772724559666,True,36,9.699131132052289,4955.676119347283
36,2020-02-27,0,79.71537195801626,2681.9772724559666,True,37,11.202991137014331,4955.676119347283
37,2020-02-28,0,79.71537195801626,2681.9772724559666,True,38,12.939462636518819,4955.676119347283
38,2020-02-29,0,79.71537195801626,2681.9772724559666,True,39,14.944336987417149,4955.676119347283
39,2020-03-01,0,79.71537195801626,2681.9772724559666,True,40,17.2588499182042,4955.676119347283
40,2020-03-02,0,79.71537195801626,2681.9772724559666,True,41,19.930488759884245,4955.676119347283
41,2020-03-03,0,79.71537195801626,2681.9772724559666,True,42,23.013912358709806,4955.676119347283
42,2020-03-04,0,79.71537195801626,2681.9772724559666,True,43,26.57199702696299,4955.676119347283
43,2020-03-05,0,79.71537195801626,2681.9772724559666,True,44,30.677022634235563,4955.676119347283
44,2020-03-06,0,79.71537195801626,2681.9772724559666,True,45,35.41201339135952,4955.676119347283
45,2020-03-07,0,79.71537195801626,2681.9772724559666,True,46,40.87224786498845,4955.676119347283
46,2020-03-08,0,79.71537195801626,2681.9772724559666,True,47,47.1669520577305,4955.676119347283
47,2020-03-09,0,79.71537195801626,2681.9772724559666,True,48,54.42118769844587,4955.676119347283
48,2020-03-10,1,79.71537195801626,2681.9772724559666,True,49,62.777944820776874,4955.676119347283
49,2020-03-11,8,79.71537195801626,2681.9772724559666,True,50,72.40044276574555,4955.676119347283
50,2020-03-12,11,79.71537195801626,2681.9772724559666,True,51,83.47463629649491,4955.676119347283
51,2020-03-13,27,79.71537195801626,2681.9772724559666,True,52,96.21191278167291,4955.676119347283
52,2020-03-14,36,79.71537195801626,2681.9772724559666,True,53,110.85195145015952,4955.676119347283
53,2020-03-15,43,79.71537195801626,2681.9772724559666,True,54,127.66569544702399,4955.676119347283
54,2020-03-16,55,79.71537195801626,2681.9772724559666,True,55,146.95836059938935,4955.676119347283
55,2020-03-17,69,79.71537195801626,2681.9772724559666,True,56,169.0723701346354,4955.676119347283
56,2020-03-18,86,79.71537195801626,2681.9772724559666,True,57,194.39006084427078,4955.676119347283
57,2020-03-19,109,79.71537195801626,2681.9772724559666,True,58,223.33595239011828,4955.676119347283
58,2020-03-20,137,79.71537195801626,2681.9772724559666,True,59,256.3783072486091,4955.676119347283
59,2020-03-21,200,79.71537195801626,2681.9772724559666,True,60,294.0296349254556,4955.676119347283
60,2020-03-22,313,79.71537195801626,2681.9772724559666,True,61,336.84571305838136,4955.676119347283
61,2020-03-23,345,79.71537195801626,2681.9772724559666,True,62,385.42261500026603,4955.676119347283
62,2020-03-24,345,79.71537195801626,2681.9772724559666,True,63,440.391157210645,4955.676119347283
63,2020-03-25,443,79.71537195801626,2681.9772724559666,True,64,502.40812370284306,4955.676119347283
64,2020-03-26,558,79.71537195801626,2681.9772724559666,True,65,572.1436077548454,4955.676119347283
65,2020-03-27,674,79.71537195801626,2681.9772724559666,True,66,650.2638575113418,4955.676119347283
66,2020-03-28,786,79.71537195801626,2681.9772724559666,True,67,737.4091508148131,4955.676119347283
67,2020-03-29,901,79.71537195801626,2681.9772724559666,True,68,834.1664856937997,4955.676119347283
68,2020-03-30,989,79.71537195801626,2681.9772724559666,True,69,941.0372818536214,4955.676119347283
69,2020-03-31,1181,79.71537195801626,2681.9772724559666,True,70,1058.400857061058,4955.676119347283
70,2020-04-01,1181,79.71537195801626,2681.9772724559666,True,71,1186.4751570348426,4955.676119347283
71,2020-04-02,1317,79.71537195801626,2681.9772724559666,True,72,1325.2770273628742,4955.676119347283
72,2020-04-03,1475,79.71537195801626,2681.9772724559666,True,73,1474.5851234362965,4955.676119347283
73,2020-04-04,1673,79.71537195801626,2681.9772724559666,True,74,1633.9092146984053,4955.676119347283
74,2020-04-05,1801,79.71537195801626,2681.9772724559666,True,75,1802.4699749536335,4955.676119347283
75,2020-04-06,1988,79.71537195801626,2681.9772724559666,True,76,1979.1931827698809,4955.676119347283
76,2020-04-07,2100,79.71537195801626,2681.9772724559666,True,77,2162.721454955049,4955.676119347283
77,2020-04-08,2249,79.71537195801626,2681.9772724559666,True,78,2351.4451744391213,4955.676119347283
78,2020-04-09,2528,79.71537195801626,2681.9772724559666,True,79,2543.552269930928,4955.676119347283
79,2020-04-10,2752,79.71537195801626,2681.9772724559666,True,80,2737.0942314621984,4955.676119347283
80,2020-04-11,2974,79.71537195801626,2681.9772724559666,True,81,2930.063592113264,4955.676119347283
81,2020-04-12,3234,79.71537195801626,2681.9772724559666,True,82,3120.476490588368,4955.676119347283
82,2020-04-13,3400,79.71537195801626,2681.9772724559666,True,83,3306.453190474985,4955.676119347283
83,2020-04-14,3472,79.71537195801626,2681.9772724559666,True,84,3486.289730783884,4955.676119347283
84,2020-04-15,3574,79.71537195801626,2681.9772724559666,True,85,3658.5151532785103,4955.676119347283
85,2020-04-16,3751,79.71537195801626,2681.9772724559666,True,86,3821.930723333745,4955.676119347283
86,2020-04-17,4016,79.71537195801626,2681.9772724559666,True,87,3975.629834679158,4955.676119347283
