,Report_Date,Azerbaijan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,86.77739579142823,1643.589271158908,False,1,0.03753525460052001,3287.1785423178176
1,2020-01-23,0,86.77739579142823,1643.589271158908,False,2,0.04286050923648032,3287.1785423178176
2,2020-01-24,0,86.77739579142823,1643.589271158908,False,3,0.04894126466818001,3287.1785423178176
3,2020-01-25,0,86.77739579142823,1643.589271158908,False,4,0.05588470135718768,3287.1785423178176
4,2020-01-26,0,86.77739579142823,1643.589271158908,False,5,0.06381320407284172,3287.1785423178176
5,2020-01-27,0,86.77739579142823,1643.589271158908,False,6,0.07286651841539321,3287.1785423178176
6,2020-01-28,0,86.77739579142823,1643.589271158908,False,7,0.08320421311655515,3287.1785423178176
7,2020-01-29,0,86.77739579142823,1643.589271158908,False,8,0.09500849144505474,3287.1785423178176
8,2020-01-30,0,86.77739579142823,1643.589271158908,False,9,0.10848740117529652,3287.1785423178176
9,2020-01-31,0,86.77739579142823,1643.589271158908,False,10,0.12387849957247869,3287.1785423178176
10,2020-02-01,0,86.77739579142823,1643.589271158908,False,11,0.14145303782861596,3287.1785423178176
11,2020-02-02,0,86.77739579142823,1643.589271158908,False,12,0.16152073848878426,3287.1785423178176
12,2020-02-03,0,86.77739579142823,1643.589271158908,False,13,0.18443524979234538,3287.1785423178176
13,2020-02-04,0,86.77739579142823,1643.589271158908,False,14,0.2106003726982229,3287.1785423178176
14,2020-02-05,0,86.77739579142823,1643.589271158908,False,15,0.24047716986904413,3287.1785423178176
15,2020-02-06,0,86.77739579142823,1643.589271158908,False,16,0.27459208128608575,3287.1785423178176
16,2020-02-07,0,86.77739579142823,1643.589271158908,False,17,0.3135461887162962,3287.1785423178176
17,2020-02-08,0,86.77739579142823,1643.589271158908,False,18,0.3580257912497746,3287.1785423178176
18,2020-02-09,0,86.77739579142823,1643.589271158908,False,19,0.4088144769054897,3287.1785423178176
19,2020-02-10,0,86.77739579142823,1643.589271158908,False,20,0.4668069012428498,3287.1785423178176
20,2020-02-11,0,86.77739579142823,1643.589271158908,False,21,0.5330245134437169,3287.1785423178176
21,2020-02-12,0,86.77739579142823,1643.589271158908,False,22,0.6086335039243458,3287.1785423178176
22,2020-02-13,0,86.77739579142823,1643.589271158908,False,23,0.6949652857399019,3287.1785423178176
23,2020-02-14,0,86.77739579142823,1643.589271158908,False,24,0.79353986546168,3287.1785423178176
24,2020-02-15,0,86.77739579142823,1643.589271158908,False,25,0.906092508516383,3287.1785423178176
25,2020-02-16,0,86.77739579142823,1643.589271158908,False,26,1.034604159932681,3287.1785423178176
26,2020-02-17,0,86.77739579142823,1643.589271158908,False,27,1.1813361448802384,3287.1785423178176
27,2020-02-18,0,86.77739579142823,1643.589271158908,False,28,1.3488697452349885,3287.1785423178176
28,2020-02-19,0,86.77739579142823,1643.589271158908,False,29,1.5401513296761018,3287.1785423178176
29,2020-02-20,0,86.77739579142823,1643.589271158908,False,30,1.7585438066195196,3287.1785423178176
30,2020-02-21,0,86.77739579142823,1643.589271158908,False,31,2.0078852728120027,3287.1785423178176
31,2020-02-22,0,86.77739579142823,1643.589271158908,False,32,2.2925558469189635,3287.1785423178176
32,2020-02-23,0,86.77739579142823,1643.589271158908,False,33,2.6175538082729104,3287.1785423178176
33,2020-02-24,0,86.77739579142823,1643.589271158908,False,34,2.9885823074785405,3287.1785423178176
34,2020-02-25,0,86.77739579142823,1643.589271158908,False,35,3.4121480791655525,3287.1785423178176
35,2020-02-26,0,86.77739579142823,1643.589271158908,False,36,3.8956737691518115,3287.1785423178176
36,2020-02-27,0,86.77739579142823,1643.589271158908,False,37,4.447625689797565,3287.1785423178176
37,2020-02-28,0,86.77739579142823,1643.589271158908,False,38,5.077659039309525,3287.1785423178176
38,2020-02-29,0,86.77739579142823,1643.589271158908,False,39,5.796782863693481,3287.1785423178176
39,2020-03-01,3,86.77739579142823,1643.589271158908,False,40,6.617547303830812,3287.1785423178176
40,2020-03-02,3,86.77739579142823,1643.589271158908,False,41,7.554255953734195,3287.1785423178176
41,2020-03-03,3,86.77739579142823,1643.589271158908,False,42,8.623206457099496,3287.1785423178176
42,2020-03-04,3,86.77739579142823,1643.589271158908,False,43,9.842962783713824,3287.1785423178176
43,2020-03-05,6,86.77739579142823,1643.589271158908,False,44,11.234662948578508,3287.1785423178176
44,2020-03-06,6,86.77739579142823,1643.589271158908,False,45,12.822366254985209,3287.1785423178176
45,2020-03-07,9,86.77739579142823,1643.589271158908,False,46,14.633444444159124,3287.1785423178176
46,2020-03-08,9,86.77739579142823,1643.589271158908,False,47,16.69902139872365,3287.1785423178176
47,2020-03-09,9,86.77739579142823,1643.589271158908,False,48,19.054466248097096,3287.1785423178176
48,2020-03-10,11,86.77739579142823,1643.589271158908,False,49,21.739944824564322,3287.1785423178176
49,2020-03-11,11,86.77739579142823,1643.589271158908,False,50,24.8010343708297,3287.1785423178176
50,2020-03-12,11,86.77739579142823,1643.589271158908,False,51,28.289406140084658,3287.1785423178176
51,2020-03-13,15,86.77739579142823,1643.589271158908,False,52,32.26357997629326,3287.1785423178176
52,2020-03-14,15,86.77739579142823,1643.589271158908,False,53,36.78975401133569,3287.1785423178176
53,2020-03-15,23,86.77739579142823,1643.589271158908,False,54,41.942711135838636,3287.1785423178176
54,2020-03-16,28,86.77739579142823,1643.589271158908,False,55,47.80680172964494,3287.1785423178176
55,2020-03-17,28,86.77739579142823,1643.589271158908,False,56,54.47699907817904,3287.1785423178176
