,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,76.1698184170706,15.651475756527883,True,1,0.00036410197519244245,29.022822422228792
1,2020-01-23,0,76.1698184170706,15.651475756527883,True,2,0.0004235113059261049,29.022822422228792
2,2020-01-24,0,76.1698184170706,15.651475756527883,True,3,0.0004926141106721301,29.022822422228792
3,2020-01-25,0,76.1698184170706,15.651475756527883,True,4,0.0005729919632081,29.022822422228792
4,2020-01-26,0,76.1698184170706,15.651475756527883,True,5,0.0006664844656917687,29.022822422228792
5,2020-01-27,0,76.1698184170706,15.651475756527883,True,6,0.000775231338405728,29.022822422228792
6,2020-01-28,0,76.1698184170706,15.651475756527883,True,7,0.0009017213728390556,29.022822422228792
7,2020-01-29,0,76.1698184170706,15.651475756527883,True,8,0.0010488493664358746,29.022822422228792
8,2020-01-30,0,76.1698184170706,15.651475756527883,True,9,0.0012199823392692794,29.022822422228792
9,2020-01-31,0,76.1698184170706,15.651475756527883,True,10,0.0014190365443193145,29.022822422228792
10,2020-02-01,0,76.1698184170706,15.651475756527883,True,11,0.0016505670286895413,29.022822422228792
11,2020-02-02,0,76.1698184170706,15.651475756527883,True,12,0.0019198717884821202,29.022822422228792
12,2020-02-03,0,76.1698184170706,15.651475756527883,True,13,0.002233112891524129,29.022822422228792
13,2020-02-04,0,76.1698184170706,15.651475756527883,True,14,0.0025974573270493738,29.022822422228792
14,2020-02-05,0,76.1698184170706,15.651475756527883,True,15,0.003021240788281533,29.022822422228792
15,2020-02-06,0,76.1698184170706,15.651475756527883,True,16,0.0035141581124326898,29.022822422228792
16,2020-02-07,0,76.1698184170706,15.651475756527883,True,17,0.004087484704212624,29.022822422228792
17,2020-02-08,0,76.1698184170706,15.651475756527883,True,18,0.004754333966519752,29.022822422228792
18,2020-02-09,0,76.1698184170706,15.651475756527883,True,19,0.005529956570455603,29.022822422228792
19,2020-02-10,0,76.1698184170706,15.651475756527883,True,20,0.006432088333235559,29.022822422228792
20,2020-02-11,0,76.1698184170706,15.651475756527883,True,21,0.007481354556446484,29.022822422228792
21,2020-02-12,0,76.1698184170706,15.651475756527883,True,22,0.008701739930605093,29.022822422228792
22,2020-02-13,0,76.1698184170706,15.651475756527883,True,23,0.010121134560237268,29.022822422228792
23,2020-02-14,0,76.1698184170706,15.651475756527883,True,24,0.01177196833507776,29.022822422228792
24,2020-02-15,0,76.1698184170706,15.651475756527883,True,25,0.013691947799258145,29.022822422228792
25,2020-02-16,0,76.1698184170706,15.651475756527883,True,26,0.015924911886852237,29.022822422228792
26,2020-02-17,0,76.1698184170706,15.651475756527883,True,27,0.018521825437816164,29.022822422228792
