,Report_Date,Guinea-Bissau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.47233890967837,34.479860902258565,True,1,0.0007942569451914615,62.04512313827711
1,2020-01-23,0,81.47233890967837,34.479860902258565,True,2,0.000914809749207522,62.04512313827711
2,2020-01-24,0,81.47233890967837,34.479860902258565,True,3,0.0010536598518333937,62.04512313827711
3,2020-01-25,0,81.47233890967837,34.479860902258565,True,4,0.0012135842944788144,62.04512313827711
4,2020-01-26,0,81.47233890967837,34.479860902258565,True,5,0.0013977815694741341,62.04512313827711
5,2020-01-27,0,81.47233890967837,34.479860902258565,True,6,0.0016099355708025483,62.04512313827711
6,2020-01-28,0,81.47233890967837,34.479860902258565,True,7,0.0018542892455005464,62.04512313827711
7,2020-01-29,0,81.47233890967837,34.479860902258565,True,8,0.002135729416179201,62.04512313827711
8,2020-01-30,0,81.47233890967837,34.479860902258565,True,9,0.0024598844676745487,62.04512313827711
9,2020-01-31,0,81.47233890967837,34.479860902258565,True,10,0.002833236846964196,62.04512313827711
10,2020-02-01,0,81.47233890967837,34.479860902258565,True,11,0.0032632526202178136,62.04512313827711
11,2020-02-02,0,81.47233890967837,34.479860902258565,True,12,0.003758530669950741,62.04512313827711
12,2020-02-03,0,81.47233890967837,34.479860902258565,True,13,0.004328974505338784,62.04512313827711
13,2020-02-04,0,81.47233890967837,34.479860902258565,True,14,0.004985990107409735,62.04512313827711
14,2020-02-05,0,81.47233890967837,34.479860902258565,True,15,0.005742713746734359,62.04512313827711
15,2020-02-06,0,81.47233890967837,34.479860902258565,True,16,0.006614274304326933,62.04512313827711
16,2020-02-07,0,81.47233890967837,34.479860902258565,True,17,0.007618095308080557,62.04512313827711
17,2020-02-08,0,81.47233890967837,34.479860902258565,True,18,0.008774242680155909,62.04512313827711
18,2020-02-09,0,81.47233890967837,34.479860902258565,True,19,0.01010582509007145,62.04512313827711
19,2020-02-10,0,81.47233890967837,34.479860902258565,True,20,0.011639454840596046,62.04512313827711
20,2020-02-11,0,81.47233890967837,34.479860902258565,True,21,0.013405778397979653,62.04512313827711
