,Report_Date,Syrian Arab Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,297.6465983238235,25623.345509463477,False,1,0.5326718657411547,51246.691018926955
1,2020-01-23,0,297.6465983238235,25623.345509463477,False,2,0.5536789671502839,51246.691018926955
2,2020-01-24,0,297.6465983238235,25623.345509463477,False,3,0.5755145210872102,51246.691018926955
3,2020-01-25,0,297.6465983238235,25623.345509463477,False,4,0.5982111983072917,51246.691018926955
4,2020-01-26,0,297.6465983238235,25623.345509463477,False,5,0.6218029579057222,51246.691018926955
5,2020-01-27,0,297.6465983238235,25623.345509463477,False,6,0.6463250981171336,51246.691018926955
6,2020-01-28,0,297.6465983238235,25623.345509463477,False,7,0.6718143091178526,51246.691018926955
7,2020-01-29,0,297.6465983238235,25623.345509463477,False,8,0.6983087279097273,51246.691018926955
8,2020-01-30,0,297.6465983238235,25623.345509463477,False,9,0.7258479953675521,51246.691018926955
9,2020-01-31,0,297.6465983238235,25623.345509463477,False,10,0.7544733155353468,51246.691018926955
10,2020-02-01,0,297.6465983238235,25623.345509463477,False,11,0.7842275172600998,51246.691018926955
11,2020-02-02,0,297.6465983238235,25623.345509463477,False,12,0.8151551182550769,51246.691018926955
12,2020-02-03,0,297.6465983238235,25623.345509463477,False,13,0.8473023916884229,51246.691018926955
13,2020-02-04,0,297.6465983238235,25623.345509463477,False,14,0.8807174353965478,51246.691018926955
14,2020-02-05,0,297.6465983238235,25623.345509463477,False,15,0.9154502438257084,51246.691018926955
15,2020-02-06,0,297.6465983238235,25623.345509463477,False,16,0.9515527828092648,51246.691018926955
16,2020-02-07,0,297.6465983238235,25623.345509463477,False,17,0.9890790672923208,51246.691018926955
17,2020-02-08,0,297.6465983238235,25623.345509463477,False,18,1.0280852421198534,51246.691018926955
18,2020-02-09,0,297.6465983238235,25623.345509463477,False,19,1.068629666009004,51246.691018926955
19,2020-02-10,0,297.6465983238235,25623.345509463477,False,20,1.110772998830951,51246.691018926955
20,2020-02-11,0,297.6465983238235,25623.345509463477,False,21,1.1545782923327206,51246.691018926955
21,2020-02-12,0,297.6465983238235,25623.345509463477,False,22,1.2001110844344125,51246.691018926955
22,2020-02-13,0,297.6465983238235,25623.345509463477,False,23,1.2474394972426586,51246.691018926955
23,2020-02-14,0,297.6465983238235,25623.345509463477,False,24,1.2966343389266524,51246.691018926955
24,2020-02-15,0,297.6465983238235,25623.345509463477,False,25,1.347769209608858,51246.691018926955
25,2020-02-16,0,297.6465983238235,25623.345509463477,False,26,1.4009206114284838,51246.691018926955
26,2020-02-17,0,297.6465983238235,25623.345509463477,False,27,1.4561680629420028,51246.691018926955
27,2020-02-18,0,297.6465983238235,25623.345509463477,False,28,1.5135942180314967,51246.691018926955
28,2020-02-19,0,297.6465983238235,25623.345509463477,False,29,1.573284989498269,51246.691018926955
29,2020-02-20,0,297.6465983238235,25623.345509463477,False,30,1.6353296775261783,51246.691018926955
30,2020-02-21,0,297.6465983238235,25623.345509463477,False,31,1.6998211032063761,51246.691018926955
31,2020-02-22,0,297.6465983238235,25623.345509463477,False,32,1.7668557473226625,51246.691018926955
32,2020-02-23,0,297.6465983238235,25623.345509463477,False,33,1.8365338946045056,51246.691018926955
33,2020-02-24,0,297.6465983238235,25623.345509463477,False,34,1.9089597836628969,51246.691018926955
34,2020-02-25,0,297.6465983238235,25623.345509463477,False,35,1.9842417628326587,51246.691018926955
35,2020-02-26,0,297.6465983238235,25623.345509463477,False,36,2.0624924521536165,51246.691018926955
36,2020-02-27,0,297.6465983238235,25623.345509463477,False,37,2.143828911732147,51246.691018926955
37,2020-02-28,0,297.6465983238235,25623.345509463477,False,38,2.2283728167341135,51246.691018926955
38,2020-02-29,0,297.6465983238235,25623.345509463477,False,39,2.3162506392700317,51246.691018926955
39,2020-03-01,0,297.6465983238235,25623.345509463477,False,40,2.4075938374435575,51246.691018926955
40,2020-03-02,0,297.6465983238235,25623.345509463477,False,41,2.502539051845006,51246.691018926955
41,2020-03-03,0,297.6465983238235,25623.345509463477,False,42,2.60122830978267,51246.691018926955
42,2020-03-04,0,297.6465983238235,25623.345509463477,False,43,2.7038092375561718,51246.691018926955
43,2020-03-05,0,297.6465983238235,25623.345509463477,False,44,2.8104352810880195,51246.691018926955
44,2020-03-06,0,297.6465983238235,25623.345509463477,False,45,2.9212659352419195,51246.691018926955
45,2020-03-07,0,297.6465983238235,25623.345509463477,False,46,3.0364669821692654,51246.691018926955
46,2020-03-08,0,297.6465983238235,25623.345509463477,False,47,3.156210739038611,51246.691018926955
47,2020-03-09,0,297.6465983238235,25623.345509463477,False,48,3.2806763155167964,51246.691018926955
48,2020-03-10,0,297.6465983238235,25623.345509463477,False,49,3.410049881384869,51246.691018926955
49,2020-03-11,0,297.6465983238235,25623.345509463477,False,50,3.544524944686892,51246.691018926955
50,2020-03-12,0,297.6465983238235,25623.345509463477,False,51,3.684302640825337,51246.691018926955
51,2020-03-13,0,297.6465983238235,25623.345509463477,False,52,3.8295920330329127,51246.691018926955
52,2020-03-14,0,297.6465983238235,25623.345509463477,False,53,3.9806104246675016,51246.691018926955
53,2020-03-15,0,297.6465983238235,25623.345509463477,False,54,4.137583683794336,51246.691018926955
54,2020-03-16,0,297.6465983238235,25623.345509463477,False,55,4.300746580537636,51246.691018926955
55,2020-03-17,0,297.6465983238235,25623.345509463477,False,56,4.4703431377028275,51246.691018926955
56,2020-03-18,0,297.6465983238235,25623.345509463477,False,57,4.64662699518997,51246.691018926955
57,2020-03-19,0,297.6465983238235,25623.345509463477,False,58,4.829861788739337,51246.691018926955
58,2020-03-20,0,297.6465983238235,25623.345509463477,False,59,5.0203215435712405,51246.691018926955
59,2020-03-21,0,297.6465983238235,25623.345509463477,False,60,5.218291083504029,51246.691018926955
60,2020-03-22,1,297.6465983238235,25623.345509463477,False,61,5.4240664561570275,51246.691018926955
61,2020-03-23,1,297.6465983238235,25623.345509463477,False,62,5.637955374868706,51246.691018926955
62,2020-03-24,1,297.6465983238235,25623.345509463477,False,63,5.860277677985061,51246.691018926955
63,2020-03-25,5,297.6465983238235,25623.345509463477,False,64,6.091365806198484,51246.691018926955
64,2020-03-26,5,297.6465983238235,25623.345509463477,False,65,6.331565298644042,51246.691018926955
65,2020-03-27,5,297.6465983238235,25623.345509463477,False,66,6.58123530848739,51246.691018926955
66,2020-03-28,5,297.6465983238235,25623.345509463477,False,67,6.840749138767172,51246.691018926955
67,2020-03-29,9,297.6465983238235,25623.345509463477,False,68,7.110494799284392,51246.691018926955
68,2020-03-30,10,297.6465983238235,25623.345509463477,False,69,7.390875585361825,51246.691018926955
69,2020-03-31,10,297.6465983238235,25623.345509463477,False,70,7.682310679328675,51246.691018926955
70,2020-04-01,10,297.6465983238235,25623.345509463477,False,71,7.985235775618581,51246.691018926955
71,2020-04-02,16,297.6465983238235,25623.345509463477,False,72,8.300103730403695,51246.691018926955
72,2020-04-03,16,297.6465983238235,25623.345509463477,False,73,8.627385236722986,51246.691018926955
73,2020-04-04,16,297.6465983238235,25623.345509463477,False,74,8.96756952610026,51246.691018926955
74,2020-04-05,19,297.6465983238235,25623.345509463477,False,75,9.321165097685503,51246.691018926955
75,2020-04-06,19,297.6465983238235,25623.345509463477,False,76,9.688700475993382,51246.691018926955
76,2020-04-07,19,297.6465983238235,25623.345509463477,False,77,10.070724998353842,51246.691018926955
77,2020-04-08,19,297.6465983238235,25623.345509463477,False,78,10.46780963323288,51246.691018926955
78,2020-04-09,19,297.6465983238235,25623.345509463477,False,79,10.880547830626112,51246.691018926955
79,2020-04-10,19,297.6465983238235,25623.345509463477,False,80,11.309556405773842,51246.691018926955
80,2020-04-11,25,297.6465983238235,25623.345509463477,False,81,11.755476457494575,51246.691018926955
81,2020-04-12,25,297.6465983238235,25623.345509463477,False,82,12.218974322483344,51246.691018926955
82,2020-04-13,25,297.6465983238235,25623.345509463477,False,83,12.70074256697313,51246.691018926955
83,2020-04-14,29,297.6465983238235,25623.345509463477,False,84,13.201501017210896,51246.691018926955
84,2020-04-15,33,297.6465983238235,25623.345509463477,False,85,13.721997830255534,51246.691018926955
