,Report_Date,Serbia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.3353953198991,4617.326121768649,False,1,0.10568367564558319,9234.652243537295
1,2020-01-23,0,85.3353953198991,4617.326121768649,False,2,0.12094823241528002,9234.652243537295
2,2020-01-24,0,85.3353953198991,4617.326121768649,False,3,0.13841751190484908,9234.652243537295
3,2020-01-25,0,85.3353953198991,4617.326121768649,False,4,0.15840994104927472,9234.652243537295
4,2020-01-26,0,85.3353953198991,4617.326121768649,False,5,0.18128993384678874,9234.652243537295
5,2020-01-27,0,85.3353953198991,4617.326121768649,False,6,0.2074745318062421,9234.652243537295
6,2020-01-28,0,85.3353953198991,4617.326121768649,False,7,0.23744100295871753,9234.652243537295
7,2020-01-29,0,85.3353953198991,4617.326121768649,False,8,0.27173553771017916,9234.652243537295
8,2020-01-30,0,85.3353953198991,4617.326121768649,False,9,0.31098319972975763,9234.652243537295
9,2020-01-31,0,85.3353953198991,4617.326121768649,False,10,0.35589931284604676,9234.652243537295
10,2020-02-01,0,85.3353953198991,4617.326121768649,False,11,0.4073024909693839,9234.652243537295
11,2020-02-02,0,85.3353953198991,4617.326121768649,False,12,0.46612954783665805,9234.652243537295
12,2020-02-03,0,85.3353953198991,4617.326121768649,False,13,0.533452557416923,9234.652243537295
13,2020-02-04,0,85.3353953198991,4617.326121768649,False,14,0.6104983747250158,9234.652243537295
14,2020-02-05,0,85.3353953198991,4617.326121768649,False,15,0.6986709712540948,9234.652243537295
15,2020-02-06,0,85.3353953198991,4617.326121768649,False,16,0.7995769900387055,9234.652243537295
16,2020-02-07,0,85.3353953198991,4617.326121768649,False,17,0.9150549833865674,9234.652243537295
17,2020-02-08,0,85.3353953198991,4617.326121768649,False,18,1.047208862578943,9234.652243537295
18,2020-02-09,0,85.3353953198991,4617.326121768649,False,19,1.1984461644804516,9234.652243537295
19,2020-02-10,0,85.3353953198991,4617.326121768649,False,20,1.3715218263151212,9234.652243537295
20,2020-02-11,0,85.3353953198991,4617.326121768649,False,21,1.5695882583208485,9234.652243537295
21,2020-02-12,0,85.3353953198991,4617.326121768649,False,22,1.796252616241317,9234.652243537295
22,2020-02-13,0,85.3353953198991,4617.326121768649,False,23,2.05564230351246,9234.652243537295
23,2020-02-14,0,85.3353953198991,4617.326121768649,False,24,2.352479878637011,9234.652243537295
24,2020-02-15,0,85.3353953198991,4617.326121768649,False,25,2.6921687089511095,9234.652243537295
25,2020-02-16,0,85.3353953198991,4617.326121768649,False,26,3.080890900374471,9234.652243537295
26,2020-02-17,0,85.3353953198991,4617.326121768649,False,27,3.5257192466884555,9234.652243537295
27,2020-02-18,0,85.3353953198991,4617.326121768649,False,28,4.034745184590963,9234.652243537295
28,2020-02-19,0,85.3353953198991,4617.326121768649,False,29,4.617225015725179,9234.652243537295
29,2020-02-20,0,85.3353953198991,4617.326121768649,False,30,5.2837469678645865,9234.652243537295
30,2020-02-21,0,85.3353953198991,4617.326121768649,False,31,6.046422018537588,9234.652243537295
31,2020-02-22,0,85.3353953198991,4617.326121768649,False,32,6.919101799915561,9234.652243537295
32,2020-02-23,0,85.3353953198991,4617.326121768649,False,33,7.9176273482695905,9234.652243537295
33,2020-02-24,0,85.3353953198991,4617.326121768649,False,34,9.060112959295045,9234.652243537295
34,2020-02-25,0,85.3353953198991,4617.326121768649,False,35,10.367269966585335,9234.652243537295
35,2020-02-26,0,85.3353953198991,4617.326121768649,False,36,11.862775878651718,9234.652243537295
36,2020-02-27,0,85.3353953198991,4617.326121768649,False,37,13.573694993609974,9234.652243537295
37,2020-02-28,0,85.3353953198991,4617.326121768649,False,38,15.530957362324214,9234.652243537295
38,2020-02-29,0,85.3353953198991,4617.326121768649,False,39,17.76990379097366,9234.652243537295
39,2020-03-01,0,85.3353953198991,4617.326121768649,False,40,20.330905460604765,9234.652243537295
40,2020-03-02,0,85.3353953198991,4617.326121768649,False,41,23.260067688364746,9234.652243537295
41,2020-03-03,0,85.3353953198991,4617.326121768649,False,42,26.610028351571245,9234.652243537295
42,2020-03-04,0,85.3353953198991,4617.326121768649,False,43,30.44086252300695,9234.652243537295
43,2020-03-05,0,85.3353953198991,4617.326121768649,False,44,34.82110589535845,9234.652243537295
44,2020-03-06,1,85.3353953198991,4617.326121768649,False,45,39.828910562774205,9234.652243537295
45,2020-03-07,1,85.3353953198991,4617.326121768649,False,46,45.553347618782404,9234.652243537295
46,2020-03-08,1,85.3353953198991,4617.326121768649,False,47,52.09587174004397,9234.652243537295
47,2020-03-09,1,85.3353953198991,4617.326121768649,False,48,59.571963342751104,9234.652243537295
48,2020-03-10,5,85.3353953198991,4617.326121768649,False,49,68.11296387322945,9234.652243537295
49,2020-03-11,12,85.3353953198991,4617.326121768649,False,50,77.86811912900735,9234.652243537295
50,2020-03-12,19,85.3353953198991,4617.326121768649,False,51,89.0068439444024,9234.652243537295
51,2020-03-13,35,85.3353953198991,4617.326121768649,False,52,101.72121878577802,9234.652243537295
52,2020-03-14,46,85.3353953198991,4617.326121768649,False,53,116.2287243686232,9234.652243537295
53,2020-03-15,48,85.3353953198991,4617.326121768649,False,54,132.77521381103483,9234.652243537295
54,2020-03-16,55,85.3353953198991,4617.326121768649,False,55,151.63811243801334,9234.652243537295
55,2020-03-17,65,85.3353953198991,4617.326121768649,False,56,173.1298223816818,9234.652243537295
56,2020-03-18,83,85.3353953198991,4617.326121768649,False,57,197.60129168541627,9234.652243537295
57,2020-03-19,103,85.3353953198991,4617.326121768649,False,58,225.44568469417484,9234.652243537295
58,2020-03-20,135,85.3353953198991,4617.326121768649,False,59,257.10206098847004,9234.652243537295
59,2020-03-21,171,85.3353953198991,4617.326121768649,False,60,293.0589328617801,9234.652243537295
60,2020-03-22,222,85.3353953198991,4617.326121768649,False,61,333.857525311072,9234.652243537295
61,2020-03-23,249,85.3353953198991,4617.326121768649,False,62,380.0945069487867,9234.652243537295
62,2020-03-24,303,85.3353953198991,4617.326121768649,False,63,432.42389495409276,9234.652243537295
63,2020-03-25,384,85.3353953198991,4617.326121768649,False,64,491.5577629188694,9234.652243537295
64,2020-03-26,384,85.3353953198991,4617.326121768649,False,65,558.2652994498691,9234.652243537295
65,2020-03-27,457,85.3353953198991,4617.326121768649,False,66,633.3696820466319,9234.652243537295
66,2020-03-28,659,85.3353953198991,4617.326121768649,False,67,717.7421523792156,9234.652243537295
67,2020-03-29,741,85.3353953198991,4617.326121768649,False,68,812.2926166364157,9234.652243537295
68,2020-03-30,785,85.3353953198991,4617.326121768649,False,69,917.9560634597236,9234.652243537295
69,2020-03-31,900,85.3353953198991,4617.326121768649,False,70,1035.674112101136,9234.652243537295
70,2020-04-01,1060,85.3353953198991,4617.326121768649,False,71,1166.371098939612,9234.652243537295
71,2020-04-02,1171,85.3353953198991,4617.326121768649,False,72,1310.9243078077184,9234.652243537295
72,2020-04-03,1476,85.3353953198991,4617.326121768649,False,73,1470.128273975473,9234.652243537295
73,2020-04-04,1624,85.3353953198991,4617.326121768649,False,74,1644.653561476493,9234.652243537295
74,2020-04-05,1908,85.3353953198991,4617.326121768649,False,75,1835.0010323121376,9234.652243537295
75,2020-04-06,2200,85.3353953198991,4617.326121768649,False,76,2041.453373307831,9234.652243537295
76,2020-04-07,2447,85.3353953198991,4617.326121768649,False,77,2264.026468047013,9234.652243537295
77,2020-04-08,2666,85.3353953198991,4617.326121768649,False,78,2502.4240040912714,9234.652243537295
78,2020-04-09,2867,85.3353953198991,4617.326121768649,False,79,2755.9993581861695,9234.652243537295
79,2020-04-10,3105,85.3353953198991,4617.326121768649,False,80,3023.7291469997517,9234.652243537295
80,2020-04-11,3380,85.3353953198991,4617.326121768649,False,81,3304.2027104239564,9234.652243537295
81,2020-04-12,3380,85.3353953198991,4617.326121768649,False,82,3595.631087973699,9234.652243537295
