,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,195.40737473439773,4219.638149179057,False,1,14.494448632510492,8439.276298358114
1,2020-01-23,0,195.40737473439773,4219.638149179057,False,2,14.976015400128412,8439.276298358114
2,2020-01-24,0,195.40737473439773,4219.638149179057,False,3,15.4735524624092,8439.276298358114
3,2020-01-25,0,195.40737473439773,4219.638149179057,False,4,15.987587460612904,8439.276298358114
4,2020-01-26,0,195.40737473439773,4219.638149179057,False,5,16.518665334654337,8439.276298358114
5,2020-01-27,0,195.40737473439773,4219.638149179057,False,6,17.067348881177992,8439.276298358114
6,2020-01-28,0,195.40737473439773,4219.638149179057,False,7,17.634219329022947,8439.276298358114
7,2020-01-29,0,195.40737473439773,4219.638149179057,False,8,18.219876932577446,8439.276298358114
8,2020-01-30,0,195.40737473439773,4219.638149179057,False,9,18.82494158353455,8439.276298358114
9,2020-01-31,0,195.40737473439773,4219.638149179057,False,10,19.450053441571505,8439.276298358114
10,2020-02-01,0,195.40737473439773,4219.638149179057,False,11,20.095873584487038,8439.276298358114
11,2020-02-02,0,195.40737473439773,4219.638149179057,False,12,20.763084678342278,8439.276298358114
12,2020-02-03,0,195.40737473439773,4219.638149179057,False,13,21.452391668162385,8439.276298358114
13,2020-02-04,0,195.40737473439773,4219.638149179057,False,14,22.164522489767382,8439.276298358114
14,2020-02-05,0,195.40737473439773,4219.638149179057,False,15,22.900228803312096,8439.276298358114
15,2020-02-06,0,195.40737473439773,4219.638149179057,False,16,23.66028674912609,8439.276298358114
16,2020-02-07,0,195.40737473439773,4219.638149179057,False,17,24.445497726455724,8439.276298358114
17,2020-02-08,0,195.40737473439773,4219.638149179057,False,18,25.25668919572122,8439.276298358114
18,2020-02-09,0,195.40737473439773,4219.638149179057,False,19,26.094715504912198,8439.276298358114
19,2020-02-10,0,195.40737473439773,4219.638149179057,False,20,26.960458740755676,8439.276298358114
20,2020-02-11,0,195.40737473439773,4219.638149179057,False,21,27.85482960530023,8439.276298358114
21,2020-02-12,0,195.40737473439773,4219.638149179057,False,22,28.778768318570048,8439.276298358114
22,2020-02-13,0,195.40737473439773,4219.638149179057,False,23,29.733245547951466,8439.276298358114
23,2020-02-14,0,195.40737473439773,4219.638149179057,False,24,30.719263364983586,8439.276298358114
24,2020-02-15,0,195.40737473439773,4219.638149179057,False,25,31.7378562302325,8439.276298358114
25,2020-02-16,0,195.40737473439773,4219.638149179057,False,26,32.79009200693638,8439.276298358114
26,2020-02-17,0,195.40737473439773,4219.638149179057,False,27,33.8770730041154,8439.276298358114
27,2020-02-18,0,195.40737473439773,4219.638149179057,False,28,34.99993704984655,8439.276298358114
28,2020-02-19,0,195.40737473439773,4219.638149179057,False,29,36.15985859540854,8439.276298358114
29,2020-02-20,0,195.40737473439773,4219.638149179057,False,30,37.358049851006236,8439.276298358114
30,2020-02-21,0,195.40737473439773,4219.638149179057,False,31,38.59576195378728,8439.276298358114
31,2020-02-22,0,195.40737473439773,4219.638149179057,False,32,39.87428616886519,8439.276298358114
32,2020-02-23,0,195.40737473439773,4219.638149179057,False,33,41.194955124064364,8439.276298358114
33,2020-02-24,0,195.40737473439773,4219.638149179057,False,34,42.55914407910128,8439.276298358114
