,Report_Date,China_beijing_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,14,21.06441524165249,278.63631794435895,True,1,107.82460300638301,553.1720148900132
1,2020-01-23,22,21.06441524165249,278.63631794435895,True,2,114.14685821220898,553.1720148900132
2,2020-01-24,36,21.06441524165249,278.63631794435895,True,3,120.74023039079633,553.1720148900132
3,2020-01-25,41,21.06441524165249,278.63631794435895,True,4,127.60477933263975,553.1720148900132
4,2020-01-26,68,21.06441524165249,278.63631794435895,True,5,134.73914263651432,553.1720148900132
5,2020-01-27,80,21.06441524165249,278.63631794435895,True,6,142.14043134609074,553.1720148900132
6,2020-01-28,91,21.06441524165249,278.63631794435895,True,7,149.80413686994305,553.1720148900132
7,2020-01-29,111,21.06441524165249,278.63631794435895,True,8,157.7240522659762,553.1720148900132
8,2020-01-30,114,21.06441524165249,278.63631794435895,True,9,165.89221096565487,553.1720148900132
9,2020-01-31,139,21.06441524165249,278.63631794435895,True,10,174.29884590014558,553.1720148900132
10,2020-02-01,168,21.06441524165249,278.63631794435895,True,11,182.9323717587442,553.1720148900132
11,2020-02-02,191,21.06441524165249,278.63631794435895,True,12,191.7793927536144,553.1720148900132
12,2020-02-03,212,21.06441524165249,278.63631794435895,True,13,200.8247377836687,553.1720148900132
13,2020-02-04,228,21.06441524165249,278.63631794435895,True,14,210.05152429097134,553.1720148900132
14,2020-02-05,253,21.06441524165249,278.63631794435895,True,15,219.4412513993115,553.1720148900132
15,2020-02-06,274,21.06441524165249,278.63631794435895,True,16,228.97392213802837,553.1720148900132
16,2020-02-07,297,21.06441524165249,278.63631794435895,True,17,238.62819371312116,553.1720148900132
17,2020-02-08,315,21.06441524165249,278.63631794435895,True,18,248.38155392630162,553.1720148900132
18,2020-02-09,326,21.06441524165249,278.63631794435895,True,19,258.2105209991438,553.1720148900132
19,2020-02-10,337,21.06441524165249,278.63631794435895,True,20,268.09086327387894,553.1720148900132
20,2020-02-11,342,21.06441524165249,278.63631794435895,True,21,277.9978345739417,553.1720148900132
21,2020-02-12,352,21.06441524165249,278.63631794435895,True,22,287.9064204519061,553.1720148900132
22,2020-02-13,366,21.06441524165249,278.63631794435895,True,23,297.79159015972294,553.1720148900132
23,2020-02-14,372,21.06441524165249,278.63631794435895,True,24,307.62854896765646,553.1720148900132
24,2020-02-15,375,21.06441524165249,278.63631794435895,True,25,317.39298544556726,553.1720148900132
25,2020-02-16,380,21.06441524165249,278.63631794435895,True,26,327.0613085039025,553.1720148900132
26,2020-02-17,381,21.06441524165249,278.63631794435895,True,27,336.6108693617651,553.1720148900132
27,2020-02-18,387,21.06441524165249,278.63631794435895,True,28,346.0201641454412,553.1720148900132
28,2020-02-19,393,21.06441524165249,278.63631794435895,True,29,355.26901349399213,553.1720148900132
29,2020-02-20,395,21.06441524165249,278.63631794435895,True,30,364.33871632375485,553.1720148900132
30,2020-02-21,396,21.06441524165249,278.63631794435895,True,31,373.21217574190155,553.1720148900132
31,2020-02-22,399,21.06441524165249,278.63631794435895,True,32,381.87399596048436,553.1720148900132
32,2020-02-23,399,21.06441524165249,278.63631794435895,True,33,390.31054990808195,553.1720148900132
33,2020-02-24,399,21.06441524165249,278.63631794435895,True,34,398.5100180314765,553.1720148900132
34,2020-02-25,400,21.06441524165249,278.63631794435895,True,35,406.4623994955516,553.1720148900132
35,2020-02-26,400,21.06441524165249,278.63631794435895,True,36,414.15949760342795,553.1720148900132
36,2020-02-27,410,21.06441524165249,278.63631794435895,True,37,421.5948817558093,553.1720148900132
37,2020-02-28,410,21.06441524165249,278.63631794435895,True,38,428.7638286410635,553.1720148900132
38,2020-02-29,411,21.06441524165249,278.63631794435895,True,39,435.6632455951223,553.1720148900132
39,2020-03-01,413,21.06441524165249,278.63631794435895,True,40,442.29157919829964,553.1720148900132
40,2020-03-02,414,21.06441524165249,278.63631794435895,True,41,448.64871219489305,553.1720148900132
41,2020-03-03,414,21.06441524165249,278.63631794435895,True,42,454.73585174483645,553.1720148900132
42,2020-03-04,418,21.06441524165249,278.63631794435895,True,43,460.555411860824,553.1720148900132
43,2020-03-05,418,21.06441524165249,278.63631794435895,True,44,466.1108926663885,553.1720148900132
44,2020-03-06,422,21.06441524165249,278.63631794435895,True,45,471.4067588474763,553.1720148900132
45,2020-03-07,426,21.06441524165249,278.63631794435895,True,46,476.44831937830736,553.1720148900132
46,2020-03-08,428,21.06441524165249,278.63631794435895,True,47,481.2416102963517,553.1720148900132
47,2020-03-09,428,21.06441524165249,278.63631794435895,True,48,485.7932819937131,553.1720148900132
48,2020-03-10,429,21.06441524165249,278.63631794435895,True,49,490.1104921935048,553.1720148900132
49,2020-03-11,435,21.06441524165249,278.63631794435895,True,50,494.2008054980406,553.1720148900132
50,2020-03-12,435,21.06441524165249,278.63631794435895,True,51,498.0721001368084,553.1720148900132
51,2020-03-13,436,21.06441524165249,278.63631794435895,True,52,501.7324823101604,553.1720148900132
52,2020-03-14,437,21.06441524165249,278.63631794435895,True,53,505.1902083216106,553.1720148900132
53,2020-03-15,442,21.06441524165249,278.63631794435895,True,54,508.4536145182705,553.1720148900132
54,2020-03-16,452,21.06441524165249,278.63631794435895,True,55,511.53105491476015,553.1720148900132
55,2020-03-17,456,21.06441524165249,278.63631794435895,True,56,514.430846259496,553.1720148900132
56,2020-03-18,469,21.06441524165249,278.63631794435895,True,57,517.1612202115141,553.1720148900132
57,2020-03-19,480,21.06441524165249,278.63631794435895,True,58,519.7302822284454,553.1720148900132
58,2020-03-20,491,21.06441524165249,278.63631794435895,True,59,522.1459767192134,553.1720148900132
59,2020-03-21,504,21.06441524165249,278.63631794435895,True,60,524.4160579856659,553.1720148900132
60,2020-03-22,522,21.06441524165249,278.63631794435895,True,61,526.5480664629624,553.1720148900132
61,2020-03-23,537,21.06441524165249,278.63631794435895,True,62,528.5493097664827,553.1720148900132
62,2020-03-24,558,21.06441524165249,278.63631794435895,True,63,530.4268480609176,553.1720148900132
63,2020-03-25,561,21.06441524165249,278.63631794435895,True,64,532.1874832828502,553.1720148900132
64,2020-03-26,566,21.06441524165249,278.63631794435895,True,65,533.8377517696349,553.1720148900132
65,2020-03-27,569,21.06441524165249,278.63631794435895,True,66,535.3839198730509,553.1720148900132
66,2020-03-28,573,21.06441524165249,278.63631794435895,True,67,536.8319821646523,553.1720148900132
67,2020-03-29,577,21.06441524165249,278.63631794435895,True,68,538.1876618697676,553.1720148900132
68,2020-03-30,577,21.06441524165249,278.63631794435895,True,69,539.4564131977652,553.1720148900132
69,2020-03-31,580,21.06441524165249,278.63631794435895,True,70,540.643425266744,553.1720148900132
70,2020-04-01,580,21.06441524165249,278.63631794435895,True,71,541.7536273506149,553.1720148900132
71,2020-04-02,582,21.06441524165249,278.63631794435895,True,72,542.7916952051887,553.1720148900132
72,2020-04-03,584,21.06441524165249,278.63631794435895,True,73,543.7620582570472,553.1720148900132
73,2020-04-04,585,21.06441524165249,278.63631794435895,True,74,544.6689074644307,553.1720148900132
74,2020-04-05,586,21.06441524165249,278.63631794435895,True,75,545.516203683004,553.1720148900132
75,2020-04-06,587,21.06441524165249,278.63631794435895,True,76,546.3076863911023,553.1720148900132
76,2020-04-07,587,21.06441524165249,278.63631794435895,True,77,547.0468826488963,553.1720148900132
77,2020-04-08,588,21.06441524165249,278.63631794435895,True,78,547.7371161838993,553.1720148900132
78,2020-04-09,588,21.06441524165249,278.63631794435895,True,79,548.381516511417,553.1720148900132
79,2020-04-10,588,21.06441524165249,278.63631794435895,True,80,548.9830280130215,553.1720148900132
