,Report_Date,Canada_alberta_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.55859255969578,1029.2022075619068,True,1,0.024071250382479863,1912.512228624163
1,2020-01-23,0,73.55859255969578,1029.2022075619068,True,2,0.02814950835926855,1912.512228624163
2,2020-01-24,0,73.55859255969578,1029.2022075619068,True,3,0.03291871183619457,1912.512228624163
3,2020-01-25,0,73.55859255969578,1029.2022075619068,True,4,0.038495917930060665,1912.512228624163
4,2020-01-26,0,73.55859255969578,1029.2022075619068,True,5,0.0450180135954054,1912.512228624163
5,2020-01-27,0,73.55859255969578,1029.2022075619068,True,6,0.05264507431168886,1912.512228624163
6,2020-01-28,0,73.55859255969578,1029.2022075619068,True,7,0.061564291447877784,1912.512228624163
7,2020-01-29,0,73.55859255969578,1029.2022075619068,True,8,0.07199456451613129,1912.512228624163
8,2020-01-30,0,73.55859255969578,1029.2022075619068,True,9,0.08419187077661314,1912.512228624163
9,2020-01-31,0,73.55859255969578,1029.2022075619068,True,10,0.09845554364046574,1912.512228624163
10,2020-02-01,0,73.55859255969578,1029.2022075619068,True,11,0.1151356134941854,1912.512228624163
11,2020-02-02,0,73.55859255969578,1029.2022075619068,True,12,0.13464139046739756,1912.512228624163
12,2020-02-03,0,73.55859255969578,1029.2022075619068,True,13,0.15745149890530763,1912.512228624163
13,2020-02-04,0,73.55859255969578,1029.2022075619068,True,14,0.1841256086048872,1912.512228624163
14,2020-02-05,0,73.55859255969578,1029.2022075619068,True,15,0.21531814906340208,1912.512228624163
15,2020-02-06,0,73.55859255969578,1029.2022075619068,True,16,0.2517943410348959,1912.512228624163
16,2020-02-07,0,73.55859255969578,1029.2022075619068,True,17,0.2944489357121139,1912.512228624163
17,2020-02-08,0,73.55859255969578,1029.2022075619068,True,18,0.3443281171385243,1912.512228624163
18,2020-02-09,0,73.55859255969578,1029.2022075619068,True,19,0.40265509949440914,1912.512228624163
19,2020-02-10,0,73.55859255969578,1029.2022075619068,True,20,0.4708600394008573,1912.512228624163
20,2020-02-11,0,73.55859255969578,1029.2022075619068,True,21,0.5506149863023437,1912.512228624163
21,2020-02-12,0,73.55859255969578,1029.2022075619068,True,22,0.6438747135537952,1912.512228624163
22,2020-02-13,0,73.55859255969578,1029.2022075619068,True,23,0.7529244115840323,1912.512228624163
23,2020-02-14,0,73.55859255969578,1029.2022075619068,True,24,0.8804353852905948,1912.512228624163
24,2020-02-15,0,73.55859255969578,1029.2022075619068,True,25,1.0295300838383956,1912.512228624163
25,2020-02-16,0,73.55859255969578,1029.2022075619068,True,26,1.2038580058304402,1912.512228624163
26,2020-02-17,0,73.55859255969578,1029.2022075619068,True,27,1.407684270272267,1912.512228624163
27,2020-02-18,0,73.55859255969578,1029.2022075619068,True,28,1.6459929280390735,1912.512228624163
28,2020-02-19,0,73.55859255969578,1029.2022075619068,True,29,1.9246074140701215,1912.512228624163
29,2020-02-20,0,73.55859255969578,1029.2022075619068,True,30,2.2503309117344097,1912.512228624163
30,2020-02-21,0,73.55859255969578,1029.2022075619068,True,31,2.631109822069762,1912.512228624163
31,2020-02-22,0,73.55859255969578,1029.2022075619068,True,32,3.0762240057494474,1912.512228624163
32,2020-02-23,0,73.55859255969578,1029.2022075619068,True,33,3.596507997545467,1912.512228624163
33,2020-02-24,0,73.55859255969578,1029.2022075619068,True,34,4.204607982886221,1912.512228624163
34,2020-02-25,0,73.55859255969578,1029.2022075619068,True,35,4.9152799722350755,1912.512228624163
35,2020-02-26,0,73.55859255969578,1029.2022075619068,True,36,5.745735305602272,1912.512228624163
36,2020-02-27,0,73.55859255969578,1029.2022075619068,True,37,6.7160403544444955,1912.512228624163
37,2020-02-28,0,73.55859255969578,1029.2022075619068,True,38,7.849578040373545,1912.512228624163
38,2020-02-29,0,73.55859255969578,1029.2022075619068,True,39,9.173579525586085,1912.512228624163
39,2020-03-01,0,73.55859255969578,1029.2022075619068,True,40,10.719735097081989,1912.512228624163
40,2020-03-02,0,73.55859255969578,1029.2022075619068,True,41,12.524893789593753,1912.512228624163
41,2020-03-03,0,73.55859255969578,1029.2022075619068,True,42,14.631861561953043,1912.512228624163
42,2020-03-04,0,73.55859255969578,1029.2022075619068,True,43,17.09030770607945,1912.512228624163
43,2020-03-05,0,73.55859255969578,1029.2022075619068,True,44,19.957788417709978,1912.512228624163
44,2020-03-06,1,73.55859255969578,1029.2022075619068,True,45,23.300894811285833,1912.512228624163
45,2020-03-07,2,73.55859255969578,1029.2022075619068,True,46,27.19652974455074,1912.512228624163
46,2020-03-08,4,73.55859255969578,1029.2022075619068,True,47,31.733313146494154,1912.512228624163
47,2020-03-09,7,73.55859255969578,1029.2022075619068,True,48,37.01310849975718,1912.512228624163
48,2020-03-10,7,73.55859255969578,1029.2022075619068,True,49,43.152652954842935,1912.512228624163
49,2020-03-11,19,73.55859255969578,1029.2022075619068,True,50,50.2852593399561,1912.512228624163
50,2020-03-12,19,73.55859255969578,1029.2022075619068,True,51,58.562539041110405,1912.512228624163
51,2020-03-13,29,73.55859255969578,1029.2022075619068,True,52,68.15606925928388,1912.512228624163
52,2020-03-14,29,73.55859255969578,1029.2022075619068,True,53,79.25889545928172,1912.512228624163
53,2020-03-15,39,73.55859255969578,1029.2022075619068,True,54,92.08671914087058,1912.512228624163
54,2020-03-16,56,73.55859255969578,1029.2022075619068,True,55,106.87857225143173,1912.512228624163
55,2020-03-17,74,73.55859255969578,1029.2022075619068,True,56,123.8967236458585,1912.512228624163
