,Report_Date,Slovakia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.29707201416144,543.8115921762883,True,1,0.07568541245761627,945.4243396533233
1,2020-01-23,0,75.29707201416144,543.8115921762883,True,2,0.08609242799412453,945.4243396533233
2,2020-01-24,0,75.29707201416144,543.8115921762883,True,3,0.09793031661753245,945.4243396533233
3,2020-01-25,0,75.29707201416144,543.8115921762883,True,4,0.11139577291812885,945.4243396533233
4,2020-01-26,0,75.29707201416144,543.8115921762883,True,5,0.12671251892552549,945.4243396533233
5,2020-01-27,0,75.29707201416144,543.8115921762883,True,6,0.14413501462778558,945.4243396533233
6,2020-01-28,0,75.29707201416144,543.8115921762883,True,7,0.16395267693548782,945.4243396533233
7,2020-01-29,0,75.29707201416144,543.8115921762883,True,8,0.1864946764791697,945.4243396533233
8,2020-01-30,0,75.29707201416144,543.8115921762883,True,9,0.2121353910149371,945.4243396533233
9,2020-01-31,0,75.29707201416144,543.8115921762883,True,10,0.24130060484450774,945.4243396533233
10,2020-02-01,0,75.29707201416144,543.8115921762883,True,11,0.27447455569045287,945.4243396533233
11,2020-02-02,0,75.29707201416144,543.8115921762883,True,12,0.3122079440805839,945.4243396533233
12,2020-02-03,0,75.29707201416144,543.8115921762883,True,13,0.3551270356821116,945.4243396533233
13,2020-02-04,0,75.29707201416144,543.8115921762883,True,14,0.4039440044014683,945.4243396533233
14,2020-02-05,0,75.29707201416144,543.8115921762883,True,15,0.45946868366582383,945.4243396533233
15,2020-02-06,0,75.29707201416144,543.8115921762883,True,16,0.5226219153853164,945.4243396533233
16,2020-02-07,0,75.29707201416144,543.8115921762883,True,17,0.5944507109403769,945.4243396533233
17,2020-02-08,0,75.29707201416144,543.8115921762883,True,18,0.6761454664462734,945.4243396533233
18,2020-02-09,0,75.29707201416144,543.8115921762883,True,19,0.7690595058352965,945.4243396533233
19,2020-02-10,0,75.29707201416144,543.8115921762883,True,20,0.8747312602980845,945.4243396533233
20,2020-02-11,0,75.29707201416144,543.8115921762883,True,21,0.9949094316791258,945.4243396533233
21,2020-02-12,0,75.29707201416144,543.8115921762883,True,22,1.1315815308648902,945.4243396533233
22,2020-02-13,0,75.29707201416144,543.8115921762883,True,23,1.287006230357186,945.4243396533233
23,2020-02-14,0,75.29707201416144,543.8115921762883,True,24,1.4637500233736351,945.4243396533233
24,2020-02-15,0,75.29707201416144,543.8115921762883,True,25,1.6647287401820936,945.4243396533233
25,2020-02-16,0,75.29707201416144,543.8115921762883,True,26,1.8932545360754904,945.4243396533233
26,2020-02-17,0,75.29707201416144,543.8115921762883,True,27,2.153089034395675,945.4243396533233
27,2020-02-18,0,75.29707201416144,543.8115921762883,True,28,2.4485033820692688,945.4243396533233
28,2020-02-19,0,75.29707201416144,543.8115921762883,True,29,2.7843460536699394,945.4243396533233
29,2020-02-20,0,75.29707201416144,543.8115921762883,True,30,3.166119322095935,945.4243396533233
30,2020-02-21,0,75.29707201416144,543.8115921762883,True,31,3.6000653980095443,945.4243396533233
31,2020-02-22,0,75.29707201416144,543.8115921762883,True,32,4.093263323933426,945.4243396533233
32,2020-02-23,0,75.29707201416144,543.8115921762883,True,33,4.6537377890526574,945.4243396533233
33,2020-02-24,0,75.29707201416144,543.8115921762883,True,34,5.290581102753729,945.4243396533233
34,2020-02-25,0,75.29707201416144,543.8115921762883,True,35,6.014089622499649,945.4243396533233
35,2020-02-26,0,75.29707201416144,543.8115921762883,True,36,6.835915966424478,945.4243396533233
36,2020-02-27,0,75.29707201416144,543.8115921762883,True,37,7.769238341974603,945.4243396533233
37,2020-02-28,0,75.29707201416144,543.8115921762883,True,38,8.828948274616646,945.4243396533233
38,2020-02-29,0,75.29707201416144,543.8115921762883,True,39,10.031857906517413,945.4243396533233
39,2020-03-01,0,75.29707201416144,543.8115921762883,True,40,11.396927830584422,945.4243396533233
40,2020-03-02,0,75.29707201416144,543.8115921762883,True,41,12.945516100703983,945.4243396533233
41,2020-03-03,0,75.29707201416144,543.8115921762883,True,42,14.701648577713557,945.4243396533233
42,2020-03-04,0,75.29707201416144,543.8115921762883,True,43,16.69231008778762,945.4243396533233
43,2020-03-05,0,75.29707201416144,543.8115921762883,True,44,18.947754931747152,945.4243396533233
44,2020-03-06,1,75.29707201416144,543.8115921762883,True,45,21.501834027163763,945.4243396533233
45,2020-03-07,1,75.29707201416144,543.8115921762883,True,46,24.392334317711914,945.4243396533233
46,2020-03-08,3,75.29707201416144,543.8115921762883,True,47,27.66132396600334,945.4243396533233
47,2020-03-09,3,75.29707201416144,543.8115921762883,True,48,31.355494172662876,945.4243396533233
48,2020-03-10,7,75.29707201416144,543.8115921762883,True,49,35.526485152785874,945.4243396533233
49,2020-03-11,10,75.29707201416144,543.8115921762883,True,50,40.231179779629116,945.4243396533233
50,2020-03-12,16,75.29707201416144,543.8115921762883,True,51,45.531943629224486,945.4243396533233
51,2020-03-13,32,75.29707201416144,543.8115921762883,True,52,51.496784631172055,945.4243396533233
52,2020-03-14,44,75.29707201416144,543.8115921762883,True,53,58.19939933001498,945.4243396533233
53,2020-03-15,54,75.29707201416144,543.8115921762883,True,54,65.719066083634,945.4243396533233
54,2020-03-16,63,75.29707201416144,543.8115921762883,True,55,74.14033872755682,945.4243396533233
55,2020-03-17,72,75.29707201416144,543.8115921762883,True,56,83.55248788978412,945.4243396533233
56,2020-03-18,105,75.29707201416144,543.8115921762883,True,57,94.04863209150194,945.4243396533233
