,Report_Date,Canada_newfoundland and labrador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.99214328614966,164.5673185348705,True,1,0.0038620733296391694,311.6374757060875
1,2020-01-23,0,71.99214328614966,164.5673185348705,True,2,0.004531809598308881,311.6374757060875
2,2020-01-24,0,71.99214328614966,164.5673185348705,True,3,0.005317685407642036,311.6374757060875
3,2020-01-25,0,71.99214328614966,164.5673185348705,True,4,0.006239839907741606,311.6374757060875
4,2020-01-26,0,71.99214328614966,164.5673185348705,True,5,0.007321904206808144,311.6374757060875
5,2020-01-27,0,71.99214328614966,164.5673185348705,True,6,0.008591606746642872,311.6374757060875
6,2020-01-28,0,71.99214328614966,164.5673185348705,True,7,0.010081483589856065,311.6374757060875
7,2020-01-29,0,71.99214328614966,164.5673185348705,True,8,0.011829711785729755,311.6374757060875
8,2020-01-30,0,71.99214328614966,164.5673185348705,True,9,0.013881087122167998,311.6374757060875
9,2020-01-31,0,71.99214328614966,164.5673185348705,True,10,0.01628817125251158,311.6374757060875
10,2020-02-01,0,71.99214328614966,164.5673185348705,True,11,0.019112637500578837,311.6374757060875
11,2020-02-02,0,71.99214328614966,164.5673185348705,True,12,0.02242684970298951,311.6374757060875
12,2020-02-03,0,71.99214328614966,164.5673185348705,True,13,0.02631571437047975,311.6374757060875
13,2020-02-04,0,71.99214328614966,164.5673185348705,True,14,0.030878853386184128,311.6374757060875
14,2020-02-05,0,71.99214328614966,164.5673185348705,True,15,0.036233152579455884,311.6374757060875
15,2020-02-06,0,71.99214328614966,164.5673185348705,True,16,0.04251575101712804,311.6374757060875
16,2020-02-07,0,71.99214328614966,164.5673185348705,True,17,0.049887546970380676,311.6374757060875
17,2020-02-08,0,71.99214328614966,164.5673185348705,True,18,0.05853730951108873,311.6374757060875
18,2020-02-09,0,71.99214328614966,164.5673185348705,True,19,0.06868649987445496,311.6374757060875
19,2020-02-10,0,71.99214328614966,164.5673185348705,True,20,0.08059492444922987,311.6374757060875
20,2020-02-11,0,71.99214328614966,164.5673185348705,True,21,0.09456736192932502,311.6374757060875
21,2020-02-12,0,71.99214328614966,164.5673185348705,True,22,0.1109613312452139,311.6374757060875
22,2020-02-13,0,71.99214328614966,164.5673185348705,True,23,0.1301961949171133,311.6374757060875
23,2020-02-14,0,71.99214328614966,164.5673185348705,True,24,0.15276382502865168,311.6374757060875
24,2020-02-15,0,71.99214328614966,164.5673185348705,True,25,0.17924109677351616,311.6374757060875
25,2020-02-16,0,71.99214328614966,164.5673185348705,True,26,0.21030451821207144,311.6374757060875
26,2020-02-17,0,71.99214328614966,164.5673185348705,True,27,0.24674735528878805,311.6374757060875
27,2020-02-18,0,71.99214328614966,164.5673185348705,True,28,0.2894996691565135,311.6374757060875
28,2020-02-19,0,71.99214328614966,164.5673185348705,True,29,0.3396517493136604,311.6374757060875
29,2020-02-20,0,71.99214328614966,164.5673185348705,True,30,0.3984815018633648,311.6374757060875
30,2020-02-21,0,71.99214328614966,164.5673185348705,True,31,0.4674864381639626,311.6374757060875
31,2020-02-22,0,71.99214328614966,164.5673185348705,True,32,0.5484210059198436,311.6374757060875
32,2020-02-23,0,71.99214328614966,164.5673185348705,True,33,0.6433401127397069,311.6374757060875
33,2020-02-24,0,71.99214328614966,164.5673185348705,True,34,0.7546498112720279,311.6374757060875
34,2020-02-25,0,71.99214328614966,164.5673185348705,True,35,0.8851662443803467,311.6374757060875
35,2020-02-26,0,71.99214328614966,164.5673185348705,True,36,1.0381840864914191,311.6374757060875
36,2020-02-27,0,71.99214328614966,164.5673185348705,True,37,1.2175558596472038,311.6374757060875
37,2020-02-28,0,71.99214328614966,164.5673185348705,True,38,1.4277836439799743,311.6374757060875
38,2020-02-29,0,71.99214328614966,164.5673185348705,True,39,1.6741248330702225,311.6374757060875
39,2020-03-01,0,71.99214328614966,164.5673185348705,True,40,1.9627136911326784,311.6374757060875
40,2020-03-02,0,71.99214328614966,164.5673185348705,True,41,2.300700531177593,311.6374757060875
41,2020-03-03,0,71.99214328614966,164.5673185348705,True,42,2.69641032283994,311.6374757060875
42,2020-03-04,0,71.99214328614966,164.5673185348705,True,43,3.1595224160872286,311.6374757060875
43,2020-03-05,0,71.99214328614966,164.5673185348705,True,44,3.701272778912725,311.6374757060875
44,2020-03-06,0,71.99214328614966,164.5673185348705,True,45,4.334679621822237,311.6374757060875
45,2020-03-07,0,71.99214328614966,164.5673185348705,True,46,5.0747924257755,311.6374757060875
46,2020-03-08,0,71.99214328614966,164.5673185348705,True,47,5.938963083494242,311.6374757060875
47,2020-03-09,0,71.99214328614966,164.5673185348705,True,48,6.9471359577433685,311.6374757060875
48,2020-03-10,0,71.99214328614966,164.5673185348705,True,49,8.122150975449282,311.6374757060875
49,2020-03-11,0,71.99214328614966,164.5673185348705,True,50,9.49005020856174,311.6374757060875
50,2020-03-12,0,71.99214328614966,164.5673185348705,True,51,11.080373523104013,311.6374757060875
51,2020-03-13,0,71.99214328614966,164.5673185348705,True,52,12.926422601026088,311.6374757060875
52,2020-03-14,0,71.99214328614966,164.5673185348705,True,53,15.065464808189494,311.6374757060875
53,2020-03-15,1,71.99214328614966,164.5673185348705,True,54,17.538838982780188,311.6374757060875
54,2020-03-16,1,71.99214328614966,164.5673185348705,True,55,20.391914484185246,311.6374757060875
55,2020-03-17,3,71.99214328614966,164.5673185348705,True,56,23.673843405512134,311.6374757060875
56,2020-03-18,3,71.99214328614966,164.5673185348705,True,57,27.437034939547402,311.6374757060875
