,Report_Date,Saint Lucia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.68824495480895,8.796057393642528,True,1,0.00020752051617364576,17.592096258093736
1,2020-01-23,0,69.68824495480895,8.796057393642528,True,2,0.00024479820592856577,17.592096258093736
2,2020-01-24,0,69.68824495480895,8.796057393642528,True,3,0.0002887721171862898,17.592096258093736
3,2020-01-25,0,69.68824495480895,8.796057393642528,True,4,0.0003406450545832649,17.592096258093736
4,2020-01-26,0,69.68824495480895,8.796057393642528,True,5,0.00040183585894261177,17.592096258093736
5,2020-01-27,0,69.68824495480895,8.796057393642528,True,6,0.00047401820301621803,17.592096258093736
6,2020-01-28,0,69.68824495480895,8.796057393642528,True,7,0.0005591663515765202,17.592096258093736
7,2020-01-29,0,69.68824495480895,8.796057393642528,True,8,0.000659609135039538,17.592096258093736
8,2020-01-30,0,69.68824495480895,8.796057393642528,True,9,0.0007780936094678024,17.592096258093736
9,2020-01-31,0,69.68824495480895,8.796057393642528,True,10,0.0009178601393614663,17.592096258093736
10,2020-02-01,0,69.68824495480895,8.796057393642528,True,11,0.0010827309501522794,17.592096258093736
11,2020-02-02,0,69.68824495480895,8.796057393642528,True,12,0.0012772145630459237,17.592096258093736
12,2020-02-03,0,69.68824495480895,8.796057393642528,True,13,0.0015066289555171004,17.592096258093736
13,2020-02-04,0,69.68824495480895,8.796057393642528,True,14,0.0017772467977110093,17.592096258093736
14,2020-02-05,0,69.68824495480895,8.796057393642528,True,15,0.002096466711530045,17.592096258093736
15,2020-02-06,0,69.68824495480895,8.796057393642528,True,16,0.002473015200794295,17.592096258093736
16,2020-02-07,0,69.68824495480895,8.796057393642528,True,17,0.002917184725625988,17.592096258093736
17,2020-02-08,0,69.68824495480895,8.796057393642528,True,18,0.0034411143631182203,17.592096258093736
18,2020-02-09,0,69.68824495480895,8.796057393642528,True,19,0.004059120633737042,17.592096258093736
19,2020-02-10,0,69.68824495480895,8.796057393642528,True,20,0.0047880874068643295,17.592096258093736
20,2020-02-11,0,69.68824495480895,8.796057393642528,True,21,0.00564792536170829,17.592096258093736
21,2020-02-12,0,69.68824495480895,8.796057393642528,True,22,0.0066621133084073915,17.592096258093736
22,2020-02-13,0,69.68824495480895,8.796057393642528,True,23,0.007858335810454723,17.592096258093736
23,2020-02-14,0,69.68824495480895,8.796057393642528,True,24,0.00926923404077116,17.592096258093736
24,2020-02-15,0,69.68824495480895,8.796057393642528,True,25,0.010933289702408895,17.592096258093736
25,2020-02-16,0,69.68824495480895,8.796057393642528,True,26,0.012895865208641225,17.592096258093736
26,2020-02-17,0,69.68824495480895,8.796057393642528,True,27,0.01521042720814193,17.592096258093736
27,2020-02-18,0,69.68824495480895,8.796057393642528,True,28,0.01793998502402712,17.592096258093736
28,2020-02-19,0,69.68824495480895,8.796057393642528,True,29,0.02115878071596442,17.592096258093736
29,2020-02-20,0,69.68824495480895,8.796057393642528,True,30,0.024954273333655557,17.592096258093736
30,2020-02-21,0,69.68824495480895,8.796057393642528,True,31,0.029429466558588253,17.592096258093736
31,2020-02-22,0,69.68824495480895,8.796057393642528,True,32,0.03470563635952725,17.592096258093736
32,2020-02-23,0,69.68824495480895,8.796057393642528,True,33,0.04092552351151389,17.592096258093736
33,2020-02-24,0,69.68824495480895,8.796057393642528,True,34,0.04825706478839048,17.592096258093736
34,2020-02-25,0,69.68824495480895,8.796057393642528,True,35,0.05689774619034257,17.592096258093736
35,2020-02-26,0,69.68824495480895,8.796057393642528,True,36,0.06707967143992082,17.592096258093736
36,2020-02-27,0,69.68824495480895,8.796057393642528,True,37,0.07907544871913257,17.592096258093736
37,2020-02-28,0,69.68824495480895,8.796057393642528,True,38,0.09320500751371757,17.592096258093736
38,2020-02-29,0,69.68824495480895,8.796057393642528,True,39,0.10984346440368783,17.592096258093736
39,2020-03-01,0,69.68824495480895,8.796057393642528,True,40,0.12943016011937286,17.592096258093736
40,2020-03-02,0,69.68824495480895,8.796057393642528,True,41,0.15247898792608008,17.592096258093736
