,Report_Date,Benin_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,181.75186675752715,1417.3878331264782,True,1,7.338435319089857,2821.3055837034076
1,2020-01-23,0,181.75186675752715,1417.3878331264782,True,2,7.5835326992165415,2821.3055837034076
2,2020-01-24,0,181.75186675752715,1417.3878331264782,True,3,7.836793430230833,2821.3055837034076
3,2020-01-25,0,181.75186675752715,1417.3878331264782,True,4,8.098487864719877,2821.3055837034076
4,2020-01-26,0,181.75186675752715,1417.3878331264782,True,5,8.368895204183426,2821.3055837034076
5,2020-01-27,0,181.75186675752715,1417.3878331264782,True,6,8.648303781559587,2821.3055837034076
6,2020-01-28,0,181.75186675752715,1417.3878331264782,True,7,8.93701135228549,2821.3055837034076
7,2020-01-29,0,181.75186675752715,1417.3878331264782,True,8,9.23532539411701,2821.3055837034076
8,2020-01-30,0,181.75186675752715,1417.3878331264782,True,9,9.543563415935255,2821.3055837034076
9,2020-01-31,0,181.75186675752715,1417.3878331264782,True,10,9.862053275770721,2821.3055837034076
10,2020-02-01,0,181.75186675752715,1417.3878331264782,True,11,10.191133508279224,2821.3055837034076
11,2020-02-02,0,181.75186675752715,1417.3878331264782,True,12,10.531153661906714,2821.3055837034076
12,2020-02-03,0,181.75186675752715,1417.3878331264782,True,13,10.882474645982716,2821.3055837034076
13,2020-02-04,0,181.75186675752715,1417.3878331264782,True,14,11.245469087984775,2821.3055837034076
14,2020-02-05,0,181.75186675752715,1417.3878331264782,True,15,11.620521701218431,2821.3055837034076
15,2020-02-06,0,181.75186675752715,1417.3878331264782,True,16,12.008029663159231,2821.3055837034076
16,2020-02-07,0,181.75186675752715,1417.3878331264782,True,17,12.408403004704905,2821.3055837034076
17,2020-02-08,0,181.75186675752715,1417.3878331264782,True,18,12.822065010587053,2821.3055837034076
18,2020-02-09,0,181.75186675752715,1417.3878331264782,True,19,13.249452631192549,2821.3055837034076
19,2020-02-10,0,181.75186675752715,1417.3878331264782,True,20,13.691016906045261,2821.3055837034076
20,2020-02-11,0,181.75186675752715,1417.3878331264782,True,21,14.147223399198616,2821.3055837034076
21,2020-02-12,0,181.75186675752715,1417.3878331264782,True,22,14.6185526467889,2821.3055837034076
22,2020-02-13,0,181.75186675752715,1417.3878331264782,True,23,15.105500616998006,2821.3055837034076
