,Report_Date,Switzerland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.80299102051829,13327.38438495799,True,1,0.3166771353663162,26249.21904385325
1,2020-01-23,0,66.80299102051829,13327.38438495799,True,2,0.37623802441530985,26249.21904385325
2,2020-01-24,0,66.80299102051829,13327.38438495799,True,3,0.4470009852774807,26249.21904385325
3,2020-01-25,0,66.80299102051829,13327.38438495799,True,4,0.5310727999387468,26249.21904385325
4,2020-01-26,0,66.80299102051829,13327.38438495799,True,5,0.6309564426252544,26249.21904385325
5,2020-01-27,0,66.80299102051829,13327.38438495799,True,6,0.7496255728963485,26249.21904385325
6,2020-01-28,0,66.80299102051829,13327.38438495799,True,7,0.8906130297337719,26249.21904385325
7,2020-01-29,0,66.80299102051829,13327.38438495799,True,8,1.058115955900307,26249.21904385325
8,2020-01-30,0,66.80299102051829,13327.38438495799,True,9,1.257120674684294,26249.21904385325
9,2020-01-31,0,66.80299102051829,13327.38438495799,True,10,1.4935510259944886,26249.21904385325
10,2020-02-01,0,66.80299102051829,13327.38438495799,True,11,1.7744445626431,26249.21904385325
11,2020-02-02,0,66.80299102051829,13327.38438495799,True,12,2.108161830658665,26249.21904385325
12,2020-02-03,0,66.80299102051829,13327.38438495799,True,13,2.5046349333265234,26249.21904385325
13,2020-02-04,0,66.80299102051829,13327.38438495799,True,14,2.9756627353144194,26249.21904385325
14,2020-02-05,0,66.80299102051829,13327.38438495799,True,15,3.5352614335852897,26249.21904385325
15,2020-02-06,0,66.80299102051829,13327.38438495799,True,16,4.200080844432323,26249.21904385325
16,2020-02-07,0,66.80299102051829,13327.38438495799,True,17,4.989898676106981,26249.21904385325
17,2020-02-08,0,66.80299102051829,13327.38438495799,True,18,5.928207326949392,26249.21904385325
18,2020-02-09,0,66.80299102051829,13327.38438495799,True,19,7.042910431112806,26249.21904385325
19,2020-02-10,0,66.80299102051829,13327.38438495799,True,20,8.367149539076484,26249.21904385325
20,2020-02-11,0,66.80299102051829,13327.38438495799,True,21,9.9402850501682,26249.21904385325
21,2020-02-12,0,66.80299102051829,13327.38438495799,True,22,11.809059903094766,26249.21904385325
22,2020-02-13,0,66.80299102051829,13327.38438495799,True,23,14.0289796844152,26249.21904385325
23,2020-02-14,0,66.80299102051829,13327.38438495799,True,24,16.66594885329667,26249.21904385325
24,2020-02-15,0,66.80299102051829,13327.38438495799,True,25,19.79820983553464,26249.21904385325
25,2020-02-16,0,66.80299102051829,13327.38438495799,True,26,23.51863995324819,26249.21904385325
26,2020-02-17,0,66.80299102051829,13327.38438495799,True,27,27.937470678649262,26249.21904385325
27,2020-02-18,0,66.80299102051829,13327.38438495799,True,28,33.18550468137112,26249.21904385325
28,2020-02-19,0,66.80299102051829,13327.38438495799,True,29,39.417918719663355,26249.21904385325
29,2020-02-20,0,66.80299102051829,13327.38438495799,True,30,46.81875472019036,26249.21904385325
30,2020-02-21,0,66.80299102051829,13327.38438495799,True,31,55.60621746063063,26249.21904385325
31,2020-02-22,0,66.80299102051829,13327.38438495799,True,32,66.0389150845193,26249.21904385325
32,2020-02-23,0,66.80299102051829,13327.38438495799,True,33,78.423198063197,26249.21904385325
33,2020-02-24,0,66.80299102051829,13327.38438495799,True,34,93.12177277351228,26249.21904385325
34,2020-02-25,1,66.80299102051829,13327.38438495799,True,35,110.56378684136202,26249.21904385325
35,2020-02-26,1,66.80299102051829,13327.38438495799,True,36,131.25660357399565,26249.21904385325
36,2020-02-27,8,66.80299102051829,13327.38438495799,True,37,155.7995002220115,26249.21904385325
37,2020-02-28,8,66.80299102051829,13327.38438495799,True,38,184.89953653043477,26249.21904385325
38,2020-02-29,18,66.80299102051829,13327.38438495799,True,39,219.38984173367322,26249.21904385325
39,2020-03-01,27,66.80299102051829,13327.38438495799,True,40,260.25055363007067,26249.21904385325
40,2020-03-02,42,66.80299102051829,13327.38438495799,True,41,308.6326039699634,26249.21904385325
41,2020-03-03,56,66.80299102051829,13327.38438495799,True,42,365.8844682372751,26249.21904385325
42,2020-03-04,90,66.80299102051829,13327.38438495799,True,43,433.58186912446325,26249.21904385325
43,2020-03-05,114,66.80299102051829,13327.38438495799,True,44,513.5602209250264,26249.21904385325
44,2020-03-06,214,66.80299102051829,13327.38438495799,True,45,607.9493006491496,26249.21904385325
45,2020-03-07,268,66.80299102051829,13327.38438495799,True,46,719.2091994507947,26249.21904385325
46,2020-03-08,337,66.80299102051829,13327.38438495799,True,47,850.1660091816022,26249.21904385325
47,2020-03-09,374,66.80299102051829,13327.38438495799,True,48,1004.0448966453804,26249.21904385325
48,2020-03-10,491,66.80299102051829,13327.38438495799,True,49,1184.497180831852,26249.21904385325
49,2020-03-11,652,66.80299102051829,13327.38438495799,True,50,1395.616741324719,26249.21904385325
50,2020-03-12,652,66.80299102051829,13327.38438495799,True,51,1641.9395698067895,26249.21904385325
51,2020-03-13,1139,66.80299102051829,13327.38438495799,True,52,1928.4186141121547,26249.21904385325
52,2020-03-14,1359,66.80299102051829,13327.38438495799,True,53,2260.364436733974,26249.21904385325
53,2020-03-15,2200,66.80299102051829,13327.38438495799,True,54,2643.34093742311,26249.21904385325
54,2020-03-16,2200,66.80299102051829,13327.38438495799,True,55,3083.0049685003078,26249.21904385325
55,2020-03-17,2700,66.80299102051829,13327.38438495799,True,56,3584.8797853438155,26249.21904385325
56,2020-03-18,3028,66.80299102051829,13327.38438495799,True,57,4154.055749841955,26249.21904385325
