,Report_Date,France_reunion_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.82141105750497,246.5701921186894,True,1,0.0058018377302641875,472.2400990196223
1,2020-01-23,0,70.82141105750497,246.5701921186894,True,2,0.006825976587748848,472.2400990196223
2,2020-01-24,0,70.82141105750497,246.5701921186894,True,3,0.008030893220666498,472.2400990196223
3,2020-01-25,0,70.82141105750497,246.5701921186894,True,4,0.009448496823206538,472.2400990196223
4,2020-01-26,0,70.82141105750497,246.5701921186894,True,5,0.0111163284661088,472.2400990196223
5,2020-01-27,0,70.82141105750497,246.5701921186894,True,6,0.013078554938934906,472.2400990196223
6,2020-01-28,0,70.82141105750497,246.5701921186894,True,7,0.015387137908896535,472.2400990196223
7,2020-01-29,0,70.82141105750497,246.5701921186894,True,8,0.01810320929792559,472.2400990196223
8,2020-01-30,0,70.82141105750497,246.5701921186894,True,9,0.021298689216999202,472.2400990196223
9,2020-01-31,0,70.82141105750497,246.5701921186894,True,10,0.02505818918714741,472.2400990196223
10,2020-02-01,0,70.82141105750497,246.5701921186894,True,11,0.02948125088573366,472.2400990196223
11,2020-02-02,0,70.82141105750497,246.5701921186894,True,12,0.0346849794784215,472.2400990196223
12,2020-02-03,0,70.82141105750497,246.5701921186894,True,13,0.04080714095849802,472.2400990196223
13,2020-02-04,0,70.82141105750497,246.5701921186894,True,14,0.04800980508082615,472.2400990196223
14,2020-02-05,0,70.82141105750497,246.5701921186894,True,15,0.05648362975669562,472.2400990196223
15,2020-02-06,0,70.82141105750497,246.5701921186894,True,16,0.06645289952821963,472.2400990196223
16,2020-02-07,0,70.82141105750497,246.5701921186894,True,17,0.07818145038520193,472.2400990196223
17,2020-02-08,0,70.82141105750497,246.5701921186894,True,18,0.09197963620905085,472.2400990196223
18,2020-02-09,0,70.82141105750497,246.5701921186894,True,19,0.10821251908894615,472.2400990196223
19,2020-02-10,0,70.82141105750497,246.5701921186894,True,20,0.12730949730259208,472.2400990196223
20,2020-02-11,0,70.82141105750497,246.5701921186894,True,21,0.1497756216310848,472.2400990196223
21,2020-02-12,0,70.82141105750497,246.5701921186894,True,22,0.17620489373430723,472.2400990196223
22,2020-02-13,0,70.82141105750497,246.5701921186894,True,23,0.20729589051467154,472.2400990196223
