,Report_Date,Austria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.70083493138189,7515.297584944491,True,1,0.1786210331722296,14935.554468590874
1,2020-01-23,0,66.70083493138189,7515.297584944491,True,2,0.2122722411283425,14935.554468590874
2,2020-01-24,0,66.70083493138189,7515.297584944491,True,3,0.2522630428662865,14935.554468590874
3,2020-01-25,0,66.70083493138189,7515.297584944491,True,4,0.29978771863835535,14935.554468590874
4,2020-01-26,0,66.70083493138189,7515.297584944491,True,5,0.3562655143201444,14935.554468590874
5,2020-01-27,0,66.70083493138189,7515.297584944491,True,6,0.42338301055030003,14935.554468590874
6,2020-01-28,0,66.70083493138189,7515.297584944491,True,7,0.5031444684331927,14935.554468590874
7,2020-01-29,0,66.70083493138189,7515.297584944491,True,8,0.597931652232783,14935.554468590874
8,2020-01-30,0,66.70083493138189,7515.297584944491,True,9,0.7105749112007258,14935.554468590874
9,2020-01-31,0,66.70083493138189,7515.297584944491,True,10,0.8444376370745723,14935.554468590874
10,2020-02-01,0,66.70083493138189,7515.297584944491,True,11,1.003516610613947,14935.554468590874
11,2020-02-02,0,66.70083493138189,7515.297584944491,True,12,1.1925612213467789,14935.554468590874
12,2020-02-03,0,66.70083493138189,7515.297584944491,True,13,1.4172151030849753,14935.554468590874
13,2020-02-04,0,66.70083493138189,7515.297584944491,True,14,1.6841843897807294,14935.554468590874
14,2020-02-05,0,66.70083493138189,7515.297584944491,True,15,2.0014375808056903,14935.554468590874
15,2020-02-06,0,66.70083493138189,7515.297584944491,True,16,2.378442933909965,14935.554468590874
16,2020-02-07,0,66.70083493138189,7515.297584944491,True,17,2.8264504039208753,14935.554468590874
17,2020-02-08,0,66.70083493138189,7515.297584944491,True,18,3.35882644599946,14935.554468590874
18,2020-02-09,0,66.70083493138189,7515.297584944491,True,19,3.9914515392798036,14935.554468590874
19,2020-02-10,0,66.70083493138189,7515.297584944491,True,20,4.743192100864334,14935.554468590874
20,2020-02-11,0,66.70083493138189,7515.297584944491,True,21,5.636460598552555,14935.554468590874
21,2020-02-12,0,66.70083493138189,7515.297584944491,True,22,6.697880187248642,14935.554468590874
22,2020-02-13,0,66.70083493138189,7515.297584944491,True,23,7.9590731498576925,14935.554468590874
23,2020-02-14,0,66.70083493138189,7515.297584944491,True,24,9.45759588717036,14935.554468590874
24,2020-02-15,0,66.70083493138189,7515.297584944491,True,25,11.238047248407296,14935.554468590874
25,2020-02-16,0,66.70083493138189,7515.297584944491,True,26,13.353381706541976,14935.554468590874
26,2020-02-17,0,66.70083493138189,7515.297584944491,True,27,15.866464346081992,14935.554468590874
27,2020-02-18,0,66.70083493138189,7515.297584944491,True,28,18.851910931777322,14935.554468590874
28,2020-02-19,0,66.70083493138189,7515.297584944491,True,29,22.39826354488802,14935.554468590874
29,2020-02-20,0,66.70083493138189,7515.297584944491,True,30,26.610560473526462,14935.554468590874
30,2020-02-21,0,66.70083493138189,7515.297584944491,True,31,31.613368258739666,14935.554468590874
31,2020-02-22,0,66.70083493138189,7515.297584944491,True,32,37.554354008876345,14935.554468590874
32,2020-02-23,0,66.70083493138189,7515.297584944491,True,33,44.60848719627905,14935.554468590874
33,2020-02-24,0,66.70083493138189,7515.297584944491,True,34,52.98297190520346,14935.554468590874
34,2020-02-25,2,66.70083493138189,7515.297584944491,True,35,62.923022473007165,14935.554468590874
35,2020-02-26,2,66.70083493138189,7515.297584944491,True,36,74.71860693380914,14935.554468590874
36,2020-02-27,3,66.70083493138189,7515.297584944491,True,37,88.71229249659268,14935.554468590874
