,Report_Date,Venezuela_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.52431131335881,92.87185500646069,True,1,0.0022202357782026222,184.59651440881555
1,2020-01-23,0,64.52431131335881,92.87185500646069,True,2,0.0026539226141588327,184.59651440881555
2,2020-01-24,0,64.52431131335881,92.87185500646069,True,3,0.003172321651041472,184.59651440881555
3,2020-01-25,0,64.52431131335881,92.87185500646069,True,4,0.0037919791321683544,184.59651440881555
4,2020-01-26,0,64.52431131335881,92.87185500646069,True,5,0.004532672897097881,184.59651440881555
5,2020-01-27,0,64.52431131335881,92.87185500646069,True,6,0.005418043420732357,184.59651440881555
6,2020-01-28,0,64.52431131335881,92.87185500646069,True,7,0.006476348027539891,184.59651440881555
7,2020-01-29,0,64.52431131335881,92.87185500646069,True,8,0.007741362302972239,184.59651440881555
8,2020-01-30,0,64.52431131335881,92.87185500646069,True,9,0.009253457400032666,184.59651440881555
9,2020-01-31,0,64.52431131335881,92.87185500646069,True,10,0.011060887521117514,184.59651440881555
10,2020-02-01,0,64.52431131335881,92.87185500646069,True,11,0.013221328517717961,184.59651440881555
11,2020-02-02,0,64.52431131335881,92.87185500646069,True,12,0.015803716500015226,184.59651440881555
12,2020-02-03,0,64.52431131335881,92.87185500646069,True,13,0.018890444830045254,184.59651440881555
13,2020-02-04,0,64.52431131335881,92.87185500646069,True,14,0.02257998917641258,184.59651440881555
14,2020-02-05,0,64.52431131335881,92.87185500646069,True,15,0.026990043778925478,184.59651440881555
15,2020-02-06,0,64.52431131335881,92.87185500646069,True,16,0.03226126811312875,184.59651440881555
16,2020-02-07,0,64.52431131335881,92.87185500646069,True,17,0.03856176223409994,184.59651440881555
17,2020-02-08,0,64.52431131335881,92.87185500646069,True,18,0.046092411774750854,184.59651440881555
18,2020-02-09,0,64.52431131335881,92.87185500646069,True,19,0.0550932705284513,184.59651440881555
19,2020-02-10,0,64.52431131335881,92.87185500646069,True,20,0.06585118051640772,184.59651440881555
20,2020-02-11,0,64.52431131335881,92.87185500646069,True,21,0.07870886730045143,184.59651440881555
21,2020-02-12,0,64.52431131335881,92.87185500646069,True,22,0.09407579305078786,184.59651440881555
22,2020-02-13,0,64.52431131335881,92.87185500646069,True,23,0.11244110264584836,184.59651440881555
23,2020-02-14,0,64.52431131335881,92.87185500646069,True,24,0.13438906012722188,184.59651440881555
24,2020-02-15,0,64.52431131335881,92.87185500646069,True,25,0.16061744553283086,184.59651440881555
25,2020-02-16,0,64.52431131335881,92.87185500646069,True,26,0.19195946694748592,184.59651440881555
26,2020-02-17,0,64.52431131335881,92.87185500646069,True,27,0.2294098410289123,184.59651440881555
27,2020-02-18,0,64.52431131335881,92.87185500646069,True,28,0.2741558087002551,184.59651440881555
28,2020-02-19,0,64.52431131335881,92.87185500646069,True,29,0.3276139823167262,184.59651440881555
29,2020-02-20,0,64.52431131335881,92.87185500646069,True,30,0.3914740670866781,184.59651440881555
30,2020-02-21,0,64.52431131335881,92.87185500646069,True,31,0.46775066264287934,184.59651440881555
31,2020-02-22,0,64.52431131335881,92.87185500646069,True,32,0.558844528746126,184.59651440881555
32,2020-02-23,0,64.52431131335881,92.87185500646069,True,33,0.6676148881962295,184.59651440881555
33,2020-02-24,0,64.52431131335881,92.87185500646069,True,34,0.7974645326777936,184.59651440881555
34,2020-02-25,0,64.52431131335881,92.87185500646069,True,35,0.9524396808761109,184.59651440881555
35,2020-02-26,0,64.52431131335881,92.87185500646069,True,36,1.1373466926874733,184.59651440881555
36,2020-02-27,0,64.52431131335881,92.87185500646069,True,37,1.3578878380335677,184.59651440881555
37,2020-02-28,0,64.52431131335881,92.87185500646069,True,38,1.6208183082104222,184.59651440881555
38,2020-02-29,0,64.52431131335881,92.87185500646069,True,39,1.9341264762443264,184.59651440881555
39,2020-03-01,0,64.52431131335881,92.87185500646069,True,40,2.307238967934253,184.59651440881555
40,2020-03-02,0,64.52431131335881,92.87185500646069,True,41,2.751251269947678,184.59651440881555
41,2020-03-03,0,64.52431131335881,92.87185500646069,True,42,3.2791832050451486,184.59651440881555
42,2020-03-04,0,64.52431131335881,92.87185500646069,True,43,3.906256425634325,184.59651440881555
43,2020-03-05,0,64.52431131335881,92.87185500646069,True,44,4.650187838117014,184.59651440881555
44,2020-03-06,0,64.52431131335881,92.87185500646069,True,45,5.531488242533035,184.59651440881555
45,2020-03-07,0,64.52431131335881,92.87185500646069,True,46,6.573749092986298,184.59651440881555
46,2020-03-08,0,64.52431131335881,92.87185500646069,True,47,7.803891807596523,184.59651440881555
47,2020-03-09,0,64.52431131335881,92.87185500646069,True,48,9.252343243260789,184.59651440881555
48,2020-03-10,0,64.52431131335881,92.87185500646069,True,49,10.95308782714243,184.59651440881555
49,2020-03-11,0,64.52431131335881,92.87185500646069,True,50,12.94353194060045,184.59651440881555
50,2020-03-12,0,64.52431131335881,92.87185500646069,True,51,15.264100870722599,184.59651440881555
51,2020-03-13,0,64.52431131335881,92.87185500646069,True,52,17.957475637756882,184.59651440881555
52,2020-03-14,2,64.52431131335881,92.87185500646069,True,53,21.067370614477596,184.59651440881555
53,2020-03-15,10,64.52431131335881,92.87185500646069,True,54,24.636759323976904,184.59651440881555
54,2020-03-16,17,64.52431131335881,92.87185500646069,True,55,28.705483005853456,184.59651440881555
55,2020-03-17,33,64.52431131335881,92.87185500646069,True,56,33.30723273262793,184.59651440881555
56,2020-03-18,36,64.52431131335881,92.87185500646069,True,57,38.46598704746443,184.59651440881555
57,2020-03-19,42,64.52431131335881,92.87185500646069,True,58,44.19211287882331,184.59651440881555
58,2020-03-20,42,64.52431131335881,92.87185500646069,True,59,50.47848600303206,184.59651440881555
59,2020-03-21,70,64.52431131335881,92.87185500646069,True,60,57.297131223456084,184.59651440881555
60,2020-03-22,70,64.52431131335881,92.87185500646069,True,61,64.59697910168455,184.59651440881555
61,2020-03-23,77,64.52431131335881,92.87185500646069,True,62,72.30333554229453,184.59651440881555
62,2020-03-24,84,64.52431131335881,92.87185500646069,True,63,80.31952233780706,184.59651440881555
63,2020-03-25,91,64.52431131335881,92.87185500646069,True,64,88.53086198459118,184.59651440881555
64,2020-03-26,107,64.52431131335881,92.87185500646069,True,65,96.81078853936867,184.59651440881555
65,2020-03-27,107,64.52431131335881,92.87185500646069,True,66,105.02845677097474,184.59651440881555
66,2020-03-28,119,64.52431131335881,92.87185500646069,True,67,113.0569080824088,184.59651440881555
67,2020-03-29,119,64.52431131335881,92.87185500646069,True,68,120.78073037132496,184.59651440881555
68,2020-03-30,135,64.52431131335881,92.87185500646069,True,69,128.10225935716437,184.59651440881555
69,2020-03-31,135,64.52431131335881,92.87185500646069,True,70,134.94567523457013,184.59651440881555
70,2020-04-01,143,64.52431131335881,92.87185500646069,True,71,141.25875604749208,184.59651440881555
71,2020-04-02,146,64.52431131335881,92.87185500646069,True,72,147.01244398208283,184.59651440881555
72,2020-04-03,153,64.52431131335881,92.87185500646069,True,73,152.1986721163772,184.59651440881555
73,2020-04-04,155,64.52431131335881,92.87185500646069,True,74,156.82704462553818,184.59651440881555
74,2020-04-05,159,64.52431131335881,92.87185500646069,True,75,160.92096989883999,184.59651440881555
75,2020-04-06,165,64.52431131335881,92.87185500646069,True,76,164.5137529250306,184.59651440881555
76,2020-04-07,165,64.52431131335881,92.87185500646069,True,77,167.64501061047704,184.59651440881555
77,2020-04-08,167,64.52431131335881,92.87185500646069,True,78,170.35762463690543,184.59651440881555
78,2020-04-09,171,64.52431131335881,92.87185500646069,True,79,172.69531918810154,184.59651440881555
79,2020-04-10,171,64.52431131335881,92.87185500646069,True,80,174.70085792189244,184.59651440881555
80,2020-04-11,175,64.52431131335881,92.87185500646069,True,81,176.4147967760967,184.59651440881555
81,2020-04-12,181,64.52431131335881,92.87185500646069,True,82,177.87470076986642,184.59651440881555
82,2020-04-13,181,64.52431131335881,92.87185500646069,True,83,179.11472567525763,184.59651440881555
