,Report_Date,China_shanxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,12.83987165481232,67.74133972406588,True,1,4.163846053421443,135.48267942500934
1,2020-01-23,1,12.83987165481232,67.74133972406588,True,2,5.515602287703284,135.48267942500934
2,2020-01-24,1,12.83987165481232,67.74133972406588,True,3,7.281860151511639,135.48267942500934
3,2020-01-25,6,12.83987165481232,67.74133972406588,True,4,9.572068689229914,135.48267942500934
4,2020-01-26,9,12.83987165481232,67.74133972406588,True,5,12.512268171221953,135.48267942500934
5,2020-01-27,13,12.83987165481232,67.74133972406588,True,6,16.23911345493872,135.48267942500934
6,2020-01-28,27,12.83987165481232,67.74133972406588,True,7,20.887467026597765,135.48267942500934
7,2020-01-29,27,12.83987165481232,67.74133972406588,True,8,26.569908228064573,135.48267942500934
8,2020-01-30,35,12.83987165481232,67.74133972406588,True,9,33.34838353682569,135.48267942500934
9,2020-01-31,39,12.83987165481232,67.74133972406588,True,10,41.201969412789666,135.48267942500934
10,2020-02-01,47,12.83987165481232,67.74133972406588,True,11,49.99965100442739,135.48267942500934
11,2020-02-02,66,12.83987165481232,67.74133972406588,True,12,59.49052281414194,135.48267942500934
12,2020-02-03,74,12.83987165481232,67.74133972406588,True,13,69.3219868187082,135.48267942500934
13,2020-02-04,81,12.83987165481232,67.74133972406588,True,14,79.08727533702046,135.48267942500934
14,2020-02-05,81,12.83987165481232,67.74133972406588,True,15,88.39036154892135,135.48267942500934
15,2020-02-06,96,12.83987165481232,67.74133972406588,True,16,96.90733169489101,135.48267942500934
16,2020-02-07,104,12.83987165481232,67.74133972406588,True,17,104.42517899982789,135.48267942500934
17,2020-02-08,115,12.83987165481232,67.74133972406588,True,18,110.85030760654524,135.48267942500934
18,2020-02-09,119,12.83987165481232,67.74133972406588,True,19,116.1917680225434,135.48267942500934
19,2020-02-10,119,12.83987165481232,67.74133972406588,True,20,120.53117683004669,135.48267942500934
20,2020-02-11,124,12.83987165481232,67.74133972406588,True,21,123.99099609378091,135.48267942500934
21,2020-02-12,126,12.83987165481232,67.74133972406588,True,22,126.70848494563587,135.48267942500934
22,2020-02-13,126,12.83987165481232,67.74133972406588,True,23,128.81789927664568,135.48267942500934
23,2020-02-14,127,12.83987165481232,67.74133972406588,True,24,130.44036774818608,135.48267942500934
24,2020-02-15,128,12.83987165481232,67.74133972406588,True,25,131.67952482603147,135.48267942500934
25,2020-02-16,129,12.83987165481232,67.74133972406588,True,26,132.62083807812627,135.48267942500934
26,2020-02-17,130,12.83987165481232,67.74133972406588,True,27,133.33297177884836,135.48267942500934
27,2020-02-18,131,12.83987165481232,67.74133972406588,True,28,133.8700546088547,135.48267942500934
28,2020-02-19,131,12.83987165481232,67.74133972406588,True,29,134.27416892894098,135.48267942500934
29,2020-02-20,132,12.83987165481232,67.74133972406588,True,30,134.57769916260975,135.48267942500934
30,2020-02-21,132,12.83987165481232,67.74133972406588,True,31,134.80537909971585,135.48267942500934
31,2020-02-22,132,12.83987165481232,67.74133972406588,True,32,134.97599372426933,135.48267942500934
32,2020-02-23,132,12.83987165481232,67.74133972406588,True,33,135.10375066276242,135.48267942500934
33,2020-02-24,133,12.83987165481232,67.74133972406588,True,34,135.19936227975853,135.48267942500934
34,2020-02-25,133,12.83987165481232,67.74133972406588,True,35,135.2708869151087,135.48267942500934
35,2020-02-26,133,12.83987165481232,67.74133972406588,True,36,135.32437599162543,135.48267942500934
36,2020-02-27,133,12.83987165481232,67.74133972406588,True,37,135.36436799678958,135.48267942500934
37,2020-02-28,133,12.83987165481232,67.74133972406588,True,38,135.39426347248465,135.48267942500934
38,2020-02-29,133,12.83987165481232,67.74133972406588,True,39,135.41660851053928,135.48267942500934
39,2020-03-01,133,12.83987165481232,67.74133972406588,True,40,135.43330843012018,135.48267942500934
40,2020-03-02,133,12.83987165481232,67.74133972406588,True,41,135.44578847106655,135.48267942500934
41,2020-03-03,133,12.83987165481232,67.74133972406588,True,42,135.45511444049683,135.48267942500934
42,2020-03-04,133,12.83987165481232,67.74133972406588,True,43,135.46208318094415,135.48267942500934
43,2020-03-05,133,12.83987165481232,67.74133972406588,True,44,135.4672903464713,135.48267942500934
44,2020-03-06,133,12.83987165481232,67.74133972406588,True,45,135.47118114379253,135.48267942500934
45,2020-03-07,133,12.83987165481232,67.74133972406588,True,46,135.47408830060778,135.48267942500934
46,2020-03-08,133,12.83987165481232,67.74133972406588,True,47,135.47626046554578,135.48267942500934
47,2020-03-09,133,12.83987165481232,67.74133972406588,True,48,135.4778834450031,135.48267942500934
48,2020-03-10,133,12.83987165481232,67.74133972406588,True,49,135.47909608020228,135.48267942500934
49,2020-03-11,133,12.83987165481232,67.74133972406588,True,50,135.4800021152957,135.48267942500934
50,2020-03-12,133,12.83987165481232,67.74133972406588,True,51,135.4806790677256,135.48267942500934
51,2020-03-13,133,12.83987165481232,67.74133972406588,True,52,135.48118485744806,135.48267942500934
52,2020-03-14,133,12.83987165481232,67.74133972406588,True,53,135.48156276092752,135.48267942500934
