,Report_Date,Macedonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.42108403406516,763.0515841749929,True,1,0.04566037024308548,1370.344702666554
1,2020-01-23,0,80.42108403406516,763.0515841749929,True,2,0.052059525809076045,1370.344702666554
2,2020-01-24,0,80.42108403406516,763.0515841749929,True,3,0.05935546777945611,1370.344702666554
3,2020-01-25,0,80.42108403406516,763.0515841749929,True,4,0.06767386256418992,1370.344702666554
4,2020-01-26,0,80.42108403406516,763.0515841749929,True,5,0.07715798303173418,1370.344702666554
5,2020-01-27,0,80.42108403406516,763.0515841749929,True,6,0.0879711743160278,1370.344702666554
6,2020-01-28,0,80.42108403406516,763.0515841749929,True,7,0.10029966468061327,1370.344702666554
7,2020-01-29,0,80.42108403406516,763.0515841749929,True,8,0.11435576964139593,1370.344702666554
8,2020-01-30,0,80.42108403406516,763.0515841749929,True,9,0.13038154425746507,1370.344702666554
9,2020-01-31,0,80.42108403406516,763.0515841749929,True,10,0.1486529461331817,1370.344702666554
10,2020-02-01,0,80.42108403406516,763.0515841749929,True,11,0.16948458035987435,1370.344702666554
11,2020-02-02,0,80.42108403406516,763.0515841749929,True,12,0.19323510750377368,1370.344702666554
12,2020-02-03,0,80.42108403406516,763.0515841749929,True,13,0.2203134069782804,1370.344702666554
13,2020-02-04,0,80.42108403406516,763.0515841749929,True,14,0.25118560090358333,1370.344702666554
14,2020-02-05,0,80.42108403406516,763.0515841749929,True,15,0.28638305805778913,1370.344702666554
15,2020-02-06,0,80.42108403406516,763.0515841749929,True,16,0.3265115139886401,1370.344702666554
16,2020-02-07,0,80.42108403406516,763.0515841749929,True,17,0.3722614620383147,1370.344702666554
17,2020-02-08,0,80.42108403406516,763.0515841749929,True,18,0.4244199912200466,1370.344702666554
18,2020-02-09,0,80.42108403406516,763.0515841749929,True,19,0.4838842708906148,1370.344702666554
19,2020-02-10,0,80.42108403406516,763.0515841749929,True,20,0.5516769093374458,1370.344702666554
20,2020-02-11,0,80.42108403406516,763.0515841749929,True,21,0.6289634441291954,1370.344702666554
21,2020-02-12,0,80.42108403406516,763.0515841749929,True,22,0.7170722567872034,1370.344702666554
22,2020-02-13,0,80.42108403406516,763.0515841749929,True,23,0.8175172434819871,1370.344702666554
23,2020-02-14,0,80.42108403406516,763.0515841749929,True,24,0.9320236175393866,1370.344702666554
24,2020-02-15,0,80.42108403406516,763.0515841749929,True,25,1.062557269082586,1370.344702666554
25,2020-02-16,0,80.42108403406516,763.0515841749929,True,26,1.2113581626920416,1370.344702666554
26,2020-02-17,0,80.42108403406516,763.0515841749929,True,27,1.380978316103569,1370.344702666554
27,2020-02-18,0,80.42108403406516,763.0515841749929,True,28,1.574324972252817,1370.344702666554
28,2020-02-19,0,80.42108403406516,763.0515841749929,True,29,1.7947096539551441,1370.344702666554
29,2020-02-20,0,80.42108403406516,763.0515841749929,True,30,2.045903875669315,1370.344702666554
30,2020-02-21,0,80.42108403406516,763.0515841749929,True,31,2.332202380513626,1370.344702666554
31,2020-02-22,0,80.42108403406516,763.0515841749929,True,32,2.6584948731997797,1370.344702666554
32,2020-02-23,0,80.42108403406516,763.0515841749929,True,33,3.030347330787207,1370.344702666554
33,2020-02-24,0,80.42108403406516,763.0515841749929,True,34,3.454094092737474,1370.344702666554
34,2020-02-25,0,80.42108403406516,763.0515841749929,True,35,3.9369420587492074,1370.344702666554
35,2020-02-26,1,80.42108403406516,763.0515841749929,True,36,4.487088455651519,1370.344702666554
36,2020-02-27,1,80.42108403406516,763.0515841749929,True,37,5.113853770635654,1370.344702666554
37,2020-02-28,1,80.42108403406516,763.0515841749929,True,38,5.827831583425747,1370.344702666554
38,2020-02-29,1,80.42108403406516,763.0515841749929,True,39,6.641057159034428,1370.344702666554
39,2020-03-01,1,80.42108403406516,763.0515841749929,True,40,7.567196777686452,1370.344702666554
40,2020-03-02,1,80.42108403406516,763.0515841749929,True,41,8.621759868596342,1370.344702666554
41,2020-03-03,1,80.42108403406516,763.0515841749929,True,42,9.82233606511892,1370.344702666554
42,2020-03-04,1,80.42108403406516,763.0515841749929,True,43,11.188859291221094,1370.344702666554
43,2020-03-05,1,80.42108403406516,763.0515841749929,True,44,12.743900898228471,1370.344702666554
44,2020-03-06,3,80.42108403406516,763.0515841749929,True,45,14.512993664084018,1370.344702666554
45,2020-03-07,3,80.42108403406516,763.0515841749929,True,46,16.524988103752083,1370.344702666554
46,2020-03-08,3,80.42108403406516,763.0515841749929,True,47,18.812441967127896,1370.344702666554
47,2020-03-09,3,80.42108403406516,763.0515841749929,True,48,21.412042955659036,1370.344702666554
48,2020-03-10,7,80.42108403406516,763.0515841749929,True,49,24.365063492479756,1370.344702666554
49,2020-03-11,7,80.42108403406516,763.0515841749929,True,50,27.717844739326754,1370.344702666554
50,2020-03-12,7,80.42108403406516,763.0515841749929,True,51,31.522304856900625,1370.344702666554
51,2020-03-13,14,80.42108403406516,763.0515841749929,True,52,35.83646362855645,1370.344702666554
52,2020-03-14,14,80.42108403406516,763.0515841749929,True,53,40.72497187324886,1370.344702666554
53,2020-03-15,14,80.42108403406516,763.0515841749929,True,54,46.25962942056924,1370.344702666554
54,2020-03-16,18,80.42108403406516,763.0515841749929,True,55,52.519869673884806,1370.344702666554
55,2020-03-17,26,80.42108403406516,763.0515841749929,True,56,59.59318183949305,1370.344702666554
56,2020-03-18,35,80.42108403406516,763.0515841749929,True,57,67.57543369959765,1370.344702666554
57,2020-03-19,48,80.42108403406516,763.0515841749929,True,58,76.5710484030002,1370.344702666554
58,2020-03-20,67,80.42108403406516,763.0515841749929,True,59,86.69297834375,1370.344702666554
59,2020-03-21,85,80.42108403406516,763.0515841749929,True,60,98.06240822707476,1370.344702666554
60,2020-03-22,115,80.42108403406516,763.0515841749929,True,61,110.80810863108124,1370.344702666554
61,2020-03-23,136,80.42108403406516,763.0515841749929,True,62,125.06535191831718,1370.344702666554
62,2020-03-24,148,80.42108403406516,763.0515841749929,True,63,140.97429588667117,1370.344702666554
63,2020-03-25,177,80.42108403406516,763.0515841749929,True,64,158.6777392829683,1370.344702666554
