,Report_Date,Mexico_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,90.56759673276638,8208.059020586328,False,1,0.1864115929438836,16416.118041172653
1,2020-01-23,0,90.56759673276638,8208.059020586328,False,2,0.2116799051065753,16416.118041172653
2,2020-01-24,0,90.56759673276638,8208.059020586328,False,3,0.24037331675098544,16416.118041172653
3,2020-01-25,0,90.56759673276638,8208.059020586328,False,4,0.2729560828512795,16416.118041172653
4,2020-01-26,0,90.56759673276638,8208.059020586328,False,5,0.3099553816011578,16416.118041172653
5,2020-01-27,0,90.56759673276638,8208.059020586328,False,6,0.3519698415530067,16416.118041172653
6,2020-01-28,0,90.56759673276638,8208.059020586328,False,7,0.3996792239735672,16416.118041172653
7,2020-01-29,0,90.56759673276638,8208.059020586328,False,8,0.45385541681744723,16416.118041172653
8,2020-01-30,0,90.56759673276638,8208.059020586328,False,9,0.5153749178649872,16416.118041172653
9,2020-01-31,0,90.56759673276638,8208.059020586328,False,10,0.5852330085664255,16416.118041172653
10,2020-02-01,0,90.56759673276638,8208.059020586328,False,11,0.6645598473616912,16416.118041172653
11,2020-02-02,0,90.56759673276638,8208.059020586328,False,12,0.7546387421366202,16416.118041172653
12,2020-02-03,0,90.56759673276638,8208.059020586328,False,13,0.8569268965208695,16416.118041172653
13,2020-02-04,0,90.56759673276638,8208.059020586328,False,14,0.9730789644833457,16416.118041172653
14,2020-02-05,0,90.56759673276638,8208.059020586328,False,15,1.1049737927626133,16416.118041172653
15,2020-02-06,0,90.56759673276638,8208.059020586328,False,16,1.2547447817886668,16416.118041172653
16,2020-02-07,0,90.56759673276638,8208.059020586328,False,17,1.4248143537056839,16416.118041172653
17,2020-02-08,0,90.56759673276638,8208.059020586328,False,18,1.617933081791867,16416.118041172653
18,2020-02-09,0,90.56759673276638,8208.059020586328,False,19,1.8372241100051332,16416.118041172653
19,2020-02-10,0,90.56759673276638,8208.059020586328,False,20,2.086233575702181,16416.118041172653
20,2020-02-11,0,90.56759673276638,8208.059020586328,False,21,2.3689878440646486,16416.118041172653
21,2020-02-12,0,90.56759673276638,8208.059020586328,False,22,2.6900584708578266,16416.118041172653
22,2020-02-13,0,90.56759673276638,8208.059020586328,False,23,3.0546359324557923,16416.118041172653
23,2020-02-14,0,90.56759673276638,8208.059020586328,False,24,3.468613300393449,16416.118041172653
24,2020-02-15,0,90.56759673276638,8208.059020586328,False,25,3.938681194060256,16416.118041172653
25,2020-02-16,0,90.56759673276638,8208.059020586328,False,26,4.4724355217677765,16416.118041172653
26,2020-02-17,0,90.56759673276638,8208.059020586328,False,27,5.078499719782012,16416.118041172653
27,2020-02-18,0,90.56759673276638,8208.059020586328,False,28,5.766663423749259,16416.118041172653
28,2020-02-19,0,90.56759673276638,8208.059020586328,False,29,6.5480397602702505,16416.118041172653
29,2020-02-20,0,90.56759673276638,8208.059020586328,False,30,7.435243731481618,16416.118041172653
30,2020-02-21,0,90.56759673276638,8208.059020586328,False,31,8.442594485958839,16416.118041172653
31,2020-02-22,0,90.56759673276638,8208.059020586328,False,32,9.586344628907067,16416.118041172653
32,2020-02-23,0,90.56759673276638,8208.059020586328,False,33,10.884940127554586,16416.118041172653
33,2020-02-24,0,90.56759673276638,8208.059020586328,False,34,12.359314818216015,16416.118041172653
34,2020-02-25,0,90.56759673276638,8208.059020586328,False,35,14.033224024098882,16416.118041172653
35,2020-02-26,0,90.56759673276638,8208.059020586328,False,36,15.933622352072613,16416.118041172653
36,2020-02-27,0,90.56759673276638,8208.059020586328,False,37,18.091091356672237,16416.118041172653
37,2020-02-28,1,90.56759673276638,8208.059020586328,False,38,20.540323444602766,16416.118041172653
38,2020-02-29,4,90.56759673276638,8208.059020586328,False,39,23.32066914634259,16416.118041172653
39,2020-03-01,5,90.56759673276638,8208.059020586328,False,40,26.476755705465926,16416.118041172653
40,2020-03-02,5,90.56759673276638,8208.059020586328,False,41,30.059185831770037,16416.118041172653
41,2020-03-03,5,90.56759673276638,8208.059020586328,False,42,34.12532642962577,16416.118041172653
42,2020-03-04,5,90.56759673276638,8208.059020586328,False,43,38.740198143299345,16416.118041172653
43,2020-03-05,5,90.56759673276638,8208.059020586328,False,44,43.97747764690023,16416.118041172653
44,2020-03-06,6,90.56759673276638,8208.059020586328,False,45,49.920625732495196,16416.118041172653
45,2020-03-07,6,90.56759673276638,8208.059020586328,False,46,56.66415539193924,16416.118041172653
46,2020-03-08,7,90.56759673276638,8208.059020586328,False,47,64.31505521134376,16416.118041172653
47,2020-03-09,7,90.56759673276638,8208.059020586328,False,48,72.99438445281079,16416.118041172653
48,2020-03-10,7,90.56759673276638,8208.059020586328,False,49,82.83905711865711,16416.118041172653
49,2020-03-11,8,90.56759673276638,8208.059020586328,False,50,94.00383298777676,16416.118041172653
50,2020-03-12,12,90.56759673276638,8208.059020586328,False,51,106.66353396105389,16416.118041172653
51,2020-03-13,12,90.56759673276638,8208.059020586328,False,52,121.01550389428778,16416.118041172653
52,2020-03-14,26,90.56759673276638,8208.059020586328,False,53,137.28232922774572,16416.118041172653
53,2020-03-15,41,90.56759673276638,8208.059020586328,False,54,155.71483587886632,16416.118041172653
54,2020-03-16,53,90.56759673276638,8208.059020586328,False,55,176.59537471734453,16416.118041172653
55,2020-03-17,82,90.56759673276638,8208.059020586328,False,56,200.24140307626422,16416.118041172653
56,2020-03-18,93,90.56759673276638,8208.059020586328,False,57,227.0093626599378,16416.118041172653
57,2020-03-19,118,90.56759673276638,8208.059020586328,False,58,257.29884427118594,16416.118041172653
58,2020-03-20,164,90.56759673276638,8208.059020586328,False,59,291.5570162620962,16416.118041172653
59,2020-03-21,203,90.56759673276638,8208.059020586328,False,60,330.28327565422165,16416.118041172653
60,2020-03-22,251,90.56759673276638,8208.059020586328,False,61,374.0340575010792,16416.118041172653
61,2020-03-23,316,90.56759673276638,8208.059020586328,False,62,423.4277082072142,16416.118041172653
62,2020-03-24,367,90.56759673276638,8208.059020586328,False,63,479.14929105595235,16416.118041172653
63,2020-03-25,405,90.56759673276638,8208.059020586328,False,64,541.9551460505106,16416.118041172653
64,2020-03-26,475,90.56759673276638,8208.059020586328,False,65,612.6769704294394,16416.118041172653
65,2020-03-27,585,90.56759673276638,8208.059020586328,False,66,692.2251203394718,16416.118041172653
66,2020-03-28,717,90.56759673276638,8208.059020586328,False,67,781.5907582596,16416.118041172653
67,2020-03-29,848,90.56759673276638,8208.059020586328,False,68,881.8463860429923,16416.118041172653
68,2020-03-30,993,90.56759673276638,8208.059020586328,False,69,994.1442126043354,16416.118041172653
69,2020-03-31,1094,90.56759673276638,8208.059020586328,False,70,1119.711713217423,16416.118041172653
70,2020-04-01,1215,90.56759673276638,8208.059020586328,False,71,1259.8436518372255,16416.118041172653
71,2020-04-02,1378,90.56759673276638,8208.059020586328,False,72,1415.8897700942678,16416.118041172653
72,2020-04-03,1510,90.56759673276638,8208.059020586328,False,73,1589.2373119921924,16416.118041172653
73,2020-04-04,1688,90.56759673276638,8208.059020586328,False,74,1781.2875715433897,16416.118041172653
74,2020-04-05,1890,90.56759673276638,8208.059020586328,False,75,1993.4257451494234,16416.118041172653
75,2020-04-06,2143,90.56759673276638,8208.059020586328,False,76,2226.983567442338,16416.118041172653
76,2020-04-07,2439,90.56759673276638,8208.059020586328,False,77,2483.1945340611205,16416.118041172653
77,2020-04-08,2785,90.56759673276638,8208.059020586328,False,78,2763.141987850949,16416.118041172653
78,2020-04-09,3181,90.56759673276638,8208.059020586328,False,79,3067.700975034492,16416.118041172653
79,2020-04-10,3441,90.56759673276638,8208.059020586328,False,80,3397.475554195855,16416.118041172653
80,2020-04-11,3844,90.56759673276638,8208.059020586328,False,81,3752.734124608902,16416.118041172653
81,2020-04-12,4219,90.56759673276638,8208.059020586328,False,82,4133.346257868713,16416.118041172653
82,2020-04-13,4661,90.56759673276638,8208.059020586328,False,83,4538.725357026642,16416.118041172653
83,2020-04-14,5014,90.56759673276638,8208.059020586328,False,84,4967.7820875138,16416.118041172653
84,2020-04-15,5399,90.56759673276638,8208.059020586328,False,85,5418.893764582556,16416.118041172653
85,2020-04-16,5847,90.56759673276638,8208.059020586328,False,86,5889.894593511412,16416.118041172653
