,Report_Date,Congo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,97.05453612592348,242.31954047709306,False,1,0.005456798230522447,484.63907609485983
1,2020-01-23,0,97.05453612592348,242.31954047709306,False,2,0.0061440484950773385,484.63907609485983
2,2020-01-24,0,97.05453612592348,242.31954047709306,False,3,0.006917852479267121,484.63907609485983
3,2020-01-25,0,97.05453612592348,242.31954047709306,False,4,0.007789110606737696,484.63907609485983
4,2020-01-26,0,97.05453612592348,242.31954047709306,False,5,0.00877009599279776,484.63907609485983
5,2020-01-27,0,97.05453612592348,242.31954047709306,False,6,0.009874627283929986,484.63907609485983
6,2020-01-28,0,97.05453612592348,242.31954047709306,False,7,0.0111182632536668,484.63907609485983
7,2020-01-29,0,97.05453612592348,242.31954047709306,False,8,0.012518521891736897,484.63907609485983
8,2020-01-30,0,97.05453612592348,242.31954047709306,False,9,0.014095127067230451,484.63907609485983
9,2020-01-31,0,97.05453612592348,242.31954047709306,False,10,0.015870286233448293,484.63907609485983
10,2020-02-01,0,97.05453612592348,242.31954047709306,False,11,0.017869003077456373,484.63907609485983
11,2020-02-02,0,97.05453612592348,242.31954047709306,False,12,0.02011942950718493,484.63907609485983
12,2020-02-03,0,97.05453612592348,242.31954047709306,False,13,0.022653261919951522,484.63907609485983
13,2020-02-04,0,97.05453612592348,242.31954047709306,False,14,0.025506187316134615,484.63907609485983
14,2020-02-05,0,97.05453612592348,242.31954047709306,False,15,0.02871838551888629,484.63907609485983
15,2020-02-06,0,97.05453612592348,242.31954047709306,False,16,0.032335094544785344,484.63907609485983
16,2020-02-07,0,97.05453612592348,242.31954047709306,False,17,0.03640724705187914,484.63907609485983
17,2020-02-08,0,97.05453612592348,242.31954047709306,False,18,0.04099218678260468,484.63907609485983
18,2020-02-09,0,97.05453612592348,242.31954047709306,False,19,0.04615447503299743,484.63907609485983
19,2020-02-10,0,97.05453612592348,242.31954047709306,False,20,0.05196679843134724,484.63907609485983
20,2020-02-11,0,97.05453612592348,242.31954047709306,False,21,0.05851099071574689,484.63907609485983
21,2020-02-12,0,97.05453612592348,242.31954047709306,False,22,0.06587918277942878,484.63907609485983
22,2020-02-13,0,97.05453612592348,242.31954047709306,False,23,0.07417509702615603,484.63907609485983
23,2020-02-14,0,97.05453612592348,242.31954047709306,False,24,0.08351550406830932,484.63907609485983
24,2020-02-15,0,97.05453612592348,242.31954047709306,False,25,0.094031862033331,484.63907609485983
25,2020-02-16,0,97.05453612592348,242.31954047709306,False,26,0.10587216124826979,484.63907609485983
26,2020-02-17,0,97.05453612592348,242.31954047709306,False,27,0.11920299987873241,484.63907609485983
27,2020-02-18,0,97.05453612592348,242.31954047709306,False,28,0.13421191924226353,484.63907609485983
28,2020-02-19,0,97.05453612592348,242.31954047709306,False,29,0.15111003103513995,484.63907609485983
29,2020-02-20,0,97.05453612592348,242.31954047709306,False,30,0.17013497264755173,484.63907609485983
30,2020-02-21,0,97.05453612592348,242.31954047709306,False,31,0.19155423114069572,484.63907609485983
31,2020-02-22,0,97.05453612592348,242.31954047709306,False,32,0.21566888136987758,484.63907609485983
32,2020-02-23,0,97.05453612592348,242.31954047709306,False,33,0.24281778921365701,484.63907609485983
33,2020-02-24,0,97.05453612592348,242.31954047709306,False,34,0.273382336967481,484.63907609485983
34,2020-02-25,0,97.05453612592348,242.31954047709306,False,35,0.30779173474174554,484.63907609485983
35,2020-02-26,0,97.05453612592348,242.31954047709306,False,36,0.3465289892323383,484.63907609485983
36,2020-02-27,0,97.05453612592348,242.31954047709306,False,37,0.3901376095720769,484.63907609485983
37,2020-02-28,0,97.05453612592348,242.31954047709306,False,38,0.43922913919054657,484.63907609485983
38,2020-02-29,0,97.05453612592348,242.31954047709306,False,39,0.4944916127731171,484.63907609485983
39,2020-03-01,0,97.05453612592348,242.31954047709306,False,40,0.5566990485793057,484.63907609485983
40,2020-03-02,0,97.05453612592348,242.31954047709306,False,41,0.6267220986111467,484.63907609485983
41,2020-03-03,0,97.05453612592348,242.31954047709306,False,42,0.7055399924570996,484.63907609485983
42,2020-03-04,0,97.05453612592348,242.31954047709306,False,43,0.7942539251018612,484.63907609485983
43,2020-03-05,0,97.05453612592348,242.31954047709306,False,44,0.8941020545869333,484.63907609485983
44,2020-03-06,0,97.05453612592348,242.31954047709306,False,45,1.0064762920943027,484.63907609485983
45,2020-03-07,0,97.05453612592348,242.31954047709306,False,46,1.1329410847197419,484.63907609485983
46,2020-03-08,0,97.05453612592348,242.31954047709306,False,47,1.2752544097495644,484.63907609485983
47,2020-03-09,0,97.05453612592348,242.31954047709306,False,48,1.4353912184127724,484.63907609485983
48,2020-03-10,0,97.05453612592348,242.31954047709306,False,49,1.6155695864906654,484.63907609485983
