,Report_Date,Central African Republic_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,73.32429295927467,5.95342056188004,True,1,0.0005353270404859671,10.957771833091252
1,2020-01-23,0,73.32429295927467,5.95342056188004,True,2,0.0006147842763044712,10.957771833091252
2,2020-01-24,0,73.32429295927467,5.95342056188004,True,3,0.0007060344488957806,10.957771833091252
3,2020-01-25,0,73.32429295927467,5.95342056188004,True,4,0.0008108276271693768,10.957771833091252
4,2020-01-26,0,73.32429295927467,5.95342056188004,True,5,0.0009311735187178212,10.957771833091252
5,2020-01-27,0,73.32429295927467,5.95342056188004,True,6,0.0010693799669076545,10.957771833091252
6,2020-01-28,0,73.32429295927467,5.95342056188004,True,7,0.0012280971487715125,10.957771833091252
7,2020-01-29,0,73.32429295927467,5.95342056188004,True,8,0.0014103683155920256,10.957771833091252
8,2020-01-30,0,73.32429295927467,5.95342056188004,True,9,0.0016196880416616162,10.957771833091252
9,2020-01-31,0,73.32429295927467,5.95342056188004,True,10,0.001860069088204507,10.957771833091252
10,2020-02-01,0,73.32429295927467,5.95342056188004,True,11,0.002136119151377376,10.957771833091252
11,2020-02-02,0,73.32429295927467,5.95342056188004,True,12,0.002453128948472304,10.957771833091252
12,2020-02-03,0,73.32429295927467,5.95342056188004,True,13,0.0028171733081438677,10.957771833091252
13,2020-02-04,0,73.32429295927467,5.95342056188004,True,14,0.0032352271722859895,10.957771833091252
14,2020-02-05,0,73.32429295927467,5.95342056188004,True,15,0.003715298693143921,10.957771833091252
15,2020-02-06,0,73.32429295927467,5.95342056188004,True,16,0.004266581923881743,10.957771833091252
16,2020-02-07,0,73.32429295927467,5.95342056188004,True,17,0.0048996319591521975,10.957771833091252
17,2020-02-08,0,73.32429295927467,5.95342056188004,True,18,0.005626565789765316,10.957771833091252
18,2020-02-09,0,73.32429295927467,5.95342056188004,True,19,0.006461292598377719,10.957771833091252
19,2020-02-10,0,73.32429295927467,5.95342056188004,True,20,0.00741977774778202,10.957771833091252
20,2020-02-11,0,73.32429295927467,5.95342056188004,True,21,0.008520345306877617,10.957771833091252
21,2020-02-12,0,73.32429295927467,5.95342056188004,True,22,0.00978402462912454,10.957771833091252
22,2020-02-13,0,73.32429295927467,5.95342056188004,True,23,0.011234947251801545,10.957771833091252
23,2020-02-14,0,73.32429295927467,5.95342056188004,True,24,0.012900801229251824,10.957771833091252
24,2020-02-15,0,73.32429295927467,5.95342056188004,True,25,0.014813350956648296,10.957771833091252
25,2020-02-16,0,73.32429295927467,5.95342056188004,True,26,0.017009031588868923,10.957771833091252
26,2020-02-17,0,73.32429295927467,5.95342056188004,True,27,0.019529628316406894,10.957771833091252
27,2020-02-18,0,73.32429295927467,5.95342056188004,True,28,0.02242305202873838,10.957771833091252
28,2020-02-19,0,73.32429295927467,5.95342056188004,True,29,0.025744224273050325,10.957771833091252
29,2020-02-20,0,73.32429295927467,5.95342056188004,True,30,0.02955608589455562,10.957771833091252
30,2020-02-21,0,73.32429295927467,5.95342056188004,True,31,0.03393074530719355,10.957771833091252
31,2020-02-22,0,73.32429295927467,5.95342056188004,True,32,0.03895078396193935,10.957771833091252
32,2020-02-23,0,73.32429295927467,5.95342056188004,True,33,0.04471073820970346,10.957771833091252
33,2020-02-24,0,73.32429295927467,5.95342056188004,True,34,0.051318778330575104,10.957771833091252
34,2020-02-25,0,73.32429295927467,5.95342056188004,True,35,0.05889860692562716,10.957771833091252
35,2020-02-26,0,73.32429295927467,5.95342056188004,True,36,0.06759160000808921,10.957771833091252
36,2020-02-27,0,73.32429295927467,5.95342056188004,True,37,0.07755921480410875,10.957771833091252
37,2020-02-28,0,73.32429295927467,5.95342056188004,True,38,0.08898568823227263,10.957771833091252
38,2020-02-29,0,73.32429295927467,5.95342056188004,True,39,0.10208104894700992,10.957771833091252
39,2020-03-01,0,73.32429295927467,5.95342056188004,True,40,0.1170844632736885,10.957771833091252
40,2020-03-02,0,73.32429295927467,5.95342056188004,True,41,0.1342679307771301,10.957771833091252
41,2020-03-03,0,73.32429295927467,5.95342056188004,True,42,0.15394033788364755,10.957771833091252
42,2020-03-04,0,73.32429295927467,5.95342056188004,True,43,0.17645186703468807,10.957771833091252
43,2020-03-05,0,73.32429295927467,5.95342056188004,True,44,0.20219874319993456,10.957771833091252
44,2020-03-06,0,73.32429295927467,5.95342056188004,True,45,0.23162827791053842,10.957771833091252
45,2020-03-07,0,73.32429295927467,5.95342056188004,True,46,0.2652441417562388,10.957771833091252
46,2020-03-08,0,73.32429295927467,5.95342056188004,True,47,0.3036117577901862,10.957771833091252
47,2020-03-09,0,73.32429295927467,5.95342056188004,True,48,0.3473636586359209,10.957771833091252
48,2020-03-10,0,73.32429295927467,5.95342056188004,True,49,0.3972045874275951,10.957771833091252
49,2020-03-11,0,73.32429295927467,5.95342056188004,True,50,0.45391604540791924,10.957771833091252
50,2020-03-12,0,73.32429295927467,5.95342056188004,True,51,0.518359896034259,10.957771833091252
51,2020-03-13,0,73.32429295927467,5.95342056188004,True,52,0.5914805269309732,10.957771833091252
52,2020-03-14,0,73.32429295927467,5.95342056188004,True,53,0.6743049490243836,10.957771833091252
53,2020-03-15,1,73.32429295927467,5.95342056188004,True,54,0.7679400816825652,10.957771833091252
54,2020-03-16,1,73.32429295927467,5.95342056188004,True,55,0.8735663427967788,10.957771833091252
55,2020-03-17,1,73.32429295927467,5.95342056188004,True,56,0.9924265481693254,10.957771833091252
