,Report_Date,Sweden_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,78.5152545655245,8719.432682284676,True,1,1.4075909591717755,15579.695737036653
1,2020-01-23,0,78.5152545655245,8719.432682284676,True,2,1.5895512438084956,15579.695737036653
2,2020-01-24,0,78.5152545655245,8719.432682284676,True,3,1.7950312424900219,15579.695737036653
3,2020-01-25,0,78.5152545655245,8719.432682284676,True,4,2.027070385925724,15579.695737036653
4,2020-01-26,0,78.5152545655245,8719.432682284676,True,5,2.2891007041832023,15579.695737036653
5,2020-01-27,0,78.5152545655245,8719.432682284676,True,6,2.58499748775373,15579.695737036653
6,2020-01-28,0,78.5152545655245,8719.432682284676,True,7,2.919136472028935,15579.695737036653
7,2020-01-29,0,78.5152545655245,8719.432682284676,True,8,3.2964583813531734,15579.695737036653
8,2020-01-30,0,78.5152545655245,8719.432682284676,True,9,3.72254177493932,15579.695737036653
9,2020-01-31,1,78.5152545655245,8719.432682284676,True,10,4.203685256235791,15579.695737036653
10,2020-02-01,1,78.5152545655245,8719.432682284676,True,11,4.74700024136427,15579.695737036653
11,2020-02-02,1,78.5152545655245,8719.432682284676,True,12,5.360515632725752,15579.695737036653
12,2020-02-03,1,78.5152545655245,8719.432682284676,True,13,6.053295912682318,15579.695737036653
13,2020-02-04,1,78.5152545655245,8719.432682284676,True,14,6.835574361426136,15579.695737036653
14,2020-02-05,1,78.5152545655245,8719.432682284676,True,15,7.71890331499174,15579.695737036653
15,2020-02-06,1,78.5152545655245,8719.432682284676,True,16,8.716323616282205,15579.695737036653
16,2020-02-07,1,78.5152545655245,8719.432682284676,True,17,9.842555676573967,15579.695737036653
17,2020-02-08,1,78.5152545655245,8719.432682284676,True,18,11.114214860012982,15579.695737036653
18,2020-02-09,1,78.5152545655245,8719.432682284676,True,19,12.550054232033412,15579.695737036653
19,2020-02-10,1,78.5152545655245,8719.432682284676,True,20,14.171238077435843,15579.695737036653
20,2020-02-11,1,78.5152545655245,8719.432682284676,True,21,16.001649998113713,15579.695737036653
21,2020-02-12,1,78.5152545655245,8719.432682284676,True,22,18.068239847124875,15579.695737036653
22,2020-02-13,1,78.5152545655245,8719.432682284676,True,23,20.401414247811573,15579.695737036653
23,2020-02-14,1,78.5152545655245,8719.432682284676,True,24,23.03547598647872,15579.695737036653
24,2020-02-15,1,78.5152545655245,8719.432682284676,True,25,26.009118156682163,15579.695737036653
25,2020-02-16,1,78.5152545655245,8719.432682284676,True,26,29.365979573518143,15579.695737036653
26,2020-02-17,1,78.5152545655245,8719.432682284676,True,27,33.15526866723234,15579.695737036653
27,2020-02-18,1,78.5152545655245,8719.432682284676,True,28,37.43246380497284,15579.695737036653
28,2020-02-19,1,78.5152545655245,8719.432682284676,True,29,42.2600987731115,15579.695737036653
29,2020-02-20,1,78.5152545655245,8719.432682284676,True,30,47.70864297241918,15579.695737036653
30,2020-02-21,1,78.5152545655245,8719.432682284676,True,31,53.857486722210744,15579.695737036653
31,2020-02-22,1,78.5152545655245,8719.432682284676,True,32,60.796042919216795,15579.695737036653
32,2020-02-23,1,78.5152545655245,8719.432682284676,True,33,68.6249771266023,15579.695737036653
33,2020-02-24,1,78.5152545655245,8719.432682284676,True,34,77.4575789426182,15579.695737036653
34,2020-02-25,1,78.5152545655245,8719.432682284676,True,35,87.42128816866732,15579.695737036653
35,2020-02-26,2,78.5152545655245,8719.432682284676,True,36,98.65938979904901,15579.695737036653
36,2020-02-27,7,78.5152545655245,8719.432682284676,True,37,111.33289210535382,15579.695737036653
37,2020-02-28,7,78.5152545655245,8719.432682284676,True,38,125.62260197875148,15579.695737036653
38,2020-02-29,12,78.5152545655245,8719.432682284676,True,39,141.73141108416215,15579.695737036653
39,2020-03-01,14,78.5152545655245,8719.432682284676,True,40,159.88680509552538,15579.695737036653
40,2020-03-02,15,78.5152545655245,8719.432682284676,True,41,180.34360610069777,15579.695737036653
41,2020-03-03,21,78.5152545655245,8719.432682284676,True,42,203.38695491516228,15579.695737036653
42,2020-03-04,35,78.5152545655245,8719.432682284676,True,43,229.33553519210164,15579.695737036653
43,2020-03-05,94,78.5152545655245,8719.432682284676,True,44,258.54503445994135,15579.695737036653
44,2020-03-06,101,78.5152545655245,8719.432682284676,True,45,291.4118280788684,15579.695737036653
45,2020-03-07,161,78.5152545655245,8719.432682284676,True,46,328.37686002690765,15579.695737036653
46,2020-03-08,203,78.5152545655245,8719.432682284676,True,47,369.92967876705654,15579.695737036653
47,2020-03-09,248,78.5152545655245,8719.432682284676,True,48,416.61256650347116,15579.695737036653
48,2020-03-10,355,78.5152545655245,8719.432682284676,True,49,469.0246751534709,15579.695737036653
49,2020-03-11,500,78.5152545655245,8719.432682284676,True,50,527.8260515833108,15579.695737036653
50,2020-03-12,599,78.5152545655245,8719.432682284676,True,51,593.7413973798209,15579.695737036653
51,2020-03-13,814,78.5152545655245,8719.432682284676,True,52,667.5633641195537,15579.695737036653
52,2020-03-14,961,78.5152545655245,8719.432682284676,True,53,750.1551335230072,15579.695737036653
53,2020-03-15,1022,78.5152545655245,8719.432682284676,True,54,842.4519733254057,15579.695737036653
54,2020-03-16,1103,78.5152545655245,8719.432682284676,True,55,945.4613952150281,15579.695737036653
55,2020-03-17,1190,78.5152545655245,8719.432682284676,True,56,1060.2614729526026,15579.695737036653
56,2020-03-18,1279,78.5152545655245,8719.432682284676,True,57,1187.9968104624522,15579.695737036653
57,2020-03-19,1439,78.5152545655245,8719.432682284676,True,58,1329.871586888515,15579.695737036653
58,2020-03-20,1639,78.5152545655245,8719.432682284676,True,59,1487.1390563110508,15579.695737036653
59,2020-03-21,1763,78.5152545655245,8719.432682284676,True,60,1661.0868546973707,15579.695737036653
60,2020-03-22,1934,78.5152545655245,8719.432682284676,True,61,1853.0174792039456,15579.695737036653
61,2020-03-23,2046,78.5152545655245,8719.432682284676,True,62,2064.223371190831,15579.695737036653
62,2020-03-24,2286,78.5152545655245,8719.432682284676,True,63,2295.9561719427847,15579.695737036653
63,2020-03-25,2526,78.5152545655245,8719.432682284676,True,64,2549.3899467314272,15579.695737036653
64,2020-03-26,2840,78.5152545655245,8719.432682284676,True,65,2825.578503268415,15579.695737036653
65,2020-03-27,3069,78.5152545655245,8719.432682284676,True,66,3125.407372810936,15579.695737036653
66,2020-03-28,3447,78.5152545655245,8719.432682284676,True,67,3449.5415725923267,15579.695737036653
67,2020-03-29,3700,78.5152545655245,8719.432682284676,True,68,3798.370906343473,15579.695737036653
68,2020-03-30,4028,78.5152545655245,8719.432682284676,True,69,4171.95524326558,15579.695737036653
69,2020-03-31,4435,78.5152545655245,8719.432682284676,True,70,4569.972878398014,15579.695737036653
70,2020-04-01,4947,78.5152545655245,8719.432682284676,True,71,4991.675629273844,15579.695737036653
71,2020-04-02,5568,78.5152545655245,8719.432682284676,True,72,5435.854659223286,15579.695737036653
72,2020-04-03,6131,78.5152545655245,8719.432682284676,True,73,5900.821028192458,15579.695737036653
73,2020-04-04,6443,78.5152545655245,8719.432682284676,True,74,6384.404566225634,15579.695737036653
74,2020-04-05,6830,78.5152545655245,8719.432682284676,True,75,6883.973792258324,15579.695737036653
75,2020-04-06,7206,78.5152545655245,8719.432682284676,True,76,7396.478273986702,15579.695737036653
76,2020-04-07,7693,78.5152545655245,8719.432682284676,True,77,7918.513133178088,15579.695737036653
77,2020-04-08,8419,78.5152545655245,8719.432682284676,True,78,8446.403512567575,15579.695737036653
78,2020-04-09,9141,78.5152545655245,8719.432682284676,True,79,8976.304963266917,15579.695737036653
79,2020-04-10,9685,78.5152545655245,8719.432682284676,True,80,9504.314138167734,15579.695737036653
80,2020-04-11,10151,78.5152545655245,8719.432682284676,True,81,10026.583118485383,15579.695737036653
81,2020-04-12,10483,78.5152545655245,8719.432682284676,True,82,10539.430320437885,15579.695737036653
82,2020-04-13,10948,78.5152545655245,8719.432682284676,True,83,11039.441286990124,15579.695737036653
83,2020-04-14,11445,78.5152545655245,8719.432682284676,True,84,11523.553709195174,15579.695737036653
84,2020-04-15,11927,78.5152545655245,8719.432682284676,True,85,11989.122582578806,15579.695737036653
85,2020-04-16,12540,78.5152545655245,8719.432682284676,True,86,12433.963256326444,15579.695737036653
