,Report_Date,Georgia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,319.1343651725767,41265.76251532016,False,1,0.8561349361663261,82531.52503064027
1,2020-01-23,0,319.1343651725767,41265.76251532016,False,2,0.8875822743645256,82531.52503064027
2,2020-01-24,0,319.1343651725767,41265.76251532016,False,3,0.9201847155864851,82531.52503064027
3,2020-01-25,0,319.1343651725767,41265.76251532016,False,4,0.9539846873561804,82531.52503064027
4,2020-01-26,0,319.1343651725767,41265.76251532016,False,5,0.9890261755101281,82531.52503064027
5,2020-01-27,0,319.1343651725767,41265.76251532016,False,6,1.0253547814269597,82531.52503064027
6,2020-01-28,0,319.1343651725767,41265.76251532016,False,7,1.0630177813583699,82531.52503064027
7,2020-01-29,0,319.1343651725767,41265.76251532016,False,8,1.1020641879385655,82531.52503064027
8,2020-01-30,0,319.1343651725767,41265.76251532016,False,9,1.142544813952175,82531.52503064027
9,2020-01-31,0,319.1343651725767,41265.76251532016,False,10,1.1845123384435032,82531.52503064027
10,2020-02-01,0,319.1343651725767,41265.76251532016,False,11,1.228021375253065,82531.52503064027
11,2020-02-02,0,319.1343651725767,41265.76251532016,False,12,1.2731285440704792,82531.52503064027
12,2020-02-03,0,319.1343651725767,41265.76251532016,False,13,1.3198925440960605,82531.52503064027
13,2020-02-04,0,319.1343651725767,41265.76251532016,False,14,1.368374230406852,82531.52503064027
14,2020-02-05,0,319.1343651725767,41265.76251532016,False,15,1.4186366931263323,82531.52503064027
15,2020-02-06,0,319.1343651725767,41265.76251532016,False,16,1.4707453395006784,82531.52503064027
16,2020-02-07,0,319.1343651725767,41265.76251532016,False,17,1.5247679789882391,82531.52503064027
17,2020-02-08,0,319.1343651725767,41265.76251532016,False,18,1.5807749114727718,82531.52503064027
18,2020-02-09,0,319.1343651725767,41265.76251532016,False,19,1.6388390187150574,82531.52503064027
19,2020-02-10,0,319.1343651725767,41265.76251532016,False,20,1.6990358591617098,82531.52503064027
20,2020-02-11,0,319.1343651725767,41265.76251532016,False,21,1.7614437662343356,82531.52503064027
21,2020-02-12,0,319.1343651725767,41265.76251532016,False,22,1.82614395022673,82531.52503064027
22,2020-02-13,0,319.1343651725767,41265.76251532016,False,23,1.8932206039424613,82531.52503064027
23,2020-02-14,0,319.1343651725767,41265.76251532016,False,24,1.9627610122100503,82531.52503064027
24,2020-02-15,0,319.1343651725767,41265.76251532016,False,25,2.034855665417973,82531.52503064027
25,2020-02-16,0,319.1343651725767,41265.76251532016,False,26,2.1095983772169276,82531.52503064027
26,2020-02-17,0,319.1343651725767,41265.76251532016,False,27,2.1870864065422055,82531.52503064027
27,2020-02-18,0,319.1343651725767,41265.76251532016,False,28,2.2674205841146002,82531.52503064027
28,2020-02-19,0,319.1343651725767,41265.76251532016,False,29,2.35070544358409,82531.52503064027
29,2020-02-20,0,319.1343651725767,41265.76251532016,False,30,2.4370493574865484,82531.52503064027
30,2020-02-21,0,319.1343651725767,41265.76251532016,False,31,2.5265646781899602,82531.52503064027
31,2020-02-22,0,319.1343651725767,41265.76251532016,False,32,2.6193678840130823,82531.52503064027
32,2020-02-23,0,319.1343651725767,41265.76251532016,False,33,2.715579730706186,82531.52503064027
33,2020-02-24,0,319.1343651725767,41265.76251532016,False,34,2.8153254084904606,82531.52503064027
34,2020-02-25,0,319.1343651725767,41265.76251532016,False,35,2.9187347048598276,82531.52503064027
35,2020-02-26,1,319.1343651725767,41265.76251532016,False,36,3.025942173356409,82531.52503064027
36,2020-02-27,1,319.1343651725767,41265.76251532016,False,37,3.137087308538571,82531.52503064027
37,2020-02-28,1,319.1343651725767,41265.76251532016,False,38,3.252314727368506,82531.52503064027
38,2020-02-29,1,319.1343651725767,41265.76251532016,False,39,3.371774357254604,82531.52503064027
39,2020-03-01,3,319.1343651725767,41265.76251532016,False,40,3.495621630992454,82531.52503064027
40,2020-03-02,3,319.1343651725767,41265.76251532016,False,41,3.6240176888572364,82531.52503064027
41,2020-03-03,3,319.1343651725767,41265.76251532016,False,42,3.757129588109514,82531.52503064027
42,2020-03-04,3,319.1343651725767,41265.76251532016,False,43,3.895130520185981,82531.52503064027
43,2020-03-05,4,319.1343651725767,41265.76251532016,False,44,4.038200035856659,82531.52503064027
44,2020-03-06,4,319.1343651725767,41265.76251532016,False,45,4.186524278640321,82531.52503064027
45,2020-03-07,4,319.1343651725767,41265.76251532016,False,46,4.340296226780555,82531.52503064027
46,2020-03-08,13,319.1343651725767,41265.76251532016,False,47,4.49971594409594,82531.52503064027
47,2020-03-09,15,319.1343651725767,41265.76251532016,False,48,4.664990840029224,82531.52503064027
48,2020-03-10,15,319.1343651725767,41265.76251532016,False,49,4.83633593923228,82531.52503064027
49,2020-03-11,24,319.1343651725767,41265.76251532016,False,50,5.013974161035874,82531.52503064027
50,2020-03-12,24,319.1343651725767,41265.76251532016,False,51,5.198136609166008,82531.52503064027
51,2020-03-13,25,319.1343651725767,41265.76251532016,False,52,5.389062872081836,82531.52503064027
52,2020-03-14,30,319.1343651725767,41265.76251532016,False,53,5.587001334323726,82531.52503064027
53,2020-03-15,33,319.1343651725767,41265.76251532016,False,54,5.792209499274316,82531.52503064027
54,2020-03-16,33,319.1343651725767,41265.76251532016,False,55,6.004954323749999,82531.52503064027
55,2020-03-17,34,319.1343651725767,41265.76251532016,False,56,6.225512564855505,82531.52503064027
56,2020-03-18,38,319.1343651725767,41265.76251532016,False,57,6.454171139550006,82531.52503064027
