,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,95.55371345644593,93.40896649493452,False,1,0.002107371906756101,134.58381149003
1,2020-01-23,0,95.55371345644593,93.40896649493452,False,2,0.0023772077595121885,134.58381149003
2,2020-01-24,0,95.55371345644593,93.40896649493452,False,3,0.0026815939173421496,134.58381149003
3,2020-01-25,0,95.55371345644593,93.40896649493452,False,4,0.0030249541330707825,134.58381149003
4,2020-01-26,0,95.55371345644593,93.40896649493452,False,5,0.0034122785312754316,134.58381149003
5,2020-01-27,0,95.55371345644593,93.40896649493452,False,6,0.0038491961106589096,134.58381149003
6,2020-01-28,0,95.55371345644593,93.40896649493452,False,7,0.004342056524861223,134.58381149003
7,2020-01-29,0,95.55371345644593,93.40896649493452,False,8,0.004898022328366605,134.58381149003
8,2020-01-30,0,95.55371345644593,93.40896649493452,False,9,0.005525173025725518,134.58381149003
9,2020-01-31,0,95.55371345644593,93.40896649493452,False,10,0.006232622433177182,134.58381149003
10,2020-02-01,0,95.55371345644593,93.40896649493452,False,11,0.007030651054370033,134.58381149003
11,2020-02-02,0,95.55371345644593,93.40896649493452,False,12,0.007930855388983643,134.58381149003
12,2020-02-03,0,95.55371345644593,93.40896649493452,False,13,0.008946316337746526,134.58381149003
13,2020-02-04,0,95.55371345644593,93.40896649493452,False,14,0.010091789143093506,134.58381149003
14,2020-02-05,0,95.55371345644593,93.40896649493452,False,15,0.011383917615416506,134.58381149003
15,2020-02-06,0,95.55371345644593,93.40896649493452,False,16,0.012841475744915645,134.58381149003
16,2020-02-07,0,95.55371345644593,93.40896649493452,False,17,0.014485640193370937,134.58381149003
17,2020-02-08,0,95.55371345644593,93.40896649493452,False,18,0.016340297604242653,134.58381149003
18,2020-02-09,0,95.55371345644593,93.40896649493452,False,19,0.01843239116954971,134.58381149003
19,2020-02-10,0,95.55371345644593,93.40896649493452,False,20,0.020792311454886876,134.58381149003
20,2020-02-11,0,95.55371345644593,93.40896649493452,False,21,0.023454337117458937,134.58381149003
21,2020-02-12,0,95.55371345644593,93.40896649493452,False,22,0.02645713186477353,134.58381149003
22,2020-02-13,0,95.55371345644593,93.40896649493452,False,23,0.029844304803282203,134.58381149003
23,2020-02-14,0,95.55371345644593,93.40896649493452,False,24,0.03366504222752581,134.58381149003
24,2020-02-15,0,95.55371345644593,93.40896649493452,False,25,0.037974819913158445,134.58381149003
25,2020-02-16,0,95.55371345644593,93.40896649493452,False,26,0.04283620611483186,134.58381149003
26,2020-02-17,0,95.55371345644593,93.40896649493452,False,27,0.04831976674697037,134.58381149003
