,Report_Date,Bahamas_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.85965313919749,46.48026968210588,False,1,0.001071838033125311,2.802165766386794
1,2020-01-23,0,80.85965313919749,46.48026968210588,False,2,0.0012358447966128604,2.802165766386794
2,2020-01-24,0,80.85965313919749,46.48026968210588,False,3,0.0014249465887558655,2.802165766386794
3,2020-01-25,0,80.85965313919749,46.48026968210588,False,4,0.0016429831272915156,2.802165766386794
4,2020-01-26,0,80.85965313919749,46.48026968210588,False,5,0.001894381592310533,2.802165766386794
5,2020-01-27,0,80.85965313919749,46.48026968210588,False,6,0.002184246492030981,2.802165766386794
6,2020-01-28,0,80.85965313919749,46.48026968210588,False,7,0.0025184632710618963,2.802165766386794
7,2020-01-29,0,80.85965313919749,46.48026968210588,False,8,0.0029038177611984154,2.802165766386794
8,2020-01-30,0,80.85965313919749,46.48026968210588,False,9,0.0033481338952133857,2.802165766386794
9,2020-01-31,0,80.85965313919749,46.48026968210588,False,10,0.003860432473261661,2.802165766386794
10,2020-02-01,0,80.85965313919749,46.48026968210588,False,11,0.004451114196748966,2.802165766386794
11,2020-02-02,0,80.85965313919749,46.48026968210588,False,12,0.005132170674287076,2.802165766386794
12,2020-02-03,0,80.85965313919749,46.48026968210588,False,13,0.005917427668360122,2.802165766386794
13,2020-02-04,0,80.85965313919749,46.48026968210588,False,14,0.00682282550068842,2.802165766386794
14,2020-02-05,0,80.85965313919749,46.48026968210588,False,15,0.007866742281747312,2.802165766386794
15,2020-02-06,0,80.85965313919749,46.48026968210588,False,16,0.009070366490079071,2.802165766386794
16,2020-02-07,0,80.85965313919749,46.48026968210588,False,17,0.010458126416624388,2.802165766386794
17,2020-02-08,0,80.85965313919749,46.48026968210588,False,18,0.012058185127370037,2.802165766386794
18,2020-02-09,0,80.85965313919749,46.48026968210588,False,19,0.013903010905914096,2.802165766386794
19,2020-02-10,0,80.85965313919749,46.48026968210588,False,20,0.01603003464085377,2.802165766386794
20,2020-02-11,0,80.85965313919749,46.48026968210588,False,21,0.01848240734933602,2.802165766386794
21,2020-02-12,0,80.85965313919749,46.48026968210588,False,22,0.02130987300955513,2.802165766386794
22,2020-02-13,0,80.85965313919749,46.48026968210588,False,23,0.024569774147447886,2.802165766386794
23,2020-02-14,0,80.85965313919749,46.48026968210588,False,24,0.028328210226866154,2.802165766386794
24,2020-02-15,0,80.85965313919749,46.48026968210588,False,25,0.03266137187353563,2.802165766386794
25,2020-02-16,0,80.85965313919749,46.48026968210588,False,26,0.03765707737180021,2.802165766386794
26,2020-02-17,0,80.85965313919749,46.48026968210588,False,27,0.04341654176562358,2.802165766386794
27,2020-02-18,0,80.85965313919749,46.48026968210588,False,28,0.05005641333324695,2.802165766386794
28,2020-02-19,0,80.85965313919749,46.48026968210588,False,29,0.057711117255378766,2.802165766386794
29,2020-02-20,0,80.85965313919749,46.48026968210588,False,30,0.06653555203186802,2.802165766386794
30,2020-02-21,0,80.85965313919749,46.48026968210588,False,31,0.07670819069754656,2.802165766386794
31,2020-02-22,0,80.85965313919749,46.48026968210588,False,32,0.08843464622275021,2.802165766386794
32,2020-02-23,0,80.85965313919749,46.48026968210588,False,33,0.10195176873616944,2.802165766386794
33,2020-02-24,0,80.85965313919749,46.48026968210588,False,34,0.11753235145124875,2.802165766386794
34,2020-02-25,0,80.85965313919749,46.48026968210588,False,35,0.13549053247666645,2.802165766386794
35,2020-02-26,0,80.85965313919749,46.48026968210588,False,36,0.15618799109288775,2.802165766386794
36,2020-02-27,0,80.85965313919749,46.48026968210588,False,37,0.18004104959757125,2.802165766386794
37,2020-02-28,0,80.85965313919749,46.48026968210588,False,38,0.20752880543504795,2.802165766386794
38,2020-02-29,0,80.85965313919749,46.48026968210588,False,39,0.23920243293543816,2.802165766386794
39,2020-03-01,0,80.85965313919749,46.48026968210588,False,40,0.27569580940884486,2.802165766386794
40,2020-03-02,0,80.85965313919749,46.48026968210588,False,41,0.3177376362484468,2.802165766386794
41,2020-03-03,0,80.85965313919749,46.48026968210588,False,42,0.3661652415894747,2.802165766386794
42,2020-03-04,0,80.85965313919749,46.48026968210588,False,43,0.4219402661972536,2.802165766386794
43,2020-03-05,0,80.85965313919749,46.48026968210588,False,44,0.4861664475327677,2.802165766386794
44,2020-03-06,0,80.85965313919749,46.48026968210588,False,45,0.5601097268451193,2.802165766386794
45,2020-03-07,0,80.85965313919749,46.48026968210588,False,46,0.645220908569068,2.802165766386794
46,2020-03-08,0,80.85965313919749,46.48026968210588,False,47,0.743161097424043,2.802165766386794
47,2020-03-09,0,80.85965313919749,46.48026968210588,False,48,0.8558301226376834,2.802165766386794
48,2020-03-10,0,80.85965313919749,46.48026968210588,False,49,0.9853981256911849,2.802165766386794
49,2020-03-11,0,80.85965313919749,46.48026968210588,False,50,1.134340431494482,2.802165766386794
50,2020-03-12,0,80.85965313919749,46.48026968210588,False,51,1.3054757347940837,2.802165766386794
51,2020-03-13,0,80.85965313919749,46.48026968210588,False,52,1.502007503712666,2.802165766386794
52,2020-03-14,0,80.85965313919749,46.48026968210588,False,53,1.7275683181626227,2.802165766386794
53,2020-03-15,0,80.85965313919749,46.48026968210588,False,54,1.9862666076161815,2.802165766386794
54,2020-03-16,1,80.85965313919749,46.48026968210588,False,55,2.282734913219161,2.802165766386794
55,2020-03-17,1,80.85965313919749,46.48026968210588,False,56,2.622178354602341,2.802165766386794
56,2020-03-18,1,80.85965313919749,46.48026968210588,False,57,3.0104214124650293,2.802165766386794
