,Report_Date,Kuwait_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,91.87522885195418,2304.084363688409,False,1,0.1721607553700362,4608.168727376817
1,2020-01-23,0,91.87522885195418,2304.084363688409,False,2,0.19259887189549055,4608.168727376817
2,2020-01-24,0,91.87522885195418,2304.084363688409,False,3,0.21546319220003232,4608.168727376817
3,2020-01-25,0,91.87522885195418,2304.084363688409,False,4,0.24104170180145387,4608.168727376817
4,2020-01-26,0,91.87522885195418,2304.084363688409,False,5,0.2696565623432297,4608.168727376817
5,2020-01-27,0,91.87522885195418,2304.084363688409,False,6,0.30166816557510745,4608.168727376817
6,2020-01-28,0,91.87522885195418,2304.084363688409,False,7,0.33747966776382426,4608.168727376817
7,2020-01-29,0,91.87522885195418,2304.084363688409,False,8,0.3775420613546443,4608.168727376817
8,2020-01-30,0,91.87522885195418,2304.084363688409,False,9,0.4223598473958628,4608.168727376817
9,2020-01-31,0,91.87522885195418,2304.084363688409,False,10,0.47249737971064043,4608.168727376817
10,2020-02-01,0,91.87522885195418,2304.084363688409,False,11,0.5285859601427837,4608.168727376817
11,2020-02-02,0,91.87522885195418,2304.084363688409,False,12,0.5913317735143742,4608.168727376817
12,2020-02-03,0,91.87522885195418,2304.084363688409,False,13,0.6615247613231569,4608.168727376817
13,2020-02-04,0,91.87522885195418,2304.084363688409,False,14,0.7400485447977067,4608.168727376817
14,2020-02-05,0,91.87522885195418,2304.084363688409,False,15,0.8278915208526603,4608.168727376817
15,2020-02-06,0,91.87522885195418,2304.084363688409,False,16,0.9261592688926912,4608.168727376817
16,2020-02-07,0,91.87522885195418,2304.084363688409,False,17,1.0360884224652351,4608.168727376817
17,2020-02-08,0,91.87522885195418,2304.084363688409,False,18,1.1590621776371743,4608.168727376817
18,2020-02-09,0,91.87522885195418,2304.084363688409,False,19,1.2966276298658288,4608.168727376817
19,2020-02-10,0,91.87522885195418,2304.084363688409,False,20,1.450515153263898,4608.168727376817
20,2020-02-11,0,91.87522885195418,2304.084363688409,False,21,1.6226600607547532,4608.168727376817
21,2020-02-12,0,91.87522885195418,2304.084363688409,False,22,1.8152268109316982,4608.168727376817
22,2020-02-13,0,91.87522885195418,2304.084363688409,False,23,2.0306360577456406,4608.168727376817
23,2020-02-14,0,91.87522885195418,2304.084363688409,False,24,2.2715948727431936,4608.168727376817
24,2020-02-15,0,91.87522885195418,2304.084363688409,False,25,2.5411305067740684,4608.168727376817
25,2020-02-16,0,91.87522885195418,2304.084363688409,False,26,2.842628099213126,4608.168727376817
26,2020-02-17,0,91.87522885195418,2304.084363688409,False,27,3.1798727881441535,4608.168727376817
27,2020-02-18,0,91.87522885195418,2304.084363688409,False,28,3.5570967249862306,4608.168727376817
28,2020-02-19,0,91.87522885195418,2304.084363688409,False,29,3.9790315520713437,4608.168727376817
29,2020-02-20,0,91.87522885195418,2304.084363688409,False,30,4.450966962062602,4608.168727376817
30,2020-02-21,0,91.87522885195418,2304.084363688409,False,31,4.978816024180076,4608.168727376817
31,2020-02-22,0,91.87522885195418,2304.084363688409,False,32,5.569188034289758,4608.168727376817
32,2020-02-23,0,91.87522885195418,2304.084363688409,False,33,6.229469724273276,4608.168727376817
33,2020-02-24,1,91.87522885195418,2304.084363688409,False,34,6.9679157509167124,4608.168727376817
