,Report_Date,Albania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,472.8129467683504,2464087.7527966257,False,1,50.495976508154406,4928175.505593251
1,2020-01-23,0,472.8129467683504,2464087.7527966257,False,2,51.7406251689979,4928175.505593251
2,2020-01-24,0,472.8129467683504,2464087.7527966257,False,3,53.015952187416815,4928175.505593251
3,2020-01-25,0,472.8129467683504,2464087.7527966257,False,4,54.32271371344242,4928175.505593251
4,2020-01-26,0,472.8129467683504,2464087.7527966257,False,5,55.66168453362043,4928175.505593251
5,2020-01-27,0,472.8129467683504,2464087.7527966257,False,6,57.03365853029637,4928175.505593251
6,2020-01-28,0,472.8129467683504,2464087.7527966257,False,7,58.43944915221775,4928175.505593251
7,2020-01-29,0,472.8129467683504,2464087.7527966257,False,8,59.879889896731626,4928175.505593251
8,2020-01-30,0,472.8129467683504,2464087.7527966257,False,9,61.35583480386344,4928175.505593251
9,2020-01-31,0,472.8129467683504,2464087.7527966257,False,10,62.86815896256941,4928175.505593251
10,2020-02-01,0,472.8129467683504,2464087.7527966257,False,11,64.4177590294626,4928175.505593251
11,2020-02-02,0,472.8129467683504,2464087.7527966257,False,12,66.00555376031973,4928175.505593251
12,2020-02-03,0,472.8129467683504,2464087.7527966257,False,13,67.63248455468357,4928175.505593251
13,2020-02-04,0,472.8129467683504,2464087.7527966257,False,14,69.2995160138833,4928175.505593251
14,2020-02-05,0,472.8129467683504,2464087.7527966257,False,15,71.00763651280361,4928175.505593251
15,2020-02-06,0,472.8129467683504,2464087.7527966257,False,16,72.75785878574064,4928175.505593251
16,2020-02-07,0,472.8129467683504,2464087.7527966257,False,17,74.55122052669212,4928175.505593251
17,2020-02-08,0,472.8129467683504,2464087.7527966257,False,18,76.38878500443698,4928175.505593251
18,2020-02-09,0,472.8129467683504,2464087.7527966257,False,19,78.27164169276861,4928175.505593251
19,2020-02-10,0,472.8129467683504,2464087.7527966257,False,20,80.2009069162549,4928175.505593251
20,2020-02-11,0,472.8129467683504,2464087.7527966257,False,21,82.17772451190753,4928175.505593251
21,2020-02-12,0,472.8129467683504,2464087.7527966257,False,22,84.20326650715214,4928175.505593251
22,2020-02-13,0,472.8129467683504,2464087.7527966257,False,23,86.27873381450077,4928175.505593251
23,2020-02-14,0,472.8129467683504,2464087.7527966257,False,24,88.40535694333788,4928175.505593251
24,2020-02-15,0,472.8129467683504,2464087.7527966257,False,25,90.58439672924122,4928175.505593251
25,2020-02-16,0,472.8129467683504,2464087.7527966257,False,26,92.81714508126947,4928175.505593251
26,2020-02-17,0,472.8129467683504,2464087.7527966257,False,27,95.10492574765856,4928175.505593251
27,2020-02-18,0,472.8129467683504,2464087.7527966257,False,28,97.44909510038055,4928175.505593251
28,2020-02-19,0,472.8129467683504,2464087.7527966257,False,29,99.85104293902891,4928175.505593251
29,2020-02-20,0,472.8129467683504,2464087.7527966257,False,30,102.31219331450608,4928175.505593251
