,Report_Date,South Sudan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,135.55632938746507,1164.5181252286584,True,1,0.025354587870835898,2327.0909324162776
1,2020-01-23,0,135.55632938746507,1164.5181252286584,True,2,0.027602039427852783,2327.0909324162776
2,2020-01-24,0,135.55632938746507,1164.5181252286584,True,3,0.030048704372158445,2327.0909324162776
3,2020-01-25,0,135.55632938746507,1164.5181252286584,True,4,0.032712240438839496,2327.0909324162776
4,2020-01-26,0,135.55632938746507,1164.5181252286584,True,5,0.035611870408696476,2327.0909324162776
5,2020-01-27,0,135.55632938746507,1164.5181252286584,True,6,0.03876852080553814,2327.0909324162776
6,2020-01-28,0,135.55632938746507,1164.5181252286584,True,7,0.04220497288207109,2327.0909324162776
7,2020-01-29,0,135.55632938746507,1164.5181252286584,True,8,0.045946026982596505,2327.0909324162776
8,2020-01-30,0,135.55632938746507,1164.5181252286584,True,9,0.050018681466988235,2327.0909324162776
9,2020-01-31,0,135.55632938746507,1164.5181252286584,True,10,0.05445232748518557,2327.0909324162776
10,2020-02-01,0,135.55632938746507,1164.5181252286584,True,11,0.059278961005435116,2327.0909324162776
11,2020-02-02,0,135.55632938746507,1164.5181252286584,True,12,0.06453341362357103,2327.0909324162776
12,2020-02-03,0,135.55632938746507,1164.5181252286584,True,13,0.07025360381561356,2327.0909324162776
13,2020-02-04,0,135.55632938746507,1164.5181252286584,True,14,0.07648081044284895,2327.0909324162776
14,2020-02-05,0,135.55632938746507,1164.5181252286584,True,15,0.08325997047837193,2327.0909324162776
15,2020-02-06,0,135.55632938746507,1164.5181252286584,True,16,0.09064000309795446,2327.0909324162776
16,2020-02-07,0,135.55632938746507,1164.5181252286584,True,17,0.09867416246727977,2327.0909324162776
17,2020-02-08,0,135.55632938746507,1164.5181252286584,True,18,0.10742042176338189,2327.0909324162776
18,2020-02-09,0,135.55632938746507,1164.5181252286584,True,19,0.1169418911920057,2327.0909324162776
19,2020-02-10,0,135.55632938746507,1164.5181252286584,True,20,0.1273072730061211,2327.0909324162776
20,2020-02-11,0,135.55632938746507,1164.5181252286584,True,21,0.13859135679569143,2327.0909324162776
21,2020-02-12,0,135.55632938746507,1164.5181252286584,True,22,0.15087555860686075,2327.0909324162776
22,2020-02-13,0,135.55632938746507,1164.5181252286584,True,23,0.16424850776198768,2327.0909324162776
23,2020-02-14,0,135.55632938746507,1164.5181252286584,True,24,0.17880668559259155,2327.0909324162776
24,2020-02-15,0,135.55632938746507,1164.5181252286584,True,25,0.1946551206676398,2327.0909324162776
25,2020-02-16,0,135.55632938746507,1164.5181252286584,True,26,0.21190814550224263,2327.0909324162776
26,2020-02-17,0,135.55632938746507,1164.5181252286584,True,27,0.23069022016949273,2327.0909324162776
27,2020-02-18,0,135.55632938746507,1164.5181252286584,True,28,0.25113682871387544,2327.0909324162776
28,2020-02-19,0,135.55632938746507,1164.5181252286584,True,29,0.27339545478160215,2327.0909324162776
29,2020-02-20,0,135.55632938746507,1164.5181252286584,True,30,0.29762664344488104,2327.0909324162776
30,2020-02-21,0,135.55632938746507,1164.5181252286584,True,31,0.3240051568072857,2327.0909324162776
31,2020-02-22,0,135.55632938746507,1164.5181252286584,True,32,0.3527212316400803,2327.0909324162776
32,2020-02-23,0,135.55632938746507,1164.5181252286584,True,33,0.3839819480189834,2327.0909324162776
33,2020-02-24,0,135.55632938746507,1164.5181252286584,True,34,0.41801271871211,2327.0909324162776
34,2020-02-25,0,135.55632938746507,1164.5181252286584,True,35,0.4550589099177888,2327.0909324162776
35,2020-02-26,0,135.55632938746507,1164.5181252286584,True,36,0.4953876048710561,2327.0909324162776
36,2020-02-27,0,135.55632938746507,1164.5181252286584,True,37,0.5392895228357057,2327.0909324162776
37,2020-02-28,0,135.55632938746507,1164.5181252286584,True,38,0.5870811070810974,2327.0909324162776
38,2020-02-29,0,135.55632938746507,1164.5181252286584,True,39,0.6391067966161533,2327.0909324162776
39,2020-03-01,0,135.55632938746507,1164.5181252286584,True,40,0.6957414977242723,2327.0909324162776
40,2020-03-02,0,135.55632938746507,1164.5181252286584,True,41,0.7573932727198327,2327.0909324162776
41,2020-03-03,0,135.55632938746507,1164.5181252286584,True,42,0.8245062648376187,2327.0909324162776
42,2020-03-04,0,135.55632938746507,1164.5181252286584,True,43,0.8975638797794598,2327.0909324162776
