,Report_Date,Haiti_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.38863897590649,22.687440813008184,True,1,0.0005286076406596101,41.54547425194698
1,2020-01-23,0,75.38863897590649,22.687440813008184,True,2,0.000615822556324718,41.54547425194698
2,2020-01-24,0,75.38863897590649,22.687440813008184,True,3,0.0007174268236786634,41.54547425194698
3,2020-01-25,0,75.38863897590649,22.687440813008184,True,4,0.000835794421444721,41.54547425194698
4,2020-01-26,0,75.38863897590649,22.687440813008184,True,5,0.0009736909622008462,41.54547425194698
5,2020-01-27,0,75.38863897590649,22.687440813008184,True,6,0.0011343382896140852,41.54547425194698
6,2020-01-28,0,75.38863897590649,22.687440813008184,True,7,0.0013214897268280386,41.54547425194698
7,2020-01-29,0,75.38863897590649,22.687440813008184,True,8,0.0015395177309018987,41.54547425194698
8,2020-01-30,0,75.38863897590649,22.687440813008184,True,9,0.0017935159968663033,41.54547425194698
9,2020-01-31,0,75.38863897590649,22.687440813008184,True,10,0.002089418390942335,41.54547425194698
10,2020-02-01,0,75.38863897590649,22.687440813008184,True,11,0.0024341374834600748,41.54547425194698
11,2020-02-02,0,75.38863897590649,22.687440813008184,True,12,0.002835725906936532,41.54547425194698
12,2020-02-03,0,75.38863897590649,22.687440813008184,True,13,0.003303564293972035,41.54547425194698
13,2020-02-04,0,75.38863897590649,22.687440813008184,True,14,0.0038485801650750113,41.54547425194698
14,2020-02-05,0,75.38863897590649,22.687440813008184,True,15,0.004483502852079433,41.54547425194698
15,2020-02-06,0,75.38863897590649,22.687440813008184,True,16,0.005223160374479358,41.54547425194698
16,2020-02-07,0,75.38863897590649,22.687440813008184,True,17,0.006084825152230712,41.54547425194698
17,2020-02-08,0,75.38863897590649,22.687440813008184,True,18,0.0070886165606187206,41.54547425194698
18,2020-02-09,0,75.38863897590649,22.687440813008184,True,19,0.008257969635088203,41.54547425194698
19,2020-02-10,0,75.38863897590649,22.687440813008184,True,20,0.009620180744486,41.54547425194698
20,2020-02-11,0,75.38863897590649,22.687440813008184,True,21,0.011207042801975481,41.54547425194698
21,2020-02-12,0,75.38863897590649,22.687440813008184,True,22,0.013055584610402,41.54547425194698
22,2020-02-13,0,75.38863897590649,22.687440813008184,True,23,0.01520893128444715,41.54547425194698
23,2020-02-14,0,75.38863897590649,22.687440813008184,True,24,0.017717305402127802,41.54547425194698
24,2020-02-15,0,75.38863897590649,22.687440813008184,True,25,0.02063919166531142,41.54547425194698
25,2020-02-16,0,75.38863897590649,22.687440813008184,True,26,0.024042691450989275,41.54547425194698
26,2020-02-17,0,75.38863897590649,22.687440813008184,True,27,0.02800709777592474,41.54547425194698
27,2020-02-18,0,75.38863897590649,22.687440813008184,True,28,0.0326247259462539,41.54547425194698
28,2020-02-19,0,75.38863897590649,22.687440813008184,True,29,0.038003040594480376,41.54547425194698
29,2020-02-20,0,75.38863897590649,22.687440813008184,True,30,0.04426712599579782,41.54547425194698
30,2020-02-21,0,75.38863897590649,22.687440813008184,True,31,0.05156255358068266,41.54547425194698
31,2020-02-22,0,75.38863897590649,22.687440813008184,True,32,0.06005870849403968,41.54547425194698
32,2020-02-23,0,75.38863897590649,22.687440813008184,True,33,0.06995264595517071,41.54547425194698
33,2020-02-24,0,75.38863897590649,22.687440813008184,True,34,0.0814735580899868,41.54547425194698
34,2020-02-25,0,75.38863897590649,22.687440813008184,True,35,0.09488794284651099,41.54547425194698
35,2020-02-26,0,75.38863897590649,22.687440813008184,True,36,0.11050557852419064,41.54547425194698
36,2020-02-27,0,75.38863897590649,22.687440813008184,True,37,0.1286864202262069,41.54547425194698
37,2020-02-28,0,75.38863897590649,22.687440813008184,True,38,0.14984854794750715,41.54547425194698
38,2020-02-29,0,75.38863897590649,22.687440813008184,True,39,0.17447730964347186,41.54547425194698
39,2020-03-01,0,75.38863897590649,22.687440813008184,True,40,0.20313581586227408,41.54547425194698
40,2020-03-02,0,75.38863897590649,22.687440813008184,True,41,0.23647695443379468,41.54547425194698
41,2020-03-03,0,75.38863897590649,22.687440813008184,True,42,0.2752571029324181,41.54547425194698
42,2020-03-04,0,75.38863897590649,22.687440813008184,True,43,0.320351721247898,41.54547425194698
43,2020-03-05,0,75.38863897590649,22.687440813008184,True,44,0.37277300394069923,41.54547425194698
44,2020-03-06,0,75.38863897590649,22.687440813008184,True,45,0.4336897584925081,41.54547425194698
45,2020-03-07,0,75.38863897590649,22.687440813008184,True,46,0.5044496462248697,41.54547425194698
46,2020-03-08,0,75.38863897590649,22.687440813008184,True,47,0.5866038711502599,41.54547425194698
47,2020-03-09,0,75.38863897590649,22.687440813008184,True,48,0.6819343200784354,41.54547425194698
48,2020-03-10,0,75.38863897590649,22.687440813008184,True,49,0.7924830344824185,41.54547425194698
49,2020-03-11,0,75.38863897590649,22.687440813008184,True,50,0.9205837180574902,41.54547425194698
50,2020-03-12,0,75.38863897590649,22.687440813008184,True,51,1.06889473820397,41.54547425194698
51,2020-03-13,0,75.38863897590649,22.687440813008184,True,52,1.2404327472186718,41.54547425194698
52,2020-03-14,0,75.38863897590649,22.687440813008184,True,53,1.4386056108153364,41.54547425194698
53,2020-03-15,0,75.38863897590649,22.687440813008184,True,54,1.667242769196463,41.54547425194698
54,2020-03-16,0,75.38863897590649,22.687440813008184,True,55,1.9306204544734382,41.54547425194698
55,2020-03-17,0,75.38863897590649,22.687440813008184,True,56,2.233478341983369,41.54547425194698
56,2020-03-18,0,75.38863897590649,22.687440813008184,True,57,2.5810232331032594,41.54547425194698
