,Report_Date,Swaziland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,120.91469021383287,227.89467525296794,True,1,0.0886643257180382,413.736252343351
1,2020-01-23,0,120.91469021383287,227.89467525296794,True,2,0.0952114325032042,413.736252343351
2,2020-01-24,0,120.91469021383287,227.89467525296794,True,3,0.10224187900503642,413.736252343351
3,2020-01-25,0,120.91469021383287,227.89467525296794,True,4,0.10979133113595912,413.736252343351
4,2020-01-26,0,120.91469021383287,227.89467525296794,True,5,0.11789808407302349,413.736252343351
5,2020-01-27,0,120.91469021383287,227.89467525296794,True,6,0.12660325569587824,413.736252343351
6,2020-01-28,0,120.91469021383287,227.89467525296794,True,7,0.13595099419652895,413.736252343351
7,2020-01-29,0,120.91469021383287,227.89467525296794,True,8,0.14598870089000146,413.736252343351
8,2020-01-30,0,120.91469021383287,227.89467525296794,True,9,0.15676726932834784,413.736252343351
9,2020-01-31,0,120.91469021383287,227.89467525296794,True,10,0.16834134189876732,413.736252343351
10,2020-02-01,0,120.91469021383287,227.89467525296794,True,11,0.18076958517025715,413.736252343351
11,2020-02-02,0,120.91469021383287,227.89467525296794,True,12,0.194114985342492,413.736252343351
12,2020-02-03,0,120.91469021383287,227.89467525296794,True,13,0.20844516524587914,413.736252343351
13,2020-02-04,0,120.91469021383287,227.89467525296794,True,14,0.22383272444330218,413.736252343351
14,2020-02-05,0,120.91469021383287,227.89467525296794,True,15,0.2403556040923049,413.736252343351
15,2020-02-06,0,120.91469021383287,227.89467525296794,True,16,0.258097478341743,413.736252343351
16,2020-02-07,0,120.91469021383287,227.89467525296794,True,17,0.2771481741596262,413.736252343351
17,2020-02-08,0,120.91469021383287,227.89467525296794,True,18,0.29760412161936134,413.736252343351
18,2020-02-09,0,120.91469021383287,227.89467525296794,True,19,0.3195688368102803,413.736252343351
19,2020-02-10,0,120.91469021383287,227.89467525296794,True,20,0.3431534396855748,413.736252343351
20,2020-02-11,0,120.91469021383287,227.89467525296794,True,21,0.36847720931694056,413.736252343351
21,2020-02-12,0,120.91469021383287,227.89467525296794,True,22,0.39566817919073993,413.736252343351
22,2020-02-13,0,120.91469021383287,227.89467525296794,True,23,0.4248637753556607,413.736252343351
23,2020-02-14,0,120.91469021383287,227.89467525296794,True,24,0.45621150041702396,413.736252343351
24,2020-02-15,0,120.91469021383287,227.89467525296794,True,25,0.4898696665683722,413.736252343351
25,2020-02-16,0,120.91469021383287,227.89467525296794,True,26,0.5260081810569985,413.736252343351
26,2020-02-17,0,120.91469021383287,227.89467525296794,True,27,0.5648093876968702,413.736252343351
27,2020-02-18,0,120.91469021383287,227.89467525296794,True,28,0.6064689682700756,413.736252343351
28,2020-02-19,0,120.91469021383287,227.89467525296794,True,29,0.6511969078965234,413.736252343351
29,2020-02-20,0,120.91469021383287,227.89467525296794,True,30,0.6992185287010898,413.736252343351
30,2020-02-21,0,120.91469021383287,227.89467525296794,True,31,0.7507755963675314,413.736252343351
31,2020-02-22,0,120.91469021383287,227.89467525296794,True,32,0.8061275044389051,413.736252343351
32,2020-02-23,0,120.91469021383287,227.89467525296794,True,33,0.865552541504407,413.736252343351
33,2020-02-24,0,120.91469021383287,227.89467525296794,True,34,0.9293492467016841,413.736252343351
34,2020-02-25,0,120.91469021383287,227.89467525296794,True,35,0.9978378592607171,413.736252343351
35,2020-02-26,0,120.91469021383287,227.89467525296794,True,36,1.0713618681189536,413.736252343351
36,2020-02-27,0,120.91469021383287,227.89467525296794,True,37,1.1502896679457397,413.736252343351
37,2020-02-28,0,120.91469021383287,227.89467525296794,True,38,1.235016328225016,413.736252343351
