,Report_Date,Australia_australian capital territory_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.56197907677995,60.65340048445906,True,1,0.001438421352155825,118.71293722600105
1,2020-01-23,0,67.56197907677995,60.65340048445906,True,2,0.0017056553682242121,118.71293722600105
2,2020-01-24,0,67.56197907677995,60.65340048445906,True,3,0.002022536053221805,118.71293722600105
3,2020-01-25,0,67.56197907677995,60.65340048445906,True,4,0.0023982864167915066,118.71293722600105
4,2020-01-26,0,67.56197907677995,60.65340048445906,True,5,0.0028438427180647024,118.71293722600105
5,2020-01-27,0,67.56197907677995,60.65340048445906,True,6,0.003372172660339907,118.71293722600105
6,2020-01-28,0,67.56197907677995,60.65340048445906,True,7,0.003998652660222761,118.71293722600105
7,2020-01-29,0,67.56197907677995,60.65340048445906,True,8,0.004741515149560793,118.71293722600105
8,2020-01-30,0,67.56197907677995,60.65340048445906,True,9,0.005622378897568085,118.71293722600105
9,2020-01-31,0,67.56197907677995,60.65340048445906,True,10,0.006666877743791767,118.71293722600105
10,2020-02-01,0,67.56197907677995,60.65340048445906,True,11,0.007905405978418347,118.71293722600105
11,2020-02-02,0,67.56197907677995,60.65340048445906,True,12,0.00937400197549728,118.71293722600105
12,2020-02-03,0,67.56197907677995,60.65340048445906,True,13,0.011115395671957178,118.71293722600105
13,2020-02-04,0,67.56197907677995,60.65340048445906,True,14,0.013180250202537463,118.71293722600105
14,2020-02-05,0,67.56197907677995,60.65340048445906,True,15,0.01562863357917774,118.71293722600105
15,2020-02-06,0,67.56197907677995,60.65340048445906,True,16,0.01853176289682233,118.71293722600105
16,2020-02-07,0,67.56197907677995,60.65340048445906,True,17,0.021974071335914475,118.71293722600105
17,2020-02-08,0,67.56197907677995,60.65340048445906,True,18,0.026055657424896583,118.71293722600105
18,2020-02-09,0,67.56197907677995,60.65340048445906,True,19,0.03089518686768911,118.71293722600105
19,2020-02-10,0,67.56197907677995,60.65340048445906,True,20,0.036633330013688584,118.71293722600105
20,2020-02-11,0,67.56197907677995,60.65340048445906,True,21,0.043436833076374484,118.71293722600105
21,2020-02-12,0,67.56197907677995,60.65340048445906,True,22,0.051503338863048205,118.71293722600105
22,2020-02-13,0,67.56197907677995,60.65340048445906,True,23,0.06106709348454299,118.71293722600105
23,2020-02-14,0,67.56197907677995,60.65340048445906,True,24,0.07240569974375959,118.71293722600105
24,2020-02-15,0,67.56197907677995,60.65340048445906,True,25,0.08584810618025843,118.71293722600105
25,2020-02-16,0,67.56197907677995,60.65340048445906,True,26,0.1017840536450688,118.71293722600105
26,2020-02-17,0,67.56197907677995,60.65340048445906,True,27,0.12067523939901457,118.71293722600105
27,2020-02-18,0,67.56197907677995,60.65340048445906,True,28,0.1430685026840196,118.71293722600105
28,2020-02-19,0,67.56197907677995,60.65340048445906,True,29,0.16961138609865956,118.71293722600105
29,2020-02-20,0,67.56197907677995,60.65340048445906,True,30,0.20107048441970557,118.71293722600105
30,2020-02-21,0,67.56197907677995,60.65340048445906,True,31,0.23835305707724905,118.71293722600105
31,2020-02-22,0,67.56197907677995,60.65340048445906,True,32,0.28253245232716145,118.71293722600105
32,2020-02-23,0,67.56197907677995,60.65340048445906,True,33,0.334877969776857,118.71293722600105
33,2020-02-24,0,67.56197907677995,60.65340048445906,True,34,0.39688987202160686,118.71293722600105
34,2020-02-25,0,67.56197907677995,60.65340048445906,True,35,0.4703403432588345,118.71293722600105
35,2020-02-26,0,67.56197907677995,60.65340048445906,True,36,0.5573212786360768,118.71293722600105
36,2020-02-27,0,67.56197907677995,60.65340048445906,True,37,0.6602998660084607,118.71293722600105
37,2020-02-28,0,67.56197907677995,60.65340048445906,True,38,0.7821829814401857,118.71293722600105
38,2020-02-29,0,67.56197907677995,60.65340048445906,True,39,0.9263914459739864,118.71293722600105
39,2020-03-01,0,67.56197907677995,60.65340048445906,True,40,1.0969451620199702,118.71293722600105
40,2020-03-02,0,67.56197907677995,60.65340048445906,True,41,1.2985600323724267,118.71293722600105
41,2020-03-03,0,67.56197907677995,60.65340048445906,True,42,1.536757320924994,118.71293722600105
42,2020-03-04,0,67.56197907677995,60.65340048445906,True,43,1.817985684483501,118.71293722600105
43,2020-03-05,0,67.56197907677995,60.65340048445906,True,44,2.149755414587668,118.71293722600105
44,2020-03-06,0,67.56197907677995,60.65340048445906,True,45,2.540783381098226,118.71293722600105
45,2020-03-07,0,67.56197907677995,60.65340048445906,True,46,3.001145647520809,118.71293722600105
46,2020-03-08,0,67.56197907677995,60.65340048445906,True,47,3.542432593468485,118.71293722600105
47,2020-03-09,0,67.56197907677995,60.65340048445906,True,48,4.177898482054193,118.71293722600105
48,2020-03-10,0,67.56197907677995,60.65340048445906,True,49,4.922593605533934,118.71293722600105
49,2020-03-11,0,67.56197907677995,60.65340048445906,True,50,5.793462328689184,118.71293722600105
50,2020-03-12,0,67.56197907677995,60.65340048445906,True,51,6.809384523491808,118.71293722600105
51,2020-03-13,1,67.56197907677995,60.65340048445906,True,52,7.991131236815798,118.71293722600105
52,2020-03-14,1,67.56197907677995,60.65340048445906,True,53,9.361198455091094,118.71293722600105
53,2020-03-15,1,67.56197907677995,60.65340048445906,True,54,10.943476494025369,118.71293722600105
54,2020-03-16,2,67.56197907677995,60.65340048445906,True,55,12.762708446978621,118.71293722600105
55,2020-03-17,2,67.56197907677995,60.65340048445906,True,56,14.843691618111569,118.71293722600105
56,2020-03-18,3,67.56197907677995,60.65340048445906,True,57,17.21018401014224,118.71293722600105
57,2020-03-19,4,67.56197907677995,60.65340048445906,True,58,19.88349719798028,118.71293722600105
58,2020-03-20,6,67.56197907677995,60.65340048445906,True,59,22.880790400600244,118.71293722600105
59,2020-03-21,9,67.56197907677995,60.65340048445906,True,60,26.213129671529124,118.71293722600105
60,2020-03-22,19,67.56197907677995,60.65340048445906,True,61,29.883438756592255,118.71293722600105
