,Report_Date,Luxembourg_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.16644860784216,1833.3907106950237,True,1,0.043413994622885234,3602.451896427244
1,2020-01-23,0,68.16644860784216,1833.3907106950237,True,2,0.05140184052980507,3602.451896427244
2,2020-01-24,0,68.16644860784216,1833.3907106950237,True,3,0.06085936513734372,3602.451896427244
3,2020-01-25,0,68.16644860784216,1833.3907106950237,True,4,0.07205696389497171,3602.451896427244
4,2020-01-26,0,68.16644860784216,1833.3907106950237,True,5,0.08531477639705923,3602.451896427244
5,2020-01-27,0,68.16644860784216,1833.3907106950237,True,6,0.10101183613737869,3602.451896427244
6,2020-01-28,0,68.16644860784216,1833.3907106950237,True,7,0.11959690259968316,3602.451896427244
7,2020-01-29,0,68.16644860784216,1833.3907106950237,True,8,0.1416012847545187,3602.451896427244
8,2020-01-30,0,68.16644860784216,1833.3907106950237,True,9,0.167654021710477,3602.451896427244
9,2020-01-31,0,68.16644860784216,1833.3907106950237,True,10,0.19849985329858763,3602.451896427244
10,2020-02-01,0,68.16644860784216,1833.3907106950237,True,11,0.23502049262575653,3602.451896427244
11,2020-02-02,0,68.16644860784216,1833.3907106950237,True,12,0.27825980632395425,3602.451896427244
12,2020-02-03,0,68.16644860784216,1833.3907106950237,True,13,0.3294536189420225,3602.451896427244
13,2020-02-04,0,68.16644860784216,1833.3907106950237,True,14,0.3900649887258349,3602.451896427244
14,2020-02-05,0,68.16644860784216,1833.3907106950237,True,15,0.46182595648687763,3602.451896427244
15,2020-02-06,0,68.16644860784216,1833.3907106950237,True,16,0.5467869515567954,3602.451896427244
16,2020-02-07,0,68.16644860784216,1833.3907106950237,True,17,0.6473752538583496,3602.451896427244
17,2020-02-08,0,68.16644860784216,1833.3907106950237,True,18,0.7664641645915364,3602.451896427244
18,2020-02-09,0,68.16644860784216,1833.3907106950237,True,19,0.9074548365569151,3602.451896427244
19,2020-02-10,0,68.16644860784216,1833.3907106950237,True,20,1.0743730663732292,3602.451896427244
20,2020-02-11,0,68.16644860784216,1833.3907106950237,True,21,1.2719837636060067,3602.451896427244
21,2020-02-12,0,68.16644860784216,1833.3907106950237,True,22,1.5059262961891489,3602.451896427244
22,2020-02-13,0,68.16644860784216,1833.3907106950237,True,23,1.7828744789352957,3602.451896427244
23,2020-02-14,0,68.16644860784216,1833.3907106950237,True,24,2.1107256352526336,3602.451896427244
24,2020-02-15,0,68.16644860784216,1833.3907106950237,True,25,2.4988239356815294,3602.451896427244
25,2020-02-16,0,68.16644860784216,1833.3907106950237,True,26,2.9582241160867166,3602.451896427244
