,Report_Date,China_xinjiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,16.467216335739177,38.24287446884433,True,1,2.097686378789198,76.48574565790925
1,2020-01-23,2,16.467216335739177,38.24287446884433,True,2,2.6233563902607875,76.48574565790925
2,2020-01-24,2,16.467216335739177,38.24287446884433,True,3,3.274957282689752,76.48574565790925
3,2020-01-25,3,16.467216335739177,38.24287446884433,True,4,4.079466752995572,76.48574565790925
4,2020-01-26,4,16.467216335739177,38.24287446884433,True,5,5.06792714358039,76.48574565790925
5,2020-01-27,5,16.467216335739177,38.24287446884433,True,6,6.275135964662146,76.48574565790925
6,2020-01-28,10,16.467216335739177,38.24287446884433,True,7,7.738748652718919,76.48574565790925
7,2020-01-29,13,16.467216335739177,38.24287446884433,True,8,9.497556021278845,76.48574565790925
8,2020-01-30,14,16.467216335739177,38.24287446884433,True,9,11.588710026533933,76.48574565790925
9,2020-01-31,17,16.467216335739177,38.24287446884433,True,10,14.04376413347216,76.48574565790925
10,2020-02-01,18,16.467216335739177,38.24287446884433,True,11,16.883609224735252,76.48574565790925
11,2020-02-02,21,16.467216335739177,38.24287446884433,True,12,20.112741032729918,76.48574565790925
12,2020-02-03,24,16.467216335739177,38.24287446884433,True,13,23.713749042128157,76.48574565790925
13,2020-02-04,29,16.467216335739177,38.24287446884433,True,14,27.643333483385813,76.48574565790925
14,2020-02-05,32,16.467216335739177,38.24287446884433,True,15,31.831310748842203,76.48574565790925
15,2020-02-06,36,16.467216335739177,38.24287446884433,True,16,36.18372887138453,76.48574565790925
16,2020-02-07,39,16.467216335739177,38.24287446884433,True,17,40.590310825306894,76.48574565790925
17,2020-02-08,42,16.467216335739177,38.24287446884433,True,18,44.93519882256421,76.48574565790925
18,2020-02-09,45,16.467216335739177,38.24287446884433,True,19,49.108883722542004,76.48574565790925
19,2020-02-10,49,16.467216335739177,38.24287446884433,True,20,53.01878846638972,76.48574565790925
20,2020-02-11,55,16.467216335739177,38.24287446884433,True,21,56.59644508370887,76.48574565790925
21,2020-02-12,59,16.467216335739177,38.24287446884433,True,22,59.80032154322498,76.48574565790925
22,2020-02-13,63,16.467216335739177,38.24287446884433,True,23,62.61459009057033,76.48574565790925
23,2020-02-14,65,16.467216335739177,38.24287446884433,True,24,65.04499881150996,76.48574565790925
24,2020-02-15,70,16.467216335739177,38.24287446884433,True,25,67.11330969227124,76.48574565790925
25,2020-02-16,71,16.467216335739177,38.24287446884433,True,26,68.851587771319,76.48574565790925
26,2020-02-17,75,16.467216335739177,38.24287446884433,True,27,70.29720067135592,76.48574565790925
27,2020-02-18,76,16.467216335739177,38.24287446884433,True,28,71.48893728758863,76.48574565790925
28,2020-02-19,76,16.467216335739177,38.24287446884433,True,29,72.4643081765038,76.48574565790925
29,2020-02-20,76,16.467216335739177,38.24287446884433,True,30,73.25788451179616,76.48574565790925
30,2020-02-21,76,16.467216335739177,38.24287446884433,True,31,73.9004464656812,76.48574565790925
31,2020-02-22,76,16.467216335739177,38.24287446884433,True,32,74.41870459981834,76.48574565790925
32,2020-02-23,76,16.467216335739177,38.24287446884433,True,33,74.83539115233019,76.48574565790925
33,2020-02-24,76,16.467216335739177,38.24287446884433,True,34,75.169565265716,76.48574565790925
34,2020-02-25,76,16.467216335739177,38.24287446884433,True,35,75.43702209679014,76.48574565790925
35,2020-02-26,76,16.467216335739177,38.24287446884433,True,36,75.65073374202179,76.48574565790925
36,2020-02-27,76,16.467216335739177,38.24287446884433,True,37,75.82127840817972,76.48574565790925
37,2020-02-28,76,16.467216335739177,38.24287446884433,True,38,75.95723414122274,76.48574565790925
38,2020-02-29,76,16.467216335739177,38.24287446884433,True,39,76.06552646812324,76.48574565790925
39,2020-03-01,76,16.467216335739177,38.24287446884433,True,40,76.15172734609644,76.48574565790925
40,2020-03-02,76,16.467216335739177,38.24287446884433,True,41,76.22030741178783,76.48574565790925
41,2020-03-03,76,16.467216335739177,38.24287446884433,True,42,76.27484587091087,76.48574565790925
42,2020-03-04,76,16.467216335739177,38.24287446884433,True,43,76.31820331694924,76.48574565790925
43,2020-03-05,76,16.467216335739177,38.24287446884433,True,44,76.35266289289027,76.48574565790925
44,2020-03-06,76,16.467216335739177,38.24287446884433,True,45,76.38004488792244,76.48574565790925
45,2020-03-07,76,16.467216335739177,38.24287446884433,True,46,76.40179932614855,76.48574565790925
46,2020-03-08,76,16.467216335739177,38.24287446884433,True,47,76.41908049677792,76.48574565790925
47,2020-03-09,76,16.467216335739177,38.24287446884433,True,48,76.43280677402709,76.48574565790925
48,2020-03-10,76,16.467216335739177,38.24287446884433,True,49,76.44370852089565,76.48574565790925
49,2020-03-11,76,16.467216335739177,38.24287446884433,True,50,76.45236638181682,76.48574565790925
50,2020-03-12,76,16.467216335739177,38.24287446884433,True,51,76.45924184928572,76.48574565790925
51,2020-03-13,76,16.467216335739177,38.24287446884433,True,52,76.46470163608825,76.48574565790925
52,2020-03-14,76,16.467216335739177,38.24287446884433,True,53,76.46903709131558,76.48574565790925
53,2020-03-15,76,16.467216335739177,38.24287446884433,True,54,76.47247965725019,76.48574565790925
54,2020-03-16,76,16.467216335739177,38.24287446884433,True,55,76.47521316763799,76.48574565790925
55,2020-03-17,76,16.467216335739177,38.24287446884433,True,56,76.4773836285292,76.48574565790925
56,2020-03-18,76,16.467216335739177,38.24287446884433,True,57,76.4791069943043,76.48574565790925
57,2020-03-19,76,16.467216335739177,38.24287446884433,True,58,76.48047534812001,76.48574565790925
58,2020-03-20,76,16.467216335739177,38.24287446884433,True,59,76.48156181310503,76.48574565790925
59,2020-03-21,76,16.467216335739177,38.24287446884433,True,60,76.48242445429072,76.48574565790925
60,2020-03-22,76,16.467216335739177,38.24287446884433,True,61,76.4831093782583,76.48574565790925
61,2020-03-23,76,16.467216335739177,38.24287446884433,True,62,76.48365319519345,76.48574565790925
62,2020-03-24,76,16.467216335739177,38.24287446884433,True,63,76.48408497433111,76.48574565790925
63,2020-03-25,76,16.467216335739177,38.24287446884433,True,64,76.48442779692768,76.48574565790925
64,2020-03-26,76,16.467216335739177,38.24287446884433,True,65,76.48469998953091,76.48574565790925
65,2020-03-27,76,16.467216335739177,38.24287446884433,True,66,76.48491610332051,76.48574565790925
66,2020-03-28,76,16.467216335739177,38.24287446884433,True,67,76.4850876917769,76.48574565790925
67,2020-03-29,76,16.467216335739177,38.24287446884433,True,68,76.48522392819042,76.48574565790925
68,2020-03-30,76,16.467216335739177,38.24287446884433,True,69,76.48533209598547,76.48574565790925
69,2020-03-31,76,16.467216335739177,38.24287446884433,True,70,76.48541797804799,76.48574565790925
70,2020-04-01,76,16.467216335739177,38.24287446884433,True,71,76.48548616585568,76.48574565790925
71,2020-04-02,76,16.467216335739177,38.24287446884433,True,72,76.48554030492792,76.48574565790925
72,2020-04-03,76,16.467216335739177,38.24287446884433,True,73,76.48558328971181,76.48574565790925
73,2020-04-04,76,16.467216335739177,38.24287446884433,True,74,76.48561741831959,76.48574565790925
74,2020-04-05,76,16.467216335739177,38.24287446884433,True,75,76.48564451538796,76.48574565790925
75,2020-04-06,76,16.467216335739177,38.24287446884433,True,76,76.48566602962603,76.48574565790925
76,2020-04-07,76,16.467216335739177,38.24287446884433,True,77,76.4856831112665,76.48574565790925
77,2020-04-08,76,16.467216335739177,38.24287446884433,True,78,76.48569667355996,76.48574565790925
78,2020-04-09,76,16.467216335739177,38.24287446884433,True,79,76.48570744160001,76.48574565790925
79,2020-04-10,76,16.467216335739177,38.24287446884433,True,80,76.48571599108902,76.48574565790925
