,Report_Date,Solomon Islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,313.7079547364093,1.229796586483613,False,1,0.00012139570712643472,0.00016791159128527928
1,2020-01-23,0,313.7079547364093,1.229796586483613,False,2,0.0001253068224237253,0.00016791159128527928
2,2020-01-24,0,313.7079547364093,1.229796586483613,False,3,0.0001293439390333265,0.00016791159128527928
3,2020-01-25,0,313.7079547364093,1.229796586483613,False,4,0.00013351111580611573,0.00016791159128527928
4,2020-01-26,0,313.7079547364093,1.229796586483613,False,5,0.00013781254231137933,0.00016791159128527928
5,2020-01-27,0,313.7079547364093,1.229796586483613,False,6,0.00014225254304483937,0.00016791159128527928
6,2020-01-28,0,313.7079547364093,1.229796586483613,False,7,0.0001468355817720214,0.00016791159128527928
7,2020-01-29,0,313.7079547364093,1.229796586483613,False,8,0.0001515662660113084,0.00016791159128527928
8,2020-01-30,0,313.7079547364093,1.229796586483613,False,9,0.00015644935166116437,0.00016791159128527928
9,2020-01-31,0,313.7079547364093,1.229796586483613,False,10,0.0001614897477761554,0.00016791159128527928
10,2020-02-01,0,313.7079547364093,1.229796586483613,False,11,0.00016669252149654302,0.00016791159128527928
11,2020-02-02,0,313.7079547364093,1.229796586483613,False,12,0.00017206290313637784,0.00016791159128527928
12,2020-02-03,0,313.7079547364093,1.229796586483613,False,13,0.00017760629143517847,0.00016791159128527928
13,2020-02-04,0,313.7079547364093,1.229796586483613,False,14,0.00018332825897844418,0.00016791159128527928
14,2020-02-05,0,313.7079547364093,1.229796586483613,False,15,0.00018923455779241532,0.00016791159128527928
15,2020-02-06,0,313.7079547364093,1.229796586483613,False,16,0.00019533112511867126,0.00016791159128527928
16,2020-02-07,0,313.7079547364093,1.229796586483613,False,17,0.0002016240893743306,0.00016791159128527928
17,2020-02-08,0,313.7079547364093,1.229796586483613,False,18,0.00020811977630380598,0.00016791159128527928
18,2020-02-09,0,313.7079547364093,1.229796586483613,False,19,0.00021482471532825213,0.00016791159128527928
19,2020-02-10,0,313.7079547364093,1.229796586483613,False,20,0.00022174564609904425,0.00016791159128527928
20,2020-02-11,0,313.7079547364093,1.229796586483613,False,21,0.00022888952526182419,0.00016791159128527928
21,2020-02-12,0,313.7079547364093,1.229796586483613,False,22,0.00023626353343786128,0.00016791159128527928
22,2020-02-13,0,313.7079547364093,1.229796586483613,False,23,0.00024387508242968854,0.00016791159128527928
23,2020-02-14,0,313.7079547364093,1.229796586483613,False,24,0.0002517318226581968,0.00016791159128527928
24,2020-02-15,0,313.7079547364093,1.229796586483613,False,25,0.00025984165083859956,0.00016791159128527928
25,2020-02-16,0,313.7079547364093,1.229796586483613,False,26,0.0002682127179029137,0.00016791159128527928
26,2020-02-17,0,313.7079547364093,1.229796586483613,False,27,0.0002768534371768481,0.00016791159128527928
