,Report_Date,Andorra_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0.04416636112503795,58.518072289139404,True,1,117.03614457827881,117.03614457827881
1,2020-01-23,0,0.04416636112503795,58.518072289139404,True,2,117.03614457827881,117.03614457827881
2,2020-01-24,0,0.04416636112503795,58.518072289139404,True,3,117.03614457827881,117.03614457827881
3,2020-01-25,0,0.04416636112503795,58.518072289139404,True,4,117.03614457827881,117.03614457827881
4,2020-01-26,0,0.04416636112503795,58.518072289139404,True,5,117.03614457827881,117.03614457827881
5,2020-01-27,0,0.04416636112503795,58.518072289139404,True,6,117.03614457827881,117.03614457827881
6,2020-01-28,0,0.04416636112503795,58.518072289139404,True,7,117.03614457827881,117.03614457827881
7,2020-01-29,0,0.04416636112503795,58.518072289139404,True,8,117.03614457827881,117.03614457827881
8,2020-01-30,0,0.04416636112503795,58.518072289139404,True,9,117.03614457827881,117.03614457827881
9,2020-01-31,0,0.04416636112503795,58.518072289139404,True,10,117.03614457827881,117.03614457827881
10,2020-02-01,0,0.04416636112503795,58.518072289139404,True,11,117.03614457827881,117.03614457827881
11,2020-02-02,0,0.04416636112503795,58.518072289139404,True,12,117.03614457827881,117.03614457827881
12,2020-02-03,0,0.04416636112503795,58.518072289139404,True,13,117.03614457827881,117.03614457827881
13,2020-02-04,0,0.04416636112503795,58.518072289139404,True,14,117.03614457827881,117.03614457827881
14,2020-02-05,0,0.04416636112503795,58.518072289139404,True,15,117.03614457827881,117.03614457827881
15,2020-02-06,0,0.04416636112503795,58.518072289139404,True,16,117.03614457827881,117.03614457827881
16,2020-02-07,0,0.04416636112503795,58.518072289139404,True,17,117.03614457827881,117.03614457827881
17,2020-02-08,0,0.04416636112503795,58.518072289139404,True,18,117.03614457827881,117.03614457827881
18,2020-02-09,0,0.04416636112503795,58.518072289139404,True,19,117.03614457827881,117.03614457827881
19,2020-02-10,0,0.04416636112503795,58.518072289139404,True,20,117.03614457827881,117.03614457827881
20,2020-02-11,0,0.04416636112503795,58.518072289139404,True,21,117.03614457827881,117.03614457827881
21,2020-02-12,0,0.04416636112503795,58.518072289139404,True,22,117.03614457827881,117.03614457827881
22,2020-02-13,0,0.04416636112503795,58.518072289139404,True,23,117.03614457827881,117.03614457827881
23,2020-02-14,0,0.04416636112503795,58.518072289139404,True,24,117.03614457827881,117.03614457827881
24,2020-02-15,0,0.04416636112503795,58.518072289139404,True,25,117.03614457827881,117.03614457827881
25,2020-02-16,0,0.04416636112503795,58.518072289139404,True,26,117.03614457827881,117.03614457827881
26,2020-02-17,0,0.04416636112503795,58.518072289139404,True,27,117.03614457827881,117.03614457827881
27,2020-02-18,0,0.04416636112503795,58.518072289139404,True,28,117.03614457827881,117.03614457827881
28,2020-02-19,0,0.04416636112503795,58.518072289139404,True,29,117.03614457827881,117.03614457827881
29,2020-02-20,0,0.04416636112503795,58.518072289139404,True,30,117.03614457827881,117.03614457827881
30,2020-02-21,0,0.04416636112503795,58.518072289139404,True,31,117.03614457827881,117.03614457827881
31,2020-02-22,0,0.04416636112503795,58.518072289139404,True,32,117.03614457827881,117.03614457827881
32,2020-02-23,0,0.04416636112503795,58.518072289139404,True,33,117.03614457827881,117.03614457827881
33,2020-02-24,0,0.04416636112503795,58.518072289139404,True,34,117.03614457827881,117.03614457827881
34,2020-02-25,0,0.04416636112503795,58.518072289139404,True,35,117.03614457827881,117.03614457827881
35,2020-02-26,0,0.04416636112503795,58.518072289139404,True,36,117.03614457827881,117.03614457827881
36,2020-02-27,0,0.04416636112503795,58.518072289139404,True,37,117.03614457827881,117.03614457827881
37,2020-02-28,0,0.04416636112503795,58.518072289139404,True,38,117.03614457827881,117.03614457827881
38,2020-02-29,0,0.04416636112503795,58.518072289139404,True,39,117.03614457827881,117.03614457827881
39,2020-03-01,0,0.04416636112503795,58.518072289139404,True,40,117.03614457827881,117.03614457827881
40,2020-03-02,1,0.04416636112503795,58.518072289139404,True,41,117.03614457827881,117.03614457827881
41,2020-03-03,1,0.04416636112503795,58.518072289139404,True,42,117.03614457827881,117.03614457827881
42,2020-03-04,1,0.04416636112503795,58.518072289139404,True,43,117.03614457827881,117.03614457827881
43,2020-03-05,1,0.04416636112503795,58.518072289139404,True,44,117.03614457827881,117.03614457827881
44,2020-03-06,1,0.04416636112503795,58.518072289139404,True,45,117.03614457827881,117.03614457827881
45,2020-03-07,1,0.04416636112503795,58.518072289139404,True,46,117.03614457827881,117.03614457827881
46,2020-03-08,1,0.04416636112503795,58.518072289139404,True,47,117.03614457827881,117.03614457827881
47,2020-03-09,1,0.04416636112503795,58.518072289139404,True,48,117.03614457827881,117.03614457827881
48,2020-03-10,1,0.04416636112503795,58.518072289139404,True,49,117.03614457827881,117.03614457827881
49,2020-03-11,1,0.04416636112503795,58.518072289139404,True,50,117.03614457827881,117.03614457827881
50,2020-03-12,1,0.04416636112503795,58.518072289139404,True,51,117.03614457827881,117.03614457827881
51,2020-03-13,1,0.04416636112503795,58.518072289139404,True,52,117.03614457827881,117.03614457827881
52,2020-03-14,1,0.04416636112503795,58.518072289139404,True,53,117.03614457827881,117.03614457827881
53,2020-03-15,1,0.04416636112503795,58.518072289139404,True,54,117.03614457827881,117.03614457827881
54,2020-03-16,2,0.04416636112503795,58.518072289139404,True,55,117.03614457827881,117.03614457827881
55,2020-03-17,39,0.04416636112503795,58.518072289139404,True,56,117.03614457827881,117.03614457827881
56,2020-03-18,39,0.04416636112503795,58.518072289139404,True,57,117.03614457827881,117.03614457827881
