,Report_Date,Denmark_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.20910881937083,4956.56760761424,True,1,1.4700371829154486,8396.178511642069
1,2020-01-23,0,77.20910881937083,4956.56760761424,True,2,1.650294207114997,8396.178511642069
2,2020-01-24,0,77.20910881937083,4956.56760761424,True,3,1.8526503467382522,8396.178511642069
3,2020-01-25,0,77.20910881937083,4956.56760761424,True,4,2.079813829553495,8396.178511642069
4,2020-01-26,0,77.20910881937083,4956.56760761424,True,5,2.334824494496373,8396.178511642069
5,2020-01-27,0,77.20910881937083,4956.56760761424,True,6,2.6210943232412385,8396.178511642069
6,2020-01-28,0,77.20910881937083,4956.56760761424,True,7,2.942452906833214,8396.178511642069
7,2020-01-29,0,77.20910881937083,4956.56760761424,True,8,3.303198443326683,8396.178511642069
8,2020-01-30,0,77.20910881937083,4956.56760761424,True,9,3.70815493305088,8396.178511642069
9,2020-01-31,0,77.20910881937083,4956.56760761424,True,10,4.162736316840922,8396.178511642069
10,2020-02-01,0,77.20910881937083,4956.56760761424,True,11,4.673018390157968,8396.178511642069
11,2020-02-02,0,77.20910881937083,4956.56760761424,True,12,5.245819423359815,8396.178511642069
12,2020-02-03,0,77.20910881937083,4956.56760761424,True,13,5.888790526414177,8396.178511642069
13,2020-02-04,0,77.20910881937083,4956.56760761424,True,14,6.610516916062271,8396.178511642069
14,2020-02-05,0,77.20910881937083,4956.56760761424,True,15,7.420631375870949,8396.178511642069
15,2020-02-06,0,77.20910881937083,4956.56760761424,True,16,8.329941345811948,8396.178511642069
16,2020-02-07,0,77.20910881937083,4956.56760761424,True,17,9.350571239032428,8396.178511642069
17,2020-02-08,0,77.20910881937083,4956.56760761424,True,18,10.49612176035592,8396.178511642069
18,2020-02-09,0,77.20910881937083,4956.56760761424,True,19,11.781848194726036,8396.178511642069
19,2020-02-10,0,77.20910881937083,4956.56760761424,True,20,13.224859845091759,8396.178511642069
20,2020-02-11,0,77.20910881937083,4956.56760761424,True,21,14.844343028734388,8396.178511642069
21,2020-02-12,0,77.20910881937083,4956.56760761424,True,22,16.661810289039565,8396.178511642069
22,2020-02-13,0,77.20910881937083,4956.56760761424,True,23,18.70137874606131,8396.178511642069
23,2020-02-14,0,77.20910881937083,4956.56760761424,True,24,20.99008079312686,8396.178511642069
24,2020-02-15,0,77.20910881937083,4956.56760761424,True,25,23.558210646571176,8396.178511642069
25,2020-02-16,0,77.20910881937083,4956.56760761424,True,26,26.439710568730774,8396.178511642069
26,2020-02-17,0,77.20910881937083,4956.56760761424,True,27,29.67260090636496,8396.178511642069
27,2020-02-18,0,77.20910881937083,4956.56760761424,True,28,33.29945841160104,8396.178511642069
28,2020-02-19,0,77.20910881937083,4956.56760761424,True,29,37.3679476317644,8396.178511642069
29,2020-02-20,0,77.20910881937083,4956.56760761424,True,30,41.93141045638086,8396.178511642069
30,2020-02-21,0,77.20910881937083,4956.56760761424,True,31,47.04951917861426,8396.178511642069
31,2020-02-22,0,77.20910881937083,4956.56760761424,True,32,52.788998643877115,8396.178511642069
32,2020-02-23,0,77.20910881937083,4956.56760761424,True,33,59.22442319363617,8396.178511642069
33,2020-02-24,0,77.20910881937083,4956.56760761424,True,34,66.43909413327609,8396.178511642069
34,2020-02-25,0,77.20910881937083,4956.56760761424,True,35,74.52600331578263,8396.178511642069
35,2020-02-26,0,77.20910881937083,4956.56760761424,True,36,83.58888808328318,8396.178511642069
36,2020-02-27,1,77.20910881937083,4956.56760761424,True,37,93.743382178067,8396.178511642069
37,2020-02-28,1,77.20910881937083,4956.56760761424,True,38,105.11826623972215,8396.178511642069
38,2020-02-29,3,77.20910881937083,4956.56760761424,True,39,117.85682004316263,8396.178511642069
39,2020-03-01,4,77.20910881937083,4956.56760761424,True,40,132.11827658024262,8396.178511642069
40,2020-03-02,4,77.20910881937083,4956.56760761424,True,41,148.07937529848488,8396.178511642069
41,2020-03-03,6,77.20910881937083,4956.56760761424,True,42,165.93600811187477,8396.178511642069
42,2020-03-04,10,77.20910881937083,4956.56760761424,True,43,185.9049469919017,8396.178511642069
43,2020-03-05,10,77.20910881937083,4956.56760761424,True,44,208.2256358076239,8396.178511642069
44,2020-03-06,23,77.20910881937083,4956.56760761424,True,45,233.16202136470946,8396.178511642069
45,2020-03-07,23,77.20910881937083,4956.56760761424,True,46,261.0043890335547,8396.178511642069
46,2020-03-08,35,77.20910881937083,4956.56760761424,True,47,292.071156692191,8396.178511642069
47,2020-03-09,90,77.20910881937083,4956.56760761424,True,48,326.7105666964186,8396.178511642069
48,2020-03-10,262,77.20910881937083,4956.56760761424,True,49,365.30219903330834,8396.178511642069
49,2020-03-11,442,77.20910881937083,4956.56760761424,True,50,408.2582096156152,8396.178511642069
50,2020-03-12,615,77.20910881937083,4956.56760761424,True,51,456.02417588972634,8396.178511642069
51,2020-03-13,801,77.20910881937083,4956.56760761424,True,52,509.0794078493523,8396.178511642069
52,2020-03-14,827,77.20910881937083,4956.56760761424,True,53,567.9365567962211,8396.178511642069
53,2020-03-15,864,77.20910881937083,4956.56760761424,True,54,633.1403278458956,8396.178511642069
54,2020-03-16,914,77.20910881937083,4956.56760761424,True,55,705.2650769065601,8396.178511642069
55,2020-03-17,977,77.20910881937083,4956.56760761424,True,56,784.9110510509364,8396.178511642069
56,2020-03-18,1057,77.20910881937083,4956.56760761424,True,57,872.6990160928601,8396.178511642069
57,2020-03-19,1151,77.20910881937083,4956.56760761424,True,58,969.2630109309986,8396.178511642069
