,Report_Date,France_french polynesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.0514296542649,26.79658762322309,True,1,0.0006379738933952296,52.781083075699975
1,2020-01-23,0,66.0514296542649,26.79658762322309,True,2,0.00075945231704773,52.781083075699975
2,2020-01-24,0,66.0514296542649,26.79658762322309,True,3,0.0009040614026716099,52.781083075699975
3,2020-01-25,0,66.0514296542649,26.79658762322309,True,4,0.0010762052883609096,52.781083075699975
4,2020-01-26,0,66.0514296542649,26.79658762322309,True,5,0.001281126603660135,52.781083075699975
5,2020-01-27,0,66.0514296542649,26.79658762322309,True,6,0.001525066079280536,52.781083075699975
6,2020-01-28,0,66.0514296542649,26.79658762322309,True,7,0.0018154525272643643,52.781083075699975
7,2020-01-29,0,66.0514296542649,26.79658762322309,True,8,0.0021611289655439707,52.781083075699975
8,2020-01-30,0,66.0514296542649,26.79658762322309,True,9,0.002572621756514899,52.781083075699975
9,2020-01-31,0,66.0514296542649,26.79658762322309,True,10,0.00306246093197305,52.781083075699975
10,2020-02-01,0,66.0514296542649,26.79658762322309,True,11,0.0036455614253265603,52.781083075699975
11,2020-02-02,0,66.0514296542649,26.79658762322309,True,12,0.004339676772263842,52.781083075699975
12,2020-02-03,0,66.0514296542649,26.79658762322309,True,13,0.005165939027270042,52.781083075699975
13,2020-02-04,0,66.0514296542649,26.79658762322309,True,14,0.006149501239543533,52.781083075699975
14,2020-02-05,0,66.0514296542649,26.79658762322309,True,15,0.007320301913392723,52.781083075699975
15,2020-02-06,0,66.0514296542649,26.79658762322309,True,16,0.0087139745337765,52.781083075699975
16,2020-02-07,0,66.0514296542649,26.79658762322309,True,17,0.010372929571307397,52.781083075699975
17,2020-02-08,0,66.0514296542649,26.79658762322309,True,18,0.012347641514393557,52.781083075699975
18,2020-02-09,0,66.0514296542649,26.79658762322309,True,19,0.014698179550935272,52.781083075699975
19,2020-02-10,0,66.0514296542649,26.79658762322309,True,20,0.01749602770238213,52.781083075699975
20,2020-02-11,0,66.0514296542649,26.79658762322309,True,21,0.02082624868833958,52.781083075699975
21,2020-02-12,0,66.0514296542649,26.79658762322309,True,22,0.024790055786922782,52.781083075699975
22,2020-02-13,0,66.0514296542649,26.79658762322309,True,23,0.029507868700210056,52.781083075699975
23,2020-02-14,0,66.0514296542649,26.79658762322309,True,24,0.0351229432102848,52.781083075699975
24,2020-02-15,0,66.0514296542649,26.79658762322309,True,25,0.041805680522086185,52.781083075699975
25,2020-02-16,0,66.0514296542649,26.79658762322309,True,26,0.049758740960299364,52.781083075699975
26,2020-02-17,0,66.0514296542649,26.79658762322309,True,27,0.05922310845796443,52.781083075699975
27,2020-02-18,0,66.0514296542649,26.79658762322309,True,28,0.07048527738002053,52.781083075699975
28,2020-02-19,0,66.0514296542649,26.79658762322309,True,29,0.08388576196989275,52.781083075699975
29,2020-02-20,0,66.0514296542649,26.79658762322309,True,30,0.09982916132059066,52.781083075699975
30,2020-02-21,0,66.0514296542649,26.79658762322309,True,31,0.11879604934110408,52.781083075699975
31,2020-02-22,0,66.0514296542649,26.79658762322309,True,32,0.14135699956127748,52.781083075699975
32,2020-02-23,0,66.0514296542649,26.79658762322309,True,33,0.1681890982568729,52.781083075699975
33,2020-02-24,0,66.0514296542649,26.79658762322309,True,34,0.20009534515439456,52.781083075699975
34,2020-02-25,0,66.0514296542649,26.79658762322309,True,35,0.23802738688565006,52.781083075699975
35,2020-02-26,0,66.0514296542649,26.79658762322309,True,36,0.2831120711154708,52.781083075699975
36,2020-02-27,0,66.0514296542649,26.79658762322309,True,37,0.33668234374040273,52.781083075699975
37,2020-02-28,0,66.0514296542649,26.79658762322309,True,38,0.4003130300596795,52.781083075699975
38,2020-02-29,0,66.0514296542649,26.79658762322309,True,39,0.4758620321246568,52.781083075699975
39,2020-03-01,0,66.0514296542649,26.79658762322309,True,40,0.5655174225837041,52.781083075699975
40,2020-03-02,0,66.0514296542649,26.79658762322309,True,41,0.6718507979812733,52.781083075699975
41,2020-03-03,0,66.0514296542649,26.79658762322309,True,42,0.797877041330314,52.781083075699975
42,2020-03-04,0,66.0514296542649,26.79658762322309,True,43,0.9471202946356538,52.781083075699975
43,2020-03-05,0,66.0514296542649,26.79658762322309,True,44,1.123685405094223,52.781083075699975
44,2020-03-06,0,66.0514296542649,26.79658762322309,True,45,1.3323333196472995,52.781083075699975
45,2020-03-07,0,66.0514296542649,26.79658762322309,True,46,1.5785577855768063,52.781083075699975
46,2020-03-08,0,66.0514296542649,26.79658762322309,True,47,1.8686591870002256,52.781083075699975
47,2020-03-09,0,66.0514296542649,26.79658762322309,True,48,2.209809328941465,52.781083075699975
48,2020-03-10,0,66.0514296542649,26.79658762322309,True,49,2.6100984162101533,52.781083075699975
49,2020-03-11,0,66.0514296542649,26.79658762322309,True,50,3.078552365302701,52.781083075699975
50,2020-03-12,0,66.0514296542649,26.79658762322309,True,51,3.625105045634264,52.781083075699975
