,Report_Date,Oman_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,158.7614103788305,37956.06188998854,True,1,4.2551278618670665,59082.728728705595
1,2020-01-23,0,158.7614103788305,37956.06188998854,True,2,4.527507528541008,59082.728728705595
2,2020-01-24,0,158.7614103788305,37956.06188998854,True,3,4.8173216829392524,59082.728728705595
3,2020-01-25,0,158.7614103788305,37956.06188998854,True,4,5.125686126200721,59082.728728705595
4,2020-01-26,0,158.7614103788305,37956.06188998854,True,5,5.453788051033524,59082.728728705595
5,2020-01-27,0,158.7614103788305,37956.06188998854,True,6,5.802890606962777,59082.728728705595
6,2020-01-28,0,158.7614103788305,37956.06188998854,True,7,6.174337757173275,59082.728728705595
7,2020-01-29,0,158.7614103788305,37956.06188998854,True,8,6.569559445527427,59082.728728705595
8,2020-01-30,0,158.7614103788305,37956.06188998854,True,9,6.990077093516871,59082.728728705595
9,2020-01-31,0,158.7614103788305,37956.06188998854,True,10,7.437509448158183,59082.728728705595
10,2020-02-01,0,158.7614103788305,37956.06188998854,True,11,7.91357880317344,59082.728728705595
11,2020-02-02,0,158.7614103788305,37956.06188998854,True,12,8.420117617210106,59082.728728705595
12,2020-02-03,0,158.7614103788305,37956.06188998854,True,13,8.959075554356604,59082.728728705595
13,2020-02-04,0,158.7614103788305,37956.06188998854,True,14,9.532526973805586,59082.728728705595
14,2020-02-05,0,158.7614103788305,37956.06188998854,True,15,10.142678897211928,59082.728728705595
15,2020-02-06,0,158.7614103788305,37956.06188998854,True,16,10.791879484092794,59082.728728705595
16,2020-02-07,0,158.7614103788305,37956.06188998854,True,17,11.482627047529112,59082.728728705595
17,2020-02-08,0,158.7614103788305,37956.06188998854,True,18,12.217579644458159,59082.728728705595
18,2020-02-09,0,158.7614103788305,37956.06188998854,True,19,12.999565277002764,59082.728728705595
19,2020-02-10,0,158.7614103788305,37956.06188998854,True,20,13.831592743571106,59082.728728705595
20,2020-02-11,0,158.7614103788305,37956.06188998854,True,21,14.716863180890401,59082.728728705595
21,2020-02-12,0,158.7614103788305,37956.06188998854,True,22,15.658782340715774,59082.728728705595
22,2020-02-13,0,158.7614103788305,37956.06188998854,True,23,16.660973647691254,59082.728728705595
23,2020-02-14,0,158.7614103788305,37956.06188998854,True,24,17.727292087742047,59082.728728705595
24,2020-02-15,0,158.7614103788305,37956.06188998854,True,25,18.861838979455676,59082.728728705595
25,2020-02-16,0,158.7614103788305,37956.06188998854,True,26,20.0689776841741,59082.728728705595
26,2020-02-17,0,158.7614103788305,37956.06188998854,True,27,21.353350313980233,59082.728728705595
27,2020-02-18,0,158.7614103788305,37956.06188998854,True,28,22.71989550043118,59082.728728705595
28,2020-02-19,0,158.7614103788305,37956.06188998854,True,29,24.173867290778617,59082.728728705595
29,2020-02-20,0,158.7614103788305,37956.06188998854,True,30,25.720855242535624,59082.728728705595
30,2020-02-21,0,158.7614103788305,37956.06188998854,True,31,27.366805791612137,59082.728728705595
31,2020-02-22,0,158.7614103788305,37956.06188998854,True,32,29.1180449738602,59082.728728705595
32,2020-02-23,0,158.7614103788305,37956.06188998854,True,33,30.981302584759167,59082.728728705595
33,2020-02-24,2,158.7614103788305,37956.06188998854,True,34,32.96373786714381,59082.728728705595
34,2020-02-25,2,158.7614103788305,37956.06188998854,True,35,35.07296682234938,59082.728728705595
35,2020-02-26,4,158.7614103788305,37956.06188998854,True,36,37.31709124593134,59082.728728705595
36,2020-02-27,4,158.7614103788305,37956.06188998854,True,37,39.70472959522978,59082.728728705595
37,2020-02-28,4,158.7614103788305,37956.06188998854,True,38,42.24504980250355,59082.728728705595
38,2020-02-29,6,158.7614103788305,37956.06188998854,True,39,44.94780415417487,59082.728728705595
39,2020-03-01,6,158.7614103788305,37956.06188998854,True,40,47.82336636391426,59082.728728705595
40,2020-03-02,6,158.7614103788305,37956.06188998854,True,41,50.88277097487843,59082.728728705595
41,2020-03-03,12,158.7614103788305,37956.06188998854,True,42,54.13775523440192,59082.728728705595
42,2020-03-04,15,158.7614103788305,37956.06188998854,True,43,57.60080359285624,59082.728728705595
43,2020-03-05,16,158.7614103788305,37956.06188998854,True,44,61.285194987241994,59082.728728705595
44,2020-03-06,16,158.7614103788305,37956.06188998854,True,45,65.20505307938488,59082.728728705595
45,2020-03-07,16,158.7614103788305,37956.06188998854,True,46,69.37539962838217,59082.728728705595
46,2020-03-08,16,158.7614103788305,37956.06188998854,True,47,73.81221118720232,59082.728728705595
47,2020-03-09,16,158.7614103788305,37956.06188998854,True,48,78.53247932409333,59082.728728705595
48,2020-03-10,18,158.7614103788305,37956.06188998854,True,49,83.55427458071235,59082.728728705595
49,2020-03-11,18,158.7614103788305,37956.06188998854,True,50,88.89681439066105,59082.728728705595
50,2020-03-12,18,158.7614103788305,37956.06188998854,True,51,94.5805351944038,59082.728728705595
51,2020-03-13,19,158.7614103788305,37956.06188998854,True,52,100.62716899936187,59082.728728705595
52,2020-03-14,19,158.7614103788305,37956.06188998854,True,53,107.0598246473179,59082.728728705595
53,2020-03-15,22,158.7614103788305,37956.06188998854,True,54,113.90307406512407,59082.728728705595
54,2020-03-16,22,158.7614103788305,37956.06188998854,True,55,121.18304378907821,59082.728728705595
55,2020-03-17,24,158.7614103788305,37956.06188998854,True,56,128.9275120681951,59082.728728705595
56,2020-03-18,39,158.7614103788305,37956.06188998854,True,57,137.16601186693822,59082.728728705595
57,2020-03-19,48,158.7614103788305,37956.06188998854,True,58,145.92994010375364,59082.728728705595
58,2020-03-20,48,158.7614103788305,37956.06188998854,True,59,155.25267347792845,59082.728728705595
59,2020-03-21,52,158.7614103788305,37956.06188998854,True,60,165.16969125382417,59082.728728705595
60,2020-03-22,55,158.7614103788305,37956.06188998854,True,61,175.71870538835265,59082.728728705595
61,2020-03-23,66,158.7614103788305,37956.06188998854,True,62,186.93979840458655,59082.728728705595
