,Report_Date,South Africa_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.08658137956625,1258.0989722853371,True,1,0.02965377699500729,2481.0449171083587
1,2020-01-23,0,70.08658137956625,1258.0989722853371,True,2,0.03494776733144412,2481.0449171083587
2,2020-01-24,0,70.08658137956625,1258.0989722853371,True,3,0.04118686071250386,2481.0449171083587
3,2020-01-25,0,70.08658137956625,1258.0989722853371,True,4,0.04853977446766911,2481.0449171083587
4,2020-01-26,0,70.08658137956625,1258.0989722853371,True,5,0.05720534256378101,2481.0449171083587
5,2020-01-27,0,70.08658137956625,1258.0989722853371,True,6,0.06741789062074867,2481.0449171083587
6,2020-01-28,0,70.08658137956625,1258.0989722853371,True,7,0.07945356987009886,2481.0449171083587
7,2020-01-29,0,70.08658137956625,1258.0989722853371,True,8,0.09363782100123756,2481.0449171083587
8,2020-01-30,0,70.08658137956625,1258.0989722853371,True,9,0.1103541692600313,2481.0449171083587
9,2020-01-31,0,70.08658137956625,1258.0989722853371,True,10,0.1300545879764139,2481.0449171083587
10,2020-02-01,0,70.08658137956625,1258.0989722853371,True,11,0.1532717098499369,2481.0449171083587
11,2020-02-02,0,70.08658137956625,1258.0989722853371,True,12,0.18063321492565848,2481.0449171083587
12,2020-02-03,0,70.08658137956625,1258.0989722853371,True,13,0.21287878254897788,2481.0449171083587
13,2020-02-04,0,70.08658137956625,1258.0989722853371,True,14,0.2508800632196093,2481.0449171083587
14,2020-02-05,0,70.08658137956625,1258.0989722853371,True,15,0.29566420695081075,2481.0449171083587
15,2020-02-06,0,70.08658137956625,1258.0989722853371,True,16,0.34844157955528193,2481.0449171083587
16,2020-02-07,0,70.08658137956625,1258.0989722853371,True,17,0.41063840963943504,2481.0449171083587
17,2020-02-08,0,70.08658137956625,1258.0989722853371,True,18,0.4839352397985226,2481.0449171083587
18,2020-02-09,0,70.08658137956625,1258.0989722853371,True,19,0.5703122088152683,2481.0449171083587
19,2020-02-10,0,70.08658137956625,1258.0989722853371,True,20,0.6721023713235553,2481.0449171083587
20,2020-02-11,0,70.08658137956625,1258.0989722853371,True,21,0.7920544717148222,2481.0449171083587
21,2020-02-12,0,70.08658137956625,1258.0989722853371,True,22,0.9334068349629265,2481.0449171083587
22,2020-02-13,0,70.08658137956625,1258.0989722853371,True,23,1.0999743241160729,2481.0449171083587
23,2020-02-14,0,70.08658137956625,1258.0989722853371,True,24,1.2962506487504202,2481.0449171083587
24,2020-02-15,0,70.08658137956625,1258.0989722853371,True,25,1.5275286977178721,2481.0449171083587
25,2020-02-16,0,70.08658137956625,1258.0989722853371,True,26,1.800042020763116,2481.0449171083587
26,2020-02-17,0,70.08658137956625,1258.0989722853371,True,27,2.121131105351235,2481.0449171083587
27,2020-02-18,0,70.08658137956625,1258.0989722853371,True,28,2.499438696078512,2481.0449171083587
28,2020-02-19,0,70.08658137956625,1258.0989722853371,True,29,2.9451390931749315,2481.0449171083587
29,2020-02-20,0,70.08658137956625,1258.0989722853371,True,30,3.47020715225481,2481.0449171083587
30,2020-02-21,0,70.08658137956625,1258.0989722853371,True,31,4.088733596784764,2481.0449171083587
31,2020-02-22,0,70.08658137956625,1258.0989722853371,True,32,4.817294252374269,2481.0449171083587
32,2020-02-23,0,70.08658137956625,1258.0989722853371,True,33,5.675381918300399,2481.0449171083587
33,2020-02-24,0,70.08658137956625,1258.0989722853371,True,34,6.685910800069879,2481.0449171083587
34,2020-02-25,0,70.08658137956625,1258.0989722853371,True,35,7.87580472007085,2481.0449171083587
35,2020-02-26,0,70.08658137956625,1258.0989722853371,True,36,9.276681668416758,2481.0449171083587
36,2020-02-27,0,70.08658137956625,1258.0989722853371,True,37,10.925648596902693,2481.0449171083587
37,2020-02-28,0,70.08658137956625,1258.0989722853371,True,38,12.866221606859225,2481.0449171083587
38,2020-02-29,0,70.08658137956625,1258.0989722853371,True,39,15.149387702179071,2481.0449171083587
39,2020-03-01,0,70.08658137956625,1258.0989722853371,True,40,17.834824874653116,2481.0449171083587
40,2020-03-02,0,70.08658137956625,1258.0989722853371,True,41,20.992297177759777,2481.0449171083587
41,2020-03-03,0,70.08658137956625,1258.0989722853371,True,42,24.703240232120198,2481.0449171083587
42,2020-03-04,0,70.08658137956625,1258.0989722853371,True,43,29.062549748967307,2481.0449171083587
43,2020-03-05,1,70.08658137956625,1258.0989722853371,True,44,34.180580428566195,2481.0449171083587
44,2020-03-06,1,70.08658137956625,1258.0989722853371,True,45,40.1853540300732,2481.0449171083587
45,2020-03-07,1,70.08658137956625,1258.0989722853371,True,46,47.22496228773349,2481.0449171083587
46,2020-03-08,3,70.08658137956625,1258.0989722853371,True,47,55.47013113356514,2481.0449171083587
47,2020-03-09,3,70.08658137956625,1258.0989722853371,True,48,65.1168855432122,2481.0449171083587
48,2020-03-10,7,70.08658137956625,1258.0989722853371,True,49,76.38921716581632,2481.0449171083587
49,2020-03-11,13,70.08658137956625,1258.0989722853371,True,50,89.54160755424483,2481.0449171083587
50,2020-03-12,17,70.08658137956625,1258.0989722853371,True,51,104.86119632674345,2481.0449171083587
51,2020-03-13,24,70.08658137956625,1258.0989722853371,True,52,122.66930479590138,2481.0449171083587
52,2020-03-14,38,70.08658137956625,1258.0989722853371,True,53,143.3219320033725,2481.0449171083587
53,2020-03-15,51,70.08658137956625,1258.0989722853371,True,54,167.20873519908724,2481.0449171083587
54,2020-03-16,62,70.08658137956625,1258.0989722853371,True,55,194.74989886711774,2481.0449171083587
