,Report_Date,Australia_south australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.08231700145812,251.91411189377118,True,1,0.005981534708464287,494.1524700674619
1,2020-01-23,0,67.08231700145812,251.91411189377118,True,2,0.0071014486733032975,494.1524700674619
2,2020-01-24,0,67.08231700145812,251.91411189377118,True,3,0.008431038977354848,494.1524700674619
3,2020-01-25,0,67.08231700145812,251.91411189377118,True,4,0.010009560920055019,494.1524700674619
4,2020-01-26,0,67.08231700145812,251.91411189377118,True,5,0.011883618532522898,494.1524700674619
5,2020-01-27,0,67.08231700145812,251.91411189377118,True,6,0.014108540045311828,494.1524700674619
6,2020-01-28,0,67.08231700145812,251.91411189377118,True,7,0.016750010704840276,494.1524700674619
7,2020-01-29,0,67.08231700145812,251.91411189377118,True,8,0.019886011047778644,494.1524700674619
8,2020-01-30,0,67.08231700145812,251.91411189377118,True,9,0.023609117719758873,494.1524700674619
9,2020-01-31,0,67.08231700145812,251.91411189377118,True,10,0.028029234570186072,494.1524700674619
10,2020-02-01,1,67.08231700145812,251.91411189377118,True,11,0.03327683437592541,494.1524700674619
11,2020-02-02,2,67.08231700145812,251.91411189377118,True,12,0.03950680650591568,494.1524700674619
12,2020-02-03,2,67.08231700145812,251.91411189377118,True,13,0.0469030235639964,494.1524700674619
13,2020-02-04,2,67.08231700145812,251.91411189377118,True,14,0.055683761042035866,494.1524700674619
14,2020-02-05,2,67.08231700145812,251.91411189377118,True,15,0.06610812887188651,494.1524700674619
15,2020-02-06,2,67.08231700145812,251.91411189377118,True,16,0.07848370317749209,494.1524700674619
16,2020-02-07,2,67.08231700145812,251.91411189377118,True,17,0.09317558131087873,494.1524700674619
17,2020-02-08,2,67.08231700145812,251.91411189377118,True,18,0.11061712435704238,494.1524700674619
18,2020-02-09,2,67.08231700145812,251.91411189377118,True,19,0.13132269981703584,494.1524700674619
19,2020-02-10,2,67.08231700145812,251.91411189377118,True,20,0.1559027944045845,494.1524700674619
20,2020-02-11,2,67.08231700145812,251.91411189377118,True,21,0.18508193429227673,494.1524700674619
21,2020-02-12,2,67.08231700145812,251.91411189377118,True,22,0.21971992940405874,494.1524700674619
