,Report_Date,Kyrgyzstan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,85.23727492525234,455.5912558662021,True,1,0.010429420721510761,756.6865532641846
1,2020-01-23,0,85.23727492525234,455.5912558662021,True,2,0.011937661244114238,756.6865532641846
2,2020-01-24,0,85.23727492525234,455.5912558662021,True,3,0.013664011230496664,756.6865532641846
3,2020-01-25,0,85.23727492525234,455.5912558662021,True,4,0.015640010880973162,756.6865532641846
4,2020-01-26,0,85.23727492525234,455.5912558662021,True,5,0.017901761021516367,756.6865532641846
5,2020-01-27,0,85.23727492525234,455.5912558662021,True,6,0.020490582460029588,756.6865532641846
6,2020-01-28,0,85.23727492525234,455.5912558662021,True,7,0.023453770639343747,756.6865532641846
7,2020-01-29,0,85.23727492525234,455.5912558662021,True,8,0.026845459350782003,756.6865532641846
8,2020-01-30,0,85.23727492525234,455.5912558662021,True,9,0.030727609257156143,756.6865532641846
9,2020-01-31,0,85.23727492525234,455.5912558662021,True,10,0.0351711392444546,756.6865532641846
10,2020-02-01,0,85.23727492525234,455.5912558662021,True,11,0.040257221217999815,756.6865532641846
11,2020-02-02,0,85.23727492525234,455.5912558662021,True,12,0.04607876192796838,756.6865532641846
12,2020-02-03,0,85.23727492525234,455.5912558662021,True,13,0.05274209880386666,756.6865532641846
13,2020-02-04,0,85.23727492525234,455.5912558662021,True,14,0.06036894065820722,756.6865532641846
14,2020-02-05,0,85.23727492525234,455.5912558662021,True,15,0.06909858855497078,756.6865532641846
15,2020-02-06,0,85.23727492525234,455.5912558662021,True,16,0.07909047720666648,756.6865532641846
16,2020-02-07,0,85.23727492525234,455.5912558662021,True,17,0.09052708305379871,756.6865532641846
17,2020-02-08,0,85.23727492525234,455.5912558662021,True,18,0.10361725179323508,756.6865532641846
18,2020-02-09,0,85.23727492525234,455.5912558662021,True,19,0.11860000567178587,756.6865532641846
19,2020-02-10,0,85.23727492525234,455.5912558662021,True,20,0.13574889947784813,756.6865532641846
20,2020-02-11,0,85.23727492525234,455.5912558662021,True,21,0.15537700399373444,756.6865532641846
21,2020-02-12,0,85.23727492525234,455.5912558662021,True,22,0.17784260687959316,756.6865532641846
22,2020-02-13,0,85.23727492525234,455.5912558662021,True,23,0.20355573373268546,756.6865532641846
23,2020-02-14,0,85.23727492525234,455.5912558662021,True,24,0.2329856066120804,756.6865532641846
24,2020-02-15,0,85.23727492525234,455.5912558662021,True,25,0.26666917387227396,756.6865532641846
25,2020-02-16,0,85.23727492525234,455.5912558662021,True,26,0.3052208639703158,756.6865532641846
26,2020-02-17,0,85.23727492525234,455.5912558662021,True,27,0.3493437372887651,756.6865532641846
27,2020-02-18,0,85.23727492525234,455.5912558662021,True,28,0.39984223427003557,756.6865532641846
28,2020-02-19,0,85.23727492525234,455.5912558662021,True,29,0.45763674563578965,756.6865532641846
29,2020-02-20,0,85.23727492525234,455.5912558662021,True,30,0.5237802615475238,756.6865532641846
30,2020-02-21,0,85.23727492525234,455.5912558662021,True,31,0.59947739165919,756.6865532641846
31,2020-02-22,0,85.23727492525234,455.5912558662021,True,32,0.6861060875518851,756.6865532641846
32,2020-02-23,0,85.23727492525234,455.5912558662021,True,33,0.7852424434740243,756.6865532641846
33,2020-02-24,0,85.23727492525234,455.5912558662021,True,34,0.898689001094205,756.6865532641846
34,2020-02-25,0,85.23727492525234,455.5912558662021,True,35,1.0285070395542533,756.6865532641846
35,2020-02-26,0,85.23727492525234,455.5912558662021,True,36,1.177053393898621,756.6865532641846
36,2020-02-27,0,85.23727492525234,455.5912558662021,True,37,1.3470224132969184,756.6865532641846
37,2020-02-28,0,85.23727492525234,455.5912558662021,True,38,1.5414937455967679,756.6865532641846
38,2020-02-29,0,85.23727492525234,455.5912558662021,True,39,1.7639867166915024,756.6865532641846
39,2020-03-01,0,85.23727492525234,455.5912558662021,True,40,2.018522161740686,756.6865532641846
40,2020-03-02,0,85.23727492525234,455.5912558662021,True,41,2.3096926598346554,756.6865532641846
41,2020-03-03,0,85.23727492525234,455.5912558662021,True,42,2.6427422231012954,756.6865532641846
42,2020-03-04,0,85.23727492525234,455.5912558662021,True,43,3.0236565936250837,756.6865532641846
43,2020-03-05,0,85.23727492525234,455.5912558662021,True,44,3.4592654039900697,756.6865532641846
44,2020-03-06,0,85.23727492525234,455.5912558662021,True,45,3.9573575555301477,756.6865532641846
45,2020-03-07,0,85.23727492525234,455.5912558662021,True,46,4.526811256455572,756.6865532641846
46,2020-03-08,0,85.23727492525234,455.5912558662021,True,47,5.17774023158851,756.6865532641846
47,2020-03-09,0,85.23727492525234,455.5912558662021,True,48,5.921657655149938,756.6865532641846
48,2020-03-10,0,85.23727492525234,455.5912558662021,True,49,6.771659352737044,756.6865532641846
49,2020-03-11,0,85.23727492525234,455.5912558662021,True,50,7.742627748328956,756.6865532641846
50,2020-03-12,0,85.23727492525234,455.5912558662021,True,51,8.851457870867133,756.6865532641846
51,2020-03-13,0,85.23727492525234,455.5912558662021,True,52,10.117306449325856,756.6865532641846
52,2020-03-14,0,85.23727492525234,455.5912558662021,True,53,11.56186467302421,756.6865532641846
53,2020-03-15,0,85.23727492525234,455.5912558662021,True,54,13.209654522658017,756.6865532641846
54,2020-03-16,0,85.23727492525234,455.5912558662021,True,55,15.088347622752673,756.6865532641846
55,2020-03-17,0,85.23727492525234,455.5912558662021,True,56,17.22910425067075,756.6865532641846
56,2020-03-18,3,85.23727492525234,455.5912558662021,True,57,19.666928370478512,756.6865532641846
