,Report_Date,Niger_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.98114500604441,459.8379973872415,True,1,0.03320046502580855,919.4904038426426
1,2020-01-23,0,83.98114500604441,459.8379973872415,True,2,0.037555890734857635,919.4904038426426
2,2020-01-24,0,83.98114500604441,459.8379973872415,True,3,0.04248265954980648,919.4904038426426
3,2020-01-25,0,83.98114500604441,459.8379973872415,True,4,0.048055712665103105,919.4904038426426
4,2020-01-26,0,83.98114500604441,459.8379973872415,True,5,0.054359819001941964,919.4904038426426
5,2020-01-27,0,83.98114500604441,459.8379973872415,True,6,0.06149086343151262,919.4904038426426
6,2020-01-28,0,83.98114500604441,459.8379973872415,True,7,0.06955730369792411,919.4904038426426
7,2020-01-29,0,83.98114500604441,459.8379973872415,True,8,0.07868181808782737,919.4904038426426
8,2020-01-30,0,83.98114500604441,459.8379973872415,True,9,0.08900316876242084,919.4904038426426
9,2020-01-31,0,83.98114500604441,459.8379973872415,True,10,0.10067830890590906,919.4904038426426
10,2020-02-01,0,83.98114500604441,459.8379973872415,True,11,0.11388476549924972,919.4904038426426
11,2020-02-02,0,83.98114500604441,459.8379973872415,True,12,0.12882333365142865,919.4904038426426
12,2020-02-03,0,83.98114500604441,459.8379973872415,True,13,0.14572112307101406,919.4904038426426
13,2020-02-04,0,83.98114500604441,459.8379973872415,True,14,0.1648350025036428,919.4904038426426
14,2020-02-05,0,83.98114500604441,459.8379973872415,True,15,0.1864554938691688,919.4904038426426
15,2020-02-06,0,83.98114500604441,459.8379973872415,True,16,0.21091117448640903,919.4904038426426
16,2020-02-07,0,83.98114500604441,459.8379973872415,True,17,0.2385736532635845,919.4904038426426
17,2020-02-08,0,83.98114500604441,459.8379973872415,True,18,0.2698631951580316,919.4904038426426
18,2020-02-09,0,83.98114500604441,459.8379973872415,True,19,0.30525507767910925,919.4904038426426
19,2020-02-10,0,83.98114500604441,459.8379973872415,True,20,0.34528677384371237,919.4904038426426
20,2020-02-11,0,83.98114500604441,459.8379973872415,True,21,0.3905660679258154,919.4904038426426
21,2020-02-12,0,83.98114500604441,459.8379973872415,True,22,0.4417802237127192,919.4904038426426
22,2020-02-13,0,83.98114500604441,459.8379973872415,True,23,0.4997063399450009,919.4904038426426
23,2020-02-14,0,83.98114500604441,459.8379973872415,True,24,0.565223044338977,919.4904038426426
24,2020-02-15,0,83.98114500604441,459.8379973872415,True,25,0.6393236962434955,919.4904038426426
25,2020-02-16,0,83.98114500604441,459.8379973872415,True,26,0.7231312887479308,919.4904038426426
26,2020-02-17,0,83.98114500604441,459.8379973872415,True,27,0.8179152641201386,919.4904038426426
27,2020-02-18,0,83.98114500604441,459.8379973872415,True,28,0.9251104819956228,919.4904038426426
28,2020-02-19,0,83.98114500604441,459.8379973872415,True,29,1.0463386079381514,919.4904038426426
29,2020-02-20,0,83.98114500604441,459.8379973872415,True,30,1.183432221005981,919.4904038426426
30,2020-02-21,0,83.98114500604441,459.8379973872415,True,31,1.3384619729145417,919.4904038426426
31,2020-02-22,0,83.98114500604441,459.8379973872415,True,32,1.513767168365607,919.4904038426426
32,2020-02-23,0,83.98114500604441,459.8379973872415,True,33,1.7119901761229714,919.4904038426426
33,2020-02-24,0,83.98114500604441,459.8379973872415,True,34,1.9361151233615796,919.4904038426426
34,2020-02-25,0,83.98114500604441,459.8379973872415,True,35,2.1895113714652696,919.4904038426426
35,2020-02-26,0,83.98114500604441,459.8379973872415,True,36,2.475982319368622,919.4904038426426
36,2020-02-27,0,83.98114500604441,459.8379973872415,True,37,2.7998201300423484,919.4904038426426
37,2020-02-28,0,83.98114500604441,459.8379973872415,True,38,3.1658670257777035,919.4904038426426
38,2020-02-29,0,83.98114500604441,459.8379973872415,True,39,3.5795838470528105,919.4904038426426
39,2020-03-01,0,83.98114500604441,459.8379973872415,True,40,4.04712661590121,919.4904038426426
40,2020-03-02,0,83.98114500604441,459.8379973872415,True,41,4.575431885042669,919.4904038426426
41,2020-03-03,0,83.98114500604441,459.8379973872415,True,42,5.172311684824571,919.4904038426426
42,2020-03-04,0,83.98114500604441,459.8379973872415,True,43,5.846558896311623,919.4904038426426
43,2020-03-05,0,83.98114500604441,459.8379973872415,True,44,6.608063874218791,919.4904038426426
44,2020-03-06,0,83.98114500604441,459.8379973872415,True,45,7.46794310953817,919.4904038426426
45,2020-03-07,0,83.98114500604441,459.8379973872415,True,46,8.438680648157352,919.4904038426426
46,2020-03-08,0,83.98114500604441,459.8379973872415,True,47,9.53428285530183,919.4904038426426
47,2020-03-09,0,83.98114500604441,459.8379973872415,True,48,10.77044691985721,919.4904038426426
48,2020-03-10,0,83.98114500604441,459.8379973872415,True,49,12.164743207421507,919.4904038426426
49,2020-03-11,0,83.98114500604441,459.8379973872415,True,50,13.736811171961476,919.4904038426426
50,2020-03-12,0,83.98114500604441,459.8379973872415,True,51,15.508567994208509,919.4904038426426
51,2020-03-13,0,83.98114500604441,459.8379973872415,True,52,17.504428396541552,919.4904038426426
52,2020-03-14,0,83.98114500604441,459.8379973872415,True,53,19.75153315036134,919.4904038426426
53,2020-03-15,0,83.98114500604441,459.8379973872415,True,54,22.279982599950742,919.4904038426426
54,2020-03-16,0,83.98114500604441,459.8379973872415,True,55,25.123070030851967,919.4904038426426
