,Report_Date,Spain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.40022447850968,96186.16952877583,True,1,2.265478849211441,187712.18902398797
1,2020-01-23,0,70.40022447850968,96186.16952877583,True,2,2.667974068031985,187712.18902398797
2,2020-01-24,0,70.40022447850968,96186.16952877583,True,3,3.1419772399050325,187712.18902398797
3,2020-01-25,0,70.40022447850968,96186.16952877583,True,4,3.7001921318176594,187712.18902398797
4,2020-01-26,0,70.40022447850968,96186.16952877583,True,5,4.357579227491877,187712.18902398797
5,2020-01-27,0,70.40022447850968,96186.16952877583,True,6,5.131756546383964,187712.18902398797
6,2020-01-28,0,70.40022447850968,96186.16952877583,True,7,6.04347162660645,187712.18902398797
7,2020-01-29,0,70.40022447850968,96186.16952877583,True,8,7.1171572965374015,187712.18902398797
8,2020-01-30,0,70.40022447850968,96186.16952877583,True,9,8.38158609564693,187712.18902398797
9,2020-01-31,0,70.40022447850968,96186.16952877583,True,10,9.870640835258698,187712.18902398797
10,2020-02-01,1,70.40022447850968,96186.16952877583,True,11,11.624221883568305,187712.18902398797
11,2020-02-02,1,70.40022447850968,96186.16952877583,True,12,13.689315397094543,187712.18902398797
12,2020-02-03,1,70.40022447850968,96186.16952877583,True,13,16.121250997458954,187712.18902398797
13,2020-02-04,1,70.40022447850968,96186.16952877583,True,14,18.98518241859696,187712.18902398797
14,2020-02-05,1,70.40022447850968,96186.16952877583,True,15,22.357830554363435,187712.18902398797
15,2020-02-06,1,70.40022447850968,96186.16952877583,True,16,26.329535270577175,187712.18902398797
16,2020-02-07,1,70.40022447850968,96186.16952877583,True,17,31.00667048403866,187712.18902398797
17,2020-02-08,1,70.40022447850968,96186.16952877583,True,18,36.514486557305986,187712.18902398797
18,2020-02-09,2,70.40022447850968,96186.16952877583,True,19,43.00045524741217,187712.18902398797
19,2020-02-10,2,70.40022447850968,96186.16952877583,True,20,50.6382055507922,187712.18902398797
20,2020-02-11,2,70.40022447850968,96186.16952877583,True,21,59.63215411740003,187712.18902398797
21,2020-02-12,2,70.40022447850968,96186.16952877583,True,22,70.22295182084792,187712.18902398797
22,2020-02-13,2,70.40022447850968,96186.16952877583,True,23,82.69388897325341,187712.18902398797
23,2020-02-14,2,70.40022447850968,96186.16952877583,True,24,97.37842601940375,187712.18902398797
24,2020-02-15,2,70.40022447850968,96186.16952877583,True,25,114.66904484334883,187712.18902398797
25,2020-02-16,2,70.40022447850968,96186.16952877583,True,26,135.027648630995,187712.18902398797
26,2020-02-17,2,70.40022447850968,96186.16952877583,True,27,158.99777615909608,187712.18902398797
27,2020-02-18,2,70.40022447850968,96186.16952877583,True,28,187.21894006115576,187712.18902398797
28,2020-02-19,2,70.40022447850968,96186.16952877583,True,29,220.44344870135845,187712.18902398797
29,2020-02-20,2,70.40022447850968,96186.16952877583,True,30,259.5561283897215,187712.18902398797
30,2020-02-21,2,70.40022447850968,96186.16952877583,True,31,305.5974273330542,187712.18902398797
31,2020-02-22,2,70.40022447850968,96186.16952877583,True,32,359.7904553061238,187712.18902398797
32,2020-02-23,2,70.40022447850968,96186.16952877583,True,33,423.5725936200835,187712.18902398797
33,2020-02-24,2,70.40022447850968,96186.16952877583,True,34,498.6323981590131,187712.18902398797
34,2020-02-25,6,70.40022447850968,96186.16952877583,True,35,586.9526129153768,187712.18902398797
35,2020-02-26,13,70.40022447850968,96186.16952877583,True,36,690.8602103534681,187712.18902398797
36,2020-02-27,15,70.40022447850968,96186.16952877583,True,37,813.0844742501438,187712.18902398797
37,2020-02-28,32,70.40022447850968,96186.16952877583,True,38,956.8242343254705,187712.18902398797
38,2020-02-29,45,70.40022447850968,96186.16952877583,True,39,1125.8254407370282,187712.18902398797
39,2020-03-01,84,70.40022447850968,96186.16952877583,True,40,1324.4703167668406,187712.18902398797
40,2020-03-02,120,70.40022447850968,96186.16952877583,True,41,1557.8793302739862,187712.18902398797
41,2020-03-03,165,70.40022447850968,96186.16952877583,True,42,1832.0271513605362,187712.18902398797
42,2020-03-04,222,70.40022447850968,96186.16952877583,True,43,2153.8735775988744,187712.18902398797
43,2020-03-05,259,70.40022447850968,96186.16952877583,True,44,2531.5100584274655,187712.18902398797
44,2020-03-06,400,70.40022447850968,96186.16952877583,True,45,2974.321870100272,187712.18902398797
45,2020-03-07,500,70.40022447850968,96186.16952877583,True,46,3493.165095773772,187712.18902398797
46,2020-03-08,673,70.40022447850968,96186.16952877583,True,47,4100.556244149142,187712.18902398797
47,2020-03-09,1073,70.40022447850968,96186.16952877583,True,48,4810.870464441618,187712.18902398797
48,2020-03-10,1695,70.40022447850968,96186.16952877583,True,49,5640.5417358889545,187712.18902398797
49,2020-03-11,2277,70.40022447850968,96186.16952877583,True,50,6608.254967297795,187712.18902398797
50,2020-03-12,2277,70.40022447850968,96186.16952877583,True,51,7735.115487389182,187712.18902398797
51,2020-03-13,5232,70.40022447850968,96186.16952877583,True,52,9044.775837767129,187712.18902398797
52,2020-03-14,6391,70.40022447850968,96186.16952877583,True,53,10563.493100810196,187712.18902398797
53,2020-03-15,7798,70.40022447850968,96186.16952877583,True,54,12320.082402441529,187712.18902398797
54,2020-03-16,9942,70.40022447850968,96186.16952877583,True,55,14345.724237888848,187712.18902398797
55,2020-03-17,11748,70.40022447850968,96186.16952877583,True,56,16673.57585652986,187712.18902398797
56,2020-03-18,13910,70.40022447850968,96186.16952877583,True,57,19338.131714891668,187712.18902398797
57,2020-03-19,17963,70.40022447850968,96186.16952877583,True,58,22374.277319159162,187712.18902398797
58,2020-03-20,20410,70.40022447850968,96186.16952877583,True,59,25815.9877377728,187712.18902398797
59,2020-03-21,25374,70.40022447850968,96186.16952877583,True,60,29694.640293502835,187712.18902398797
60,2020-03-22,28768,70.40022447850968,96186.16952877583,True,61,34036.94395114064,187712.18902398797
61,2020-03-23,35136,70.40022447850968,96186.16952877583,True,62,38862.53795244049,187712.18902398797
62,2020-03-24,39885,70.40022447850968,96186.16952877583,True,63,44181.3786520665,187712.18902398797
63,2020-03-25,49515,70.40022447850968,96186.16952877583,True,64,49991.110800864466,187712.18902398797
64,2020-03-26,57786,70.40022447850968,96186.16952877583,True,65,56274.69592314894,187712.18902398797
65,2020-03-27,65719,70.40022447850968,96186.16952877583,True,66,62998.62780537594,187712.18902398797
66,2020-03-28,73235,70.40022447850968,96186.16952877583,True,67,70112.08148582214,187712.18902398797
67,2020-03-29,80110,70.40022447850968,96186.16952877583,True,68,77547.29738504533,187712.18902398797
68,2020-03-30,87956,70.40022447850968,96186.16952877583,True,69,85221.38610958403,187712.18902398797
69,2020-03-31,95923,70.40022447850968,96186.16952877583,True,70,93039.55942299342,187712.18902398797
70,2020-04-01,104118,70.40022447850968,96186.16952877583,True,71,100899.57754019488,187712.18902398797
71,2020-04-02,112065,70.40022447850968,96186.16952877583,True,72,108696.99795530838,187712.18902398797
72,2020-04-03,119199,70.40022447850968,96186.16952877583,True,73,116330.66686799412,187712.18902398797
73,2020-04-04,126168,70.40022447850968,96186.16952877583,True,74,123707.84934623439,187712.18902398797
74,2020-04-05,131646,70.40022447850968,96186.16952877583,True,75,130748.4610520283,187712.18902398797
75,2020-04-06,136675,70.40022447850968,96186.16952877583,True,76,137388.02432715314,187712.18902398797
76,2020-04-07,141942,70.40022447850968,96186.16952877583,True,77,143579.18256180192,187712.18902398797
77,2020-04-08,148220,70.40022447850968,96186.16952877583,True,78,149291.8182981807,187712.18902398797
78,2020-04-09,153222,70.40022447850968,96186.16952877583,True,79,154511.98941547464,187712.18902398797
79,2020-04-10,158273,70.40022447850968,96186.16952877583,True,80,159239.99954941755,187712.18902398797
80,2020-04-11,163027,70.40022447850968,96186.16952877583,True,81,163487.95019519984,187712.18902398797
81,2020-04-12,166831,70.40022447850968,96186.16952877583,True,82,167277.09561694184,187712.18902398797
82,2020-04-13,169628,70.40022447850968,96186.16952877583,True,83,170635.25882507337,187712.18902398797
