,Report_Date,Croatia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.19868289065428,916.1575270007326,True,1,0.02153877813614225,1760.6820314592692
1,2020-01-23,0,71.19868289065428,916.1575270007326,True,2,0.025318978789882145,1760.6820314592692
2,2020-01-24,0,71.19868289065428,916.1575270007326,True,3,0.02976261934610032,1760.6820314592692
3,2020-01-25,0,71.19868289065428,916.1575270007326,True,4,0.03498613197075796,1760.6820314592692
4,2020-01-26,0,71.19868289065428,916.1575270007326,True,5,0.04112638083418475,1760.6820314592692
5,2020-01-27,0,71.19868289065428,916.1575270007326,True,6,0.04834424700498531,1760.6820314592692
6,2020-01-28,0,71.19868289065428,916.1575270007326,True,7,0.05682884210187793,1760.6820314592692
7,2020-01-29,0,71.19868289065428,916.1575270007326,True,8,0.06680246089446133,1760.6820314592692
8,2020-01-30,0,71.19868289065428,916.1575270007326,True,9,0.07852640232168177,1760.6820314592692
9,2020-01-31,0,71.19868289065428,916.1575270007326,True,10,0.09230781103440848,1760.6820314592692
10,2020-02-01,0,71.19868289065428,916.1575270007326,True,11,0.10850771814671845,1760.6820314592692
11,2020-02-02,0,71.19868289065428,916.1575270007326,True,12,0.12755049107842192,1760.6820314592692
12,2020-02-03,0,71.19868289065428,916.1575270007326,True,13,0.14993493898268556,1760.6820314592692
13,2020-02-04,0,71.19868289065428,916.1575270007326,True,14,0.17624736320373902,1760.6820314592692
14,2020-02-05,0,71.19868289065428,916.1575270007326,True,15,0.20717689258055774,1760.6820314592692
15,2020-02-06,0,71.19868289065428,916.1575270007326,True,16,0.24353350246017255,1760.6820314592692
16,2020-02-07,0,71.19868289065428,916.1575270007326,True,17,0.2862691854693464,1760.6820314592692
17,2020-02-08,0,71.19868289065428,916.1575270007326,True,18,0.33650282310889285,1760.6820314592692
18,2020-02-09,0,71.19868289065428,916.1575270007326,True,19,0.3955494020383864,1760.6820314592692
19,2020-02-10,0,71.19868289065428,916.1575270007326,True,20,0.46495432976636836,1760.6820314592692
20,2020-02-11,0,71.19868289065428,916.1575270007326,True,21,0.5465337339419937,1760.6820314592692
21,2020-02-12,0,71.19868289065428,916.1575270007326,True,22,0.6424217805167175,1760.6820314592692
22,2020-02-13,0,71.19868289065428,916.1575270007326,True,23,0.7551262220684638,1760.6820314592692
23,2020-02-14,0,71.19868289065428,916.1575270007326,True,24,0.8875935923420027,1760.6820314592692
24,2020-02-15,0,71.19868289065428,916.1575270007326,True,25,1.0432857007849734,1760.6820314592692
25,2020-02-16,0,71.19868289065428,916.1575270007326,True,26,1.2262693562101725,1760.6820314592692
26,2020-02-17,0,71.19868289065428,916.1575270007326,True,27,1.4413215667478794,1760.6820314592692
27,2020-02-18,0,71.19868289065428,916.1575270007326,True,28,1.6940528293310204,1760.6820314592692
28,2020-02-19,0,71.19868289065428,916.1575270007326,True,29,1.9910515415916687,1760.6820314592692
29,2020-02-20,0,71.19868289065428,916.1575270007326,True,30,2.340053047630134,1760.6820314592692
30,2020-02-21,0,71.19868289065428,916.1575270007326,True,31,2.750137371499534,1760.6820314592692
31,2020-02-22,0,71.19868289065428,916.1575270007326,True,32,3.231960302108418,1760.6820314592692
32,2020-02-23,0,71.19868289065428,916.1575270007326,True,33,3.7980231721561624,1760.6820314592692
33,2020-02-24,0,71.19868289065428,916.1575270007326,True,34,4.462987419802638,1760.6820314592692
34,2020-02-25,1,71.19868289065428,916.1575270007326,True,35,5.244040827794978,1760.6820314592692
35,2020-02-26,3,71.19868289065428,916.1575270007326,True,36,6.161323185453242,1760.6820314592692
36,2020-02-27,3,71.19868289065428,916.1575270007326,True,37,7.238419987250396,1760.6820314592692
37,2020-02-28,5,71.19868289065428,916.1575270007326,True,38,8.502933623955832,1760.6820314592692
38,2020-02-29,6,71.19868289065428,916.1575270007326,True,39,9.987142271186352,1760.6820314592692
39,2020-03-01,7,71.19868289065428,916.1575270007326,True,40,11.728757236025938,1760.6820314592692
40,2020-03-02,7,71.19868289065428,916.1575270007326,True,41,13.771789741371592,1760.6820314592692
41,2020-03-03,9,71.19868289065428,916.1575270007326,True,42,16.167537807202063,1760.6820314592692
42,2020-03-04,10,71.19868289065428,916.1575270007326,True,43,18.97570274816611,1760.6820314592692
43,2020-03-05,10,71.19868289065428,916.1575270007326,True,44,22.2656424686224,1760.6820314592692
44,2020-03-06,11,71.19868289065428,916.1575270007326,True,45,26.117764696126354,1760.6820314592692
45,2020-03-07,12,71.19868289065428,916.1575270007326,True,46,30.625056898391016,1760.6820314592692
46,2020-03-08,12,71.19868289065428,916.1575270007326,True,47,35.89474004875742,1760.6820314592692
47,2020-03-09,12,71.19868289065428,916.1575270007326,True,48,42.05001962479698,1760.6820314592692
48,2020-03-10,14,71.19868289065428,916.1575270007326,True,49,49.23188804699013,1760.6820314592692
49,2020-03-11,19,71.19868289065428,916.1575270007326,True,50,57.600906860728514,1760.6820314592692
50,2020-03-12,19,71.19868289065428,916.1575270007326,True,51,67.33886299212269,1760.6820314592692
51,2020-03-13,32,71.19868289065428,916.1575270007326,True,52,78.65015023482478,1760.6820314592692
52,2020-03-14,38,71.19868289065428,916.1575270007326,True,53,91.76267421546079,1760.6820314592692
53,2020-03-15,49,71.19868289065428,916.1575270007326,True,54,106.9280170965194,1760.6820314592692
54,2020-03-16,57,71.19868289065428,916.1575270007326,True,55,124.42052991543426,1760.6820314592692
55,2020-03-17,65,71.19868289065428,916.1575270007326,True,56,144.5349516123821,1760.6820314592692
