,Report_Date,Armenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.59505037813622,611.5513025992786,True,1,0.014364649071563353,1199.4110288443535
1,2020-01-23,0,71.59505037813622,611.5513025992786,True,2,0.01687063233314831,1199.4110288443535
2,2020-01-24,0,71.59505037813622,611.5513025992786,True,3,0.019813789544619983,1199.4110288443535
3,2020-01-25,0,71.59505037813622,611.5513025992786,True,4,0.023270383916844016,1199.4110288443535
4,2020-01-26,0,71.59505037813622,611.5513025992786,True,5,0.027329981447358785,1199.4110288443535
5,2020-01-27,0,71.59505037813622,611.5513025992786,True,6,0.03209777097283847,1199.4110288443535
6,2020-01-28,0,71.59505037813622,611.5513025992786,True,7,0.037697288700156324,1199.4110288443535
7,2020-01-29,0,71.59505037813622,611.5513025992786,True,8,0.04427361767732534,1199.4110288443535
8,2020-01-30,0,71.59505037813622,611.5513025992786,True,9,0.051997144919028876,1199.4110288443535
9,2020-01-31,0,71.59505037813622,611.5513025992786,True,10,0.061067973277786076,1199.4110288443535
10,2020-02-01,0,71.59505037813622,611.5513025992786,True,11,0.07172110201576755,1199.4110288443535
11,2020-02-02,0,71.59505037813622,611.5513025992786,True,12,0.08423250981013443,1199.4110288443535
12,2020-02-03,0,71.59505037813622,611.5513025992786,True,13,0.09892629711420191,1199.4110288443535
13,2020-02-04,0,71.59505037813622,611.5513025992786,True,14,0.11618307197818757,1199.4110288443535
14,2020-02-05,0,71.59505037813622,611.5513025992786,True,15,0.1364497952829636,1199.4110288443535
15,2020-02-06,0,71.59505037813622,611.5513025992786,True,16,0.16025133864454105,1199.4110288443535
16,2020-02-07,0,71.59505037813622,611.5513025992786,True,17,0.18820405191906542,1199.4110288443535
17,2020-02-08,0,71.59505037813622,611.5513025992786,True,18,0.22103168833571216,1199.4110288443535
18,2020-02-09,0,71.59505037813622,611.5513025992786,True,19,0.2595840950303632,1199.4110288443535
19,2020-02-10,0,71.59505037813622,611.5513025992786,True,20,0.30485914655427176,1199.4110288443535
20,2020-02-11,0,71.59505037813622,611.5513025992786,True,21,0.358028480404669,1199.4110288443535
21,2020-02-12,0,71.59505037813622,611.5513025992786,True,22,0.42046768861361544,1199.4110288443535
22,2020-02-13,0,71.59505037813622,611.5513025992786,True,23,0.4937917300325439,1199.4110288443535
23,2020-02-14,0,71.59505037813622,611.5513025992786,True,24,0.5798964565248087,1199.4110288443535
24,2020-02-15,0,71.59505037813622,611.5513025992786,True,25,0.681007295465465,1199.4110288443535
25,2020-02-16,0,71.59505037813622,611.5513025992786,True,26,0.7997363036587831,1199.4110288443535
26,2020-02-17,0,71.59505037813622,611.5513025992786,True,27,0.9391490071846867,1199.4110288443535
27,2020-02-18,0,71.59505037813622,611.5513025992786,True,28,1.1028426711428174,1199.4110288443535
28,2020-02-19,0,71.59505037813622,611.5513025992786,True,29,1.2950379062534454,1199.4110288443535
29,2020-02-20,0,71.59505037813622,611.5513025992786,True,30,1.52068581922683,1199.4110288443535
30,2020-02-21,0,71.59505037813622,611.5513025992786,True,31,1.7855932538622077,1199.4110288443535
31,2020-02-22,0,71.59505037813622,611.5513025992786,True,32,2.096569052453023,1199.4110288443535
32,2020-02-23,0,71.59505037813622,611.5513025992786,True,33,2.4615946935081987,1199.4110288443535
33,2020-02-24,0,71.59505037813622,611.5513025992786,True,34,2.890023131290549,1199.4110288443535
34,2020-02-25,0,71.59505037813622,611.5513025992786,True,35,3.392810171322477,1199.4110288443535
35,2020-02-26,0,71.59505037813622,611.5513025992786,True,36,3.982783255195746,1199.4110288443535
36,2020-02-27,0,71.59505037813622,611.5513025992786,True,37,4.6749530822246,1199.4110288443535
37,2020-02-28,0,71.59505037813622,611.5513025992786,True,38,5.486874039303629,1199.4110288443535
38,2020-02-29,0,71.59505037813622,611.5513025992786,True,39,6.439059904505017,1199.4110288443535
39,2020-03-01,1,71.59505037813622,611.5513025992786,True,40,7.555461676035137,1199.4110288443535
40,2020-03-02,1,71.59505037813622,611.5513025992786,True,41,8.864014571649603,1199.4110288443535
