,Report_Date,Lithuania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.17236347826915,853.4962710279522,True,1,0.949715789904463,1706.8733427761017
1,2020-01-23,0,79.17236347826915,853.4962710279522,True,2,1.0452023655551395,1706.8733427761017
2,2020-01-24,0,79.17236347826915,853.4962710279522,True,3,1.1502829046994234,1706.8733427761017
3,2020-01-25,0,79.17236347826915,853.4962710279522,True,4,1.2659199889426027,1706.8733427761017
4,2020-01-26,0,79.17236347826915,853.4962710279522,True,5,1.3931724890552355,1706.8733427761017
5,2020-01-27,0,79.17236347826915,853.4962710279522,True,6,1.533205136055783,1706.8733427761017
6,2020-01-28,0,79.17236347826915,853.4962710279522,True,7,1.687299030773474,1706.8733427761017
7,2020-01-29,0,79.17236347826915,853.4962710279522,True,8,1.8568631811820149,1706.8733427761017
8,2020-01-30,0,79.17236347826915,853.4962710279522,True,9,2.0434471647061536,1706.8733427761017
9,2020-01-31,0,79.17236347826915,853.4962710279522,True,10,2.2487550211876415,1706.8733427761017
10,2020-02-01,0,79.17236347826915,853.4962710279522,True,11,2.4746604912667087,1706.8733427761017
11,2020-02-02,0,79.17236347826915,853.4962710279522,True,12,2.7232237245934834,1706.8733427761017
12,2020-02-03,0,79.17236347826915,853.4962710279522,True,13,2.9967095925238545,1706.8733427761017
13,2020-02-04,0,79.17236347826915,853.4962710279522,True,14,3.2976077507551205,1706.8733427761017
14,2020-02-05,0,79.17236347826915,853.4962710279522,True,15,3.628654608679453,1706.8733427761017
15,2020-02-06,0,79.17236347826915,853.4962710279522,True,16,3.9928573740159914,1706.8733427761017
16,2020-02-07,0,79.17236347826915,853.4962710279522,True,17,4.393520353434816,1706.8733427761017
17,2020-02-08,0,79.17236347826915,853.4962710279522,True,18,4.83427370228195,1706.8733427761017
18,2020-02-09,0,79.17236347826915,853.4962710279522,True,19,5.319104828983391,1706.8733427761017
19,2020-02-10,0,79.17236347826915,853.4962710279522,True,20,5.852392672022955,1706.8733427761017
20,2020-02-11,0,79.17236347826915,853.4962710279522,True,21,6.438945079261884,1706.8733427761017
21,2020-02-12,0,79.17236347826915,853.4962710279522,True,22,7.084039530425108,1706.8733427761017
22,2020-02-13,0,79.17236347826915,853.4962710279522,True,23,7.793467453349286,1706.8733427761017
23,2020-02-14,0,79.17236347826915,853.4962710279522,True,24,8.57358239248346,1706.8733427761017
24,2020-02-15,0,79.17236347826915,853.4962710279522,True,25,9.431352293425336,1706.8733427761017
25,2020-02-16,0,79.17236347826915,853.4962710279522,True,26,10.374416169069429,1706.8733427761017
26,2020-02-17,0,79.17236347826915,853.4962710279522,True,27,11.411145410144465,1706.8733427761017
27,2020-02-18,0,79.17236347826915,853.4962710279522,True,28,12.550709994201867,1706.8733427761017
28,2020-02-19,0,79.17236347826915,853.4962710279522,True,29,13.803149830890378,1706.8733427761017
29,2020-02-20,0,79.17236347826915,853.4962710279522,True,30,15.179451455708236,1706.8733427761017
30,2020-02-21,0,79.17236347826915,853.4962710279522,True,31,16.69163024710013,1706.8733427761017
31,2020-02-22,0,79.17236347826915,853.4962710279522,True,32,18.352818290094426,1706.8733427761017
32,2020-02-23,0,79.17236347826915,853.4962710279522,True,33,20.17735794053605,1706.8733427761017
33,2020-02-24,0,79.17236347826915,853.4962710279522,True,34,22.180901053743142,1706.8733427761017
34,2020-02-25,0,79.17236347826915,853.4962710279522,True,35,24.380513725942084,1706.8733427761017
35,2020-02-26,0,79.17236347826915,853.4962710279522,True,36,26.794786251387748,1706.8733427761017
36,2020-02-27,0,79.17236347826915,853.4962710279522,True,37,29.44394781734294,1706.8733427761017
37,2020-02-28,1,79.17236347826915,853.4962710279522,True,38,32.34998523719745,1706.8733427761017
38,2020-02-29,1,79.17236347826915,853.4962710279522,True,39,35.5367647525645,1706.8733427761017
39,2020-03-01,1,79.17236347826915,853.4962710279522,True,40,39.03015561141172,1706.8733427761017
40,2020-03-02,1,79.17236347826915,853.4962710279522,True,41,42.858153744161235,1706.8733427761017
41,2020-03-03,1,79.17236347826915,853.4962710279522,True,42,47.051003406296,1706.8733427761017
42,2020-03-04,1,79.17236347826915,853.4962710279522,True,43,51.64131412788843,1706.8733427761017
43,2020-03-05,1,79.17236347826915,853.4962710279522,True,44,56.66416970223324,1706.8733427761017
44,2020-03-06,1,79.17236347826915,853.4962710279522,True,45,62.15722525386378,1706.8733427761017
45,2020-03-07,1,79.17236347826915,853.4962710279522,True,46,68.16078764994182,1706.8733427761017
46,2020-03-08,1,79.17236347826915,853.4962710279522,True,47,74.71787366174006,1706.8733427761017
47,2020-03-09,1,79.17236347826915,853.4962710279522,True,48,81.87423935378075,1706.8733427761017
48,2020-03-10,1,79.17236347826915,853.4962710279522,True,49,89.67837319382778,1706.8733427761017
49,2020-03-11,3,79.17236347826915,853.4962710279522,True,50,98.18144436379797,1706.8733427761017
50,2020-03-12,3,79.17236347826915,853.4962710279522,True,51,107.43719674837001,1706.8733427761017
51,2020-03-13,6,79.17236347826915,853.4962710279522,True,52,117.50177813795928,1706.8733427761017
52,2020-03-14,8,79.17236347826915,853.4962710279522,True,53,128.43349337629502,1706.8733427761017
53,2020-03-15,12,79.17236347826915,853.4962710279522,True,54,140.29246959982086,1706.8733427761017
54,2020-03-16,17,79.17236347826915,853.4962710279522,True,55,153.14022146678914,1706.8733427761017
55,2020-03-17,25,79.17236347826915,853.4962710279522,True,56,167.03910448885625,1706.8733427761017
56,2020-03-18,27,79.17236347826915,853.4962710279522,True,57,182.0516454059857,1706.8733427761017
57,2020-03-19,36,79.17236347826915,853.4962710279522,True,58,198.23974014837884,1706.8733427761017
58,2020-03-20,49,79.17236347826915,853.4962710279522,True,59,215.663712472946,1706.8733427761017
59,2020-03-21,83,79.17236347826915,853.4962710279522,True,60,234.3812300031968,1706.8733427761017
60,2020-03-22,143,79.17236347826915,853.4962710279522,True,61,254.44607926917757,1706.8733427761017
61,2020-03-23,179,79.17236347826915,853.4962710279522,True,62,275.9068075153894,1706.8733427761017
62,2020-03-24,209,79.17236347826915,853.4962710279522,True,63,298.80524651688495,1706.8733427761017
63,2020-03-25,274,79.17236347826915,853.4962710279522,True,64,323.1749423036831,1706.8733427761017
64,2020-03-26,299,79.17236347826915,853.4962710279522,True,65,349.03952428707055,1706.8733427761017
65,2020-03-27,358,79.17236347826915,853.4962710279522,True,66,376.4110573880909,1706.8733427761017
66,2020-03-28,394,79.17236347826915,853.4962710279522,True,67,405.28843078847086,1706.8733427761017
67,2020-03-29,460,79.17236347826915,853.4962710279522,True,68,435.655846081717,1706.8733427761017
68,2020-03-30,491,79.17236347826915,853.4962710279522,True,69,467.4814749748812,1706.8733427761017
69,2020-03-31,537,79.17236347826915,853.4962710279522,True,70,500.71636126972754,1706.8733427761017
70,2020-04-01,581,79.17236347826915,853.4962710279522,True,71,535.2936426291883,1706.8733427761017
71,2020-04-02,649,79.17236347826915,853.4962710279522,True,72,571.1281637266256,1706.8733427761017
72,2020-04-03,696,79.17236347826915,853.4962710279522,True,73,608.1165431563165,1706.8733427761017
73,2020-04-04,771,79.17236347826915,853.4962710279522,True,74,646.1377417259057,1706.8733427761017
74,2020-04-05,811,79.17236347826915,853.4962710279522,True,75,685.0541597411793,1706.8733427761017
75,2020-04-06,843,79.17236347826915,853.4962710279522,True,76,724.7132664995855,1706.8733427761017
76,2020-04-07,880,79.17236347826915,853.4962710279522,True,77,764.9497378836093,1706.8733427761017
77,2020-04-08,912,79.17236347826915,853.4962710279522,True,78,805.5880496385424,1706.8733427761017
78,2020-04-09,955,79.17236347826915,853.4962710279522,True,79,846.445446908702,1706.8733427761017
79,2020-04-10,999,79.17236347826915,853.4962710279522,True,80,887.3351872541049,1706.8733427761017
80,2020-04-11,1026,79.17236347826915,853.4962710279522,True,81,928.0699368421022,1706.8733427761017
81,2020-04-12,1053,79.17236347826915,853.4962710279522,True,82,968.4651894972011,1706.8733427761017
82,2020-04-13,1062,79.17236347826915,853.4962710279522,True,83,1008.3425767866638,1706.8733427761017
83,2020-04-14,1070,79.17236347826915,853.4962710279522,True,84,1047.532944469696,1706.8733427761017
