,Report_Date,Yemen_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,143.60132672489414,624.6360106415552,False,1,0.013535394806485123,1249.2720212831096
1,2020-01-23,0,143.60132672489414,624.6360106415552,False,2,0.014665239335363432,1249.2720212831096
2,2020-01-24,0,143.60132672489414,624.6360106415552,False,3,0.01588939455419108,1249.2720212831096
3,2020-01-25,0,143.60132672489414,624.6360106415552,False,4,0.017215732581921734,1249.2720212831096
4,2020-01-26,0,143.60132672489414,624.6360106415552,False,5,0.01865278258746898,1249.2720212831096
5,2020-01-27,0,143.60132672489414,624.6360106415552,False,6,0.020209785624367742,1249.2720212831096
6,2020-01-28,0,143.60132672489414,624.6360106415552,False,7,0.0218967540406114,1249.2720212831096
7,2020-01-29,0,143.60132672489414,624.6360106415552,False,8,0.02372453584520743,1249.2720212831096
8,2020-01-30,0,143.60132672489414,624.6360106415552,False,9,0.02570488444477944,1249.2720212831096
9,2020-01-31,0,143.60132672489414,624.6360106415552,False,10,0.027850534197971014,1249.2720212831096
10,2020-02-01,0,143.60132672489414,624.6360106415552,False,11,0.030175282272694774,1249.2720212831096
11,2020-02-02,0,143.60132672489414,624.6360106415552,False,12,0.032694077331655635,1249.2720212831096
12,2020-02-03,0,143.60132672489414,624.6360106415552,False,13,0.035423115615315914,1249.2720212831096
13,2020-02-04,0,143.60132672489414,624.6360106415552,False,14,0.038379945038838556,1249.2720212831096
14,2020-02-05,0,143.60132672489414,624.6360106415552,False,15,0.04158357797084285,1249.2720212831096
15,2020-02-06,0,143.60132672489414,624.6360106415552,False,16,0.04505461341735802,1249.2720212831096
16,2020-02-07,0,143.60132672489414,624.6360106415552,False,17,0.04881536939451416,1249.2720212831096
17,2020-02-08,0,143.60132672489414,624.6360106415552,False,18,0.052890026338645584,1249.2720212831096
18,2020-02-09,0,143.60132672489414,624.6360106415552,False,19,0.05730478247300702,1249.2720212831096
19,2020-02-10,0,143.60132672489414,624.6360106415552,False,20,0.06208802212666112,1249.2720212831096
20,2020-02-11,0,143.60132672489414,624.6360106415552,False,21,0.06727049808376226,1249.2720212831096
21,2020-02-12,0,143.60132672489414,624.6360106415552,False,22,0.07288552913095354,1249.2720212831096
22,2020-02-13,0,143.60132672489414,624.6360106415552,False,23,0.07896921406746665,1249.2720212831096
23,2020-02-14,0,143.60132672489414,624.6360106415552,False,24,0.08556066354736831,1249.2720212831096
24,2020-02-15,0,143.60132672489414,624.6360106415552,False,25,0.09270225123688296,1249.2720212831096
25,2020-02-16,0,143.60132672489414,624.6360106415552,False,26,0.1004398858925334,1249.2720212831096
26,2020-02-17,0,143.60132672489414,624.6360106415552,False,27,0.10882330609873901,1249.2720212831096
27,2020-02-18,0,143.60132672489414,624.6360106415552,False,28,0.11790639954730171,1249.2720212831096
28,2020-02-19,0,143.60132672489414,624.6360106415552,False,29,0.1277475488967728,1249.2720212831096
29,2020-02-20,0,143.60132672489414,624.6360106415552,False,30,0.138410006417966,1249.2720212831096
30,2020-02-21,0,143.60132672489414,624.6360106415552,False,31,0.14996229981388445,1249.2720212831096
31,2020-02-22,0,143.60132672489414,624.6360106415552,False,32,0.16247867179914333,1249.2720212831096
32,2020-02-23,0,143.60132672489414,624.6360106415552,False,33,0.17603955623677534,1249.2720212831096
33,2020-02-24,0,143.60132672489414,624.6360106415552,False,34,0.19073209386035508,1249.2720212831096
34,2020-02-25,0,143.60132672489414,624.6360106415552,False,35,0.2066506908580236,1249.2720212831096
35,2020-02-26,0,143.60132672489414,624.6360106415552,False,36,0.22389762386368198,1249.2720212831096
36,2020-02-27,0,143.60132672489414,624.6360106415552,False,37,0.24258369519090245,1249.2720212831096
37,2020-02-28,0,143.60132672489414,624.6360106415552,False,38,0.2628289424586333,1249.2720212831096
38,2020-02-29,0,143.60132672489414,624.6360106415552,False,39,0.2847634070963235,1249.2720212831096
39,2020-03-01,0,143.60132672489414,624.6360106415552,False,40,0.30852796658155013,1249.2720212831096
40,2020-03-02,0,143.60132672489414,624.6360106415552,False,41,0.33427523565761175,1249.2720212831096
41,2020-03-03,0,143.60132672489414,624.6360106415552,False,42,0.36217054220399175,1249.2720212831096
42,2020-03-04,0,143.60132672489414,624.6360106415552,False,43,0.39239298389137056,1249.2720212831096
43,2020-03-05,0,143.60132672489414,624.6360106415552,False,44,0.4251365722473788,1249.2720212831096
44,2020-03-06,0,143.60132672489414,624.6360106415552,False,45,0.46061147129208074,1249.2720212831096
45,2020-03-07,0,143.60132672489414,624.6360106415552,False,46,0.499045338475924,1249.2720212831096
46,2020-03-08,0,143.60132672489414,624.6360106415552,False,47,0.5406847762704255,1249.2720212831096
47,2020-03-09,0,143.60132672489414,624.6360106415552,False,48,0.5857969034260925,1249.2720212831096
48,2020-03-10,0,143.60132672489414,624.6360106415552,False,49,0.634671055626107,1249.2720212831096
49,2020-03-11,0,143.60132672489414,624.6360106415552,False,50,0.6876206260312759,1249.2720212831096
50,2020-03-12,0,143.60132672489414,624.6360106415552,False,51,0.7449850570349775,1249.2720212831096
51,2020-03-13,0,143.60132672489414,624.6360106415552,False,52,0.807131995429657,1249.2720212831096
52,2020-03-14,0,143.60132672489414,624.6360106415552,False,53,0.8744596241322461,1249.2720212831096
53,2020-03-15,0,143.60132672489414,624.6360106415552,False,54,0.9473991846281682,1249.2720212831096
54,2020-03-16,0,143.60132672489414,624.6360106415552,False,55,1.0264177053756658,1249.2720212831096
55,2020-03-17,0,143.60132672489414,624.6360106415552,False,56,1.1120209525675042,1249.2720212831096
56,2020-03-18,0,143.60132672489414,624.6360106415552,False,57,1.2047566208786677,1249.2720212831096
57,2020-03-19,0,143.60132672489414,624.6360106415552,False,58,1.305217783139602,1249.2720212831096
58,2020-03-20,0,143.60132672489414,624.6360106415552,False,59,1.4140466192673544,1249.2720212831096
59,2020-03-21,0,143.60132672489414,624.6360106415552,False,60,1.5319384462638144,1249.2720212831096
60,2020-03-22,0,143.60132672489414,624.6360106415552,False,61,1.659646072652801,1249.2720212831096
61,2020-03-23,0,143.60132672489414,624.6360106415552,False,62,1.7979845023765944,1249.2720212831096
62,2020-03-24,0,143.60132672489414,624.6360106415552,False,63,1.947836014907682,1249.2720212831096
63,2020-03-25,0,143.60132672489414,624.6360106415552,False,64,2.1101556501512553,1249.2720212831096
64,2020-03-26,0,143.60132672489414,624.6360106415552,False,65,2.285977128615616,1249.2720212831096
65,2020-03-27,0,143.60132672489414,624.6360106415552,False,66,2.476419239305971,1249.2720212831096
66,2020-03-28,0,143.60132672489414,624.6360106415552,False,67,2.6826927298450207,1249.2720212831096
67,2020-03-29,0,143.60132672489414,624.6360106415552,False,68,2.9061077354312395,1249.2720212831096
68,2020-03-30,0,143.60132672489414,624.6360106415552,False,69,3.148081785399057,1249.2720212831096
69,2020-03-31,0,143.60132672489414,624.6360106415552,False,70,3.4101484283272794,1249.2720212831096
70,2020-04-01,0,143.60132672489414,624.6360106415552,False,71,3.693966518829937,1249.2720212831096
71,2020-04-02,0,143.60132672489414,624.6360106415552,False,72,4.0013302113298534,1249.2720212831096
72,2020-04-03,0,143.60132672489414,624.6360106415552,False,73,4.334179708223943,1249.2720212831096
73,2020-04-04,0,143.60132672489414,624.6360106415552,False,74,4.694612811858061,1249.2720212831096
74,2020-04-05,0,143.60132672489414,624.6360106415552,False,75,5.084897331585196,1249.2720212831096
75,2020-04-06,0,143.60132672489414,624.6360106415552,False,76,5.507484398820768,1249.2720212831096
76,2020-04-07,0,143.60132672489414,624.6360106415552,False,77,5.965022744356213,1249.2720212831096
77,2020-04-08,0,143.60132672489414,624.6360106415552,False,78,6.4603739931555335,1249.2720212831096
78,2020-04-09,0,143.60132672489414,624.6360106415552,False,79,6.996629032331163,1249.2720212831096
79,2020-04-10,1,143.60132672489414,624.6360106415552,False,80,7.57712550784618,1249.2720212831096
80,2020-04-11,1,143.60132672489414,624.6360106415552,False,81,8.205466504569944,1249.2720212831096
81,2020-04-12,1,143.60132672489414,624.6360106415552,False,82,8.88554046244572,1249.2720212831096
82,2020-04-13,1,143.60132672489414,624.6360106415552,False,83,9.621542378506975,1249.2720212831096
83,2020-04-14,1,143.60132672489414,624.6360106415552,False,84,10.417996340064482,1249.2720212831096
84,2020-04-15,1,143.60132672489414,624.6360106415552,False,85,11.279779428303145,1249.2720212831096
85,2020-04-16,1,143.60132672489414,624.6360106415552,False,86,12.212147023460227,1249.2720212831096
86,2020-04-17,1,143.60132672489414,624.6360106415552,False,87,13.220759532341857,1249.2720212831096
87,2020-04-18,1,143.60132672489414,624.6360106415552,False,88,14.311710545763493,1249.2720212831096
88,2020-04-19,1,143.60132672489414,624.6360106415552,False,89,15.49155641710652,1249.2720212831096
89,2020-04-20,1,143.60132672489414,624.6360106415552,False,90,16.767347233048596,1249.2720212831096
90,2020-04-21,1,143.60132672489414,624.6360106415552,False,91,18.146659123070137,1249.2720212831096
91,2020-04-22,1,143.60132672489414,624.6360106415552,False,92,19.63762782492329,1249.2720212831096
92,2020-04-23,1,143.60132672489414,624.6360106415552,False,93,21.24898338817718,1249.2720212831096
93,2020-04-24,1,143.60132672489414,624.6360106415552,False,94,22.99008585646608,1249.2720212831096
94,2020-04-25,1,143.60132672489414,624.6360106415552,False,95,24.870961720365713,1249.2720212831096
95,2020-04-26,1,143.60132672489414,624.6360106415552,False,96,26.902340876061388,1249.2720212831096
96,2020-04-27,1,143.60132672489414,624.6360106415552,False,97,29.09569375929123,1249.2720212831096
97,2020-04-28,1,143.60132672489414,624.6360106415552,False,98,31.463268248584278,1249.2720212831096
98,2020-04-29,6,143.60132672489414,624.6360106415552,False,99,34.01812584574736,1249.2720212831096
99,2020-04-30,6,143.60132672489414,624.6360106415552,False,100,36.774176544141085,1249.2720212831096
100,2020-05-01,7,143.60132672489414,624.6360106415552,False,101,39.74621168591867,1249.2720212831096
101,2020-05-02,10,143.60132672489414,624.6360106415552,False,102,42.94993398769143,1249.2720212831096
102,2020-05-03,10,143.60132672489414,624.6360106415552,False,103,46.401983779931356,1249.2720212831096
103,2020-05-04,12,143.60132672489414,624.6360106415552,False,104,50.11996035914864,1249.2720212831096
104,2020-05-05,22,143.60132672489414,624.6360106415552,False,105,54.12243719434701,1249.2720212831096
105,2020-05-06,25,143.60132672489414,624.6360106415552,False,106,58.428969562015276,1249.2720212831096
106,2020-05-07,25,143.60132672489414,624.6360106415552,False,107,63.060093009396574,1249.2720212831096
107,2020-05-08,34,143.60132672489414,624.6360106415552,False,108,68.03731086747621,1249.2720212831096
108,2020-05-09,34,143.60132672489414,624.6360106415552,False,109,73.38306885782754,1249.2720212831096
109,2020-05-10,51,143.60132672489414,624.6360106415552,False,110,79.12071466743521,1249.2720212831096
110,2020-05-11,56,143.60132672489414,624.6360106415552,False,111,85.274440210864,1249.2720212831096
111,2020-05-12,65,143.60132672489414,624.6360106415552,False,112,91.86920416958154,1249.2720212831096
112,2020-05-13,70,143.60132672489414,624.6360106415552,False,113,98.93063230583515,1249.2720212831096
113,2020-05-14,85,143.60132672489414,624.6360106415552,False,114,106.48489300734259,1249.2720212831096
114,2020-05-15,106,143.60132672489414,624.6360106415552,False,115,114.55854554539663,1249.2720212831096
115,2020-05-16,122,143.60132672489414,624.6360106415552,False,116,123.17835864091252,1249.2720212831096
116,2020-05-17,128,143.60132672489414,624.6360106415552,False,117,132.37109715010877,1249.2720212831096
117,2020-05-18,130,143.60132672489414,624.6360106415552,False,118,142.16327502435257,1249.2720212831096
118,2020-05-19,167,143.60132672489414,624.6360106415552,False,119,152.58087318758953,1249.2720212831096
119,2020-05-20,184,143.60132672489414,624.6360106415552,False,120,163.64902162857626,1249.2720212831096
120,2020-05-21,197,143.60132672489414,624.6360106415552,False,121,175.39164583960496,1249.2720212831096
